Observations1,Observations2,Observations3,Observations4,Observations5,Observations6,Observations7
1,1,5,1,295,28,16.8
2,1,6,1,206,42,23.5
3,1,7,1,142,54,17.9
4,1,9,1,67,60,11.1
5,1,23,1,68,24,13.3
6,1,30,1,177,30,14.7
7,1,16,1,46,14,0
8,1,26,1,21,6,0
9,1,29,1,329,9,0
10,1,2,3,91,24,18.1
11,1,18,3,226,11,15.8
12,1,13,3,127,44,15.5
13,1,19,3,278,33,19.8
14,1,3,3,36,71,21.6
15,1,4,3,295,36,18.6
16,1,14,3,170,4,0
17,1,12,3,52,41,0
18,1,11,3,0,0,0
19,1,20,3,337,18,0
20,1,5,5,115,8,0
21,1,7,5,35,17,0
22,1,10,5,54,33,0
23,1,11,5,351,2,0
24,1,12,5,300,18,0
25,1,12,5,323,16,0
26,2,5,1,295,28,18.8
27,2,6,1,206,42,23.8
28,2,7,1,142,54,17.5
29,2,9,1,67,60,11.1
30,2,23,1,68,24,13.3
31,2,30,1,177,30,14.7
32,2,16,1,46,14,0
33,2,26,1,21,6,0
34,2,29,1,329,9,0
35,2,2,3,91,24,17.3
36,2,18,3,226,11,15.4
37,2,13,3,127,44,15.5
38,2,19,3,278,33,18.5
39,2,3,3,36,71,18.9
40,2,4,3,295,36,17.5
41,2,14,3,170,4,0
42,2,12,3,52,41,0
43,2,11,3,0,0,0
44,2,20,3,337,18,0
45,2,5,5,115,8,0
46,2,7,5,35,17,0
47,2,10,5,54,33,0
48,2,11,5,351,2,0
49,2,12,5,300,18,0
50,2,12,5,323,16,0
51,3,5,1,295,28,19.1
52,3,6,1,206,42,25.8
53,3,7,1,142,54,20.3
54,3,9,1,67,60,11.1
55,3,23,1,68,24,13.3
56,3,30,1,177,30,14.7
57,3,16,1,46,14,0
58,3,26,1,21,6,0
59,3,29,1,329,9,0
60,3,2,3,91,24,17.3
61,3,18,3,226,11,15.2
62,3,13,3,127,44,15.5
63,3,19,3,278,33,18.5
64,3,3,3,36,71,19.8
65,3,4,3,295,36,19.2
66,3,14,3,170,4,0
67,3,12,3,52,41,0
68,3,11,3,0,0,0
69,3,20,3,337,18,0
70,3,5,5,115,8,0
71,3,7,5,35,17,0
72,3,10,5,54,33,0
73,3,11,5,351,2,0
74,3,12,5,300,18,0
75,3,12,5,323,16,0
76,4,5,1,295,28,20.3
77,4,6,1,206,42,24.7
78,4,7,1,142,54,21.6
79,4,9,1,67,60,11.1
80,4,23,1,68,24,13.3
81,4,30,1,177,30,14.7
82,4,16,1,46,14,0
83,4,26,1,21,6,0
84,4,29,1,329,9,0
85,4,2,3,91,24,16.7
86,4,18,3,226,11,15.5
87,4,13,3,127,44,15.5
88,4,19,3,278,33,17.5
89,4,3,3,36,71,22.8
90,4,4,3,295,36,20.2
91,4,14,3,170,4,0
92,4,12,3,52,41,0
93,4,11,3,0,0,0
94,4,20,3,337,18,0
95,4,5,5,115,8,0
96,4,7,5,35,17,0
97,4,10,5,54,33,0
98,4,11,5,351,2,0
99,4,12,5,300,18,0
100,4,12,5,323,16,0
101,5,5,1,295,28,17.5
102,5,6,1,206,42,23.1
103,5,7,1,142,54,20.6
104,5,9,1,67,60,11.1
105,5,23,1,68,24,13.3
106,5,30,1,177,30,12.5
107,5,16,1,46,14,0
108,5,26,1,21,6,0
109,5,29,1,329,9,0
110,5,2,3,91,24,19.4
111,5,18,3,226,11,15.8
112,5,13,3,127,44,15.5
113,5,19,3,278,33,18.1
114,5,3,3,36,71,21
115,5,4,3,295,36,17.7
116,5,14,3,170,4,0
117,5,12,3,52,41,0
118,5,11,3,0,0,0
119,5,20,3,337,18,0
120,5,5,5,115,8,0
121,5,7,5,35,17,0
122,5,10,5,54,33,0
