ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType
399943,403470000000,,,-1168859867133864960,0.0,1.5003310203552246E7,-6.835937217058899,316.8858904382445,1,2,0.0,15,386670533996367,53,19.7,-45.87028884887695,0.9359999895095825,0,0.0,0.0,,,,,0,,1
399943,403470000000,,,-1168859867133864960,0.0,1.5003310203552246E7,-6.835937217058899,316.8858904382445,1,5,0.0,15,386670529225283,88,18.3,-591.251953125,4.090000152587891,0,0.0,0.0,,,,,0,,1
399944,403470000000,,,-1168859867133864960,0.0,1.5003310203552246E7,-6.835937217058899,316.8858904382445,1,6,0.0,15,386670533359070,17,28.8,490.56707763671875,0.052799999713897705,0,0.0,0.0,,,,,0,,1
399945,403470000000,,,-1168859867133864960,0.0,1.5003310203552246E7,-6.835937217058899,316.8858904382445,1,16,0.0,15,386670525255037,27,24.0,-91.27436065673828,0.6739999651908875,0,0.0,0.0,,,,,0,,1
399945,403470000000,,,-1168859867133864960,0.0,1.5003310203552246E7,-6.835937217058899,316.8858904382445,1,30,0.0,15,386670528841249,31,23.3,-670.5377807617188,0.7384999990463257,0,0.0,0.0,,,,,0,,1
400944,404470000000,,,-1168859867133864960,0.0,1.5003623962402344E7,-6.835937217058899,316.8858904382445,1,2,0.0,15,386671533996446,61,18.1,-45.461158752441406,1.0959999561309814,0,0.0,0.0,,,,,0,,1
400945,404470000000,,,-1168859867133864960,0.0,1.5003623962402344E7,-6.835937217058899,316.8858904382445,1,5,0.0,15,386671529227114,79,17.3,-593.8209228515625,2.680000066757202,0,0.0,0.0,,,,,0,,1
400946,404470000000,,,-1168859867133864960,0.0,1.5003623962402344E7,-6.835937217058899,316.8858904382445,1,6,0.0,15,386671533357413,16,29.0,489.54119873046875,0.04620000347495079,0,0.0,0.0,,,,,0,,1
400947,404470000000,,,-1168859867133864960,0.0,1.5003623962402344E7,-6.835937217058899,316.8858904382445,1,16,0.0,15,386671525255353,21,26.1,-92.6166000366211,0.11869999766349792,0,0.0,0.0,,,,,0,,1
400948,404470000000,,,-1168859867133864960,0.0,1.5003623962402344E7,-6.835937217058899,316.8858904382445,1,30,0.0,15,386671528843468,16,29.5,-672.2079467773438,0.038700003176927567,0,0.0,0.0,,,,,0,,1
402001,405470000000,,,-1168859867133863424,0.0,1.500361442565918E7,-4.882812468316094,316.8858904382445,1,2,0.0,15,386672533996736,70,17.1,-43.83414840698242,1.1859999895095825,0,0.0,0.0,,,,,0,,1
402003,405470000000,,,-1168859867133863424,0.0,1.500361442565918E7,-4.882812468316094,316.8858904382445,1,5,0.0,15,386672529229088,40,21.9,-591.4136962890625,0.7999999523162842,0,0.0,0.0,,,,,0,,1
402004,405470000000,,,-1168859867133863424,0.0,1.500361442565918E7,-4.882812468316094,316.8858904382445,1,6,0.0,15,386672533355796,14,30.5,491.5083923339844,0.04530000314116478,0,0.0,0.0,,,,,0,,1
402005,405470000000,,,-1168859867133863424,0.0,1.500361442565918E7,-4.882812468316094,316.8858904382445,1,16,0.0,15,386672525255664,21,26.7,-90.65367126464844,0.11869999766349792,0,0.0,0.0,,,,,0,,1
402006,405470000000,,,-1168859867133863424,0.0,1.500361442565918E7,-4.882812468316094,316.8858904382445,1,30,0.0,15,386672528845679,19,27.9,-670.3711547851562,0.053300000727176666,0,0.0,0.0,,,,,0,,1
402989,406470000000,,,-1168859867133863424,0.0,1.5003928184509277E7,0.0,316.8858904382445,1,2,0.0,15,386673533996770,61,18.8,-39.752349853515625,1.0160000324249268,0,0.0,0.0,,,,,0,,1
402991,406470000000,,,-1168859867133863424,0.0,1.5003928184509277E7,0.0,316.8858904382445,1,5,0.0,15,386673529231059,53,19.5,-589.4536743164062,0.9299999475479126,0,0.0,0.0,,,,,0,,1
402993,406470000000,,,-1168859867133863424,0.0,1.5003928184509277E7,0.0,316.8858904382445,1,6,0.0,15,386673533354141,13,31.4,495.1020812988281,0.044700004160404205,0,0.0,0.0,,,,,0,,1
