"obs_id","e_id","sv_prn","constell_id","azimuth","elevation","CN0"
"1","1","5","1","296.0","33.0","33.8"
"2","1","6","1","203.0","37.0","34.7"
"3","1","7","1","135.0","59.0","34.7"
"4","1","9","1","68.0","55.0","26.4"
"5","1","16","1","40.0","14.0","19.8"
"6","1","23","1","71.0","19.0","30.3"
"7","1","30","1","175.0","35.0","39.1"
"8","1","13","1","0.0","0.0","0.0"
"9","1","26","1","16.0","4.0","0.0"
"10","1","29","1","323.0","9.0","0.0"
"11","1","6","3","47.0","71.0","23.4"
"12","1","22","3","274.0","29.0","23.4"
"13","1","16","3","116.0","49.0","23.1"
"14","1","15","3","35.0","30.0","28.7"
"15","1","5","3","95.0","19.0","21.1"
"16","1","23","3","336.0","19.0","15.7"
"17","1","21","3","224.0","7.0","19.0"
"18","1","7","3","299.0","41.0","34.4"
"19","1","14","5","109.0","12.0","15.1"
"20","1","5","5","115.0","8.0","0.0"
"21","1","125","2","0.0","0.0","30.5"
"22","1","136","2","0.0","0.0","34.2"
"23","1","5","5","115.0","8.0","0.0"
"24","2","5","1","296.0","33.0","36.6"
"25","2","6","1","203.0","37.0","34.4"
"26","2","7","1","135.0","59.0","33.0"
"27","2","9","1","68.0","55.0","24.7"
"28","2","16","1","40.0","14.0","23.1"
"29","2","23","1","71.0","19.0","33.0"
"30","2","30","1","175.0","35.0","41.0"
"31","2","13","1","0.0","0.0","0.0"
"32","2","26","1","16.0","4.0","0.0"
"33","2","29","1","323.0","9.0","0.0"
"34","2","6","3","47.0","71.0","27.9"
"35","2","22","3","274.0","29.0","24.2"
"36","2","16","3","116.0","49.0","25.0"
"37","2","15","3","35.0","30.0","23.0"
"38","2","5","3","95.0","19.0","21.3"
"39","2","23","3","336.0","19.0","15.7"
"40","2","21","3","224.0","7.0","19.0"
"41","2","7","3","299.0","41.0","34.0"
"42","2","14","5","109.0","12.0","17.8"
"43","2","5","5","115.0","8.0","0.0"
"44","2","125","2","0.0","0.0","31.3"
"45","2","136","2","0.0","0.0","36.6"
"46","2","5","5","115.0","8.0","0.0"
"47","3","5","1","296.0","33.0","37.3"
"48","3","6","1","203.0","37.0","35.1"
"49","3","7","1","135.0","59.0","32.6"
"50","3","9","1","68.0","55.0","28.0"
"51","3","16","1","40.0","14.0","25.0"
"52","3","23","1","71.0","19.0","35.0"
"53","3","30","1","175.0","35.0","39.6"
"54","3","13","1","0.0","0.0","0.0"
"55","3","26","1","16.0","4.0","0.0"
"56","3","29","1","323.0","9.0","0.0"
"57","3","6","3","47.0","71.0","29.0"
"58","3","22","3","274.0","29.0","23.1"
"59","3","16","3","116.0","49.0","25.9"
"60","3","15","3","35.0","30.0","26.5"
"61","3","5","3","95.0","19.0","19.1"
"62","3","23","3","336.0","19.0","15.7"
"63","3","21","3","224.0","7.0","19.0"
"64","3","7","3","299.0","41.0","35.8"
"65","3","14","5","109.0","12.0","17.8"
"66","3","5","5","115.0","8.0","0.0"
"67","3","125","2","0.0","0.0","32.0"
"68","3","136","2","0.0","0.0","34.7"
"69","3","5","5","115.0","8.0","0.0"
"70","4","5","1","296.0","33.0","37.9"
"71","4","6","1","203.0","37.0","35.6"
"72","4","7","1","135.0","59.0","33.5"
"73","4","9","1","68.0","55.0","27.7"
"74","4","16","1","40.0","14.0","24.7"
"75","4","23","1","71.0","19.0","36.2"
"76","4","30","1","175.0","35.0","40.2"
"77","4","13","1","0.0","0.0","0.0"
"78","4","26","1","16.0","4.0","0.0"
"79","4","29","1","323.0","9.0","0.0"
"80","4","6","3","47.0","71.0","28.0"
"81","4","22","3","274.0","29.0","19.0"
"82","4","16","3","116.0","49.0","25.4"
"83","4","15","3","35.0","30.0","26.1"
"84","4","5","3","95.0","19.0","19.1"
"85","4","23","3","336.0","19.0","12.9"
"86","4","21","3","224.0","7.0","19.0"
"87","4","7","3","299.0","41.0","35.6"
"88","4","14","5","109.0","12.0","15.9"
"89","4","5","5","115.0","8.0","0.0"
"90","4","125","2","0.0","0.0","29.3"
"91","4","136","2","0.0","0.0","34.9"
"92","4","5","5","115.0","8.0","0.0"
"93","5","5","1","296.0","33.0","37.0"
"94","5","6","1","203.0","37.0","35.2"
"95","5","7","1","135.0","59.0","31.0"
"96","5","9","1","68.0","55.0","26.7"
"97","5","16","1","40.0","14.0","20.3"
"98","5","23","1","71.0","19.0","35.5"
"99","5","30","1","175.0","35.0","39.6"
"100","5","13","1","0.0","0.0","0.0"
"101","5","26","1","16.0","4.0","0.0"
"102","5","29","1","323.0","9.0","0.0"
"103","5","6","3","47.0","71.0","22.2"
"104","5","22","3","274.0","29.0","19.0"
"105","5","16","3","116.0","49.0","27.7"
"106","5","15","3","35.0","30.0","25.5"
"107","5","5","3","95.0","19.0","19.1"
"108","5","23","3","336.0","19.0","12.9"
"109","5","21","3","224.0","7.0","13.3"
"110","5","7","3","299.0","41.0","35.9"
"111","5","14","5","109.0","12.0","15.9"
"112","5","5","5","115.0","8.0","0.0"
"113","5","125","2","0.0","0.0","30.3"
"114","5","136","2","0.0","0.0","34.9"
"115","5","5","5","115.0","8.0","0.0"
"116","6","5","1","296.0","33.0","37.8"
"117","6","6","1","203.0","37.0","35.5"
"118","6","7","1","135.0","59.0","31.8"
"119","6","9","1","68.0","55.0","24.2"
"120","6","16","1","40.0","14.0","23.4"
"121","6","23","1","71.0","19.0","36.0"
"122","6","30","1","175.0","35.0","39.2"
"123","6","13","1","0.0","0.0","0.0"
"124","6","26","1","16.0","4.0","0.0"
"125","6","29","1","323.0","9.0","0.0"
"126","6","6","3","47.0","71.0","24.9"
"127","6","22","3","274.0","29.0","15.4"
"128","6","16","3","116.0","49.0","27.3"
"129","6","15","3","35.0","30.0","24.4"
"130","6","5","3","95.0","19.0","14.6"
"131","6","23","3","336.0","19.0","17.3"
"132","6","21","3","224.0","7.0","13.3"
"133","6","7","3","299.0","41.0","36.2"
"134","6","14","5","109.0","12.0","15.1"
"135","6","5","5","115.0","8.0","0.0"
"136","6","125","2","0.0","0.0","30.1"
"137","6","136","2","0.0","0.0","34.6"
"138","6","5","5","115.0","8.0","0.0"
"139","7","5","1","296.0","33.0","38.2"
"140","7","6","1","203.0","37.0","36.0"
"141","7","7","1","135.0","59.0","32.1"
"142","7","9","1","68.0","55.0","27.3"
"143","7","16","1","40.0","14.0","27.1"
"144","7","23","1","71.0","19.0","34.4"
"145","7","30","1","175.0","35.0","38.3"
"146","7","13","1","0.0","0.0","0.0"
"147","7","26","1","16.0","4.0","0.0"
"148","7","29","1","323.0","9.0","0.0"
"149","7","6","3","47.0","71.0","23.6"
"150","7","22","3","274.0","29.0","15.4"
"151","7","16","3","116.0","49.0","26.1"
"152","7","15","3","35.0","30.0","25.9"
"153","7","5","3","95.0","19.0","14.6"
"154","7","23","3","336.0","19.0","17.3"
"155","7","21","3","224.0","7.0","13.3"
"156","7","7","3","299.0","41.0","37.2"
"157","7","14","5","109.0","12.0","15.1"
"158","7","5","5","115.0","8.0","0.0"
"159","7","125","2","0.0","0.0","28.8"
"160","7","136","2","0.0","0.0","34.4"
"161","7","5","5","115.0","8.0","0.0"
"162","8","5","1","296.0","33.0","38.2"
"163","8","6","1","203.0","37.0","35.4"
"164","8","7","1","135.0","59.0","32.7"
"165","8","9","1","68.0","55.0","27.1"
"166","8","16","1","40.0","14.0","26.6"
"167","8","23","1","71.0","19.0","34.7"
"168","8","30","1","175.0","35.0","38.5"
"169","8","13","1","0.0","0.0","0.0"
"170","8","26","1","16.0","4.0","0.0"
"171","8","29","1","323.0","9.0","0.0"
"172","8","6","3","47.0","71.0","21.3"
"173","8","22","3","274.0","29.0","15.4"
"174","8","16","3","116.0","49.0","27.4"
"175","8","15","3","35.0","30.0","25.6"
"176","8","5","3","95.0","19.0","16.6"
"177","8","23","3","336.0","19.0","16.8"
"178","8","21","3","224.0","7.0","15.2"
"179","8","7","3","299.0","41.0","37.3"
"180","8","14","5","109.0","12.0","15.1"
"181","8","5","5","115.0","8.0","0.0"
"182","8","125","2","0.0","0.0","30.7"
"183","8","136","2","0.0","0.0","35.7"
"184","8","5","5","115.0","8.0","0.0"
"185","9","5","1","296.0","33.0","38.9"
"186","9","6","1","203.0","37.0","35.4"
"187","9","7","1","135.0","59.0","32.2"
"188","9","9","1","68.0","55.0","29.4"
"189","9","16","1","40.0","14.0","27.3"
"190","9","23","1","71.0","19.0","34.5"
"191","9","30","1","175.0","35.0","39.0"
"192","9","13","1","0.0","0.0","0.0"
"193","9","26","1","16.0","4.0","0.0"
"194","9","29","1","323.0","9.0","0.0"
"195","9","6","3","47.0","71.0","22.8"
"196","9","22","3","274.0","29.0","14.6"
"197","9","16","3","116.0","49.0","28.1"
"198","9","15","3","35.0","30.0","25.0"
"199","9","5","3","95.0","19.0","17.8"
"200","9","23","3","336.0","19.0","16.8"
"201","9","21","3","224.0","7.0","15.2"
"202","9","7","3","299.0","41.0","37.0"
"203","9","14","5","109.0","12.0","15.2"
"204","9","5","5","115.0","8.0","0.0"
"205","9","125","2","0.0","0.0","30.7"
"206","9","136","2","0.0","0.0","36.0"
"207","9","5","5","115.0","8.0","0.0"
"208","10","5","1","296.0","33.0","39.4"
"209","10","6","1","203.0","37.0","36.6"
"210","10","7","1","135.0","59.0","32.1"
"211","10","9","1","68.0","55.0","30.3"
"212","10","16","1","40.0","14.0","27.8"
"213","10","23","1","71.0","19.0","35.4"
