ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType
16110114,16114910000000,,,-1163849822488335360,0.0,156.58323536626995,-81.78243568679599,9.173009436834079,780,5,0.0,15,230737326248815,10,34.4,-477.8508605957031,0.03110000118613243,0,0.0,0.0,,,,,0,,1
16110115,16114910000000,,,-1163849822488335360,0.0,156.58323536626995,-81.78243568679599,9.173009436834079,780,7,0.0,15,230737328994862,8,36.0,-75.90351104736328,0.03320000320672989,0,0.0,0.0,,,,,0,,1
16110116,16114910000000,,,-1163849822488335360,0.0,156.58323536626995,-81.78243568679599,9.173009436834079,780,9,0.0,15,230737326160855,5,41.1,441.14227294921875,0.02810000069439411,0,0.0,0.0,,,,,0,,1
16110116,16114910000000,,,-1163849822488335360,0.0,156.58323536626995,-81.78243568679599,9.173009436834079,780,16,0.0,15,230737317306885,46,20.3,213.823486328125,0.9419999718666077,0,0.0,0.0,,,,,0,,1
16110117,16114910000000,,,-1163849822488335360,0.0,156.58323536626995,-81.78243568679599,9.173009436834079,780,23,0.0,15,230737316082768,40,21.9,580.376708984375,0.8104999661445618,0,0.0,0.0,,,,,0,,1
16110117,16114910000000,,,-1163849822488335360,0.0,156.58323536626995,-81.78243568679599,9.173009436834079,780,29,0.0,15,230737315949377,110,15.5,193.5096435546875,3.5290000438690186,0,0.0,0.0,,,,,0,,1
16110118,16114910000000,,,-1163849822488335360,0.0,156.58323536626995,-81.78243568679599,9.173009436834079,780,30,0.0,15,230737326882817,79,17.2,-494.2117004394531,2.67549991607666,0,0.0,0.0,,,,,0,,1
16111118,16115910000000,,,-1163849822488335360,0.0,150.75516421347857,-80.71604319472202,9.258891591872073,780,5,0.0,15,230738326250449,13,31.7,-480.9042663574219,0.03420000150799751,0,0.0,0.0,,,,,0,,1
16111119,16115910000000,,,-1163849822488335360,0.0,150.75516421347857,-80.71604319472202,9.258891591872073,780,6,0.0,15,230738321213555,18,28.9,632.4410400390625,0.9020000100135803,0,0.0,0.0,,,,,0,,1
16111119,16115910000000,,,-1163849822488335360,0.0,150.75516421347857,-80.71604319472202,9.258891591872073,780,7,0.0,15,230738328995119,9,35.7,-78.86469268798828,0.03360000252723694,0,0.0,0.0,,,,,0,,1
16111120,16115910000000,,,-1163849822488335360,0.0,150.75516421347857,-80.71604319472202,9.258891591872073,780,9,0.0,15,230738326159372,5,40.0,438.0538330078125,0.028400002047419548,0,0.0,0.0,,,,,0,,1
16111120,16115910000000,,,-1163849822488335360,0.0,150.75516421347857,-80.71604319472202,9.258891591872073,780,16,0.0,15,230738317306171,54,20.3,213.823486328125,2.441999912261963,0,0.0,0.0,,,,,0,,1
16111120,16115910000000,,,-1163849822488335360,0.0,150.75516421347857,-80.71604319472202,9.258891591872073,780,23,0.0,15,230738316080784,46,20.6,577.5603637695312,0.8704999685287476,0,0.0,0.0,,,,,0,,1
16111121,16115910000000,,,-1163849822488335360,0.0,150.75516421347857,-80.71604319472202,9.258891591872073,780,29,0.0,15,230738315948731,135,15.5,193.5096435546875,5.029000282287598,0,0.0,0.0,,,,,0,,1
16111121,16115910000000,,,-1163849822488335360,0.0,150.75516421347857,-80.71604319472202,9.258891591872073,780,30,0.0,15,230738326884472,35,22.5,-495.5722961425781,0.7354999780654907,0,0.0,0.0,,,,,0,,1
16112173,16116910000000,,,-1163849822488335360,0.0,146.64983609691262,-90.23278802418987,9.29816722951173,780,5,0.0,15,230739326252039,11,33.9,-480.21136474609375,0.03189999982714653,0,0.0,0.0,,,,,0,,1
16112175,16116910000000,,,-1163849822488335360,0.0,146.64983609691262,-90.23278802418987,9.29816722951173,780,6,0.0,15,230739321211407,16,29.8,634.2168579101562,0.028200000524520874,0,0.0,0.0,,,,,0,,1
16112177,16116910000000,,,-1163849822488335360,0.0,146.64983609691262,-90.23278802418987,9.29816722951173,780,7,0.0,15,230739328995360,7,37.7,-78.251953125,0.032600000500679016,0,0.0,0.0,,,,,0,,1
16112179,16116910000000,,,-1163849822488335360,0.0,146.64983609691262,-90.23278802418987,9.29816722951173,780,9,0.0,15,230739326157864,5,40.0,438.6767578125,0.028400002047419548,0,0.0,0.0,,,,,0,,1
16112180,16116910000000,,,-1163849822488335360,0.0,146.64983609691262,-90.23278802418987,9.29816722951173,780,16,0.0,15,230739317305613,84,16.7,212.0157012939453,1.9420000314712524,0,0.0,0.0,,,,,0,,1
16112180,16116910000000,,,-1163849822488335360,0.0,146.64983609691262,-90.23278802418987,9.29816722951173,780,23,0.0,15,230739316078718,35,22.2,577.7125854492188,0.8104999661445618,0,0.0,0.0,,,,,0,,1
16112181,16116910000000,,,-1163849822488335360,0.0,146.64983609691262,-90.23278802418987,9.29816722951173,780,29,0.0,15,230739315948086,169,15.5,193.5096435546875,6.529000282287598,0,0.0,0.0,,,,,0,,1
16112182,16116910000000,,,-1163849822488335360,0.0,146.64983609691262,-90.23278802418987,9.29816722951173,780,30,0.0,15,230739326886209,31,23.1,-495.6008605957031,0.7354999780654907,0,0.0,0.0,,,,,0,,1
16113175,16117910000000,,,-1163849822488335360,0.0,151.68104437179863,-88.91791226906089,13.463198054924911,780,2,0.0,15,230740325644269,276,24.9,250.9497833251953,0.6060000061988831,0,0.0,0.0,,,,,0,,1
16113176,16117910000000,,,-1163849822488335360,0.0,151.68104437179863,-88.91791226906089,13.463198054924911,780,5,0.0,15,230740326253638,10,34.3,-477.7345275878906,0.03110000118613243,0,0.0,0.0,,,,,0,,1
16113176,16117910000000,,,-1163849822488335360,0.0,151.68104437179863,-88.91791226906089,13.463198054924911,780,6,0.0,15,230740321209282,13,31.0,636.7005004882812,0.02670000120997429,0,0.0,0.0,,,,,0,,1
16113177,16117910000000,,,-1163849822488335360,0.0,151.68104437179863,-88.91791226906089,13.463198054924911,780,7,0.0,15,230740328995635,7,37.1,-75.68229675292969,0.032600000500679016,0,0.0,0.0,,,,,0,,1
16113178,16117910000000,,,-1163849822488335360,0.0,151.68104437179863,-88.91791226906089,13.463198054924911,780,9,0.0,15,230740326156373,6,39.7,441.1956787109375,0.028600001707673073,0,0.0,0.0,,,,,0,,1
16113178,16117910000000,,,-1163849822488335360,0.0,151.68104437179863,-88.91791226906089,13.463198054924911,780,16,0.0,15,230740317304859,70,17.4,213.7568817138672,1.1920000314712524,0,0.0,0.0,,,,,0,,1
16113179,16117910000000,,,-1163849822488335360,0.0,151.68104437179863,-88.91791226906089,13.463198054924911,780,23,0.0,15,230740316076759,40,21.9,580.8905029296875,0.8104999661445618,0,0.0,0.0,,,,,0,,1
16113179,16117910000000,,,-1163849822488335360,0.0,151.68104437179863,-88.91791226906089,13.463198054924911,780,29,0.0,15,230740315947440,214,15.5,193.5096435546875,8.029000282287598,0,0.0,0.0,,,,,0,,1
16113180,16117910000000,,,-1163849822488335360,0.0,151.68104437179863,-88.91791226906089,13.463198054924911,780,30,0.0,15,230740326887867,35,22.8,-493.3458557128906,0.7354999780654907,0,0.0,0.0,,,,,0,,1
16114216,16118910000000,,,-1163849822488335360,0.0,149.29955068510026,-81.55368806185027,8.96182236254484,780,2,0.0,15,230741325642928,27,24.8,251.8156280517578,0.831000030040741,0,0.0,0.0,,,,,0,,1
16114217,16118910000000,,,-1163849822488335360,0.0,149.29955068510026,-81.55368806185027,8.96182236254484,780,5,0.0,15,230741326255222,11,33.2,-477.0469970703125,0.03189999982714653,0,0.0,0.0,,,,,0,,1
16114219,16118910000000,,,-1163849822488335360,0.0,149.29955068510026,-81.55368806185027,8.96182236254484,780,6,0.0,15,230741321207103,14,30.6,637.4014892578125,0.027300000190734863,0,0.0,0.0,,,,,0,,1
16114220,16118910000000,,,-1163849822488335360,0.0,149.29955068510026,-81.55368806185027,8.96182236254484,780,7,0.0,15,230741328995868,8,36.0,-74.89715576171875,0.03320000320672989,0,0.0,0.0,,,,,0,,1
16114222,16118910000000,,,-1163849822488335360,0.0,149.29955068510026,-81.55368806185027,8.96182236254484,780,9,0.0,15,230741326154856,5,40.5,441.895263671875,0.028400002047419548,0,0.0,0.0,,,,,0,,1
16114223,16118910000000,,,-1163849822488335360,0.0,149.29955068510026,-81.55368806185027,8.96182236254484,780,16,0.0,15,230741317304146,79,17.4,213.7568817138672,2.691999912261963,0,0.0,0.0,,,,,0,,1
16114224,16118910000000,,,-1163849822488335360,0.0,149.29955068510026,-81.55368806185027,8.96182236254484,780,23,0.0,15,230741316074805,35,22.4,580.4147338867188,0.8104999661445618,0,0.0,0.0,,,,,0,,1
16114224,16118910000000,,,-1163849822488335360,0.0,149.29955068510026,-81.55368806185027,8.96182236254484,780,29,0.0,15,230741315946872,110,15.7,193.75701904296875,3.5290000438690186,0,0.0,0.0,,,,,0,,1
16114225,16118910000000,,,-1163849822488335360,0.0,149.29955068510026,-81.55368806185027,8.96182236254484,780,30,0.0,15,230741326889671,40,21.4,-492.7464599609375,0.8554999828338623,0,0.0,0.0,,,,,0,,1
16115164,16119910000000,,,-1163849822488335360,0.0,152.96023047994822,-79.29626062567162,9.154156558166324,780,5,0.0,15,230742326256831,11,33.0,-478.4093017578125,0.03189999982714653,0,0.0,0.0,,,,,0,,1
