"e_id","year","month","day","hour","minute","second","latitude","longitude","altitude","HDOP"
"1","2016","11","22","4","26","8","-1.0","-1.0","-1.0","1.2"
"2","2016","11","22","4","26","9","51.51343439","-0.08014004","-1.0","1.2"
"3","2016","11","22","4","26","10","51.51343436","-0.08013995","-1.0","1.2"
"4","2016","11","22","4","26","11","51.51343436","-0.08013995","-1.0","1.4"
"5","2016","11","22","4","26","12","51.51343784","-0.08013232","-1.0","1.8"
"6","2016","11","22","4","26","13","51.51344311","-0.0801225","-1.0","1.8"
"7","2016","11","22","4","26","14","51.51344311","-0.0801225","-1.0","1.4"
"8","2016","11","22","4","26","15","51.51344861","-0.08012767","-1.0","1.2"
"9","2016","11","22","4","26","16","51.5134537","-0.08013325","-1.0","1.1"
"10","2016","11","22","4","26","17","51.5134537","-0.08013325","-1.0","1.1"
"11","2016","11","22","4","26","18","51.51345528","-0.08013494","-1.0","1.1"
"12","2016","11","22","4","26","19","51.51345572","-0.08013571","-1.0","1.1"
"13","2016","11","22","4","26","20","51.51345612","-0.08013648","-1.0","1.1"
"14","2016","11","22","4","26","21","51.51345612","-0.08013648","-1.0","1.1"
"15","2016","11","22","4","26","22","51.51345643","-0.08013703","-1.0","1.1"
"16","2016","11","22","4","26","23","51.51345671","-0.08013762","-1.0","1.4"
"17","2016","11","22","4","26","24","51.5134572","-0.08013822","-1.0","1.4"
"18","2016","11","22","4","26","25","51.5134572","-0.08013822","-1.0","1.4"
"19","2016","11","22","4","26","26","51.51345763","-0.08013836","-1.0","1.4"
"20","2016","11","22","4","26","27","51.51345763","-0.08013836","-1.0","1.4"
"21","2016","11","22","4","26","28","51.51345794","-0.08013851","-1.0","1.4"
"22","2016","11","22","4","26","29","51.51345794","-0.08013851","-1.0","1.4"
"23","2016","11","22","4","26","30","51.51345807","-0.08013861","-1.0","1.4"
"24","2016","11","22","4","26","31","51.5134582","-0.08013863","-1.0","1.4"
"25","2016","11","22","4","26","32","51.51345833","-0.08013855","-1.0","1.8"
"26","2016","11","22","4","26","33","51.51345844","-0.08013836","-1.0","1.4"
"27","2016","11","22","4","26","34","51.51345862","-0.08013818","-1.0","1.4"
"28","2016","11","22","4","26","35","51.51345916","-0.08013797","-1.0","1.4"
"29","2016","11","22","4","26","36","51.51345939","-0.08013803","-1.0","1.4"
"30","2016","11","22","4","26","37","51.51345939","-0.08013803","-1.0","1.4"
"31","2016","11","22","4","26","38","51.51345976","-0.08013798","-1.0","1.4"
"32","2016","11","22","4","26","39","51.51345989","-0.0801379","-1.0","1.4"
"33","2016","11","22","4","26","40","51.51345993","-0.08013771","-1.0","1.4"
"34","2016","11","22","4","26","41","51.51345993","-0.08013771","-1.0","1.4"
"35","2016","11","22","4","26","42","51.51345989","-0.0801375","-1.0","1.4"
"36","2016","11","22","4","26","43","51.51345984","-0.08013727","-1.0","1.4"
"37","2016","11","22","4","26","44","51.51345978","-0.08013709","-1.0","1.4"
