obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,6,1,302.0,35.0,14.8
2,1,9,1,201.0,37.0,16.9
3,1,17,1,239.0,39.0,25.9
4,1,19,1,268.0,42.0,21.4
5,1,23,1,171.0,63.0,13.2
6,1,31,1,46.0,19.0,18.4
7,1,1,1,136.0,28.0,0.0
8,1,11,1,153.0,7.0,0.0
9,1,12,1,326.0,5.0,0.0
10,1,22,1,84.0,40.0,0.0
11,1,25,1,0.0,0.0,0.0
12,1,10,3,35.0,19.0,14.3
13,1,2,3,268.0,66.0,20.2
14,1,18,3,322.0,33.0,13.5
15,1,1,3,49.0,45.0,21.9
16,1,17,3,246.0,65.0,16.1
17,1,3,3,246.0,15.0,16.7
18,1,9,3,344.0,1.0,0.0
19,1,11,3,87.0,13.0,0.0
20,1,24,3,178.0,28.0,0.0
21,1,8,3,0.0,0.0,0.0
22,1,5,5,115.0,8.0,0.0
23,1,7,5,53.0,11.0,0.0
24,1,9,5,56.0,4.0,0.0
25,1,10,5,78.0,9.0,0.0
26,1,12,5,314.0,26.0,0.0
27,1,15,5,49.0,3.0,0.0
28,1,17,5,30.0,9.0,0.0
29,1,136,2,0.0,0.0,30.8
30,1,136,2,0.0,0.0,30.8
31,2,6,1,302.0,35.0,14.8
32,2,9,1,201.0,37.0,16.9
33,2,17,1,239.0,39.0,28.0
34,2,19,1,268.0,42.0,20.7
35,2,23,1,171.0,63.0,13.2
36,2,31,1,46.0,19.0,19.4
37,2,1,1,136.0,28.0,0.0
38,2,11,1,153.0,7.0,0.0
39,2,12,1,326.0,5.0,0.0
40,2,22,1,84.0,40.0,0.0
41,2,25,1,0.0,0.0,0.0
42,2,10,3,35.0,19.0,14.3
43,2,2,3,268.0,66.0,21.2
44,2,18,3,322.0,33.0,13.5
45,2,1,3,49.0,45.0,22.5
46,2,17,3,246.0,65.0,16.1
47,2,3,3,246.0,15.0,16.0
48,2,9,3,344.0,1.0,0.0
49,2,11,3,87.0,13.0,0.0
50,2,24,3,178.0,28.0,0.0
51,2,8,3,0.0,0.0,0.0
52,2,5,5,115.0,8.0,0.0
53,2,7,5,53.0,11.0,0.0
54,2,9,5,56.0,4.0,0.0
55,2,10,5,78.0,9.0,0.0
56,2,12,5,314.0,26.0,0.0
57,2,15,5,49.0,3.0,0.0
58,2,17,5,30.0,9.0,0.0
59,2,136,2,0.0,0.0,30.8
60,2,136,2,0.0,0.0,30.8
61,3,6,1,302.0,35.0,14.8
62,3,9,1,201.0,37.0,16.2
63,3,17,1,239.0,39.0,27.3
64,3,19,1,268.0,42.0,20.8
65,3,23,1,171.0,63.0,13.2
66,3,31,1,46.0,19.0,17.9
67,3,1,1,136.0,28.0,0.0
68,3,11,1,153.0,7.0,0.0
69,3,12,1,326.0,5.0,0.0
70,3,22,1,84.0,40.0,0.0
71,3,25,1,0.0,0.0,0.0
72,3,10,3,35.0,19.0,18.2
73,3,2,3,268.0,66.0,18.5
74,3,18,3,322.0,33.0,14.8
75,3,1,3,49.0,45.0,21.8
76,3,17,3,246.0,65.0,15.1
77,3,3,3,246.0,15.0,16.0
78,3,9,3,344.0,1.0,0.0
79,3,11,3,87.0,13.0,0.0
80,3,24,3,178.0,28.0,0.0
81,3,8,3,0.0,0.0,0.0
82,3,5,5,115.0,8.0,0.0
83,3,7,5,53.0,11.0,0.0
84,3,9,5,56.0,4.0,0.0
85,3,10,5,78.0,9.0,0.0
86,3,12,5,314.0,26.0,0.0
87,3,15,5,49.0,3.0,0.0
88,3,17,5,30.0,9.0,0.0
