e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,8,20,9,14,49,51.48167824,-0.0092325,-1.0,-1.0
2,2017,8,20,9,14,50,51.48167824,-0.0092325,-1.0,-1.0
3,2017,8,20,9,14,51,51.48167824,-0.0092325,-1.0,-1.0
4,2017,8,20,9,14,52,51.48167824,-0.0092325,-1.0,-1.0
5,2017,8,20,9,14,53,51.48167824,-0.0092325,-1.0,-1.0
6,2017,8,20,9,14,54,51.48167824,-0.0092325,-1.0,-1.0
7,2017,8,20,9,14,55,51.48167824,-0.0092325,-1.0,-1.0
8,2017,8,20,9,14,56,51.48167824,-0.0092325,-1.0,-1.0
9,2017,8,20,9,14,57,51.48167824,-0.0092325,-1.0,-1.0
10,2017,8,20,9,14,58,51.48167824,-0.0092325,-1.0,-1.0
11,2017,8,20,9,14,59,51.48167824,-0.0092325,-1.0,-1.0
12,2017,8,20,9,15,0,51.48167824,-0.0092325,-1.0,-1.0
13,2017,8,20,9,15,1,51.48167824,-0.0092325,-1.0,-1.0
14,2017,8,20,9,15,2,51.48167824,-0.0092325,-1.0,-1.0
15,2017,8,20,9,15,3,51.48167824,-0.0092325,-1.0,-1.0
16,2017,8,20,9,15,4,51.48167824,-0.0092325,-1.0,-1.0
17,2017,8,20,9,15,5,51.48167824,-0.0092325,-1.0,-1.0
18,2017,8,20,9,15,6,51.48167824,-0.0092325,-1.0,-1.0
19,2017,8,20,9,15,7,51.48167824,-0.0092325,-1.0,-1.0
20,2017,8,20,9,15,8,51.48167824,-0.0092325,-1.0,-1.0
21,2017,8,20,9,15,9,51.48167824,-0.0092325,-1.0,-1.0
22,2017,8,20,9,15,10,51.48167824,-0.0092325,-1.0,-1.0
23,2017,8,20,9,15,11,51.48167824,-0.0092325,-1.0,-1.0
24,2017,8,20,9,15,12,51.48167824,-0.0092325,-1.0,-1.0
25,2017,8,20,9,15,13,51.48167824,-0.0092325,-1.0,-1.0
26,2017,8,20,9,15,14,51.48167824,-0.0092325,-1.0,-1.0
27,2017,8,20,9,15,15,51.48167824,-0.0092325,-1.0,-1.0
28,2017,8,20,9,15,16,51.48167824,-0.0092325,-1.0,-1.0
29,2017,8,20,9,15,17,51.48167824,-0.0092325,-1.0,-1.0
30,2017,8,20,9,15,18,51.48167824,-0.0092325,-1.0,-1.0
31,2017,8,20,9,15,19,51.48167824,-0.0092325,-1.0,-1.0
32,2017,8,20,9,15,20,51.48167824,-0.0092325,-1.0,-1.0
33,2017,8,20,9,15,21,51.48167824,-0.0092325,-1.0,-1.0
34,2017,8,20,9,15,22,51.48167824,-0.0092325,-1.0,-1.0
35,2017,8,20,9,15,23,51.48167824,-0.0092325,-1.0,-1.0
36,2017,8,20,9,15,24,51.48167824,-0.0092325,-1.0,-1.0
37,2017,8,20,9,15,25,51.48167824,-0.0092325,-1.0,-1.0
38,2017,8,20,9,15,26,51.48167824,-0.0092325,-1.0,-1.0
39,2017,8,20,9,15,27,51.48167824,-0.0092325,-1.0,-1.0
40,2017,8,20,9,15,28,51.48167824,-0.0092325,-1.0,-1.0
41,2017,8,20,9,15,29,51.48167824,-0.0092325,-1.0,-1.0
42,2017,8,20,9,15,30,51.48167824,-0.0092325,-1.0,-1.0
43,2017,8,20,9,15,31,51.48167824,-0.0092325,-1.0,-1.0
44,2017,8,20,9,15,32,51.48167824,-0.0092325,-1.0,-1.0
45,2017,8,20,9,15,33,51.48167824,-0.0092325,-1.0,-1.0
46,2017,8,20,9,15,34,51.48167824,-0.0092325,-1.0,-1.0
47,2017,8,20,9,15,35,51.48167824,-0.0092325,-1.0,-1.0
48,2017,8,20,9,15,36,51.48167824,-0.0092325,-1.0,-1.0
49,2017,8,20,9,15,37,51.48167824,-0.0092325,-1.0,-1.0
50,2017,8,20,9,15,38,51.48167824,-0.0092325,-1.0,-1.0
51,2017,8,20,9,15,39,51.48167824,-0.0092325,-1.0,-1.0
52,2017,8,20,9,15,40,51.48167824,-0.0092325,-1.0,-1.0
53,2017,8,20,9,15,41,51.48167824,-0.0092325,-1.0,-1.0
54,2017,8,20,9,15,42,51.48167824,-0.0092325,-1.0,-1.0
55,2017,8,20,9,15,43,51.48167655,-0.00923431,-1.0,1.9
56,2017,8,20,9,15,44,51.4816765,-0.00923436,-1.0,1.9
