e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,7,21,11,30,6,-1.0,-1.0,-1.0,1.3
2,2017,7,21,11,30,7,51.48367309,-0.00956472,-1.0,1.3
3,2017,7,21,11,30,8,51.48366615,-0.0095666,-1.0,1.3
4,2017,7,21,11,30,9,51.48365538,-0.00957522,-1.0,1.3
5,2017,7,21,11,30,10,51.48365538,-0.00957522,-1.0,1.3
6,2017,7,21,11,30,11,51.48365173,-0.00958011,-1.0,1.3
7,2017,7,21,11,30,12,51.48364866,-0.00958506,-1.0,1.3
8,2017,7,21,11,30,13,51.4836429,-0.00959716,-1.0,1.3
9,2017,7,21,11,30,14,51.48363444,-0.00960844,-1.0,1.3
10,2017,7,21,11,30,15,51.48327501,-0.00966231,-1.0,1.3
11,2017,7,21,11,30,16,51.48324725,-0.00965822,-1.0,1.2
12,2017,7,21,11,30,17,51.4832673,-0.00965922,-1.0,1.2
13,2017,7,21,11,30,18,51.48328749,-0.00965897,-1.0,1.2
14,2017,7,21,11,30,19,51.48331761,-0.00963147,-1.0,1.3
15,2017,7,21,11,30,20,51.48331761,-0.00963147,-1.0,1.6
16,2017,7,21,11,30,21,51.48335611,-0.00956331,-1.0,1.6
17,2017,7,21,11,30,22,51.48338667,-0.00950551,-1.0,1.3
18,2017,7,21,11,30,23,51.48341459,-0.00944824,-1.0,1.1
19,2017,7,21,11,30,24,51.48341459,-0.00944824,-1.0,1.2
20,2017,7,21,11,30,25,51.48344347,-0.00936299,-1.0,1.2
21,2017,7,21,11,30,26,51.48344347,-0.00936299,-1.0,0.9
22,2017,7,21,11,30,27,51.48346407,-0.00930503,-1.0,0.9
23,2017,7,21,11,30,28,51.48346507,-0.0093021,-1.0,0.9
24,2017,7,21,11,30,29,51.48346046,-0.00930654,-1.0,1.8
25,2017,7,21,11,30,30,51.48346046,-0.00930654,-1.0,1.8
26,2017,7,21,11,30,31,51.48345227,-0.00933721,-1.0,1.8
27,2017,7,21,11,30,32,51.48345227,-0.00933721,-1.0,5.6
28,2017,7,21,11,30,33,51.48345681,-0.00935934,-1.0,5.7
29,2017,7,21,11,30,34,51.48346772,-0.0093622,-1.0,1.2
30,2017,7,21,11,30,35,51.48346772,-0.0093622,-1.0,1.2
31,2017,7,21,11,30,36,51.48347884,-0.00945177,-1.0,1.2
32,2017,7,21,11,30,37,51.48348083,-0.00950297,-1.0,1.2
33,2017,7,21,11,30,38,51.48348083,-0.00950297,-1.0,1.2
34,2017,7,21,11,30,39,51.48348243,-0.00954911,-1.0,1.2
35,2017,7,21,11,30,40,51.48348152,-0.00965982,-1.0,3.8
36,2017,7,21,11,30,41,51.48348152,-0.00965982,-1.0,13.2
37,2017,7,21,11,30,42,51.48348867,-0.00970419,-1.0,13.2
38,2017,7,21,11,30,43,51.48350762,-0.00976695,-1.0,13.2
39,2017,7,21,11,30,44,51.48350762,-0.00976695,-1.0,3.8
40,2017,7,21,11,30,45,51.48354024,-0.00973958,-1.0,1.7
41,2017,7,21,11,30,46,51.48354772,-0.00971247,-1.0,1.7
42,2017,7,21,11,30,47,51.48354079,-0.00973686,-1.0,1.7
43,2017,7,21,11,30,48,51.48353387,-0.00979926,-1.0,1.8
44,2017,7,21,11,30,49,51.48353026,-0.00985842,-1.0,1.8
45,2017,7,21,11,30,50,51.48352314,-0.00983284,-1.0,4.3
46,2017,7,21,11,30,51,51.48352314,-0.00983284,-1.0,1.7
47,2017,7,21,11,30,52,51.48374323,-0.00974195,-1.0,1.7
48,2017,7,21,11,30,53,51.48372442,-0.00975203,-1.0,1.7
49,2017,7,21,11,30,54,51.48372176,-0.00972541,-1.0,1.4
50,2017,7,21,11,30,55,51.48372176,-0.00972541,-1.0,1.4
51,2017,7,21,11,30,56,51.48371813,-0.00973563,-1.0,1.4
52,2017,7,21,11,30,57,51.48366555,-0.0097752,-1.0,1.4
53,2017,7,21,11,30,58,51.48363281,-0.00982773,-1.0,1.4
54,2017,7,21,11,30,59,51.4835525,-0.00990048,-1.0,1.4
55,2017,7,21,11,31,0,51.48352762,-0.00991374,-1.0,1.3
56,2017,7,21,11,31,1,51.48352762,-0.00991374,-1.0,1.2
57,2017,7,21,11,31,2,51.48350498,-0.00992842,-1.0,1.3
58,2017,7,21,11,31,3,51.48343989,-0.00996586,-1.0,1.3
59,2017,7,21,11,31,4,51.48343989,-0.00996586,-1.0,1.2
60,2017,7,21,11,31,5,51.48341281,-0.00989472,-1.0,1.2
61,2017,7,21,11,31,6,51.48341281,-0.00989472,-1.0,1.2
62,2017,7,21,11,31,7,51.48340571,-0.00988381,-1.0,1.2
63,2017,7,21,11,31,8,51.48340379,-0.00986865,-1.0,1.2
64,2017,7,21,11,31,9,51.483406,-0.0098538,-1.0,1.2
65,2017,7,21,11,31,10,51.48340394,-0.00988997,-1.0,1.2
66,2017,7,21,11,31,11,51.48337313,-0.00995186,-1.0,1.2
67,2017,7,21,11,31,12,51.48337313,-0.00995186,-1.0,1.2
68,2017,7,21,11,31,13,51.48336,-0.00995667,-1.0,1.2
69,2017,7,21,11,31,14,51.48334784,-0.00996237,-1.0,1.0
70,2017,7,21,11,31,15,51.48335139,-0.00993842,-1.0,1.0
71,2017,7,21,11,31,16,51.48336582,-0.00985535,-1.0,1.0
72,2017,7,21,11,31,17,51.48336582,-0.00985535,-1.0,1.0
73,2017,7,21,11,31,18,51.48336416,-0.00981218,-1.0,1.0
74,2017,7,21,11,31,19,51.48337013,-0.00977388,-1.0,1.1
75,2017,7,21,11,31,20,51.48337126,-0.00974559,-1.0,1.1
76,2017,7,21,11,31,21,51.48337126,-0.00974559,-1.0,1.1
77,2017,7,21,11,31,22,51.48337126,-0.00974559,-1.0,1.1
78,2017,7,21,11,31,23,51.48337126,-0.00974559,-1.0,1.3
79,2017,7,21,11,31,24,51.48337126,-0.00974559,-1.0,1.3
80,2017,7,21,11,31,25,51.48337126,-0.00974559,-1.0,1.3
81,2017,7,21,11,31,26,51.48337126,-0.00974559,-1.0,1.3
82,2017,7,21,11,37,56,51.48337126,-0.00974559,-1.0,-1.0
83,2017,7,21,11,37,57,51.48337126,-0.00974559,-1.0,-1.0
84,2017,7,21,11,37,58,51.48337126,-0.00974559,-1.0,-1.0
85,2017,7,21,11,37,59,51.48337126,-0.00974559,-1.0,-1.0
86,2017,7,21,11,38,0,51.48337126,-0.00974559,-1.0,0.8
87,2017,7,21,11,38,1,51.48337126,-0.00974559,-1.0,0.8
