obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,25,1,111.0,28.0,16.3
2,1,26,1,292.0,48.0,17.2
3,1,29,1,61.0,61.0,15.7
4,1,31,1,220.0,56.0,16.0
5,1,2,1,36.0,9.0,0.0
6,1,5,1,64.0,11.0,0.0
7,1,9,1,345.0,2.0,0.0
8,1,16,1,291.0,19.0,0.0
9,1,20,1,108.0,8.0,0.0
10,1,21,1,170.0,35.0,0.0
11,1,8,3,30.0,9.0,15.6
12,1,18,3,219.0,25.0,0.0
13,1,16,3,319.0,31.0,0.0
14,1,24,3,40.0,43.0,0.0
15,1,17,3,212.0,78.0,0.0
16,1,7,3,343.0,9.0,0.0
17,1,5,5,113.0,11.0,0.0
18,1,12,5,54.0,8.0,0.0
19,1,136,2,0.0,0.0,29.0
20,1,5,5,113.0,11.0,0.0
21,2,25,1,111.0,28.0,16.3
22,2,26,1,292.0,48.0,17.3
23,2,29,1,61.0,61.0,15.9
24,2,31,1,220.0,56.0,15.6
25,2,2,1,36.0,9.0,0.0
26,2,5,1,64.0,11.0,0.0
27,2,9,1,345.0,2.0,0.0
28,2,16,1,291.0,19.0,0.0
29,2,20,1,108.0,8.0,0.0
30,2,21,1,170.0,35.0,0.0
31,2,8,3,30.0,9.0,15.1
32,2,18,3,219.0,25.0,0.0
33,2,16,3,319.0,31.0,0.0
34,2,24,3,40.0,43.0,0.0
35,2,17,3,212.0,78.0,0.0
36,2,7,3,343.0,9.0,0.0
37,2,5,5,113.0,11.0,0.0
38,2,12,5,54.0,8.0,0.0
39,2,136,2,0.0,0.0,29.0
40,2,5,5,113.0,11.0,0.0
41,3,25,1,111.0,28.0,15.9
42,3,26,1,292.0,48.0,17.0
43,3,29,1,61.0,61.0,15.7
44,3,31,1,220.0,56.0,15.7
45,3,2,1,36.0,9.0,0.0
46,3,5,1,64.0,11.0,0.0
47,3,9,1,345.0,2.0,0.0
48,3,16,1,291.0,19.0,0.0
49,3,20,1,108.0,8.0,0.0
50,3,21,1,170.0,35.0,0.0
51,3,8,3,30.0,9.0,14.5
52,3,18,3,219.0,25.0,0.0
53,3,16,3,319.0,31.0,0.0
54,3,24,3,40.0,43.0,0.0
55,3,17,3,212.0,78.0,0.0
56,3,7,3,343.0,9.0,0.0
57,3,5,5,113.0,11.0,0.0
58,3,12,5,54.0,8.0,0.0
59,3,136,2,0.0,0.0,29.0
60,3,5,5,113.0,11.0,0.0
61,4,25,1,111.0,28.0,15.9
62,4,26,1,292.0,48.0,16.8
63,4,29,1,61.0,61.0,15.0
64,4,31,1,220.0,56.0,16.0
65,4,2,1,36.0,9.0,0.0
66,4,5,1,64.0,11.0,0.0
67,4,9,1,345.0,2.0,0.0
68,4,16,1,291.0,19.0,0.0
69,4,20,1,108.0,8.0,0.0
70,4,21,1,170.0,35.0,0.0
71,4,7,3,343.0,9.0,12.4
72,4,8,3,30.0,9.0,14.2
73,4,18,3,219.0,25.0,0.0
74,4,16,3,319.0,31.0,0.0
75,4,24,3,40.0,43.0,0.0
76,4,17,3,212.0,78.0,0.0
77,4,5,5,113.0,11.0,0.0
78,4,12,5,54.0,8.0,0.0
79,4,136,2,0.0,0.0,29.0
80,4,5,5,113.0,11.0,0.0
81,5,25,1,111.0,28.0,15.6
82,5,26,1,292.0,48.0,16.5
83,5,29,1,61.0,61.0,14.5
84,5,31,1,220.0,56.0,16.3
85,5,2,1,36.0,9.0,0.0
86,5,5,1,64.0,11.0,0.0
87,5,9,1,345.0,2.0,0.0
88,5,16,1,291.0,19.0,0.0
89,5,20,1,108.0,8.0,0.0
90,5,21,1,170.0,35.0,0.0
91,5,7,3,343.0,9.0,13.0
92,5,8,3,30.0,9.0,13.8
93,5,18,3,219.0,25.0,0.0
94,5,16,3,319.0,31.0,0.0
95,5,24,3,40.0,43.0,0.0
96,5,17,3,212.0,78.0,0.0
97,5,5,5,113.0,11.0,0.0
98,5,12,5,54.0,8.0,0.0
99,5,136,2,0.0,0.0,29.0
100,5,5,5,113.0,11.0,0.0
101,6,25,1,111.0,28.0,15.6
102,6,26,1,292.0,48.0,16.4
103,6,29,1,61.0,61.0,14.1
104,6,31,1,220.0,56.0,16.6
105,6,2,1,36.0,9.0,0.0
106,6,5,1,64.0,11.0,0.0
107,6,9,1,345.0,2.0,0.0
108,6,16,1,291.0,19.0,0.0
109,6,20,1,108.0,8.0,0.0
110,6,21,1,170.0,35.0,0.0
111,6,7,3,343.0,9.0,13.3
112,6,8,3,30.0,9.0,13.5
113,6,18,3,219.0,25.0,0.0
114,6,16,3,319.0,31.0,0.0
115,6,24,3,40.0,43.0,0.0
116,6,17,3,212.0,78.0,0.0
117,6,5,5,113.0,11.0,0.0
118,6,12,5,54.0,8.0,0.0
119,6,136,2,0.0,0.0,29.0
120,6,5,5,113.0,11.0,0.0
121,7,25,1,111.0,28.0,15.4
122,7,26,1,292.0,48.0,16.4
123,7,29,1,61.0,61.0,14.0
124,7,31,1,220.0,56.0,16.8
125,7,2,1,36.0,9.0,0.0
126,7,5,1,64.0,11.0,0.0
127,7,9,1,345.0,2.0,0.0
128,7,16,1,291.0,19.0,0.0
129,7,20,1,108.0,8.0,0.0
130,7,21,1,170.0,35.0,0.0
131,7,7,3,343.0,9.0,13.3
132,7,8,3,30.0,9.0,12.9
133,7,18,3,219.0,25.0,0.0
134,7,16,3,319.0,31.0,0.0
135,7,24,3,40.0,43.0,0.0
136,7,17,3,212.0,78.0,0.0
137,7,5,5,113.0,11.0,0.0
138,7,12,5,54.0,8.0,0.0
139,7,136,2,0.0,0.0,29.0
140,7,5,5,113.0,11.0,0.0
141,8,25,1,111.0,28.0,15.3
142,8,26,1,292.0,48.0,16.1
143,8,29,1,61.0,61.0,14.0
144,8,31,1,220.0,56.0,16.8
145,8,2,1,36.0,9.0,0.0
146,8,5,1,64.0,11.0,0.0
147,8,9,1,345.0,2.0,0.0
148,8,16,1,291.0,19.0,0.0
149,8,20,1,108.0,8.0,0.0
150,8,21,1,170.0,35.0,0.0
151,8,7,3,343.0,9.0,13.3
152,8,8,3,30.0,9.0,12.9
153,8,18,3,219.0,25.0,0.0
154,8,16,3,319.0,31.0,0.0
155,8,24,3,40.0,43.0,0.0
156,8,17,3,212.0,78.0,0.0
157,8,5,5,113.0,11.0,0.0
158,8,12,5,54.0,8.0,0.0
159,8,136,2,0.0,0.0,29.0
160,8,5,5,113.0,11.0,0.0
161,9,25,1,111.0,28.0,15.3
162,9,26,1,292.0,48.0,16.1
163,9,29,1,61.0,61.0,14.0
164,9,31,1,220.0,56.0,17.2
165,9,2,1,36.0,9.0,0.0
166,9,5,1,64.0,11.0,0.0
167,9,9,1,345.0,2.0,0.0
168,9,16,1,291.0,19.0,0.0
169,9,20,1,108.0,8.0,0.0
170,9,21,1,170.0,35.0,0.0
171,9,7,3,343.0,9.0,13.3
172,9,8,3,30.0,9.0,12.9
173,9,18,3,219.0,25.0,0.0
174,9,16,3,319.0,31.0,0.0
175,9,24,3,40.0,43.0,0.0
176,9,17,3,212.0,78.0,0.0
177,9,5,5,113.0,11.0,0.0
178,9,12,5,54.0,8.0,0.0
179,9,136,2,0.0,0.0,29.0
180,9,5,5,113.0,11.0,0.0
181,10,23,1,320.0,10.0,19.1
182,10,25,1,111.0,28.0,15.3
183,10,26,1,292.0,48.0,16.1
184,10,29,1,61.0,61.0,14.0
185,10,31,1,220.0,56.0,17.2
186,10,2,1,36.0,9.0,0.0
187,10,5,1,64.0,11.0,0.0
188,10,9,1,345.0,2.0,0.0
189,10,20,1,108.0,8.0,0.0
190,10,21,1,170.0,35.0,0.0
191,10,7,3,343.0,9.0,13.3
192,10,8,3,30.0,9.0,12.9
193,10,18,3,219.0,25.0,0.0
194,10,16,3,319.0,31.0,0.0
195,10,24,3,40.0,43.0,0.0
196,10,17,3,212.0,78.0,0.0
197,10,5,5,113.0,11.0,0.0
198,10,12,5,54.0,8.0,0.0
199,10,136,2,0.0,0.0,29.0
200,10,5,5,113.0,11.0,0.0
201,11,23,1,320.0,10.0,19.1
202,11,25,1,111.0,28.0,15.3
203,11,26,1,292.0,48.0,16.1
204,11,29,1,61.0,61.0,14.0
205,11,31,1,220.0,56.0,17.2
206,11,2,1,36.0,9.0,0.0
207,11,5,1,64.0,11.0,0.0
208,11,9,1,345.0,2.0,0.0
209,11,20,1,108.0,8.0,0.0
210,11,21,1,170.0,35.0,0.0
211,11,7,3,343.0,9.0,15.6
212,11,8,3,30.0,9.0,12.9
213,11,18,3,219.0,25.0,0.0
214,11,16,3,319.0,31.0,0.0
215,11,24,3,40.0,43.0,0.0
216,11,17,3,212.0,78.0,0.0
217,11,5,5,113.0,11.0,0.0
218,11,12,5,54.0,8.0,0.0
219,11,136,2,0.0,0.0,29.0
220,11,5,5,113.0,11.0,0.0
221,12,23,1,320.0,10.0,17.2
222,12,25,1,111.0,28.0,15.3
223,12,26,1,292.0,48.0,16.1
224,12,29,1,61.0,61.0,14.0
225,12,31,1,220.0,56.0,16.6
226,12,2,1,36.0,9.0,0.0
227,12,5,1,64.0,11.0,0.0
228,12,9,1,345.0,2.0,0.0
229,12,20,1,108.0,8.0,0.0
230,12,21,1,170.0,35.0,0.0
231,12,7,3,343.0,9.0,15.6
232,12,8,3,30.0,9.0,12.9
233,12,18,3,219.0,25.0,0.0
234,12,16,3,319.0,31.0,0.0
235,12,24,3,40.0,43.0,0.0
236,12,17,3,212.0,78.0,0.0
237,12,5,5,113.0,11.0,0.0
238,12,12,5,54.0,8.0,0.0
239,12,136,2,0.0,0.0,29.0
240,12,5,5,113.0,11.0,0.0
241,13,23,1,320.0,10.0,17.8
242,13,25,1,111.0,28.0,15.3
243,13,26,1,292.0,48.0,16.1
244,13,29,1,61.0,61.0,14.0
245,13,31,1,220.0,56.0,16.6
246,13,2,1,36.0,9.0,0.0
247,13,5,1,64.0,11.0,0.0
248,13,9,1,345.0,2.0,0.0
249,13,20,1,108.0,8.0,0.0
250,13,21,1,170.0,35.0,0.0
251,13,7,3,343.0,9.0,15.6
252,13,8,3,30.0,9.0,12.9
253,13,18,3,219.0,25.0,0.0
254,13,16,3,319.0,31.0,0.0
255,13,24,3,40.0,43.0,0.0
256,13,17,3,212.0,78.0,0.0
257,13,5,5,113.0,11.0,0.0
258,13,12,5,54.0,8.0,0.0
259,13,136,2,0.0,0.0,29.0
260,13,5,5,113.0,11.0,0.0
261,14,23,1,320.0,10.0,18.4
262,14,25,1,111.0,28.0,15.3
263,14,26,1,292.0,48.0,16.1
264,14,29,1,61.0,61.0,13.8
265,14,31,1,220.0,56.0,16.6
266,14,2,1,36.0,9.0,0.0
267,14,5,1,64.0,11.0,0.0
268,14,9,1,345.0,2.0,0.0
269,14,20,1,108.0,8.0,0.0
270,14,21,1,170.0,35.0,0.0
271,14,7,3,343.0,9.0,16.4
272,14,8,3,30.0,9.0,12.9
273,14,18,3,219.0,25.0,0.0
274,14,16,3,319.0,31.0,0.0
275,14,24,3,40.0,43.0,0.0
276,14,17,3,212.0,78.0,0.0
