obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,3,1,217.0,21.0,21.7
2,1,8,1,160.0,51.0,33.5
3,1,10,1,52.0,21.0,14.6
4,1,11,1,274.0,75.0,27.5
5,1,14,1,105.0,31.0,16.2
6,1,22,1,210.0,48.0,31.7
7,1,27,1,146.0,17.0,26.3
8,1,28,1,292.0,32.0,30.7
9,1,32,1,82.0,35.0,25.6
10,1,17,1,312.0,6.0,0.0
11,1,24,1,15.0,2.0,0.0
12,1,10,3,286.0,12.0,14.0
13,1,18,3,119.0,24.0,17.7
14,1,5,3,192.0,20.0,18.7
15,1,20,3,312.0,37.0,20.9
16,1,19,3,75.0,76.0,26.4
17,1,3,3,42.0,41.0,28.3
18,1,4,3,150.0,66.0,17.6
19,1,12,3,0.0,0.0,0.0
20,1,5,5,115.0,9.0,0.0
21,1,120,2,0.0,0.0,30.3
22,1,136,2,0.0,0.0,33.8
23,2,3,1,217.0,21.0,23.8
24,2,8,1,160.0,51.0,35.8
25,2,10,1,52.0,21.0,14.4
26,2,11,1,274.0,75.0,26.0
27,2,14,1,105.0,31.0,19.5
28,2,22,1,210.0,48.0,29.1
29,2,27,1,146.0,17.0,26.8
30,2,28,1,292.0,32.0,32.8
31,2,32,1,82.0,35.0,26.6
32,2,17,1,312.0,6.0,0.0
33,2,24,1,15.0,2.0,0.0
34,2,10,3,286.0,12.0,13.8
35,2,18,3,119.0,24.0,19.7
36,2,5,3,192.0,20.0,21.5
37,2,20,3,312.0,37.0,20.5
38,2,19,3,75.0,76.0,25.2
39,2,3,3,42.0,41.0,27.7
40,2,4,3,150.0,66.0,27.3
41,2,12,3,0.0,0.0,0.0
42,2,5,5,115.0,9.0,0.0
43,2,120,2,0.0,0.0,30.3
44,2,136,2,0.0,0.0,33.8
45,3,3,1,217.0,21.0,20.9
46,3,8,1,160.0,51.0,35.4
47,3,10,1,52.0,21.0,14.7
48,3,11,1,274.0,75.0,24.8
49,3,14,1,105.0,31.0,19.5
50,3,22,1,210.0,48.0,32.8
51,3,27,1,146.0,17.0,23.3
52,3,28,1,292.0,32.0,32.3
53,3,32,1,82.0,35.0,27.1
54,3,17,1,312.0,6.0,0.0
55,3,24,1,15.0,2.0,0.0
56,3,10,3,286.0,12.0,13.6
57,3,18,3,119.0,24.0,21.1
58,3,5,3,192.0,20.0,20.4
59,3,20,3,312.0,37.0,19.6
60,3,19,3,75.0,76.0,20.0
61,3,3,3,42.0,41.0,28.2
62,3,4,3,150.0,66.0,29.9
63,3,12,3,0.0,0.0,0.0
64,3,5,5,115.0,9.0,0.0
65,3,120,2,0.0,0.0,29.4
66,3,136,2,0.0,0.0,33.8
67,4,3,1,217.0,21.0,22.6
68,4,8,1,160.0,51.0,33.2
69,4,10,1,52.0,21.0,14.8
70,4,11,1,274.0,75.0,29.9
71,4,14,1,105.0,31.0,22.8
72,4,22,1,210.0,48.0,28.0
73,4,27,1,146.0,17.0,25.2
74,4,28,1,292.0,32.0,21.3
75,4,32,1,82.0,35.0,26.6
76,4,17,1,312.0,6.0,0.0
77,4,24,1,15.0,2.0,0.0
78,4,10,3,286.0,12.0,13.4
79,4,18,3,119.0,24.0,24.6
80,4,5,3,192.0,20.0,20.0
81,4,20,3,312.0,37.0,19.6
82,4,19,3,75.0,76.0,24.1
83,4,3,3,42.0,41.0,30.9
84,4,4,3,150.0,66.0,29.1
85,4,12,3,0.0,0.0,0.0
86,4,5,5,115.0,9.0,0.0
87,4,120,2,0.0,0.0,29.4
88,4,136,2,0.0,0.0,33.8
89,5,3,1,217.0,21.0,20.8
90,5,8,1,160.0,51.0,36.2
91,5,10,1,52.0,21.0,14.7
92,5,11,1,274.0,75.0,33.0
93,5,14,1,105.0,31.0,26.5
94,5,22,1,210.0,48.0,29.2
95,5,27,1,146.0,17.0,24.8
96,5,28,1,292.0,32.0,26.6
97,5,32,1,82.0,35.0,25.4
98,5,17,1,312.0,6.0,0.0
99,5,24,1,15.0,2.0,0.0
100,5,10,3,286.0,12.0,13.2
101,5,18,3,119.0,24.0,23.2
102,5,5,3,192.0,20.0,17.2
103,5,20,3,312.0,37.0,19.6
104,5,19,3,75.0,76.0,25.3
105,5,3,3,42.0,41.0,30.6
106,5,4,3,150.0,66.0,27.6
107,5,12,3,0.0,0.0,0.0
108,5,5,5,115.0,9.0,0.0
109,5,120,2,0.0,0.0,29.4
110,5,136,2,0.0,0.0,33.8
111,6,3,1,217.0,21.0,20.1
112,6,8,1,160.0,51.0,34.4
113,6,10,1,52.0,21.0,21.8
114,6,11,1,274.0,75.0,21.1
115,6,14,1,105.0,31.0,27.9
116,6,22,1,210.0,48.0,32.7
117,6,27,1,146.0,17.0,26.7
118,6,28,1,292.0,32.0,32.3
119,6,32,1,82.0,35.0,24.5
120,6,17,1,312.0,6.0,0.0
121,6,24,1,15.0,2.0,0.0
122,6,10,3,286.0,12.0,13.5
