e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,7,21,11,38,23,51.48337126,-0.00974559,-1.0,0.7
2,2017,7,21,11,38,24,51.4817587,-0.00923804,-1.0,0.7
3,2017,7,21,11,38,25,51.48175212,-0.00923873,-1.0,0.7
4,2017,7,21,11,38,26,51.48173501,-0.00922717,-1.0,0.7
5,2017,7,21,11,38,27,51.48172609,-0.00921922,-1.0,0.7
6,2017,7,21,11,38,28,51.48172284,-0.00921391,-1.0,0.7
7,2017,7,21,11,38,29,51.48172211,-0.00920918,-1.0,0.7
8,2017,7,21,11,38,30,51.48172108,-0.0092046,-1.0,0.7
9,2017,7,21,11,38,31,51.48172085,-0.00920273,-1.0,0.7
10,2017,7,21,11,38,32,51.48172125,-0.0092033,-1.0,0.8
11,2017,7,21,11,38,33,51.48172092,-0.00920538,-1.0,0.7
12,2017,7,21,11,38,34,51.48172092,-0.00920538,-1.0,0.8
13,2017,7,21,11,38,35,51.48172287,-0.00920651,-1.0,0.8
14,2017,7,21,11,38,36,51.48172385,-0.009207,-1.0,0.8
15,2017,7,21,11,38,37,51.48172395,-0.00920673,-1.0,0.8
16,2017,7,21,11,38,38,51.48172382,-0.00920623,-1.0,0.8
17,2017,7,21,11,38,39,51.48172336,-0.00920679,-1.0,0.8
18,2017,7,21,11,38,40,51.48172339,-0.00920706,-1.0,0.9
19,2017,7,21,11,38,41,51.48172327,-0.00920788,-1.0,0.9
20,2017,7,21,11,38,42,51.48172322,-0.00920803,-1.0,0.9
21,2017,7,21,11,38,43,51.48172325,-0.00920806,-1.0,1.0
22,2017,7,21,11,38,44,51.48172323,-0.00920803,-1.0,1.1
23,2017,7,21,11,38,45,51.48172323,-0.00920805,-1.0,1.1
24,2017,7,21,11,38,46,51.4817232,-0.00920807,-1.0,1.1
25,2017,7,21,11,38,47,51.48172321,-0.00920807,-1.0,1.3
26,2017,7,21,11,38,48,51.4817232,-0.00920809,-1.0,1.3
27,2017,7,21,11,38,49,51.48172324,-0.00920839,-1.0,1.2
28,2017,7,21,11,38,50,51.48172331,-0.00920884,-1.0,1.2
29,2017,7,21,11,38,51,51.48172334,-0.00920913,-1.0,0.9
30,2017,7,21,11,38,52,51.48172334,-0.00920927,-1.0,0.8
31,2017,7,21,11,38,53,51.48172335,-0.00920933,-1.0,0.8
32,2017,7,21,11,38,54,51.48172335,-0.00920933,-1.0,0.8
33,2017,7,21,11,38,55,51.48172336,-0.00920934,-1.0,0.8
34,2017,7,21,11,38,56,51.48172339,-0.00920943,-1.0,0.8
