e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,8,17,5,33,29,51.47119946,0.0047823,-1.0,0.9
2,2017,8,17,5,33,30,51.47816441,-0.01309437,-1.0,0.9
3,2017,8,17,5,33,31,51.47816111,-0.01309526,-1.0,0.9
4,2017,8,17,5,33,32,51.47815527,-0.01310887,-1.0,0.9
5,2017,8,17,5,33,33,51.47815163,-0.01311377,-1.0,0.8
6,2017,8,17,5,33,34,51.47814837,-0.01311907,-1.0,0.8
7,2017,8,17,5,33,35,51.47813402,-0.0131538,-1.0,0.8
8,2017,8,17,5,33,36,51.47813382,-0.01315333,-1.0,0.8
9,2017,8,17,5,33,37,51.47813382,-0.01315333,-1.0,0.8
10,2017,8,17,5,33,38,51.4781335,-0.01315365,-1.0,0.8
11,2017,8,17,5,33,39,51.4781335,-0.01315365,-1.0,1.0
12,2017,8,17,5,33,40,51.47813036,-0.01316097,-1.0,1.0
13,2017,8,17,5,33,41,51.47813012,-0.01316089,-1.0,1.0
14,2017,8,17,5,33,42,51.47813012,-0.01316089,-1.0,1.0
15,2017,8,17,5,33,43,51.47813049,-0.01315997,-1.0,0.9
16,2017,8,17,5,33,44,51.47813049,-0.01315997,-1.0,0.9
17,2017,8,17,5,33,45,51.47813253,-0.0131543,-1.0,0.9
18,2017,8,17,5,33,46,51.47813487,-0.01314868,-1.0,0.9
19,2017,8,17,5,33,47,51.47813622,-0.01314487,-1.0,0.9
20,2017,8,17,5,33,48,51.4781347,-0.01314911,-1.0,1.0
21,2017,8,17,5,33,49,51.4781347,-0.01314911,-1.0,0.9
22,2017,8,17,5,33,50,51.47813322,-0.01315249,-1.0,0.9
23,2017,8,17,5,33,51,51.4781351,-0.0131477,-1.0,0.9
24,2017,8,17,5,33,52,51.4781351,-0.0131477,-1.0,0.9
25,2017,8,17,5,33,53,51.47813434,-0.01314984,-1.0,0.8
26,2017,8,17,5,33,54,51.47812336,-0.01317861,-1.0,0.8
27,2017,8,17,5,33,55,51.47812161,-0.01318251,-1.0,0.8
28,2017,8,17,5,33,56,51.47811851,-0.01319061,-1.0,0.8
29,2017,8,17,5,33,57,51.47811851,-0.01319061,-1.0,0.8
30,2017,8,17,5,33,58,51.47811736,-0.01319227,-1.0,0.9
31,2017,8,17,5,33,59,51.47811397,-0.01320005,-1.0,0.8
32,2017,8,17,5,34,0,51.47811153,-0.01320666,-1.0,0.9
33,2017,8,17,5,34,1,51.47811053,-0.01320968,-1.0,0.9
34,2017,8,17,5,34,2,51.47811053,-0.01320968,-1.0,0.9
35,2017,8,17,5,34,3,51.47810939,-0.01321186,-1.0,0.9
36,2017,8,17,5,34,4,51.47810876,-0.01321276,-1.0,0.9
37,2017,8,17,5,34,5,51.47810876,-0.01321276,-1.0,0.9
38,2017,8,17,5,34,6,51.47810788,-0.01321535,-1.0,0.9
39,2017,8,17,5,34,7,51.47810788,-0.01321535,-1.0,1.1
40,2017,8,17,5,34,8,51.47810715,-0.0132172,-1.0,1.2
41,2017,8,17,5,34,9,51.47810715,-0.0132172,-1.0,1.2
42,2017,8,17,5,34,10,51.47810788,-0.01321485,-1.0,1.0
43,2017,8,17,5,34,11,51.47810714,-0.01321544,-1.0,0.9
44,2017,8,17,5,34,12,51.47810714,-0.01321544,-1.0,0.8
45,2017,8,17,5,34,13,51.47810989,-0.01320938,-1.0,0.7
46,2017,8,17,5,34,14,51.47809866,-0.01323337,-1.0,0.7
47,2017,8,17,5,34,15,51.47809866,-0.01323337,-1.0,0.7
48,2017,8,17,5,34,16,51.47809894,-0.01323287,-1.0,0.7
49,2017,8,17,5,34,17,51.47809873,-0.01323397,-1.0,0.7
50,2017,8,17,5,34,18,51.47809305,-0.01324694,-1.0,0.7
51,2017,8,17,5,34,19,51.47809305,-0.01324694,-1.0,0.7
52,2017,8,17,5,34,20,51.47809197,-0.01324878,-1.0,0.7
53,2017,8,17,5,34,21,51.47808599,-0.01326239,-1.0,0.7
54,2017,8,17,5,34,22,51.47808607,-0.01326177,-1.0,0.7
55,2017,8,17,5,34,23,51.47808607,-0.01326177,-1.0,0.7
56,2017,8,17,5,34,24,51.47808477,-0.0132644,-1.0,0.7
57,2017,8,17,5,34,25,51.47808428,-0.0132655,-1.0,0.9
58,2017,8,17,5,34,26,51.47807939,-0.01327808,-1.0,0.9
