obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,3,1,239.0,64.0,17.9
2,1,8,1,164.0,7.0,22.9
3,1,11,1,146.0,54.0,30.2
4,1,17,1,302.0,40.0,17.5
5,1,19,1,314.0,21.0,16.8
6,1,22,1,111.0,85.0,16.9
7,1,23,1,182.0,16.0,24.2
8,1,32,1,42.0,21.0,13.2
9,1,14,1,57.0,35.0,0.0
10,1,28,1,253.0,14.0,0.0
11,1,31,1,90.0,6.0,0.0
12,1,2,3,217.0,17.0,12.8
13,1,16,3,343.0,9.0,22.5
14,1,1,3,208.0,77.0,16.7
15,1,23,3,147.0,40.0,28.4
16,1,17,3,319.0,30.0,20.2
17,1,9,3,30.0,8.0,0.0
18,1,24,3,268.0,84.0,0.0
19,1,8,3,42.0,47.0,0.0
20,1,5,5,115.0,9.0,0.0
21,1,9,5,45.0,18.0,0.0
22,1,15,5,40.0,17.0,0.0
23,1,136,2,0.0,0.0,31.1
24,1,136,2,0.0,0.0,34.4
25,2,3,1,239.0,64.0,17.9
26,2,8,1,164.0,7.0,23.9
27,2,11,1,146.0,54.0,27.9
28,2,17,1,302.0,40.0,18.9
29,2,19,1,314.0,21.0,17.9
30,2,22,1,111.0,85.0,16.9
31,2,23,1,182.0,16.0,26.3
32,2,32,1,42.0,21.0,13.2
33,2,14,1,57.0,35.0,0.0
34,2,28,1,253.0,14.0,0.0
35,2,31,1,90.0,6.0,0.0
36,2,2,3,217.0,17.0,12.8
37,2,16,3,343.0,9.0,24.9
38,2,1,3,208.0,77.0,16.7
39,2,23,3,147.0,40.0,25.3
40,2,17,3,319.0,30.0,20.2
41,2,9,3,30.0,8.0,0.0
42,2,24,3,268.0,84.0,0.0
43,2,8,3,42.0,47.0,0.0
44,2,5,5,115.0,9.0,0.0
45,2,9,5,45.0,18.0,0.0
46,2,15,5,40.0,17.0,0.0
47,2,136,2,0.0,0.0,31.1
48,2,136,2,0.0,0.0,34.4
49,3,3,1,239.0,64.0,17.9
50,3,8,1,164.0,7.0,26.9
51,3,11,1,146.0,54.0,23.4
52,3,17,1,302.0,40.0,23.8
53,3,19,1,314.0,21.0,19.2
54,3,22,1,111.0,85.0,16.9
55,3,23,1,182.0,16.0,28.5
56,3,32,1,42.0,21.0,14.1
57,3,14,1,57.0,35.0,0.0
58,3,28,1,253.0,14.0,0.0
59,3,31,1,90.0,6.0,0.0
60,3,2,3,217.0,17.0,12.8
61,3,16,3,343.0,9.0,27.7
62,3,1,3,208.0,77.0,16.7
63,3,23,3,147.0,40.0,26.3
64,3,17,3,319.0,30.0,20.2
65,3,9,3,30.0,8.0,0.0
66,3,24,3,268.0,84.0,0.0
67,3,8,3,42.0,47.0,0.0
68,3,5,5,115.0,9.0,0.0
69,3,9,5,45.0,18.0,0.0
70,3,15,5,40.0,17.0,0.0
71,3,136,2,0.0,0.0,31.1
72,3,136,2,0.0,0.0,34.4
73,4,3,1,239.0,64.0,17.9
74,4,8,1,164.0,7.0,29.7
75,4,11,1,146.0,54.0,25.1
76,4,17,1,302.0,40.0,21.2
77,4,19,1,314.0,21.0,24.0
78,4,22,1,111.0,85.0,16.9
79,4,23,1,182.0,16.0,25.9
80,4,32,1,42.0,21.0,14.1
81,4,14,1,57.0,35.0,0.0
82,4,28,1,253.0,14.0,0.0
83,4,31,1,90.0,6.0,0.0
84,4,2,3,217.0,17.0,13.3
85,4,16,3,343.0,9.0,26.5
86,4,1,3,208.0,77.0,16.7
87,4,23,3,147.0,40.0,24.7
88,4,17,3,319.0,30.0,14.3
89,4,8,3,42.0,47.0,13.6
90,4,9,3,30.0,8.0,0.0
91,4,24,3,268.0,84.0,0.0
92,4,5,5,115.0,9.0,0.0
93,4,9,5,45.0,18.0,0.0
94,4,15,5,40.0,17.0,0.0
95,4,136,2,0.0,0.0,31.1
96,4,136,2,0.0,0.0,34.4
97,5,3,1,239.0,64.0,17.0
98,5,8,1,164.0,7.0,30.2
99,5,11,1,146.0,54.0,26.0
