e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,8,19,11,29,41,51.48091803,-0.00517639,-1.0,-1.0
2,2017,8,19,11,29,42,51.48091803,-0.00517639,-1.0,-1.0
3,2017,8,19,11,29,43,51.48091803,-0.00517639,-1.0,-1.0
4,2017,8,19,11,29,44,51.48091803,-0.00517639,-1.0,-1.0
5,2017,8,19,11,29,45,51.48091803,-0.00517639,-1.0,-1.0
6,2017,8,19,11,29,46,51.48091803,-0.00517639,-1.0,-1.0
7,2017,8,19,11,29,47,51.48091803,-0.00517639,-1.0,-1.0
8,2017,8,19,11,29,48,51.48091803,-0.00517639,-1.0,-1.0
9,2017,8,19,11,29,49,51.48091803,-0.00517639,-1.0,-1.0
10,2017,8,19,11,29,50,51.48091803,-0.00517639,-1.0,-1.0
11,2017,8,19,11,29,51,51.48091803,-0.00517639,-1.0,-1.0
12,2017,8,19,11,29,52,51.48091803,-0.00517639,-1.0,-1.0
13,2017,8,19,11,29,53,51.48091803,-0.00517639,-1.0,-1.0
14,2017,8,19,11,29,54,51.48091803,-0.00517639,-1.0,-1.0
15,2017,8,19,11,29,55,51.48091803,-0.00517639,-1.0,-1.0
16,2017,8,19,11,29,56,51.48091803,-0.00517639,-1.0,-1.0
17,2017,8,19,11,29,57,51.48091803,-0.00517639,-1.0,-1.0
18,2017,8,19,11,29,58,51.48091803,-0.00517639,-1.0,-1.0
19,2017,8,19,11,29,59,51.48091803,-0.00517639,-1.0,-1.0
20,2017,8,19,11,30,0,51.48091803,-0.00517639,-1.0,-1.0
21,2017,8,19,11,30,1,51.48091803,-0.00517639,-1.0,-1.0
22,2017,8,19,11,30,2,51.48091803,-0.00517639,-1.0,-1.0
23,2017,8,19,11,30,3,51.48091803,-0.00517639,-1.0,-1.0
24,2017,8,19,11,30,4,51.48091803,-0.00517639,-1.0,-1.0
25,2017,8,19,11,30,5,51.48091803,-0.00517639,-1.0,-1.0
26,2017,8,19,11,30,6,51.48091803,-0.00517639,-1.0,-1.0
27,2017,8,19,11,30,7,51.48091803,-0.00517639,-1.0,-1.0
28,2017,8,19,11,30,8,51.48091803,-0.00517639,-1.0,-1.0
29,2017,8,19,11,30,9,51.48091803,-0.00517639,-1.0,-1.0
30,2017,8,19,11,30,10,51.48091803,-0.00517639,-1.0,-1.0
31,2017,8,19,11,30,11,51.48091803,-0.00517639,-1.0,-1.0
32,2017,8,19,11,30,12,51.48091803,-0.00517639,-1.0,-1.0
33,2017,8,19,11,30,13,51.48091803,-0.00517639,-1.0,-1.0
34,2017,8,19,11,30,14,51.48091803,-0.00517639,-1.0,-1.0
35,2017,8,19,11,30,15,51.48091803,-0.00517639,-1.0,-1.0
