obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,10,1,156.0,7.0,15.1
2,1,18,1,130.0,25.0,23.4
3,1,21,1,85.0,66.0,16.4
4,1,26,1,177.0,70.0,18.1
5,1,5,1,22.0,4.0,0.0
6,1,8,1,270.0,8.0,0.0
7,1,16,1,285.0,70.0,0.0
8,1,20,1,59.0,26.0,0.0
9,1,27,1,272.0,42.0,0.0
10,1,29,1,81.0,11.0,0.0
11,1,31,1,194.0,7.0,0.0
12,1,12,3,180.0,17.0,16.1
13,1,6,3,28.0,18.0,0.0
14,1,22,3,52.0,39.0,0.0
15,1,13,3,237.0,60.0,0.0
16,1,15,3,0.0,0.0,0.0
17,1,24,3,251.0,23.0,0.0
18,1,23,3,288.0,70.0,0.0
19,1,7,3,80.0,19.0,0.0
20,1,8,3,0.0,0.0,0.0
21,1,5,5,113.0,11.0,0.0
22,1,6,5,53.0,13.0,0.0
23,1,9,5,80.0,9.0,0.0
24,1,11,5,49.0,79.0,0.0
25,1,12,5,73.0,22.0,0.0
26,1,13,5,60.0,2.0,0.0
27,1,15,5,77.0,3.0,0.0
28,1,193,4,0.0,0.0,19.5
29,1,193,4,0.0,0.0,19.5
30,2,10,1,156.0,7.0,15.1
31,2,18,1,130.0,25.0,23.6
32,2,21,1,85.0,66.0,16.2
33,2,26,1,177.0,70.0,18.6
34,2,29,1,81.0,11.0,13.1
35,2,5,1,22.0,4.0,0.0
36,2,8,1,270.0,8.0,0.0
37,2,16,1,285.0,70.0,0.0
38,2,20,1,59.0,26.0,0.0
39,2,27,1,272.0,42.0,0.0
40,2,31,1,194.0,7.0,0.0
41,2,12,3,180.0,17.0,16.5
42,2,6,3,28.0,18.0,0.0
43,2,22,3,52.0,39.0,0.0
44,2,13,3,237.0,60.0,0.0
45,2,15,3,0.0,0.0,0.0
46,2,24,3,251.0,23.0,0.0
47,2,23,3,288.0,70.0,0.0
48,2,7,3,80.0,19.0,0.0
49,2,8,3,0.0,0.0,0.0
50,2,5,5,113.0,11.0,0.0
51,2,6,5,53.0,13.0,0.0
52,2,9,5,80.0,9.0,0.0
53,2,11,5,49.0,79.0,0.0
54,2,12,5,73.0,22.0,0.0
55,2,13,5,60.0,2.0,0.0
56,2,15,5,77.0,3.0,0.0
57,2,193,4,0.0,0.0,19.5
58,2,193,4,0.0,0.0,19.5
59,3,10,1,156.0,7.0,15.1
60,3,18,1,130.0,25.0,18.6
61,3,21,1,85.0,66.0,15.8
62,3,26,1,177.0,70.0,18.6
63,3,29,1,81.0,11.0,13.2
64,3,5,1,22.0,4.0,0.0
65,3,8,1,270.0,8.0,0.0
66,3,16,1,285.0,70.0,0.0
67,3,20,1,59.0,26.0,0.0
68,3,27,1,272.0,42.0,0.0
69,3,31,1,194.0,7.0,0.0
70,3,12,3,180.0,17.0,16.2
71,3,6,3,28.0,18.0,0.0
72,3,22,3,52.0,39.0,0.0
73,3,13,3,237.0,60.0,0.0
74,3,15,3,0.0,0.0,0.0
75,3,24,3,251.0,23.0,0.0
76,3,23,3,288.0,70.0,0.0
77,3,7,3,80.0,19.0,0.0
78,3,8,3,0.0,0.0,0.0
79,3,5,5,113.0,11.0,0.0
80,3,6,5,53.0,13.0,0.0
81,3,9,5,80.0,9.0,0.0
82,3,11,5,49.0,79.0,0.0
83,3,12,5,73.0,22.0,0.0
84,3,13,5,60.0,2.0,0.0
85,3,15,5,77.0,3.0,0.0
86,3,193,4,0.0,0.0,19.5
87,3,193,4,0.0,0.0,19.5
88,4,10,1,156.0,7.0,12.6
89,4,18,1,130.0,25.0,19.2
90,4,21,1,85.0,66.0,15.7
91,4,26,1,177.0,70.0,17.5
92,4,27,1,272.0,42.0,12.4
93,4,29,1,81.0,11.0,13.6
94,4,5,1,22.0,4.0,0.0
95,4,8,1,270.0,8.0,0.0
96,4,16,1,285.0,70.0,0.0
97,4,20,1,59.0,26.0,0.0
98,4,31,1,194.0,7.0,0.0
99,4,12,3,180.0,17.0,16.2
100,4,6,3,28.0,18.0,0.0
101,4,22,3,52.0,39.0,0.0
102,4,13,3,237.0,60.0,0.0
103,4,15,3,0.0,0.0,0.0
104,4,24,3,251.0,23.0,0.0
105,4,23,3,288.0,70.0,0.0
106,4,7,3,80.0,19.0,0.0
107,4,8,3,0.0,0.0,0.0
108,4,5,5,113.0,11.0,0.0
109,4,6,5,53.0,13.0,0.0
110,4,9,5,80.0,9.0,0.0
111,4,11,5,49.0,79.0,0.0
112,4,12,5,73.0,22.0,0.0
113,4,13,5,60.0,2.0,0.0
114,4,15,5,77.0,3.0,0.0
115,4,193,4,0.0,0.0,19.5
116,4,193,4,0.0,0.0,19.5
117,5,10,1,156.0,7.0,12.6
118,5,18,1,130.0,25.0,19.2
119,5,21,1,85.0,66.0,15.6
120,5,26,1,177.0,70.0,17.5
121,5,27,1,272.0,42.0,12.4
122,5,29,1,81.0,11.0,13.6
123,5,5,1,22.0,4.0,0.0
124,5,8,1,270.0,8.0,0.0
125,5,16,1,285.0,70.0,0.0
126,5,20,1,59.0,26.0,0.0
127,5,31,1,194.0,7.0,0.0
128,5,12,3,180.0,17.0,16.3
129,5,6,3,28.0,18.0,0.0
130,5,22,3,52.0,39.0,0.0
131,5,13,3,237.0,60.0,0.0
132,5,15,3,0.0,0.0,0.0
133,5,24,3,251.0,23.0,0.0
134,5,23,3,288.0,70.0,0.0
135,5,7,3,80.0,19.0,0.0
136,5,8,3,0.0,0.0,0.0
137,5,5,5,113.0,11.0,0.0
138,5,6,5,53.0,13.0,0.0
139,5,9,5,80.0,9.0,0.0
140,5,11,5,49.0,79.0,0.0
141,5,12,5,73.0,22.0,0.0
142,5,13,5,60.0,2.0,0.0
143,5,15,5,77.0,3.0,0.0
144,5,193,4,0.0,0.0,19.5
145,5,193,4,0.0,0.0,19.5
146,6,10,1,156.0,7.0,12.6
147,6,18,1,130.0,25.0,19.2
148,6,21,1,85.0,66.0,15.4
149,6,26,1,177.0,70.0,16.6
150,6,27,1,272.0,42.0,12.7
151,6,29,1,81.0,11.0,13.4
152,6,5,1,22.0,4.0,0.0
153,6,8,1,270.0,8.0,0.0
154,6,16,1,285.0,70.0,0.0
155,6,20,1,59.0,26.0,0.0
156,6,31,1,194.0,7.0,0.0
157,6,12,3,180.0,17.0,16.1
158,6,6,3,28.0,18.0,0.0
159,6,22,3,52.0,39.0,0.0
160,6,13,3,237.0,60.0,0.0
161,6,15,3,0.0,0.0,0.0
162,6,24,3,251.0,23.0,0.0
163,6,23,3,288.0,70.0,0.0
