obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,8,1,278.0,79.0,14.2
2,1,11,1,271.0,35.0,17.9
3,1,15,1,18.0,2.0,16.0
4,1,16,1,178.0,14.0,16.1
5,1,18,1,53.0,30.0,18.9
6,1,22,1,203.0,7.0,15.7
7,1,27,1,127.0,59.0,18.3
8,1,30,1,299.0,8.0,16.5
9,1,7,1,268.0,2.0,0.0
10,1,10,1,77.0,54.0,0.0
11,1,14,1,0.0,0.0,0.0
12,1,21,1,74.0,4.0,0.0
13,1,28,1,324.0,12.0,0.0
14,1,32,1,119.0,11.0,0.0
15,1,10,3,333.0,21.0,12.3
16,1,2,3,39.0,34.0,16.6
17,1,18,3,66.0,63.0,22.9
18,1,9,3,271.0,28.0,17.8
19,1,19,3,305.0,48.0,15.0
20,1,17,3,97.0,16.0,18.1
21,1,3,3,116.0,51.0,13.2
22,1,16,3,226.0,6.0,0.0
23,1,4,3,168.0,15.0,0.0
24,1,5,5,113.0,10.0,0.0
25,1,120,2,0.0,0.0,36.6
26,1,5,5,113.0,8.0,0.0
27,2,8,1,278.0,79.0,14.2
28,2,11,1,271.0,35.0,15.4
29,2,15,1,18.0,2.0,16.0
30,2,16,1,178.0,14.0,16.1
31,2,18,1,53.0,30.0,20.0
32,2,22,1,203.0,7.0,16.5
33,2,27,1,127.0,59.0,18.3
34,2,30,1,299.0,8.0,16.5
35,2,7,1,268.0,2.0,0.0
36,2,10,1,77.0,54.0,0.0
37,2,14,1,0.0,0.0,0.0
38,2,21,1,74.0,4.0,0.0
39,2,28,1,324.0,12.0,0.0
40,2,32,1,119.0,11.0,0.0
41,2,10,3,333.0,21.0,12.3
42,2,2,3,39.0,34.0,15.3
43,2,18,3,66.0,63.0,25.0
44,2,9,3,271.0,28.0,19.6
45,2,19,3,305.0,48.0,15.0
46,2,17,3,97.0,16.0,19.2
47,2,3,3,116.0,51.0,13.2
48,2,16,3,226.0,6.0,0.0
49,2,4,3,168.0,15.0,0.0
50,2,5,5,113.0,10.0,0.0
51,2,120,2,0.0,0.0,36.6
52,2,5,5,113.0,8.0,0.0
53,3,8,1,278.0,79.0,14.2
54,3,11,1,271.0,35.0,17.6
55,3,15,1,18.0,2.0,14.6
56,3,16,1,178.0,14.0,16.1
57,3,18,1,53.0,30.0,19.1
58,3,22,1,203.0,7.0,16.5
59,3,27,1,127.0,59.0,13.8
60,3,30,1,299.0,8.0,16.5
61,3,7,1,268.0,2.0,0.0
62,3,10,1,77.0,54.0,0.0
63,3,14,1,0.0,0.0,0.0
64,3,21,1,74.0,4.0,0.0
65,3,28,1,324.0,12.0,0.0
66,3,32,1,119.0,11.0,0.0
67,3,10,3,333.0,21.0,12.3
68,3,2,3,39.0,34.0,15.3
69,3,18,3,66.0,63.0,24.4
70,3,9,3,271.0,28.0,20.3
71,3,19,3,305.0,48.0,15.0
72,3,17,3,97.0,16.0,18.4
73,3,3,3,116.0,51.0,13.2
74,3,16,3,226.0,6.0,0.0
75,3,4,3,168.0,15.0,0.0
76,3,5,5,113.0,10.0,0.0
77,3,120,2,0.0,0.0,36.6
78,3,5,5,113.0,8.0,0.0
79,4,8,1,278.0,79.0,14.2
80,4,11,1,271.0,35.0,17.6
81,4,15,1,18.0,2.0,14.6
82,4,16,1,178.0,14.0,13.5
83,4,18,1,53.0,30.0,20.1
84,4,22,1,203.0,7.0,16.5
85,4,27,1,127.0,59.0,13.8
86,4,30,1,299.0,8.0,14.6
87,4,7,1,268.0,2.0,0.0
88,4,10,1,77.0,54.0,0.0
89,4,14,1,0.0,0.0,0.0
90,4,21,1,74.0,4.0,0.0
91,4,28,1,324.0,12.0,0.0
92,4,32,1,119.0,11.0,0.0
93,4,10,3,333.0,21.0,12.3
94,4,2,3,39.0,34.0,15.3
95,4,18,3,66.0,63.0,23.0
96,4,9,3,271.0,28.0,21.4
97,4,19,3,305.0,48.0,15.0
98,4,17,3,97.0,16.0,18.5
99,4,3,3,116.0,51.0,12.6
100,4,16,3,226.0,6.0,0.0
101,4,4,3,168.0,15.0,0.0
102,4,5,5,113.0,10.0,0.0
103,4,120,2,0.0,0.0,36.6
104,4,5,5,113.0,8.0,0.0
105,5,8,1,278.0,79.0,14.2
106,5,11,1,271.0,35.0,15.7
107,5,15,1,18.0,2.0,14.6
108,5,16,1,178.0,14.0,13.5
109,5,18,1,53.0,30.0,20.1
110,5,22,1,203.0,7.0,16.5
111,5,27,1,127.0,59.0,13.8
112,5,30,1,299.0,8.0,14.6
113,5,7,1,268.0,2.0,0.0
114,5,10,1,77.0,54.0,0.0
115,5,14,1,0.0,0.0,0.0
116,5,21,1,74.0,4.0,0.0
117,5,28,1,324.0,12.0,0.0
118,5,32,1,119.0,11.0,0.0
119,5,10,3,333.0,21.0,12.3
120,5,2,3,39.0,34.0,15.3
121,5,18,3,66.0,63.0,22.5
122,5,9,3,271.0,28.0,20.8
123,5,19,3,305.0,48.0,15.0
124,5,17,3,97.0,16.0,18.5
125,5,3,3,116.0,51.0,12.6
126,5,16,3,226.0,6.0,0.0
127,5,4,3,168.0,15.0,0.0
128,5,5,5,113.0,10.0,0.0
129,5,120,2,0.0,0.0,36.6
130,5,5,5,113.0,8.0,0.0
131,6,8,1,278.0,79.0,14.2
132,6,11,1,271.0,35.0,15.7
133,6,15,1,18.0,2.0,14.6
134,6,16,1,178.0,14.0,13.5
135,6,18,1,53.0,30.0,19.1
136,6,22,1,203.0,7.0,15.4
137,6,27,1,127.0,59.0,13.8
138,6,30,1,299.0,8.0,14.6
139,6,7,1,268.0,2.0,0.0
140,6,10,1,77.0,54.0,0.0
141,6,14,1,0.0,0.0,0.0
142,6,21,1,74.0,4.0,0.0
143,6,28,1,324.0,12.0,0.0
144,6,32,1,119.0,11.0,0.0
145,6,10,3,333.0,21.0,12.3
146,6,2,3,39.0,34.0,15.3
147,6,18,3,66.0,63.0,22.8
148,6,9,3,271.0,28.0,21.0
149,6,19,3,305.0,48.0,15.0
150,6,17,3,97.0,16.0,16.1
