e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,7,21,11,51,10,51.48204668,-0.00936451,-1.0,0.8
2,2017,7,21,11,51,11,51.48077981,-0.00530271,-1.0,0.8
3,2017,7,21,11,51,12,51.48077962,-0.00528642,-1.0,0.8
4,2017,7,21,11,51,13,51.48079467,-0.00528287,-1.0,0.8
5,2017,7,21,11,51,14,51.48080741,-0.00529654,-1.0,0.8
6,2017,7,21,11,51,15,51.48082851,-0.00531588,-1.0,0.9
7,2017,7,21,11,51,16,51.48082851,-0.00531588,-1.0,0.9
8,2017,7,21,11,51,17,51.48083949,-0.00532525,-1.0,0.9
9,2017,7,21,11,51,18,51.48084116,-0.00533836,-1.0,0.9
10,2017,7,21,11,51,19,51.48083628,-0.00535513,-1.0,0.9
11,2017,7,21,11,51,20,51.48083628,-0.00535513,-1.0,1.0
12,2017,7,21,11,51,21,51.48081672,-0.00534306,-1.0,0.9
13,2017,7,21,11,51,22,51.48082659,-0.00534894,-1.0,0.9
14,2017,7,21,11,51,23,51.4808345,-0.0053573,-1.0,0.9
15,2017,7,21,11,51,24,51.4808345,-0.0053573,-1.0,0.9
16,2017,7,21,11,51,25,51.48085088,-0.00539087,-1.0,0.9
17,2017,7,21,11,51,26,51.48084562,-0.00544237,-1.0,0.9
18,2017,7,21,11,51,27,51.48084919,-0.00548964,-1.0,0.9
19,2017,7,21,11,51,28,51.48085953,-0.00552174,-1.0,1.1
20,2017,7,21,11,51,29,51.4808716,-0.00554034,-1.0,1.1
21,2017,7,21,11,51,30,51.48086299,-0.00556435,-1.0,1.0
22,2017,7,21,11,51,31,51.48084937,-0.00557908,-1.0,1.0
23,2017,7,21,11,51,32,51.48084796,-0.00557888,-1.0,1.0
24,2017,7,21,11,51,33,51.48085784,-0.0055616,-1.0,1.2
25,2017,7,21,11,51,34,51.4808541,-0.00556098,-1.0,1.1
26,2017,7,21,11,51,35,51.48086442,-0.00552541,-1.0,1.1
27,2017,7,21,11,51,36,51.48087718,-0.00548516,-1.0,1.2
28,2017,7,21,11,51,37,51.48088294,-0.00544354,-1.0,1.1
29,2017,7,21,11,51,38,51.48087036,-0.00539596,-1.0,1.1
30,2017,7,21,11,51,39,51.4808552,-0.00535151,-1.0,1.0
31,2017,7,21,11,51,40,51.48083624,-0.00530129,-1.0,0.9
32,2017,7,21,11,51,41,51.48082872,-0.00526123,-1.0,1.0
33,2017,7,21,11,51,42,51.48080478,-0.00525688,-1.0,1.0
34,2017,7,21,11,51,43,51.48079286,-0.00524591,-1.0,1.1
35,2017,7,21,11,51,44,51.48080065,-0.00521006,-1.0,1.0
36,2017,7,21,11,51,45,51.48080065,-0.00521006,-1.0,1.0
37,2017,7,21,11,51,46,51.48080546,-0.00516693,-1.0,1.1
38,2017,7,21,11,51,47,51.48081714,-0.00516175,-1.0,1.0
39,2017,7,21,11,51,48,51.48082347,-0.00519039,-1.0,1.3
