obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,5,1,54.0,14.0,0.0
2,1,9,1,338.0,5.0,0.0
3,1,16,1,295.0,29.0,0.0
4,1,20,1,101.0,15.0,0.0
5,1,21,1,165.0,46.0,0.0
6,1,23,1,310.0,9.0,0.0
7,1,25,1,116.0,19.0,0.0
8,1,26,1,292.0,59.0,0.0
9,1,27,1,248.0,4.0,0.0
10,1,29,1,63.0,50.0,0.0
11,1,31,1,209.0,47.0,0.0
12,1,18,3,226.0,36.0,0.0
13,1,16,3,316.0,43.0,0.0
14,1,1,3,64.0,4.0,0.0
15,1,24,3,42.0,32.0,0.0
16,1,17,3,355.0,87.0,0.0
17,1,7,3,333.0,4.0,0.0
18,1,8,3,19.0,12.0,0.0
19,1,5,5,113.0,11.0,0.0
20,1,12,5,0.0,0.0,0.0
21,1,136,2,0.0,0.0,29.0
22,1,12,5,56.0,4.0,0.0
23,2,5,1,54.0,14.0,0.0
24,2,9,1,338.0,5.0,0.0
25,2,16,1,295.0,29.0,0.0
26,2,20,1,101.0,15.0,0.0
27,2,21,1,165.0,46.0,0.0
28,2,23,1,310.0,9.0,0.0
29,2,25,1,116.0,19.0,0.0
30,2,26,1,292.0,59.0,0.0
31,2,27,1,248.0,4.0,0.0
32,2,29,1,63.0,50.0,0.0
33,2,31,1,209.0,47.0,0.0
34,2,18,3,226.0,36.0,0.0
35,2,16,3,316.0,43.0,0.0
36,2,1,3,64.0,4.0,0.0
37,2,24,3,42.0,32.0,0.0
38,2,17,3,355.0,87.0,0.0
39,2,7,3,333.0,4.0,0.0
40,2,8,3,19.0,12.0,0.0
41,2,5,5,113.0,11.0,0.0
42,2,12,5,0.0,0.0,0.0
43,2,136,2,0.0,0.0,29.0
44,2,12,5,56.0,4.0,0.0
45,3,5,1,54.0,14.0,0.0
46,3,9,1,338.0,5.0,0.0
47,3,16,1,295.0,29.0,0.0
48,3,20,1,101.0,15.0,0.0
49,3,21,1,165.0,46.0,0.0
50,3,23,1,310.0,9.0,0.0
51,3,25,1,116.0,19.0,0.0
52,3,26,1,292.0,59.0,0.0
53,3,27,1,248.0,4.0,0.0
54,3,29,1,63.0,50.0,0.0
55,3,31,1,209.0,47.0,0.0
56,3,18,3,226.0,36.0,0.0
57,3,16,3,316.0,43.0,0.0
58,3,1,3,64.0,4.0,0.0
59,3,24,3,42.0,32.0,0.0
60,3,17,3,355.0,87.0,0.0
61,3,7,3,333.0,4.0,0.0
62,3,8,3,19.0,12.0,0.0
63,3,5,5,113.0,11.0,0.0
64,3,12,5,0.0,0.0,0.0
65,3,136,2,0.0,0.0,29.0
66,3,12,5,56.0,4.0,0.0
67,4,5,1,54.0,14.0,0.0
68,4,9,1,338.0,5.0,0.0
69,4,16,1,295.0,29.0,0.0
70,4,20,1,101.0,15.0,0.0
71,4,21,1,165.0,46.0,0.0
72,4,23,1,310.0,9.0,0.0
73,4,25,1,116.0,19.0,0.0
74,4,26,1,292.0,59.0,0.0
75,4,27,1,248.0,4.0,0.0
76,4,29,1,63.0,50.0,0.0
77,4,31,1,209.0,47.0,0.0
78,4,18,3,226.0,36.0,0.0
79,4,16,3,316.0,43.0,0.0
80,4,1,3,64.0,4.0,0.0
81,4,24,3,42.0,32.0,0.0
82,4,17,3,355.0,87.0,0.0
83,4,7,3,333.0,4.0,0.0
84,4,8,3,19.0,12.0,0.0
85,4,5,5,113.0,11.0,0.0
86,4,12,5,0.0,0.0,0.0
87,4,136,2,0.0,0.0,29.0
88,4,12,5,56.0,4.0,0.0
89,5,5,1,54.0,14.0,0.0
90,5,9,1,338.0,5.0,0.0
91,5,16,1,295.0,29.0,0.0
92,5,20,1,101.0,15.0,0.0
93,5,21,1,165.0,46.0,0.0
94,5,23,1,310.0,9.0,0.0
95,5,25,1,116.0,19.0,0.0
96,5,26,1,292.0,59.0,0.0
97,5,27,1,248.0,4.0,0.0
98,5,29,1,63.0,50.0,0.0
99,5,31,1,209.0,47.0,0.0
100,5,18,3,226.0,36.0,0.0
101,5,16,3,316.0,43.0,0.0
102,5,1,3,64.0,4.0,0.0
103,5,24,3,42.0,32.0,0.0
104,5,17,3,355.0,87.0,0.0
105,5,7,3,333.0,4.0,0.0
106,5,8,3,19.0,12.0,0.0
107,5,5,5,113.0,11.0,0.0
108,5,12,5,0.0,0.0,0.0
109,5,136,2,0.0,0.0,29.0
110,5,12,5,56.0,4.0,0.0
111,6,5,1,54.0,14.0,0.0
112,6,9,1,338.0,5.0,0.0
113,6,16,1,295.0,29.0,0.0
114,6,20,1,101.0,15.0,0.0
115,6,21,1,165.0,46.0,0.0
116,6,23,1,310.0,9.0,0.0
117,6,25,1,116.0,19.0,0.0
118,6,26,1,292.0,59.0,0.0
119,6,27,1,248.0,4.0,0.0
120,6,29,1,63.0,50.0,0.0
121,6,31,1,209.0,47.0,0.0
122,6,18,3,226.0,36.0,0.0
123,6,16,3,316.0,43.0,0.0
124,6,1,3,64.0,4.0,0.0
125,6,24,3,42.0,32.0,0.0
126,6,17,3,355.0,87.0,0.0
127,6,7,3,333.0,4.0,0.0
128,6,8,3,19.0,12.0,0.0
129,6,5,5,113.0,11.0,0.0
130,6,12,5,0.0,0.0,0.0
131,6,136,2,0.0,0.0,29.0
132,6,12,5,56.0,4.0,0.0
133,7,5,1,54.0,14.0,0.0
134,7,9,1,338.0,5.0,0.0
135,7,16,1,295.0,29.0,0.0
136,7,20,1,101.0,15.0,0.0
137,7,21,1,165.0,46.0,0.0
138,7,23,1,310.0,9.0,0.0
139,7,25,1,116.0,19.0,0.0
140,7,26,1,292.0,59.0,0.0
