e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,7,21,2,51,8,51.4787377,-0.02603478,-1.0,0.6
2,2017,7,21,2,51,9,51.4787377,-0.02603478,-1.0,0.6
3,2017,7,21,2,51,10,51.47873335,-0.02603863,-1.0,0.6
4,2017,7,21,2,51,11,51.47873335,-0.02603863,-1.0,0.6
5,2017,7,21,2,51,12,51.47873301,-0.02603928,-1.0,0.6
6,2017,7,21,2,51,13,51.47873193,-0.02603531,-1.0,0.6
7,2017,7,21,2,51,14,51.47873193,-0.02603531,-1.0,0.6
8,2017,7,21,2,51,15,51.47873157,-0.02603228,-1.0,0.6
9,2017,7,21,2,51,16,51.47873157,-0.02603228,-1.0,0.6
10,2017,7,21,2,51,17,51.47873183,-0.02603149,-1.0,0.6
11,2017,7,21,2,51,18,51.47873197,-0.0260317,-1.0,0.6
12,2017,7,21,2,51,19,51.47872839,-0.02603033,-1.0,0.6
13,2017,7,21,2,51,20,51.47871251,-0.02603453,-1.0,0.6
14,2017,7,21,2,51,21,51.47870727,-0.02603597,-1.0,0.6
15,2017,7,21,2,51,22,51.47870166,-0.02603828,-1.0,0.7
16,2017,7,21,2,51,23,51.47870166,-0.02603828,-1.0,0.7
17,2017,7,21,2,51,24,51.47869271,-0.02603945,-1.0,0.6
18,2017,7,21,2,51,25,51.47868876,-0.02603685,-1.0,0.6
19,2017,7,21,2,51,26,51.47868876,-0.02603685,-1.0,0.6
20,2017,7,21,2,51,27,51.47867846,-0.0260303,-1.0,0.6
21,2017,7,21,2,51,28,51.47867508,-0.02602869,-1.0,0.6
22,2017,7,21,2,51,29,51.47867173,-0.02602826,-1.0,0.6
23,2017,7,21,2,51,30,51.47866866,-0.02602865,-1.0,0.6
24,2017,7,21,2,51,31,51.47866824,-0.02602932,-1.0,0.6
25,2017,7,21,2,51,32,51.47866826,-0.02603015,-1.0,0.6
26,2017,7,21,2,51,34,51.47866835,-0.02603076,-1.0,0.7
27,2017,7,21,2,51,35,51.47866847,-0.02603137,-1.0,0.8
28,2017,7,21,2,51,36,51.47866848,-0.02603145,-1.0,0.7
29,2017,7,21,2,51,38,51.47866851,-0.02603167,-1.0,0.8
30,2017,7,21,2,51,39,51.47866851,-0.02603167,-1.0,0.7
31,2017,7,21,2,51,40,51.47866854,-0.02603177,-1.0,0.7
32,2017,7,21,2,51,42,51.47866854,-0.02603178,-1.0,0.7
33,2017,7,21,2,51,43,51.47866862,-0.02603192,-1.0,0.7
34,2017,7,21,2,51,44,51.47866862,-0.02603192,-1.0,0.7
35,2017,7,21,2,51,45,51.47866872,-0.02603198,-1.0,0.6
36,2017,7,21,2,51,46,51.47866872,-0.02603198,-1.0,0.6
37,2017,7,21,2,51,47,51.47866885,-0.026032,-1.0,0.6
38,2017,7,21,2,51,48,51.4786689,-0.02603197,-1.0,0.6
39,2017,7,21,2,51,49,51.47866898,-0.02603199,-1.0,0.7
40,2017,7,21,2,51,50,51.47866898,-0.02603199,-1.0,0.7
41,2017,7,21,2,51,51,51.4786691,-0.02603208,-1.0,0.7
42,2017,7,21,2,51,52,51.47866916,-0.02603212,-1.0,0.7
43,2017,7,21,2,51,53,51.47866923,-0.02603213,-1.0,0.7
44,2017,7,21,2,51,54,51.47866923,-0.02603213,-1.0,0.7
45,2017,7,21,2,51,55,51.4786693,-0.02603211,-1.0,0.7
46,2017,7,21,2,51,56,51.47866937,-0.02603213,-1.0,0.7
47,2017,7,21,2,51,57,51.47866937,-0.02603215,-1.0,0.7
48,2017,7,21,2,51,58,51.47866941,-0.02603217,-1.0,0.7
49,2017,7,21,2,51,59,51.47866939,-0.02603215,-1.0,0.7
50,2017,7,21,2,52,0,51.47866939,-0.02603215,-1.0,0.7
51,2017,7,21,2,52,1,51.47866937,-0.02603212,-1.0,0.7
52,2017,7,21,2,52,2,51.47866932,-0.02603206,-1.0,0.7
53,2017,7,21,2,52,3,51.47866929,-0.02603196,-1.0,0.7
54,2017,7,21,2,52,4,51.47866922,-0.02603188,-1.0,0.7
55,2017,7,21,2,52,5,51.47866922,-0.02603184,-1.0,0.7
56,2017,7,21,2,52,6,51.47866924,-0.02603176,-1.0,0.7
57,2017,7,21,2,52,7,51.47866924,-0.02603176,-1.0,0.7
58,2017,7,21,2,52,8,51.47867199,-0.0260282,-1.0,0.7
59,2017,7,21,2,52,9,51.47867646,-0.02601891,-1.0,0.7
60,2017,7,21,2,52,10,51.47867724,-0.02600801,-1.0,0.7
61,2017,7,21,2,52,11,51.4786802,-0.02600051,-1.0,0.7
62,2017,7,21,2,52,12,51.4786802,-0.02600051,-1.0,0.7
63,2017,7,21,2,52,13,51.4786802,-0.02600051,-1.0,0.7
64,2017,7,21,2,52,14,51.4786802,-0.02600051,-1.0,0.7
65,2017,7,21,2,52,15,51.4786802,-0.02600051,-1.0,0.7
66,2017,7,21,2,52,16,51.4786802,-0.02600051,-1.0,0.6
