obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,7,1,302.0,19.0,28.6
2,1,8,1,288.0,40.0,28.5
3,1,10,1,137.0,40.0,30.7
4,1,13,1,19.0,4.0,18.9
5,1,15,1,52.0,7.0,30.2
6,1,16,1,184.0,56.0,28.2
7,1,18,1,94.0,45.0,30.4
8,1,20,1,33.0,6.0,20.7
9,1,21,1,63.0,37.0,23.4
10,1,26,1,167.0,29.0,36.0
11,1,27,1,303.0,78.0,17.7
12,1,30,1,334.0,7.0,29.1
13,1,11,1,254.0,1.0,0.0
14,1,10,3,326.0,27.0,33.6
15,1,2,3,35.0,26.0,31.8
16,1,18,3,59.0,49.0,30.7
17,1,9,3,254.0,45.0,27.1
18,1,16,3,205.0,16.0,27.0
19,1,19,3,300.0,61.0,19.1
20,1,17,3,78.0,3.0,27.3
21,1,3,3,97.0,34.0,24.9
22,1,4,3,146.0,8.0,23.2
23,1,20,3,268.0,10.0,0.0
24,1,5,5,113.0,11.0,19.3
25,1,6,5,0.0,0.0,23.1
26,1,14,5,66.0,33.0,23.1
27,1,120,2,0.0,0.0,31.3
28,1,136,2,0.0,0.0,28.8
29,1,14,5,281.0,28.0,0.0
30,2,7,1,302.0,19.0,28.4
31,2,8,1,288.0,40.0,25.8
32,2,10,1,137.0,40.0,29.1
33,2,13,1,19.0,4.0,14.2
34,2,15,1,52.0,7.0,29.3
35,2,16,1,184.0,56.0,29.6
36,2,18,1,94.0,45.0,28.5
37,2,20,1,33.0,6.0,20.7
38,2,21,1,63.0,37.0,24.5
39,2,26,1,167.0,29.0,35.2
40,2,27,1,303.0,78.0,17.9
41,2,30,1,334.0,7.0,26.3
42,2,11,1,254.0,1.0,0.0
43,2,10,3,326.0,27.0,29.9
44,2,2,3,35.0,26.0,35.9
45,2,18,3,59.0,49.0,29.3
46,2,9,3,254.0,45.0,26.9
47,2,16,3,205.0,16.0,24.9
48,2,19,3,300.0,61.0,17.3
49,2,17,3,78.0,3.0,27.2
50,2,3,3,97.0,34.0,21.0
51,2,4,3,146.0,8.0,24.4
52,2,20,3,268.0,10.0,0.0
53,2,5,5,113.0,11.0,19.3
54,2,6,5,0.0,0.0,31.9
55,2,14,5,66.0,33.0,27.4
56,2,120,2,0.0,0.0,28.9
57,2,136,2,0.0,0.0,28.8
58,2,14,5,281.0,28.0,0.0
59,3,7,1,302.0,19.0,25.1
60,3,8,1,288.0,40.0,27.8
61,3,10,1,137.0,40.0,30.5
62,3,13,1,19.0,4.0,14.2
63,3,15,1,52.0,7.0,32.4
64,3,16,1,184.0,56.0,22.2
65,3,18,1,94.0,45.0,27.1
66,3,20,1,33.0,6.0,16.4
67,3,21,1,63.0,37.0,28.6
68,3,26,1,167.0,29.0,31.8
69,3,27,1,303.0,78.0,19.2
70,3,30,1,334.0,7.0,23.4
71,3,11,1,254.0,1.0,0.0
72,3,10,3,326.0,27.0,30.8
73,3,2,3,35.0,26.0,34.4
74,3,18,3,59.0,49.0,29.1
75,3,9,3,254.0,45.0,26.8
76,3,16,3,205.0,16.0,20.7
77,3,19,3,300.0,61.0,17.9
78,3,17,3,78.0,3.0,23.8
79,3,3,3,97.0,34.0,20.0
80,3,4,3,146.0,8.0,22.0
81,3,20,3,268.0,10.0,0.0
82,3,5,5,113.0,11.0,19.3
83,3,6,5,0.0,0.0,33.6
84,3,14,5,66.0,33.0,33.8
85,3,120,2,0.0,0.0,29.1
86,3,136,2,0.0,0.0,28.8
87,3,14,5,281.0,28.0,0.0
88,4,7,1,302.0,19.0,25.1
89,4,8,1,288.0,40.0,29.9
90,4,10,1,137.0,40.0,27.3
91,4,13,1,19.0,4.0,15.9
92,4,15,1,52.0,7.0,34.0
93,4,16,1,184.0,56.0,26.5
94,4,18,1,94.0,45.0,30.4
95,4,20,1,33.0,6.0,25.2
96,4,21,1,63.0,37.0,28.6
97,4,26,1,167.0,29.0,33.0
98,4,27,1,303.0,78.0,22.3
