e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,8,17,6,8,36,51.47892082,-0.02623181,-1.0,0.7
2,2017,8,17,6,8,37,51.47891292,-0.02622717,-1.0,0.7
3,2017,8,17,6,8,38,51.47889378,-0.02621734,-1.0,0.7
4,2017,8,17,6,8,39,51.47889125,-0.02622185,-1.0,0.7
5,2017,8,17,6,8,40,51.4788844,-0.02620609,-1.0,0.7
6,2017,8,17,6,8,41,51.47888151,-0.02619686,-1.0,0.7
7,2017,8,17,6,8,42,51.47888151,-0.02619686,-1.0,0.7
8,2017,8,17,6,8,43,51.47882499,-0.02615268,-1.0,0.7
9,2017,8,17,6,8,44,51.47880478,-0.02613937,-1.0,0.7
10,2017,8,17,6,8,45,51.47878956,-0.02614094,-1.0,0.7
11,2017,8,17,6,8,46,51.47878409,-0.02616259,-1.0,0.7
12,2017,8,17,6,8,47,51.47878409,-0.02616259,-1.0,0.7
13,2017,8,17,6,8,48,51.47879007,-0.02618459,-1.0,0.7
14,2017,8,17,6,8,49,51.47878918,-0.02618257,-1.0,0.7
15,2017,8,17,6,8,50,51.47878918,-0.02618257,-1.0,0.8
16,2017,8,17,6,8,51,51.47878077,-0.02617628,-1.0,0.8
17,2017,8,17,6,8,52,51.4787812,-0.02617378,-1.0,0.8
18,2017,8,17,6,8,53,51.47878206,-0.02617556,-1.0,0.8
19,2017,8,17,6,8,54,51.47878206,-0.02617556,-1.0,0.8
20,2017,8,17,6,8,55,51.47878226,-0.02617636,-1.0,0.7
21,2017,8,17,6,8,56,51.47878226,-0.02617636,-1.0,0.7
22,2017,8,17,6,8,57,51.47878258,-0.0261768,-1.0,0.7
23,2017,8,17,6,8,58,51.47878275,-0.02617718,-1.0,0.7
24,2017,8,17,6,8,59,51.47878205,-0.02617443,-1.0,0.8
25,2017,8,17,6,9,0,51.47878169,-0.02617299,-1.0,0.8
26,2017,8,17,6,9,1,51.47878158,-0.02616957,-1.0,0.7
27,2017,8,17,6,9,2,51.47878131,-0.02616664,-1.0,0.7
28,2017,8,17,6,9,3,51.47878122,-0.02616621,-1.0,0.7
29,2017,8,17,6,9,4,51.47878117,-0.02616367,-1.0,0.7
30,2017,8,17,6,9,5,51.47878111,-0.02616141,-1.0,0.7
31,2017,8,17,6,9,6,51.47878106,-0.0261609,-1.0,0.7
32,2017,8,17,6,9,7,51.47878658,-0.02612846,-1.0,0.7
33,2017,8,17,6,9,8,51.47878658,-0.02612846,-1.0,0.7
34,2017,8,17,6,9,9,51.47879433,-0.02611647,-1.0,0.7
35,2017,8,17,6,9,10,51.47874949,-0.0260902,-1.0,0.7
36,2017,8,17,6,9,12,51.47874948,-0.02609022,-1.0,0.7
37,2017,8,17,6,9,13,51.47875816,-0.02607558,-1.0,0.7
38,2017,8,17,6,9,14,51.47875832,-0.02607382,-1.0,0.7
39,2017,8,17,6,9,15,51.47875832,-0.02607382,-1.0,0.7
40,2017,8,17,6,9,16,51.47876546,-0.02608169,-1.0,0.7
41,2017,8,17,6,9,17,51.47876546,-0.02608169,-1.0,0.7
42,2017,8,17,6,9,18,51.47875905,-0.02608198,-1.0,0.7
43,2017,8,17,6,9,19,51.4787574,-0.02608021,-1.0,0.7
44,2017,8,17,6,9,20,51.4787573,-0.0260804,-1.0,0.7
45,2017,8,17,6,9,21,51.4787573,-0.0260804,-1.0,0.7
46,2017,8,17,6,9,22,51.4787571,-0.02608036,-1.0,0.7
47,2017,8,17,6,9,23,51.47875703,-0.02608027,-1.0,0.7
48,2017,8,17,6,9,24,51.47875701,-0.02608023,-1.0,0.7
49,2017,8,17,6,9,25,51.47875698,-0.02608016,-1.0,0.7
50,2017,8,17,6,9,26,51.47875694,-0.02608003,-1.0,0.7
51,2017,8,17,6,9,27,51.47875695,-0.02607998,-1.0,0.7
52,2017,8,17,6,9,28,51.47875703,-0.0260801,-1.0,0.7
53,2017,8,17,6,9,29,51.47875705,-0.02608036,-1.0,0.7
54,2017,8,17,6,9,30,51.47875708,-0.02608088,-1.0,0.7
55,2017,8,17,6,9,31,51.47875708,-0.02608088,-1.0,0.7
56,2017,8,17,6,9,32,51.47875599,-0.02610068,-1.0,0.7
57,2017,8,17,6,9,33,51.47876068,-0.0260968,-1.0,0.7
58,2017,8,17,6,9,34,51.4787653,-0.0260926,-1.0,0.7
59,2017,8,17,6,9,35,51.47876533,-0.02609702,-1.0,0.7
60,2017,8,17,6,9,36,51.47876533,-0.02609702,-1.0,0.7
61,2017,8,17,6,9,37,51.4787646,-0.02609089,-1.0,0.7
62,2017,8,17,6,9,39,51.4787646,-0.02609089,-1.0,0.7
63,2017,8,17,6,9,40,51.47876286,-0.0261034,-1.0,0.7
64,2017,8,17,6,9,41,51.4787666,-0.02610259,-1.0,0.7
65,2017,8,17,6,9,43,51.47876647,-0.0261049,-1.0,0.7
66,2017,8,17,6,9,44,51.47876647,-0.0261049,-1.0,0.7
67,2017,8,17,6,9,45,51.47876684,-0.02610571,-1.0,0.7
68,2017,8,17,6,9,46,51.47876682,-0.02610592,-1.0,0.7
69,2017,8,17,6,9,47,51.47876682,-0.02610592,-1.0,0.8
70,2017,8,17,6,9,48,51.47876674,-0.02610611,-1.0,0.8
71,2017,8,17,6,9,49,51.4787666,-0.02610648,-1.0,0.8
72,2017,8,17,6,9,50,51.47876658,-0.02610663,-1.0,0.8
73,2017,8,17,6,9,51,51.47876657,-0.02610687,-1.0,0.8
74,2017,8,17,6,9,52,51.47876681,-0.02610661,-1.0,0.7
75,2017,8,17,6,9,53,51.47876681,-0.02610661,-1.0,0.7
76,2017,8,17,6,9,54,51.47876723,-0.02610572,-1.0,0.7
77,2017,8,17,6,9,55,51.47876573,-0.0260942,-1.0,0.7
78,2017,8,17,6,9,56,51.47876392,-0.02608122,-1.0,0.7
79,2017,8,17,6,9,57,51.47876011,-0.02607131,-1.0,0.7
80,2017,8,17,6,9,58,51.47875841,-0.02607027,-1.0,0.7
81,2017,8,17,6,9,59,51.47875546,-0.0260706,-1.0,0.7
82,2017,8,17,6,10,0,51.4787538,-0.02606893,-1.0,0.7
83,2017,8,17,6,10,1,51.47875273,-0.0260764,-1.0,0.7
84,2017,8,17,6,10,2,51.47875229,-0.02608085,-1.0,0.7
85,2017,8,17,6,10,3,51.47875598,-0.02608891,-1.0,0.7
86,2017,8,17,6,10,4,51.47875873,-0.02608597,-1.0,0.7
87,2017,8,17,6,10,5,51.47875873,-0.02608597,-1.0,0.7
88,2017,8,17,6,10,6,51.47876373,-0.02608838,-1.0,0.7
89,2017,8,17,6,10,7,51.47876634,-0.02608508,-1.0,0.7
90,2017,8,17,6,10,8,51.47876751,-0.02608249,-1.0,0.7
91,2017,8,17,6,10,9,51.47876951,-0.02608227,-1.0,0.7
92,2017,8,17,6,10,10,51.47876951,-0.02608227,-1.0,0.7
93,2017,8,17,6,10,11,51.47877193,-0.02608437,-1.0,0.7
94,2017,8,17,6,10,12,51.4787739,-0.02608553,-1.0,0.7
95,2017,8,17,6,10,13,51.47877378,-0.02608574,-1.0,0.7
96,2017,8,17,6,10,14,51.4787739,-0.02608565,-1.0,0.7
97,2017,8,17,6,10,15,51.47877405,-0.02608569,-1.0,0.7
98,2017,8,17,6,10,16,51.47877419,-0.02608582,-1.0,0.7
99,2017,8,17,6,10,17,51.47877428,-0.02608601,-1.0,0.7
100,2017,8,17,6,10,18,51.47877431,-0.02608607,-1.0,0.7
101,2017,8,17,6,10,19,51.47877427,-0.02608631,-1.0,0.7
102,2017,8,17,6,10,20,51.47877427,-0.02608648,-1.0,0.7
103,2017,8,17,6,10,21,51.47877427,-0.02608648,-1.0,0.7
104,2017,8,17,6,10,22,51.47877429,-0.02608658,-1.0,0.7
105,2017,8,17,6,10,23,51.47877434,-0.02608664,-1.0,0.7
106,2017,8,17,6,10,24,51.47877437,-0.02608659,-1.0,0.7
107,2017,8,17,6,10,25,51.47877437,-0.02608659,-1.0,0.7
108,2017,8,17,6,10,26,51.47877438,-0.0260866,-1.0,0.7
109,2017,8,17,6,10,27,51.47877436,-0.02608649,-1.0,0.7
110,2017,8,17,6,10,28,51.47877435,-0.02608648,-1.0,0.7
111,2017,8,17,6,10,29,51.4787743,-0.02608646,-1.0,0.7
112,2017,8,17,6,10,30,51.4787743,-0.02608646,-1.0,0.7
113,2017,8,17,6,10,31,51.47877425,-0.02608656,-1.0,0.7
114,2017,8,17,6,10,32,51.47877425,-0.02608663,-1.0,0.7
115,2017,8,17,6,10,34,51.47877425,-0.02608666,-1.0,0.7
116,2017,8,17,6,10,35,51.47877421,-0.02608669,-1.0,0.7
117,2017,8,17,6,10,36,51.47877415,-0.02608671,-1.0,0.7
118,2017,8,17,6,10,37,51.47877405,-0.02608674,-1.0,0.7
119,2017,8,17,6,10,38,51.47877401,-0.02608673,-1.0,0.7
120,2017,8,17,6,10,39,51.47877404,-0.02608672,-1.0,0.7
121,2017,8,17,6,10,40,51.47877405,-0.0260867,-1.0,0.7
122,2017,8,17,6,10,41,51.47877405,-0.0260867,-1.0,0.7
123,2017,8,17,6,10,42,51.47877412,-0.0260839,-1.0,0.7
124,2017,8,17,6,10,43,51.47879001,-0.02605917,-1.0,0.7
125,2017,8,17,6,10,44,51.47879106,-0.02608442,-1.0,0.7
126,2017,8,17,6,10,45,51.47879106,-0.02608442,-1.0,0.7
127,2017,8,17,6,10,46,51.47878539,-0.02608546,-1.0,0.7
128,2017,8,17,6,10,47,51.47878539,-0.02608546,-1.0,0.7
129,2017,8,17,6,10,48,51.47879743,-0.02607962,-1.0,0.7
130,2017,8,17,6,10,49,51.47879959,-0.02607526,-1.0,0.7
131,2017,8,17,6,10,50,51.47880162,-0.02607584,-1.0,0.7
132,2017,8,17,6,10,51,51.47880335,-0.02608268,-1.0,0.7
133,2017,8,17,6,10,52,51.47880335,-0.02608268,-1.0,0.7
134,2017,8,17,6,10,53,51.47880574,-0.02608574,-1.0,0.7
135,2017,8,17,6,10,54,51.47880574,-0.02608574,-1.0,0.7
136,2017,8,17,6,10,55,51.4788059,-0.02608524,-1.0,0.7
137,2017,8,17,6,10,56,51.47880591,-0.02608512,-1.0,0.7
138,2017,8,17,6,10,57,51.47880597,-0.02608525,-1.0,0.7
139,2017,8,17,6,10,58,51.47880597,-0.02608525,-1.0,0.7
140,2017,8,17,6,10,59,51.47880598,-0.02608528,-1.0,0.7
141,2017,8,17,6,11,0,51.47880595,-0.02608524,-1.0,0.7
142,2017,8,17,6,11,1,51.47880594,-0.02608528,-1.0,0.7
143,2017,8,17,6,11,2,51.47880589,-0.02608525,-1.0,0.7
144,2017,8,17,6,11,3,51.47880569,-0.02608501,-1.0,0.7
145,2017,8,17,6,11,4,51.4788056,-0.02608486,-1.0,0.7
146,2017,8,17,6,11,5,51.47880557,-0.02608487,-1.0,0.7
147,2017,8,17,6,11,6,51.47880553,-0.02608491,-1.0,0.7
148,2017,8,17,6,11,7,51.47880551,-0.02608492,-1.0,0.7
149,2017,8,17,6,11,8,51.47880549,-0.02608495,-1.0,0.7
150,2017,8,17,6,11,9,51.47880549,-0.02608495,-1.0,0.7
151,2017,8,17,6,11,11,51.47880551,-0.026085,-1.0,0.7
152,2017,8,17,6,11,12,51.47880551,-0.026085,-1.0,0.7
153,2017,8,17,6,11,13,51.4788055,-0.02608483,-1.0,0.7
154,2017,8,17,6,11,14,51.47880545,-0.02608473,-1.0,0.7
155,2017,8,17,6,11,15,51.47880545,-0.02608473,-1.0,0.7
156,2017,8,17,6,11,16,51.4788054,-0.02608481,-1.0,0.7
157,2017,8,17,6,11,17,51.47880537,-0.02608478,-1.0,0.7
158,2017,8,17,6,11,18,51.47880533,-0.0260848,-1.0,0.7
159,2017,8,17,6,11,19,51.4788053,-0.02608476,-1.0,0.7
160,2017,8,17,6,11,20,51.47880527,-0.02608467,-1.0,0.7
161,2017,8,17,6,11,21,51.47880527,-0.02608463,-1.0,0.7
162,2017,8,17,6,11,22,51.47880532,-0.02608467,-1.0,0.7
163,2017,8,17,6,11,23,51.47880532,-0.02608462,-1.0,0.7
164,2017,8,17,6,11,24,51.47880532,-0.02608447,-1.0,0.7
165,2017,8,17,6,11,25,51.47880533,-0.02608439,-1.0,0.7
166,2017,8,17,6,11,26,51.47880533,-0.02608439,-1.0,0.7
167,2017,8,17,6,11,27,51.47880534,-0.02608417,-1.0,0.7
168,2017,8,17,6,11,28,51.47880534,-0.02608417,-1.0,0.7
169,2017,8,17,6,11,29,51.47880527,-0.02608385,-1.0,0.7
170,2017,8,17,6,11,30,51.47880525,-0.0260839,-1.0,0.7
171,2017,8,17,6,11,31,51.47880523,-0.02608384,-1.0,0.7
172,2017,8,17,6,11,33,51.47880521,-0.0260836,-1.0,0.7
173,2017,8,17,6,11,34,51.47880521,-0.0260836,-1.0,0.7
174,2017,8,17,6,11,35,51.47880517,-0.02608345,-1.0,0.7
175,2017,8,17,6,11,36,51.47880517,-0.02608338,-1.0,0.7
176,2017,8,17,6,11,37,51.47880519,-0.02608337,-1.0,0.7
177,2017,8,17,6,11,38,51.47880519,-0.0260834,-1.0,0.7
178,2017,8,17,6,11,39,51.47880516,-0.02608343,-1.0,0.7
179,2017,8,17,6,11,41,51.47880512,-0.02608332,-1.0,0.7
180,2017,8,17,6,11,42,51.47880512,-0.02608332,-1.0,0.7
181,2017,8,17,6,11,43,51.47880509,-0.02608321,-1.0,0.7
182,2017,8,17,6,11,44,51.47880502,-0.02608315,-1.0,0.7
183,2017,8,17,6,11,45,51.47880497,-0.02608316,-1.0,0.7
184,2017,8,17,6,11,46,51.47880493,-0.02608317,-1.0,0.7
185,2017,8,17,6,11,47,51.47880491,-0.02608319,-1.0,0.7
186,2017,8,17,6,11,48,51.47880492,-0.02608329,-1.0,0.8
187,2017,8,17,6,11,49,51.47880493,-0.02608336,-1.0,0.7
188,2017,8,17,6,11,50,51.47880495,-0.02608342,-1.0,0.7
189,2017,8,17,6,11,51,51.47880495,-0.02608342,-1.0,0.7
190,2017,8,17,6,11,52,51.47880503,-0.02608357,-1.0,0.7
191,2017,8,17,6,11,53,51.47880507,-0.02608353,-1.0,0.7
192,2017,8,17,6,11,55,51.47880509,-0.02608347,-1.0,0.7
193,2017,8,17,6,11,56,51.47880517,-0.02608357,-1.0,0.7
194,2017,8,17,6,11,57,51.47880518,-0.02608357,-1.0,0.7
195,2017,8,17,6,11,58,51.47880518,-0.02608357,-1.0,0.7
196,2017,8,17,6,12,0,51.47880515,-0.02608349,-1.0,0.7
197,2017,8,17,6,12,1,51.47880509,-0.02608349,-1.0,0.7
198,2017,8,17,6,12,2,51.47880506,-0.02608351,-1.0,0.7
199,2017,8,17,6,12,3,51.47880502,-0.02608337,-1.0,0.7
200,2017,8,17,6,12,4,51.47880502,-0.02608337,-1.0,0.7
201,2017,8,17,6,12,5,51.47880501,-0.02608328,-1.0,0.7
202,2017,8,17,6,12,6,51.47880497,-0.0260832,-1.0,0.7
203,2017,8,17,6,12,7,51.47880492,-0.02608306,-1.0,0.7
204,2017,8,17,6,12,8,51.47880485,-0.02608291,-1.0,0.7
205,2017,8,17,6,12,9,51.47880477,-0.02608289,-1.0,0.7
206,2017,8,17,6,12,10,51.47880477,-0.02608289,-1.0,0.7
207,2017,8,17,6,12,11,51.4788047,-0.02608284,-1.0,0.7
208,2017,8,17,6,12,12,51.47880467,-0.02608281,-1.0,0.7
209,2017,8,17,6,12,13,51.47880467,-0.0260828,-1.0,0.7
210,2017,8,17,6,12,14,51.47880468,-0.02608272,-1.0,0.7
211,2017,8,17,6,12,15,51.47880475,-0.02608275,-1.0,0.7
212,2017,8,17,6,12,16,51.4788049,-0.02608304,-1.0,0.7
213,2017,8,17,6,12,17,51.4788049,-0.02608304,-1.0,0.7
214,2017,8,17,6,12,18,51.47880498,-0.02608321,-1.0,0.7
215,2017,8,17,6,12,19,51.47880498,-0.02608321,-1.0,0.7
216,2017,8,17,6,12,20,51.47880504,-0.02608315,-1.0,0.7
217,2017,8,17,6,12,21,51.47880512,-0.02608325,-1.0,0.7
218,2017,8,17,6,12,23,51.47880515,-0.0260834,-1.0,0.7
219,2017,8,17,6,12,24,51.47880515,-0.0260834,-1.0,0.7
220,2017,8,17,6,12,25,51.47880513,-0.02608354,-1.0,0.7
221,2017,8,17,6,12,26,51.47880507,-0.02608398,-1.0,0.7
222,2017,8,17,6,12,27,51.47880507,-0.02608398,-1.0,0.7
