obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,8,1,292.0,54.0,24.4
2,1,10,1,120.0,52.0,22.9
3,1,11,1,261.0,13.0,18.7
4,1,13,1,7.0,2.0,18.2
5,1,15,1,36.0,9.0,30.9
6,1,16,1,180.0,40.0,20.0
7,1,18,1,71.0,44.0,21.2
8,1,21,1,66.0,23.0,32.9
9,1,26,1,168.0,14.0,28.4
10,1,27,1,92.0,84.0,17.7
11,1,30,1,320.0,11.0,37.3
12,1,1,1,0.0,0.0,0.0
13,1,16,3,351.0,4.0,16.6
14,1,15,3,298.0,37.0,19.3
15,1,1,3,135.0,28.0,27.5
16,1,24,3,331.0,68.0,14.4
17,1,23,3,71.0,43.0,30.1
18,1,17,3,281.0,23.0,19.3
19,1,7,3,21.0,16.0,26.0
20,1,8,3,73.0,41.0,23.4
21,1,13,3,202.0,2.0,0.0
22,1,5,5,113.0,10.0,0.0
23,1,6,5,39.0,20.0,0.0
24,1,9,5,67.0,28.0,0.0
25,1,11,5,95.0,35.0,0.0
26,1,14,5,127.0,40.0,0.0
27,1,15,5,66.0,24.0,0.0
28,1,120,2,0.0,0.0,31.2
29,1,120,2,0.0,0.0,31.2
30,2,8,1,292.0,54.0,24.3
31,2,10,1,120.0,52.0,22.9
32,2,11,1,261.0,13.0,18.8
33,2,13,1,7.0,2.0,21.1
34,2,15,1,36.0,9.0,32.6
35,2,16,1,180.0,40.0,25.3
36,2,18,1,71.0,44.0,27.3
37,2,21,1,66.0,23.0,30.9
38,2,26,1,168.0,14.0,29.1
39,2,27,1,92.0,84.0,24.7
40,2,30,1,320.0,11.0,37.0
41,2,1,1,0.0,0.0,0.0
42,2,16,3,351.0,4.0,18.5
43,2,15,3,298.0,37.0,17.3
44,2,1,3,135.0,28.0,23.6
45,2,24,3,331.0,68.0,14.4
46,2,23,3,71.0,43.0,28.5
47,2,17,3,281.0,23.0,23.9
48,2,7,3,21.0,16.0,30.1
49,2,8,3,73.0,41.0,23.1
50,2,13,3,202.0,2.0,0.0
51,2,5,5,113.0,10.0,0.0
52,2,6,5,39.0,20.0,0.0
53,2,9,5,67.0,28.0,0.0
54,2,11,5,95.0,35.0,0.0
55,2,14,5,127.0,40.0,0.0
56,2,15,5,66.0,24.0,0.0
57,2,120,2,0.0,0.0,31.2
58,2,120,2,0.0,0.0,31.2
59,3,8,1,292.0,54.0,29.9
60,3,10,1,120.0,52.0,29.7
61,3,11,1,261.0,13.0,19.0
62,3,13,1,7.0,2.0,21.1
63,3,15,1,36.0,9.0,31.7
64,3,16,1,180.0,40.0,28.4
65,3,18,1,71.0,44.0,28.4
66,3,21,1,66.0,23.0,30.6
67,3,26,1,168.0,14.0,33.0
68,3,27,1,92.0,84.0,24.8
69,3,30,1,320.0,11.0,34.5
70,3,1,1,0.0,0.0,0.0
71,3,16,3,351.0,4.0,26.0
72,3,15,3,298.0,37.0,19.4
73,3,1,3,135.0,28.0,28.6
74,3,24,3,331.0,68.0,15.2
75,3,23,3,71.0,43.0,32.3
76,3,17,3,281.0,23.0,28.2
77,3,7,3,21.0,16.0,27.1
78,3,8,3,73.0,41.0,25.0
79,3,13,3,202.0,2.0,0.0
80,3,5,5,113.0,10.0,0.0
81,3,6,5,39.0,20.0,0.0
82,3,9,5,67.0,28.0,0.0
83,3,11,5,95.0,35.0,0.0
84,3,14,5,127.0,40.0,0.0
85,3,15,5,66.0,24.0,0.0
86,3,120,2,0.0,0.0,31.2
87,3,120,2,0.0,0.0,31.2
88,4,7,1,288.0,16.0,26.7
89,4,8,1,292.0,54.0,30.0
90,4,10,1,120.0,52.0,33.9
91,4,11,1,261.0,13.0,17.1
92,4,13,1,7.0,2.0,16.8
93,4,15,1,36.0,9.0,26.9
94,4,16,1,180.0,40.0,28.5
95,4,18,1,71.0,44.0,23.4
96,4,21,1,66.0,23.0,29.1
97,4,26,1,168.0,14.0,33.8
98,4,27,1,92.0,84.0,31.1
99,4,30,1,320.0,11.0,28.6
100,4,1,1,0.0,0.0,0.0
101,4,16,3,351.0,4.0,24.1
102,4,15,3,298.0,37.0,18.1
103,4,1,3,135.0,28.0,25.6
104,4,24,3,331.0,68.0,15.5
105,4,23,3,71.0,43.0,32.2
106,4,17,3,281.0,23.0,27.6
107,4,7,3,21.0,16.0,22.9
108,4,8,3,73.0,41.0,25.9
109,4,13,3,202.0,2.0,0.0
110,4,14,5,127.0,40.0,22.0
111,4,5,5,113.0,10.0,0.0
112,4,6,5,39.0,20.0,0.0
