e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,7,21,11,39,50,51.48192571,-0.00932513,-1.0,0.7
2,2017,7,21,11,39,51,51.48192571,-0.00932513,-1.0,0.7
3,2017,7,21,11,39,52,51.48193505,-0.00931841,-1.0,0.7
4,2017,7,21,11,39,53,51.48194143,-0.00931833,-1.0,0.7
5,2017,7,21,11,39,54,51.48194892,-0.00932181,-1.0,0.7
6,2017,7,21,11,39,55,51.48196171,-0.00932517,-1.0,0.7
7,2017,7,21,11,39,56,51.48199593,-0.00936838,-1.0,0.7
8,2017,7,21,11,39,57,51.48199593,-0.00936838,-1.0,0.7
9,2017,7,21,11,39,58,51.48200035,-0.00940618,-1.0,0.7
10,2017,7,21,11,39,59,51.4819994,-0.0094168,-1.0,0.7
11,2017,7,21,11,40,0,51.4819994,-0.0094168,-1.0,0.7
12,2017,7,21,11,40,1,51.48200809,-0.00941189,-1.0,0.8
13,2017,7,21,11,40,2,51.48202527,-0.00940947,-1.0,0.8
14,2017,7,21,11,40,3,51.48202705,-0.0094179,-1.0,0.8
15,2017,7,21,11,40,4,51.48204568,-0.0094316,-1.0,0.8
16,2017,7,21,11,40,5,51.48204388,-0.00942442,-1.0,0.8
17,2017,7,21,11,40,6,51.48204388,-0.00942442,-1.0,0.8
18,2017,7,21,11,40,7,51.48204485,-0.00941359,-1.0,0.7
19,2017,7,21,11,40,8,51.48204485,-0.00941359,-1.0,0.7
20,2017,7,21,11,40,9,51.4820409,-0.00941416,-1.0,0.7
21,2017,7,21,11,40,10,51.48203651,-0.00941246,-1.0,0.7
22,2017,7,21,11,40,11,51.48203708,-0.00940072,-1.0,0.8
23,2017,7,21,11,40,12,51.48203708,-0.00940072,-1.0,0.8
24,2017,7,21,11,40,13,51.48204399,-0.00938438,-1.0,0.8
25,2017,7,21,11,40,14,51.48204399,-0.00938438,-1.0,0.7
26,2017,7,21,11,40,15,51.48204823,-0.00937821,-1.0,0.7
27,2017,7,21,11,40,16,51.48204642,-0.00937817,-1.0,0.7
28,2017,7,21,11,40,17,51.48204642,-0.00937817,-1.0,0.9
29,2017,7,21,11,40,18,51.48204512,-0.00937838,-1.0,0.8
30,2017,7,21,11,40,19,51.48204666,-0.00936958,-1.0,0.8
31,2017,7,21,11,40,20,51.48204735,-0.00936657,-1.0,0.8
32,2017,7,21,11,40,21,51.48204735,-0.00936657,-1.0,0.8
33,2017,7,21,11,40,22,51.48204809,-0.00936466,-1.0,0.8
34,2017,7,21,11,40,23,51.48204809,-0.00936466,-1.0,0.8
35,2017,7,21,11,40,24,51.48204796,-0.00936449,-1.0,0.8
36,2017,7,21,11,40,25,51.48204787,-0.0093645,-1.0,0.8
37,2017,7,21,11,40,26,51.48204738,-0.00936386,-1.0,0.8
38,2017,7,21,11,40,27,51.48204738,-0.00936386,-1.0,0.8
39,2017,7,21,11,40,28,51.48204704,-0.00936401,-1.0,0.8
40,2017,7,21,11,40,29,51.48204701,-0.00936406,-1.0,0.8
41,2017,7,21,11,40,30,51.48204701,-0.00936406,-1.0,0.8
42,2017,7,21,11,40,31,51.482047,-0.00936416,-1.0,0.9
43,2017,7,21,11,40,32,51.48204668,-0.00936451,-1.0,0.9
44,2017,7,21,11,40,33,51.48204668,-0.00936451,-1.0,0.8
45,2017,7,21,11,40,34,51.48204668,-0.00936451,-1.0,0.8
46,2017,7,21,11,40,35,51.48204668,-0.00936451,-1.0,0.8
47,2017,7,21,11,40,36,51.48204668,-0.00936451,-1.0,0.8
48,2017,7,21,11,50,38,51.48204668,-0.00936451,-1.0,-1.0
49,2017,7,21,11,50,39,51.48204668,-0.00936451,-1.0,-1.0
50,2017,7,21,11,50,40,51.48204668,-0.00936451,-1.0,-1.0
51,2017,7,21,11,50,41,51.48204668,-0.00936451,-1.0,-1.0
52,2017,7,21,11,50,42,51.48204668,-0.00936451,-1.0,-1.0
53,2017,7,21,11,50,43,51.48204668,-0.00936451,-1.0,-1.0
54,2017,7,21,11,50,44,51.48204668,-0.00936451,-1.0,-1.0
55,2017,7,21,11,50,45,51.48204668,-0.00936451,-1.0,-1.0
56,2017,7,21,11,50,46,51.48204668,-0.00936451,-1.0,-1.0
57,2017,7,21,11,50,47,51.48204668,-0.00936451,-1.0,-1.0
58,2017,7,21,11,50,48,51.48204668,-0.00936451,-1.0,-1.0
59,2017,7,21,11,50,49,51.48204668,-0.00936451,-1.0,-1.0
60,2017,7,21,11,50,50,51.48204668,-0.00936451,-1.0,-1.0
61,2017,7,21,11,50,51,51.48204668,-0.00936451,-1.0,-1.0
62,2017,7,21,11,50,52,51.48204668,-0.00936451,-1.0,-1.0
63,2017,7,21,11,50,53,51.48204668,-0.00936451,-1.0,-1.0
64,2017,7,21,11,50,54,51.48204668,-0.00936451,-1.0,-1.0
