obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,16,1,292.0,23.0,20.7
2,1,20,1,105.0,10.0,19.3
3,1,21,1,168.0,39.0,18.1
4,1,23,1,317.0,10.0,20.2
5,1,25,1,112.0,25.0,21.6
6,1,26,1,292.0,52.0,23.7
7,1,29,1,61.0,57.0,15.0
8,1,31,1,216.0,53.0,16.7
9,1,2,1,35.0,7.0,0.0
10,1,9,1,344.0,4.0,0.0
11,1,27,1,0.0,0.0,0.0
12,1,18,3,222.0,29.0,15.8
13,1,16,3,319.0,35.0,25.4
14,1,15,3,172.0,75.0,14.6
15,1,24,3,40.0,40.0,12.0
16,1,17,3,220.0,83.0,18.8
17,1,7,3,338.0,8.0,14.9
18,1,8,3,26.0,11.0,12.9
19,1,1,3,0.0,0.0,0.0
20,1,5,5,113.0,11.0,0.0
21,1,12,5,54.0,5.0,0.0
22,1,136,2,0.0,0.0,29.0
23,1,136,2,0.0,0.0,29.0
24,2,16,1,292.0,23.0,28.0
25,2,20,1,105.0,10.0,19.3
26,2,21,1,168.0,39.0,18.1
27,2,23,1,317.0,10.0,18.7
28,2,25,1,112.0,25.0,18.2
29,2,26,1,292.0,52.0,18.4
30,2,29,1,61.0,57.0,17.4
31,2,31,1,216.0,53.0,16.7
32,2,2,1,35.0,7.0,0.0
33,2,9,1,344.0,4.0,0.0
34,2,27,1,0.0,0.0,0.0
35,2,18,3,222.0,29.0,15.8
36,2,16,3,319.0,35.0,25.2
37,2,15,3,172.0,75.0,14.6
38,2,24,3,40.0,40.0,12.0
39,2,17,3,220.0,83.0,16.3
40,2,7,3,338.0,8.0,14.9
41,2,8,3,26.0,11.0,12.9
42,2,1,3,0.0,0.0,0.0
43,2,5,5,113.0,11.0,0.0
44,2,12,5,54.0,5.0,0.0
45,2,136,2,0.0,0.0,29.0
46,2,136,2,0.0,0.0,29.0
47,3,16,1,292.0,23.0,31.2
48,3,20,1,105.0,10.0,19.3
49,3,21,1,168.0,39.0,18.1
50,3,23,1,317.0,10.0,22.1
51,3,25,1,112.0,25.0,20.9
52,3,26,1,292.0,52.0,26.7
53,3,29,1,61.0,57.0,22.2
54,3,31,1,216.0,53.0,16.7
55,3,2,1,35.0,7.0,0.0
56,3,9,1,344.0,4.0,0.0
57,3,27,1,0.0,0.0,0.0
58,3,18,3,222.0,29.0,14.7
59,3,16,3,319.0,35.0,28.4
60,3,15,3,172.0,75.0,14.6
61,3,24,3,40.0,40.0,12.0
62,3,17,3,220.0,83.0,18.6
63,3,7,3,338.0,8.0,15.4
64,3,8,3,26.0,11.0,12.9
65,3,1,3,0.0,0.0,0.0
66,3,5,5,113.0,11.0,0.0
67,3,12,5,54.0,5.0,0.0
68,3,136,2,0.0,0.0,29.0
69,3,136,2,0.0,0.0,29.0
70,4,16,1,292.0,23.0,29.8
71,4,20,1,105.0,10.0,19.3
72,4,21,1,168.0,39.0,18.1
73,4,23,1,317.0,10.0,19.1
74,4,25,1,112.0,25.0,20.9
75,4,26,1,292.0,52.0,26.5
76,4,29,1,61.0,57.0,19.3
77,4,31,1,216.0,53.0,14.8
78,4,2,1,35.0,7.0,0.0
79,4,9,1,344.0,4.0,0.0
80,4,27,1,0.0,0.0,0.0
81,4,18,3,222.0,29.0,18.6
82,4,16,3,319.0,35.0,23.8
83,4,15,3,172.0,75.0,13.1
84,4,24,3,40.0,40.0,12.0
85,4,17,3,220.0,83.0,18.6
86,4,7,3,338.0,8.0,15.4
87,4,8,3,26.0,11.0,12.9
88,4,1,3,0.0,0.0,0.0
89,4,5,5,113.0,11.0,0.0
90,4,12,5,54.0,5.0,0.0
91,4,136,2,0.0,0.0,29.0
92,4,136,2,0.0,0.0,29.0
93,5,16,1,292.0,23.0,27.7
94,5,20,1,105.0,10.0,19.3
95,5,21,1,168.0,39.0,18.1
96,5,23,1,317.0,10.0,19.1
97,5,25,1,112.0,25.0,19.9
98,5,26,1,292.0,52.0,20.3
99,5,29,1,61.0,57.0,19.3
100,5,31,1,216.0,53.0,14.8
101,5,2,1,35.0,7.0,0.0
102,5,9,1,344.0,4.0,0.0
103,5,27,1,0.0,0.0,0.0
104,5,18,3,222.0,29.0,18.6
105,5,16,3,319.0,35.0,27.2
106,5,15,3,172.0,75.0,13.1
107,5,24,3,40.0,40.0,12.0
108,5,17,3,220.0,83.0,18.6
109,5,7,3,338.0,8.0,15.4
110,5,8,3,26.0,11.0,12.4
111,5,1,3,0.0,0.0,0.0
112,5,5,5,113.0,11.0,0.0
113,5,12,5,54.0,5.0,0.0
114,5,136,2,0.0,0.0,29.0
115,5,136,2,0.0,0.0,29.0
116,6,16,1,292.0,23.0,28.9
117,6,20,1,105.0,10.0,15.0
118,6,21,1,168.0,39.0,15.2
119,6,23,1,317.0,10.0,17.3
120,6,25,1,112.0,25.0,18.4
121,6,26,1,292.0,52.0,25.7
122,6,29,1,61.0,57.0,18.3
123,6,31,1,216.0,53.0,19.6
124,6,2,1,35.0,7.0,0.0
125,6,9,1,344.0,4.0,0.0
126,6,27,1,0.0,0.0,0.0
127,6,18,3,222.0,29.0,17.4
128,6,16,3,319.0,35.0,25.4
129,6,15,3,172.0,75.0,13.1
130,6,24,3,40.0,40.0,12.0
131,6,17,3,220.0,83.0,15.3
132,6,7,3,338.0,8.0,15.4
133,6,8,3,26.0,11.0,12.4
134,6,1,3,0.0,0.0,0.0
135,6,5,5,113.0,11.0,0.0
136,6,12,5,54.0,5.0,0.0
137,6,136,2,0.0,0.0,29.0
138,6,136,2,0.0,0.0,29.0
139,7,16,1,292.0,23.0,28.8
140,7,20,1,105.0,11.0,15.0
141,7,21,1,168.0,40.0,19.2
142,7,23,1,316.0,10.0,18.7
143,7,25,1,113.0,25.0,20.1
144,7,26,1,292.0,52.0,26.3
145,7,29,1,61.0,56.0,18.3
146,7,31,1,215.0,52.0,21.1
147,7,2,1,35.0,7.0,0.0
148,7,9,1,343.0,4.0,0.0
149,7,27,1,0.0,0.0,0.0
150,7,18,3,222.0,29.0,17.4
151,7,16,3,319.0,35.0,25.7
152,7,15,3,172.0,75.0,13.1
153,7,24,3,40.0,40.0,12.0
154,7,17,3,220.0,83.0,20.2
155,7,7,3,338.0,8.0,15.4
156,7,8,3,26.0,11.0,12.4
157,7,1,3,0.0,0.0,0.0
158,7,5,5,113.0,11.0,0.0
159,7,12,5,56.0,4.0,0.0
160,7,136,2,0.0,0.0,29.0
161,7,136,2,0.0,0.0,29.0
162,8,16,1,292.0,23.0,27.3
163,8,20,1,105.0,11.0,15.0
164,8,21,1,167.0,40.0,18.8
165,8,23,1,316.0,10.0,21.8
166,8,25,1,113.0,24.0,19.8
167,8,26,1,292.0,52.0,27.3
168,8,29,1,61.0,56.0,16.7
169,8,31,1,215.0,52.0,21.1
170,8,2,1,35.0,6.0,0.0
171,8,9,1,343.0,4.0,0.0
172,8,27,1,0.0,0.0,0.0
173,8,18,3,222.0,29.0,16.1
174,8,16,3,319.0,37.0,25.8
175,8,15,3,172.0,74.0,15.5
176,8,24,3,40.0,38.0,12.0
177,8,17,3,222.0,83.0,20.2
178,8,7,3,338.0,7.0,15.4
179,8,8,3,25.0,11.0,12.4
180,8,1,3,0.0,0.0,0.0
181,8,5,5,113.0,11.0,0.0
182,8,12,5,56.0,4.0,0.0
183,8,136,2,0.0,0.0,29.0
184,8,136,2,0.0,0.0,29.0
185,9,16,1,292.0,23.0,26.7
186,9,20,1,105.0,11.0,15.0
187,9,21,1,167.0,40.0,18.8
188,9,23,1,316.0,10.0,18.1
