obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,5,1,42.0,14.0,23.0
2,1,9,1,326.0,5.0,17.0
3,1,16,1,298.0,42.0,24.9
4,1,20,1,88.0,22.0,23.4
5,1,21,1,154.0,59.0,30.3
6,1,23,1,299.0,5.0,21.7
7,1,25,1,123.0,7.0,29.5
8,1,26,1,285.0,72.0,27.6
9,1,27,1,255.0,16.0,31.1
10,1,29,1,67.0,37.0,29.7
11,1,31,1,201.0,33.0,29.1
12,1,18,1,147.0,1.0,0.0
13,1,18,3,240.0,52.0,33.1
14,1,9,3,327.0,11.0,24.0
15,1,16,3,303.0,58.0,25.1
16,1,15,3,172.0,47.0,21.1
17,1,1,3,52.0,13.0,21.6
18,1,24,3,47.0,17.0,17.8
19,1,17,3,32.0,69.0,26.5
20,1,8,3,5.0,11.0,21.9
21,1,19,3,232.0,1.0,0.0
22,1,5,5,113.0,11.0,0.0
23,1,14,5,118.0,1.0,0.0
24,1,120,2,0.0,0.0,30.1
25,1,136,2,0.0,0.0,34.9
26,1,120,2,0.0,0.0,29.4
27,2,5,1,42.0,14.0,24.5
28,2,9,1,326.0,5.0,16.9
29,2,16,1,298.0,42.0,25.9
30,2,20,1,88.0,22.0,23.9
31,2,21,1,154.0,59.0,26.3
32,2,23,1,299.0,5.0,22.0
33,2,25,1,123.0,7.0,23.9
34,2,26,1,285.0,72.0,33.1
35,2,27,1,255.0,16.0,33.2
36,2,29,1,67.0,37.0,28.0
37,2,31,1,201.0,33.0,31.3
38,2,18,1,147.0,1.0,0.0
39,2,18,3,240.0,52.0,28.4
40,2,9,3,327.0,11.0,23.2
41,2,16,3,303.0,58.0,23.3
42,2,15,3,172.0,47.0,28.9
43,2,1,3,52.0,13.0,24.3
44,2,24,3,47.0,17.0,17.8
45,2,17,3,32.0,69.0,20.9
46,2,8,3,5.0,11.0,23.2
47,2,19,3,232.0,1.0,0.0
48,2,5,5,113.0,11.0,0.0
49,2,14,5,118.0,1.0,0.0
50,2,120,2,0.0,0.0,30.1
51,2,136,2,0.0,0.0,34.9
52,2,120,2,0.0,0.0,29.4
53,3,5,1,42.0,14.0,23.3
54,3,9,1,326.0,5.0,18.7
55,3,16,1,298.0,42.0,26.8
56,3,20,1,88.0,22.0,21.8
57,3,21,1,154.0,59.0,32.0
58,3,23,1,299.0,5.0,21.3
59,3,25,1,123.0,7.0,29.0
60,3,26,1,285.0,72.0,36.4
61,3,27,1,255.0,16.0,29.3
62,3,29,1,67.0,37.0,32.4
63,3,31,1,201.0,33.0,29.1
64,3,18,1,147.0,1.0,0.0
65,3,18,3,240.0,52.0,28.0
66,3,9,3,327.0,11.0,26.9
67,3,16,3,303.0,58.0,19.9
68,3,15,3,172.0,47.0,24.3
69,3,1,3,52.0,13.0,19.4
70,3,24,3,47.0,17.0,15.7
71,3,17,3,32.0,69.0,24.1
72,3,8,3,5.0,11.0,21.5
73,3,19,3,232.0,1.0,0.0
74,3,5,5,113.0,11.0,0.0
75,3,14,5,118.0,1.0,0.0
76,3,120,2,0.0,0.0,30.1
77,3,136,2,0.0,0.0,34.9
78,3,120,2,0.0,0.0,29.4
79,4,5,1,42.0,14.0,25.6
80,4,9,1,326.0,5.0,18.7
81,4,16,1,298.0,42.0,21.6
82,4,20,1,88.0,22.0,20.8
83,4,21,1,154.0,59.0,32.2
84,4,23,1,299.0,5.0,21.3
85,4,25,1,123.0,7.0,30.2
86,4,26,1,285.0,72.0,33.5
87,4,27,1,255.0,16.0,31.8
88,4,29,1,67.0,37.0,32.9
89,4,31,1,201.0,33.0,19.3
90,4,18,1,147.0,1.0,0.0
91,4,18,3,240.0,52.0,22.2
92,4,9,3,327.0,11.0,25.0
93,4,16,3,303.0,58.0,23.6
94,4,15,3,172.0,47.0,24.9
95,4,1,3,52.0,13.0,24.7
96,4,24,3,47.0,17.0,15.7
97,4,17,3,32.0,69.0,23.2
98,4,8,3,5.0,11.0,20.7
99,4,19,3,232.0,1.0,0.0
100,4,5,5,113.0,11.0,0.0
101,4,14,5,118.0,1.0,0.0
102,4,120,2,0.0,0.0,30.1
103,4,136,2,0.0,0.0,34.9
104,4,120,2,0.0,0.0,29.4
105,5,5,1,42.0,14.0,27.9
106,5,9,1,326.0,5.0,18.7
107,5,16,1,298.0,42.0,18.4
108,5,20,1,88.0,22.0,26.2
109,5,21,1,154.0,59.0,33.5
110,5,23,1,299.0,5.0,21.3
111,5,25,1,123.0,7.0,30.2
112,5,26,1,285.0,72.0,31.6
113,5,27,1,255.0,16.0,33.8
114,5,29,1,67.0,37.0,27.2
115,5,31,1,201.0,33.0,22.1
116,5,18,1,147.0,1.0,0.0
117,5,18,3,240.0,52.0,22.2
118,5,9,3,327.0,11.0,18.6
119,5,16,3,303.0,58.0,23.6
120,5,15,3,172.0,47.0,24.8
121,5,1,3,52.0,13.0,25.1
122,5,24,3,47.0,17.0,15.1
123,5,17,3,32.0,69.0,24.6
