e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,8,17,4,37,52,51.47597575,0.00113217,-1.0,0.8
2,2017,8,17,4,37,54,51.4759749,0.00112656,-1.0,0.8
3,2017,8,17,4,37,55,51.4759749,0.00112656,-1.0,0.8
4,2017,8,17,4,37,56,51.47599575,0.00111243,-1.0,0.8
5,2017,8,17,4,37,58,51.4759964,0.00110737,-1.0,0.8
6,2017,8,17,4,38,0,51.47599869,0.00110331,-1.0,0.9
7,2017,8,17,4,38,1,51.47599869,0.00110331,-1.0,0.8
8,2017,8,17,4,38,2,51.47599694,0.00109965,-1.0,0.8
9,2017,8,17,4,38,4,51.47599691,0.0011013,-1.0,0.8
10,2017,8,17,4,38,5,51.47599696,0.0011012,-1.0,0.8
11,2017,8,17,4,38,6,51.47599696,0.0011012,-1.0,0.8
12,2017,8,17,4,38,7,51.47599697,0.0011011,-1.0,0.8
13,2017,8,17,4,38,8,51.47599725,0.00110233,-1.0,0.8
14,2017,8,17,4,38,9,51.47599725,0.00110233,-1.0,0.8
15,2017,8,17,4,38,10,51.47599726,0.00110231,-1.0,0.8
16,2017,8,17,4,38,11,51.47599727,0.00110227,-1.0,0.8
17,2017,8,17,4,38,13,51.4759975,0.00110153,-1.0,0.8
18,2017,8,17,4,38,14,51.4759975,0.00110153,-1.0,0.8
19,2017,8,17,4,38,15,51.475997,0.00110205,-1.0,0.8
20,2017,8,17,4,38,17,51.47599705,0.00110196,-1.0,0.8
21,2017,8,17,4,38,19,51.47599665,0.00110148,-1.0,0.8
22,2017,8,17,4,38,20,51.4759966,0.0011013,-1.0,0.8
23,2017,8,17,4,38,21,51.4759966,0.0011013,-1.0,0.8
24,2017,8,17,4,38,22,51.47599662,0.00110131,-1.0,0.8
25,2017,8,17,4,38,24,51.47599663,0.00110117,-1.0,0.9
26,2017,8,17,4,38,25,51.47599663,0.00110117,-1.0,0.9
27,2017,8,17,4,38,27,51.47599665,0.00110107,-1.0,0.9
28,2017,8,17,4,38,28,51.47599652,0.00110102,-1.0,0.9
29,2017,8,17,4,38,29,51.47599652,0.00110102,-1.0,0.9
30,2017,8,17,4,38,30,51.47599649,0.001101,-1.0,0.9
31,2017,8,17,4,38,32,51.47599649,0.001101,-1.0,0.9
32,2017,8,17,4,38,34,51.47599655,0.00110113,-1.0,0.9
33,2017,8,17,4,38,35,51.47599601,0.00110062,-1.0,0.8
34,2017,8,17,4,38,36,51.47599601,0.00110062,-1.0,0.8
35,2017,8,17,4,38,37,51.47599603,0.00110065,-1.0,0.9
36,2017,8,17,4,38,38,51.475996,0.00110057,-1.0,0.9
37,2017,8,17,4,38,40,51.4759959,0.00110055,-1.0,0.9
