obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,8,1,171.0,76.0,26.3
2,1,10,1,57.0,42.0,30.5
3,1,11,1,278.0,52.0,26.9
4,1,14,1,123.0,14.0,27.9
5,1,18,1,49.0,16.0,26.1
6,1,22,1,206.0,23.0,19.4
7,1,27,1,136.0,41.0,25.9
8,1,28,1,314.0,24.0,21.6
9,1,32,1,108.0,23.0,29.0
10,1,3,1,0.0,0.0,0.0
11,1,30,1,0.0,0.0,0.0
12,1,10,3,312.0,23.0,22.0
13,1,2,3,28.0,18.0,33.4
14,1,18,3,95.0,47.0,26.4
15,1,9,3,254.0,13.0,15.2
16,1,11,3,0.0,0.0,23.6
17,1,20,3,298.0,14.0,17.3
18,1,19,3,329.0,66.0,15.5
19,1,3,3,78.0,58.0,27.1
20,1,4,3,165.0,36.0,37.0
21,1,17,3,109.0,1.0,0.0
22,1,5,5,115.0,9.0,0.0
23,1,136,2,0.0,0.0,32.4
24,1,136,2,0.0,0.0,34.0
25,2,8,1,171.0,76.0,27.8
26,2,10,1,57.0,42.0,24.9
27,2,11,1,278.0,52.0,31.8
28,2,14,1,123.0,14.0,29.8
29,2,18,1,49.0,16.0,24.2
30,2,22,1,206.0,23.0,20.5
31,2,27,1,136.0,41.0,20.7
32,2,28,1,314.0,24.0,19.2
33,2,32,1,108.0,23.0,24.9
34,2,3,1,0.0,0.0,0.0
35,2,30,1,0.0,0.0,0.0
36,2,10,3,312.0,23.0,27.2
37,2,2,3,28.0,18.0,32.1
38,2,18,3,95.0,47.0,23.6
39,2,9,3,254.0,13.0,17.6
40,2,11,3,0.0,0.0,22.8
41,2,20,3,298.0,14.0,17.7
42,2,19,3,329.0,66.0,19.6
43,2,3,3,78.0,58.0,23.9
44,2,4,3,165.0,36.0,37.8
45,2,17,3,109.0,1.0,0.0
46,2,5,5,115.0,9.0,30.0
47,2,136,2,0.0,0.0,34.6
48,2,136,2,0.0,0.0,34.0
49,3,8,1,171.0,76.0,27.3
50,3,10,1,57.0,42.0,27.3
51,3,11,1,278.0,52.0,29.7
52,3,14,1,123.0,14.0,30.9
53,3,18,1,49.0,16.0,24.7
54,3,22,1,206.0,23.0,23.9
55,3,27,1,136.0,41.0,23.3
56,3,32,1,108.0,23.0,27.0
57,3,3,1,0.0,0.0,0.0
58,3,30,1,0.0,0.0,0.0
59,3,10,3,312.0,23.0,24.0
60,3,2,3,28.0,18.0,32.8
61,3,18,3,95.0,47.0,25.3
62,3,9,3,254.0,13.0,17.6
63,3,20,3,298.0,14.0,17.7
64,3,19,3,329.0,66.0,26.6
65,3,3,3,78.0,58.0,24.0
66,3,4,3,165.0,36.0,38.8
67,3,17,3,109.0,1.0,0.0
68,3,136,2,0.0,0.0,36.6
69,3,17,3,109.0,1.0,0.0
70,4,8,1,171.0,76.0,26.2
71,4,11,1,278.0,52.0,28.1
72,4,14,1,123.0,14.0,30.9
73,4,18,1,49.0,16.0,23.3
74,4,22,1,206.0,23.0,28.2
75,4,32,1,108.0,23.0,25.9
76,4,3,1,0.0,0.0,0.0
77,4,28,1,314.0,24.0,0.0
78,4,30,1,0.0,0.0,0.0
79,4,2,3,28.0,18.0,32.5
80,4,18,3,95.0,47.0,27.0
81,4,3,3,78.0,58.0,22.7
82,4,4,3,165.0,36.0,39.0
83,4,9,3,254.0,13.0,0.0
84,4,11,3,0.0,0.0,0.0
85,4,20,3,298.0,14.0,0.0
86,4,17,3,109.0,1.0,0.0
87,4,136,2,0.0,0.0,37.3
88,4,17,3,109.0,1.0,0.0
89,5,8,1,171.0,76.0,24.6
90,5,11,1,278.0,52.0,29.3
91,5,14,1,123.0,14.0,30.0
92,5,18,1,49.0,16.0,25.8
93,5,22,1,206.0,23.0,27.7
94,5,32,1,108.0,23.0,24.5
95,5,3,1,0.0,0.0,0.0
96,5,10,1,57.0,42.0,0.0
97,5,27,1,136.0,41.0,0.0
98,5,28,1,314.0,24.0,0.0
99,5,30,1,0.0,0.0,0.0
100,5,2,3,28.0,18.0,33.2
101,5,18,3,95.0,47.0,27.6
102,5,9,3,254.0,13.0,23.7
103,5,19,3,329.0,66.0,22.4
104,5,3,3,78.0,58.0,27.7
105,5,4,3,165.0,36.0,38.6
106,5,10,3,312.0,23.0,0.0
107,5,11,3,0.0,0.0,0.0
108,5,20,3,298.0,14.0,0.0
109,5,17,3,109.0,1.0,0.0
110,5,136,2,0.0,0.0,36.0
111,5,136,2,0.0,0.0,34.6
112,6,8,1,171.0,76.0,25.6
113,6,11,1,278.0,52.0,29.9
114,6,14,1,123.0,14.0,29.7
115,6,18,1,49.0,16.0,24.3
116,6,22,1,206.0,23.0,29.6
117,6,28,1,314.0,24.0,23.2
118,6,3,1,0.0,0.0,0.0
119,6,10,1,57.0,42.0,0.0
120,6,27,1,136.0,41.0,0.0
121,6,30,1,0.0,0.0,0.0
122,6,2,3,28.0,18.0,34.0
123,6,18,3,95.0,47.0,27.4
124,6,3,3,78.0,58.0,25.0
