e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,7,21,12,28,40,51.47600909,0.00097933,-1.0,0.6
2,2017,7,21,12,28,41,51.47460878,0.00107398,-1.0,0.6
3,2017,7,21,12,28,42,51.47461158,0.00107361,-1.0,0.6
4,2017,7,21,12,28,43,51.47461158,0.00107361,-1.0,0.6
5,2017,7,21,12,28,45,51.47461434,0.0010729,-1.0,0.6
6,2017,7,21,12,28,46,51.47461455,0.00106638,-1.0,0.6
7,2017,7,21,12,28,47,51.47461329,0.00106113,-1.0,0.6
8,2017,7,21,12,28,48,51.47461329,0.00106113,-1.0,0.6
9,2017,7,21,12,28,49,51.4746124,0.00104975,-1.0,0.6
10,2017,7,21,12,28,50,51.47461246,0.00104887,-1.0,0.6
11,2017,7,21,12,28,51,51.47461298,0.00104896,-1.0,0.6
12,2017,7,21,12,28,52,51.4746129,0.00104964,-1.0,0.6
13,2017,7,21,12,28,54,51.47461334,0.00104902,-1.0,0.6
14,2017,7,21,12,28,55,51.47461307,0.00104964,-1.0,0.6
15,2017,7,21,12,28,56,51.4746131,0.0010496,-1.0,0.6
16,2017,7,21,12,28,57,51.47461311,0.00104956,-1.0,0.6
17,2017,7,21,12,28,59,51.47461305,0.00104953,-1.0,0.6
18,2017,7,21,12,29,0,51.47461305,0.00104953,-1.0,0.6
19,2017,7,21,12,29,1,51.47461325,0.00104887,-1.0,0.7
20,2017,7,21,12,29,2,51.47461325,0.00104887,-1.0,0.7
21,2017,7,21,12,29,4,51.47461324,0.0010489,-1.0,0.7
22,2017,7,21,12,29,5,51.47461321,0.00104878,-1.0,0.7
23,2017,7,21,12,29,6,51.47461324,0.0010487,-1.0,0.7
24,2017,7,21,12,29,7,51.47461324,0.0010487,-1.0,0.7
25,2017,7,21,12,29,8,51.47461323,0.0010485,-1.0,0.7
26,2017,7,21,12,29,9,51.47461323,0.0010485,-1.0,0.7
27,2017,7,21,12,29,10,51.47461314,0.00104851,-1.0,0.7
28,2017,7,21,12,29,12,51.4746131,0.0010485,-1.0,0.7
29,2017,7,21,12,29,14,51.474613,0.00104843,-1.0,0.7
30,2017,7,21,12,29,15,51.474613,0.00104843,-1.0,0.7
31,2017,7,21,12,29,16,51.474613,0.00104842,-1.0,0.7
32,2017,7,21,12,29,18,51.4746131,0.00104846,-1.0,0.7
33,2017,7,21,12,29,19,51.47461311,0.00104845,-1.0,0.7
34,2017,7,21,12,29,20,51.47461309,0.00104844,-1.0,0.7
35,2017,7,21,12,29,21,51.4746131,0.00104842,-1.0,0.7
36,2017,7,21,12,29,23,51.47461307,0.00104834,-1.0,0.7
37,2017,7,21,12,29,24,51.47461307,0.00104834,-1.0,0.7
38,2017,7,21,12,29,25,51.47461301,0.00104842,-1.0,0.7
39,2017,7,21,12,29,27,51.474613,0.00104845,-1.0,0.7
40,2017,7,21,12,29,28,51.474613,0.00104845,-1.0,0.7
41,2017,7,21,12,29,29,51.47461301,0.00104836,-1.0,0.7
42,2017,7,21,12,29,30,51.474613,0.00104827,-1.0,0.7
43,2017,7,21,12,29,31,51.474613,0.00104825,-1.0,0.7
44,2017,7,21,12,29,32,51.47461297,0.00104825,-1.0,0.7
45,2017,7,21,12,29,33,51.47461288,0.00104823,-1.0,0.7
46,2017,7,21,12,29,34,51.47461284,0.00104819,-1.0,0.7
47,2017,7,21,12,29,35,51.47461283,0.00104818,-1.0,0.7
48,2017,7,21,12,29,36,51.47461283,0.00104817,-1.0,0.7
49,2017,7,21,12,29,37,51.47461281,0.00104812,-1.0,0.7
50,2017,7,21,12,29,38,51.47461277,0.00104815,-1.0,0.7
51,2017,7,21,12,29,39,51.47461274,0.00104813,-1.0,0.6
52,2017,7,21,12,29,40,51.47461267,0.00104808,-1.0,0.7
53,2017,7,21,12,29,41,51.47461268,0.00104808,-1.0,0.7
54,2017,7,21,12,29,42,51.47461268,0.00104808,-1.0,0.7
55,2017,7,21,12,29,43,51.47461266,0.00104807,-1.0,0.7
56,2017,7,21,12,29,44,51.47461262,0.00104804,-1.0,0.7
57,2017,7,21,12,29,46,51.47461261,0.00104793,-1.0,0.7
58,2017,7,21,12,29,48,51.47461262,0.00104776,-1.0,0.7
59,2017,7,21,12,29,49,51.47461262,0.00104776,-1.0,0.6
60,2017,7,21,12,29,51,51.47461262,0.00104776,-1.0,0.6
61,2017,7,21,12,29,52,51.47461262,0.00104776,-1.0,0.6
62,2017,7,21,12,51,53,51.47461262,0.00104776,-1.0,-1.0
63,2017,7,21,12,51,54,51.47461262,0.00104776,-1.0,-1.0
64,2017,7,21,12,51,55,51.47461262,0.00104776,-1.0,-1.0
65,2017,7,21,12,51,56,51.47461262,0.00104776,-1.0,-1.0
66,2017,7,21,12,51,57,51.47461262,0.00104776,-1.0,-1.0
67,2017,7,21,12,51,58,51.47461262,0.00104776,-1.0,-1.0
68,2017,7,21,12,51,59,51.47461262,0.00104776,-1.0,-1.0
69,2017,7,21,12,52,0,51.47461262,0.00104776,-1.0,-1.0
70,2017,7,21,12,52,1,51.47461262,0.00104776,-1.0,0.9
71,2017,7,21,12,52,2,51.47461262,0.00104776,-1.0,1.2
72,2017,7,21,12,52,3,51.47461262,0.00104776,-1.0,0.8
73,2017,7,21,12,52,4,51.47461262,0.00104776,-1.0,0.8
74,2017,7,21,12,52,5,51.47461262,0.00104776,-1.0,0.8
75,2017,7,21,12,52,6,51.47461262,0.00104776,-1.0,0.8
76,2017,7,21,12,52,7,51.47461262,0.00104776,-1.0,0.8
