e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,8,19,11,3,57,51.48337152,-0.00618272,-1.0,5.1
2,2017,8,19,11,3,58,51.48339638,-0.00629941,-1.0,5.1
3,2017,8,19,11,3,59,51.48319674,-0.00604783,-1.0,5.1
4,2017,8,19,11,4,0,51.4831989,-0.00607026,-1.0,3.3
5,2017,8,19,11,4,1,51.48320351,-0.0060682,-1.0,2.0
6,2017,8,19,11,4,2,51.48320351,-0.0060682,-1.0,2.0
7,2017,8,19,11,4,3,51.4831702,-0.00602251,-1.0,2.0
8,2017,8,19,11,4,4,51.48315313,-0.00601869,-1.0,1.8
9,2017,8,19,11,4,5,51.48313889,-0.00601871,-1.0,1.1
10,2017,8,19,11,4,6,51.48314409,-0.00602963,-1.0,1.1
11,2017,8,19,11,4,7,51.48314734,-0.0060431,-1.0,1.1
12,2017,8,19,11,4,8,51.48314734,-0.0060431,-1.0,1.1
13,2017,8,19,11,4,9,51.48311906,-0.00606279,-1.0,1.4
14,2017,8,19,11,4,10,51.48311906,-0.00606279,-1.0,1.2
15,2017,8,19,11,4,11,51.48307112,-0.00605492,-1.0,1.2
16,2017,8,19,11,4,12,51.48304729,-0.00603893,-1.0,1.2
17,2017,8,19,11,4,13,51.48304729,-0.00603893,-1.0,1.2
18,2017,8,19,11,4,14,51.48305138,-0.00603912,-1.0,1.2
19,2017,8,19,11,4,15,51.48306002,-0.00605126,-1.0,1.9
20,2017,8,19,11,4,16,51.48306907,-0.00605536,-1.0,1.9
21,2017,8,19,11,4,17,51.48305506,-0.00605153,-1.0,3.3
22,2017,8,19,11,4,18,51.48305036,-0.00605117,-1.0,1.6
23,2017,8,19,11,4,19,51.48305036,-0.00605117,-1.0,1.6
24,2017,8,19,11,4,20,51.48305125,-0.00604949,-1.0,1.6
25,2017,8,19,11,4,21,51.48305366,-0.00604349,-1.0,1.6
26,2017,8,19,11,4,22,51.48305475,-0.00604283,-1.0,1.1
27,2017,8,19,11,4,23,51.48305475,-0.00604283,-1.0,1.0
28,2017,8,19,11,4,24,51.48306542,-0.00604243,-1.0,1.0
29,2017,8,19,11,4,25,51.48306542,-0.00604243,-1.0,1.0
30,2017,8,19,11,4,26,51.48306594,-0.00603306,-1.0,1.0
31,2017,8,19,11,4,27,51.48307656,-0.00603788,-1.0,1.0
32,2017,8,19,11,4,28,51.48307656,-0.00603788,-1.0,1.0
33,2017,8,19,11,4,29,51.48308203,-0.00604155,-1.0,1.0
34,2017,8,19,11,4,30,51.48308113,-0.0060439,-1.0,1.0
35,2017,8,19,11,4,31,51.48308112,-0.00604467,-1.0,1.0
36,2017,8,19,11,4,32,51.48308152,-0.00604521,-1.0,1.0
37,2017,8,19,11,4,33,51.48308421,-0.00604732,-1.0,1.4
38,2017,8,19,11,4,34,51.48308479,-0.00604743,-1.0,1.0
39,2017,8,19,11,4,35,51.48308474,-0.0060474,-1.0,1.0
40,2017,8,19,11,4,36,51.48308483,-0.0060475,-1.0,1.0
