obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,5,1,29.0,10.0,30.9
2,1,16,1,298.0,59.0,23.3
3,1,18,1,137.0,15.0,18.3
4,1,27,1,265.0,31.0,32.0
5,1,9,1,310.0,1.0,0.0
6,1,20,1,71.0,27.0,0.0
7,1,21,1,116.0,69.0,0.0
8,1,26,1,212.0,79.0,0.0
9,1,29,1,75.0,21.0,0.0
10,1,31,1,196.0,17.0,0.0
11,1,6,3,40.0,18.0,14.8
12,1,22,3,43.0,52.0,15.7
13,1,5,3,350.0,3.0,26.1
14,1,24,3,243.0,13.0,26.8
15,1,23,3,260.0,60.0,23.2
16,1,13,3,270.0,65.0,0.0
17,1,12,3,178.0,31.0,0.0
18,1,21,3,0.0,0.0,0.0
19,1,7,3,90.0,11.0,0.0
20,1,5,5,113.0,11.0,0.0
21,1,6,5,56.0,9.0,0.0
22,1,9,5,81.0,4.0,0.0
23,1,11,5,320.0,86.0,0.0
24,1,12,5,68.0,31.0,0.0
25,1,13,5,56.0,5.0,0.0
26,1,15,5,0.0,0.0,0.0
27,1,193,4,0.0,0.0,19.5
28,1,193,4,0.0,0.0,19.5
29,2,5,1,29.0,10.0,25.7
30,2,16,1,298.0,59.0,23.9
31,2,18,1,137.0,15.0,17.5
32,2,27,1,265.0,31.0,26.6
33,2,9,1,310.0,1.0,0.0
34,2,20,1,71.0,27.0,0.0
35,2,21,1,116.0,69.0,0.0
36,2,26,1,212.0,79.0,0.0
37,2,29,1,75.0,21.0,0.0
38,2,31,1,196.0,17.0,0.0
39,2,6,3,40.0,18.0,15.5
40,2,22,3,43.0,52.0,15.5
41,2,5,3,350.0,3.0,26.1
42,2,24,3,243.0,13.0,28.0
43,2,23,3,260.0,60.0,20.7
44,2,13,3,270.0,65.0,0.0
45,2,12,3,178.0,31.0,0.0
46,2,21,3,0.0,0.0,0.0
47,2,7,3,90.0,11.0,0.0
48,2,5,5,113.0,11.0,0.0
49,2,6,5,56.0,9.0,0.0
50,2,9,5,81.0,4.0,0.0
51,2,11,5,320.0,86.0,0.0
52,2,12,5,68.0,31.0,0.0
53,2,13,5,56.0,5.0,0.0
54,2,15,5,0.0,0.0,0.0
55,2,193,4,0.0,0.0,19.5
56,2,193,4,0.0,0.0,19.5
57,3,5,1,29.0,10.0,20.7
58,3,16,1,298.0,59.0,18.5
59,3,18,1,137.0,15.0,16.2
60,3,27,1,265.0,31.0,21.4
61,3,9,1,310.0,1.0,0.0
62,3,20,1,71.0,27.0,0.0
63,3,21,1,116.0,69.0,0.0
64,3,26,1,212.0,79.0,0.0
65,3,29,1,75.0,21.0,0.0
66,3,31,1,196.0,17.0,0.0
67,3,6,3,40.0,18.0,16.3
68,3,22,3,43.0,52.0,15.4
69,3,5,3,350.0,3.0,26.1
70,3,24,3,243.0,13.0,25.8
71,3,23,3,260.0,60.0,21.5
72,3,13,3,270.0,65.0,0.0
73,3,12,3,178.0,31.0,0.0
74,3,21,3,0.0,0.0,0.0
75,3,7,3,90.0,11.0,0.0
76,3,6,5,56.0,9.0,26.6
77,3,5,5,113.0,11.0,0.0
78,3,9,5,81.0,4.0,0.0
79,3,11,5,320.0,86.0,0.0
80,3,12,5,68.0,31.0,0.0
81,3,13,5,56.0,5.0,0.0
82,3,15,5,0.0,0.0,0.0
83,3,193,4,0.0,0.0,19.5
84,3,193,4,0.0,0.0,19.5
85,4,5,1,29.0,10.0,20.2
86,4,16,1,298.0,59.0,20.4
