obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,10,1,54.0,37.0,26.6
2,1,11,1,279.0,56.0,19.1
3,1,14,1,120.0,18.0,23.6
4,1,18,1,47.0,11.0,21.6
5,1,22,1,208.0,28.0,16.0
6,1,27,1,139.0,35.0,18.8
7,1,28,1,312.0,27.0,33.7
8,1,32,1,104.0,26.0,29.9
9,1,3,1,212.0,4.0,0.0
10,1,8,1,165.0,71.0,0.0
11,1,6,3,28.0,16.0,23.9
12,1,22,3,98.0,47.0,28.1
13,1,15,3,350.0,13.0,33.1
14,1,24,3,300.0,16.0,32.5
15,1,23,3,324.0,63.0,24.2
16,1,7,3,70.0,57.0,21.1
17,1,13,3,257.0,11.0,0.0
18,1,1,3,188.0,2.0,0.0
19,1,8,3,163.0,43.0,0.0
20,1,6,5,30.0,12.0,34.7
21,1,5,5,115.0,9.0,0.0
22,1,9,5,50.0,32.0,0.0
23,1,15,5,49.0,30.0,0.0
24,1,15,5,50.0,30.0,0.0
25,2,10,1,54.0,37.0,20.9
26,2,11,1,279.0,56.0,19.1
27,2,14,1,120.0,18.0,21.3
28,2,18,1,47.0,11.0,21.6
29,2,22,1,208.0,28.0,16.0
30,2,27,1,139.0,35.0,18.8
31,2,28,1,312.0,27.0,31.3
32,2,32,1,104.0,26.0,23.3
33,2,3,1,212.0,4.0,0.0
34,2,8,1,165.0,71.0,0.0
35,2,6,3,28.0,16.0,26.2
36,2,22,3,98.0,47.0,32.3
37,2,15,3,350.0,13.0,26.3
38,2,24,3,300.0,16.0,32.8
39,2,23,3,324.0,63.0,18.6
40,2,7,3,70.0,57.0,19.9
41,2,13,3,257.0,11.0,0.0
42,2,1,3,188.0,2.0,0.0
43,2,8,3,163.0,43.0,0.0
44,2,6,5,30.0,12.0,32.1
45,2,5,5,115.0,9.0,0.0
46,2,9,5,50.0,32.0,0.0
47,2,15,5,49.0,30.0,0.0
48,2,15,5,50.0,30.0,0.0
49,3,8,1,165.0,71.0,16.8
50,3,10,1,54.0,37.0,33.2
51,3,11,1,279.0,56.0,15.3
52,3,14,1,120.0,18.0,21.6
53,3,18,1,47.0,11.0,21.6
54,3,22,1,208.0,28.0,16.1
55,3,27,1,139.0,35.0,18.8
56,3,28,1,312.0,27.0,32.5
57,3,32,1,104.0,26.0,28.1
58,3,3,1,212.0,4.0,0.0
59,3,6,3,28.0,16.0,27.3
60,3,22,3,98.0,47.0,31.9
61,3,15,3,350.0,13.0,24.1
62,3,24,3,300.0,16.0,33.8
63,3,23,3,324.0,63.0,22.8
64,3,7,3,70.0,57.0,22.9
65,3,13,3,257.0,11.0,0.0
66,3,1,3,188.0,2.0,0.0
67,3,8,3,163.0,43.0,0.0
68,3,6,5,30.0,12.0,31.7
69,3,5,5,115.0,9.0,0.0
70,3,9,5,50.0,32.0,0.0
71,3,15,5,49.0,30.0,0.0
72,3,15,5,50.0,30.0,0.0
73,4,8,1,165.0,71.0,16.7
74,4,10,1,54.0,37.0,31.7
75,4,11,1,279.0,56.0,15.3
76,4,14,1,120.0,18.0,27.5
77,4,18,1,47.0,11.0,15.1
78,4,22,1,208.0,28.0,16.1
79,4,27,1,139.0,35.0,18.8
80,4,28,1,312.0,27.0,34.1
81,4,32,1,104.0,26.0,27.4
82,4,3,1,212.0,4.0,0.0
83,4,6,3,28.0,16.0,29.3
84,4,22,3,98.0,47.0,29.8
85,4,15,3,350.0,13.0,25.1
86,4,24,3,300.0,16.0,31.5
87,4,23,3,324.0,63.0,23.8
88,4,7,3,70.0,57.0,22.3
89,4,13,3,257.0,11.0,0.0
90,4,1,3,188.0,2.0,0.0
91,4,8,3,163.0,43.0,0.0
92,4,6,5,30.0,12.0,32.1
93,4,5,5,115.0,9.0,0.0
94,4,9,5,50.0,32.0,0.0
95,4,15,5,49.0,30.0,0.0
96,4,15,5,50.0,30.0,0.0
97,5,8,1,165.0,71.0,16.2
98,5,10,1,54.0,37.0,25.6
99,5,11,1,279.0,56.0,16.5
100,5,14,1,120.0,18.0,28.0
101,5,18,1,47.0,11.0,18.8
102,5,22,1,208.0,28.0,16.1
103,5,27,1,139.0,35.0,18.8
104,5,28,1,312.0,27.0,31.1
105,5,32,1,104.0,26.0,25.7
106,5,3,1,212.0,4.0,0.0
107,5,6,3,28.0,16.0,24.5
108,5,22,3,98.0,47.0,24.3
109,5,15,3,350.0,13.0,26.0
110,5,24,3,300.0,16.0,29.8
111,5,23,3,324.0,63.0,20.1
112,5,7,3,70.0,57.0,22.6
113,5,13,3,257.0,11.0,0.0
114,5,1,3,188.0,2.0,0.0
115,5,8,3,163.0,43.0,0.0
116,5,6,5,30.0,12.0,29.9
117,5,5,5,115.0,9.0,0.0
118,5,9,5,50.0,32.0,0.0
119,5,15,5,49.0,30.0,0.0
120,5,15,5,50.0,30.0,0.0
121,6,8,1,165.0,71.0,15.9
122,6,10,1,54.0,37.0,21.6
123,6,11,1,279.0,56.0,19.0
124,6,14,1,120.0,18.0,28.5
125,6,18,1,47.0,11.0,20.1
126,6,22,1,208.0,28.0,16.1
127,6,27,1,139.0,35.0,18.8
128,6,28,1,312.0,27.0,33.7
129,6,32,1,104.0,26.0,28.1
130,6,3,1,212.0,4.0,0.0
131,6,6,3,28.0,16.0,22.0
132,6,22,3,98.0,47.0,21.2
133,6,15,3,350.0,13.0,28.6
134,6,24,3,300.0,16.0,29.9
135,6,23,3,324.0,63.0,21.7
136,6,7,3,70.0,57.0,22.2
137,6,13,3,257.0,11.0,0.0
