e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,8,19,10,57,49,51.48317691,-0.00988535,-1.0,1.0
2,2017,8,19,10,57,50,51.48320684,-0.00579712,-1.0,1.6
3,2017,8,19,10,57,51,51.48320684,-0.00579712,-1.0,1.6
4,2017,8,19,10,57,52,51.48320966,-0.00578597,-1.0,1.0
5,2017,8,19,10,57,53,51.48320966,-0.00578597,-1.0,1.0
6,2017,8,19,10,57,54,51.48320024,-0.00577672,-1.0,1.0
7,2017,8,19,10,57,55,51.48320434,-0.00576157,-1.0,1.0
8,2017,8,19,10,57,56,51.48320434,-0.00576157,-1.0,1.1
9,2017,8,19,10,57,57,51.48320997,-0.00575617,-1.0,1.1
10,2017,8,19,10,57,58,51.48321333,-0.00575438,-1.0,1.9
11,2017,8,19,10,57,59,51.48321911,-0.005753,-1.0,1.4
12,2017,8,19,10,58,0,51.48321911,-0.005753,-1.0,1.3
13,2017,8,19,10,58,1,51.48323174,-0.00575413,-1.0,1.3
14,2017,8,19,10,58,2,51.48322849,-0.00575332,-1.0,1.3
15,2017,8,19,10,58,3,51.48322715,-0.00575302,-1.0,1.3
16,2017,8,19,10,58,4,51.48322665,-0.00575274,-1.0,1.3
17,2017,8,19,10,58,5,51.48322722,-0.0057529,-1.0,1.3
18,2017,8,19,10,58,6,51.48322742,-0.00575299,-1.0,1.3
19,2017,8,19,10,58,7,51.4832274,-0.00575295,-1.0,1.3
20,2017,8,19,10,58,8,51.48322733,-0.00575303,-1.0,1.3
21,2017,8,19,10,58,9,51.48322666,-0.00575299,-1.0,1.5
22,2017,8,19,10,58,10,51.48322652,-0.00575303,-1.0,1.0
23,2017,8,19,10,58,11,51.48322672,-0.00575322,-1.0,1.0
24,2017,8,19,10,58,12,51.4832269,-0.00575336,-1.0,1.0
25,2017,8,19,10,58,13,51.48322696,-0.00575337,-1.0,1.0
26,2017,8,19,10,58,14,51.48322715,-0.0057534,-1.0,1.0
27,2017,8,19,10,58,15,51.48322719,-0.00575326,-1.0,1.0
28,2017,8,19,10,58,16,51.48322719,-0.00575326,-1.0,1.5
29,2017,8,19,10,58,17,51.48322716,-0.00575296,-1.0,1.5
30,2017,8,19,10,58,18,51.48322742,-0.00575298,-1.0,1.5
31,2017,8,19,10,58,19,51.48322743,-0.0057528,-1.0,1.5
32,2017,8,19,10,58,20,51.48322743,-0.0057528,-1.0,1.5
33,2017,8,19,10,58,21,51.48322763,-0.00575288,-1.0,1.3
34,2017,8,19,10,58,22,51.48322772,-0.00575279,-1.0,1.3
35,2017,8,19,10,58,23,51.48322772,-0.00575279,-1.0,1.3
36,2017,8,19,10,58,24,51.48322811,-0.00575297,-1.0,1.3
37,2017,8,19,10,58,25,51.48322857,-0.00575327,-1.0,1.3
38,2017,8,19,10,58,26,51.48322857,-0.00575327,-1.0,1.3
39,2017,8,19,10,58,27,51.48323209,-0.00575356,-1.0,0.9
40,2017,8,19,10,58,28,51.48323229,-0.00575359,-1.0,0.9
41,2017,8,19,10,58,29,51.4832323,-0.00575357,-1.0,0.9
42,2017,8,19,10,58,30,51.48323218,-0.00575357,-1.0,0.9
43,2017,8,19,10,58,31,51.48323226,-0.00575354,-1.0,0.9
44,2017,8,19,10,58,32,51.48323459,-0.00575359,-1.0,0.9
45,2017,8,19,10,58,33,51.48323535,-0.00575361,-1.0,1.0
46,2017,8,19,10,58,34,51.48323535,-0.00575361,-1.0,1.0
47,2017,8,19,10,58,35,51.48323531,-0.00575384,-1.0,1.0
48,2017,8,19,10,58,36,51.48323523,-0.00575412,-1.0,0.9
49,2017,8,19,10,58,37,51.4832349,-0.00575427,-1.0,0.9
50,2017,8,19,10,58,38,51.4832348,-0.00575424,-1.0,0.9
51,2017,8,19,10,58,39,51.48323604,-0.00576186,-1.0,1.2
52,2017,8,19,10,58,40,51.48323604,-0.00576186,-1.0,1.3
53,2017,8,19,10,58,41,51.4832193,-0.00577719,-1.0,0.9
54,2017,8,19,10,58,42,51.48318763,-0.00579611,-1.0,1.0
