e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,7,20,5,34,21,51.4781488,-0.01380021,-1.0,0.6
2,2017,7,20,5,34,22,51.47818637,-0.01381608,-1.0,0.6
3,2017,7,20,5,34,23,51.47818748,-0.01381741,-1.0,0.6
4,2017,7,20,5,34,24,51.47819314,-0.01382085,-1.0,0.6
5,2017,7,20,5,34,25,51.47819941,-0.01382097,-1.0,0.6
6,2017,7,20,5,34,26,51.47820523,-0.01381618,-1.0,0.6
7,2017,7,20,5,34,27,51.47820523,-0.01381618,-1.0,0.6
8,2017,7,20,5,34,28,51.47821807,-0.01381287,-1.0,0.6
9,2017,7,20,5,34,29,51.47822165,-0.01381049,-1.0,0.6
10,2017,7,20,5,34,30,51.47822117,-0.01381037,-1.0,0.6
11,2017,7,20,5,34,31,51.47822157,-0.01380981,-1.0,0.6
12,2017,7,20,5,34,32,51.47822202,-0.01380924,-1.0,0.6
13,2017,7,20,5,34,33,51.47822202,-0.01380924,-1.0,0.6
14,2017,7,20,5,34,34,51.47822259,-0.01380892,-1.0,0.7
15,2017,7,20,5,34,35,51.47822259,-0.01380892,-1.0,0.7
16,2017,7,20,5,34,36,51.47822274,-0.01380904,-1.0,0.7
17,2017,7,20,5,34,37,51.4782229,-0.01380896,-1.0,0.7
18,2017,7,20,5,34,38,51.47822411,-0.0138099,-1.0,0.6
19,2017,7,20,5,34,39,51.47822798,-0.01381366,-1.0,0.6
20,2017,7,20,5,34,40,51.47822798,-0.01381366,-1.0,0.6
21,2017,7,20,5,34,41,51.47822246,-0.01381398,-1.0,0.6
22,2017,7,20,5,34,42,51.47822246,-0.01381398,-1.0,0.6
23,2017,7,20,5,34,43,51.47822209,-0.01380243,-1.0,0.7
24,2017,7,20,5,34,44,51.47822086,-0.01379655,-1.0,0.7
25,2017,7,20,5,34,45,51.47822086,-0.01379655,-1.0,0.7
26,2017,7,20,5,34,46,51.47821916,-0.01378752,-1.0,0.8
27,2017,7,20,5,34,47,51.47821887,-0.0137788,-1.0,0.8
28,2017,7,20,5,34,48,51.47821915,-0.01377673,-1.0,0.8
29,2017,7,20,5,34,49,51.47821934,-0.01377514,-1.0,0.8
30,2017,7,20,5,34,50,51.47821959,-0.01377433,-1.0,0.9
31,2017,7,20,5,34,51,51.47821976,-0.0137736,-1.0,0.9
32,2017,7,20,5,34,52,51.47821976,-0.0137736,-1.0,0.9
33,2017,7,20,5,34,53,51.47821956,-0.01377285,-1.0,0.9
34,2017,7,20,5,34,54,51.47821934,-0.01377272,-1.0,0.9
35,2017,7,20,5,34,55,51.47822039,-0.01377326,-1.0,0.9
36,2017,7,20,5,34,56,51.47822068,-0.01377333,-1.0,0.7
37,2017,7,20,5,34,57,51.47822238,-0.01377434,-1.0,0.7
38,2017,7,20,5,34,58,51.47822284,-0.01377456,-1.0,0.6
39,2017,7,20,5,34,59,51.47822341,-0.01377492,-1.0,0.6
40,2017,7,20,5,35,0,51.47822341,-0.01377492,-1.0,0.6
41,2017,7,20,5,35,1,51.47822341,-0.01377492,-1.0,0.6
42,2017,7,20,5,35,2,51.47822341,-0.01377492,-1.0,0.6
43,2017,7,20,5,35,3,51.47822341,-0.01377492,-1.0,0.6
44,2017,7,20,5,35,4,51.47822341,-0.01377492,-1.0,0.7
45,2017,7,20,5,35,5,51.47822341,-0.01377492,-1.0,0.6
46,2017,7,20,5,35,6,51.47822341,-0.01377492,-1.0,0.6
47,2017,7,20,5,35,7,51.47822341,-0.01377492,-1.0,0.6
48,2017,7,20,5,35,8,51.47822341,-0.01377492,-1.0,0.6
49,2017,7,20,5,35,9,51.47822341,-0.01377492,-1.0,0.6
50,2017,7,20,5,35,10,51.47822341,-0.01377492,-1.0,0.6
51,2017,7,20,5,35,11,51.47822341,-0.01377492,-1.0,0.6
52,2017,7,20,5,35,12,51.47822341,-0.01377492,-1.0,0.6
53,2017,7,20,5,35,13,51.47822341,-0.01377492,-1.0,0.6
54,2017,7,20,5,35,14,51.47822341,-0.01377492,-1.0,0.6
55,2017,7,20,5,35,15,51.47822341,-0.01377492,-1.0,0.6
56,2017,7,20,5,35,16,51.47822341,-0.01377492,-1.0,0.6
57,2017,7,20,5,35,17,51.47822341,-0.01377492,-1.0,0.6
58,2017,7,20,5,35,18,51.47822341,-0.01377492,-1.0,0.6
59,2017,7,20,5,35,19,51.47822341,-0.01377492,-1.0,0.6
60,2017,7,20,5,35,20,51.47822341,-0.01377492,-1.0,0.6
61,2017,7,20,5,35,21,51.47822341,-0.01377492,-1.0,0.6
62,2017,7,20,5,35,22,51.47822341,-0.01377492,-1.0,0.6
63,2017,7,20,5,35,23,51.47822341,-0.01377492,-1.0,0.6
64,2017,7,20,5,35,24,51.47822341,-0.01377492,-1.0,0.6
65,2017,7,20,5,35,25,51.47822341,-0.01377492,-1.0,0.6
66,2017,7,20,5,35,26,51.47822341,-0.01377492,-1.0,0.6
67,2017,7,20,5,35,27,51.47822341,-0.01377492,-1.0,0.6
68,2017,7,20,5,35,28,51.47822341,-0.01377492,-1.0,0.6
69,2017,7,20,5,35,29,51.47822341,-0.01377492,-1.0,0.6
70,2017,7,20,5,35,30,51.47822341,-0.01377492,-1.0,0.6
71,2017,7,20,5,35,31,51.47822341,-0.01377492,-1.0,0.6
72,2017,7,20,5,35,32,51.47822341,-0.01377492,-1.0,0.6
73,2017,7,20,5,35,33,51.47822341,-0.01377492,-1.0,0.6
74,2017,7,20,5,35,34,51.47822341,-0.01377492,-1.0,0.6
75,2017,7,20,5,35,35,51.47822341,-0.01377492,-1.0,0.6
76,2017,7,20,5,35,36,51.47822341,-0.01377492,-1.0,0.6
77,2017,7,20,5,35,37,51.47822341,-0.01377492,-1.0,0.6
78,2017,7,20,5,35,38,51.47822341,-0.01377492,-1.0,0.6
79,2017,7,20,5,35,39,51.47822341,-0.01377492,-1.0,0.6
80,2017,7,20,5,35,40,51.47822341,-0.01377492,-1.0,0.6
81,2017,7,20,5,35,41,51.47822341,-0.01377492,-1.0,0.6
82,2017,7,20,5,35,42,51.47822341,-0.01377492,-1.0,0.6
83,2017,7,20,5,35,43,51.47822341,-0.01377492,-1.0,0.6
84,2017,7,20,5,35,44,51.47822341,-0.01377492,-1.0,0.6
85,2017,7,20,5,35,45,51.47822341,-0.01377492,-1.0,0.6
86,2017,7,20,5,35,46,51.47822341,-0.01377492,-1.0,0.6
87,2017,7,20,5,35,47,51.47822341,-0.01377492,-1.0,0.6
88,2017,7,20,5,35,48,51.47822341,-0.01377492,-1.0,0.6
