obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,7,1,295.0,18.0,28.1
2,1,8,1,291.0,48.0,24.3
3,1,10,1,129.0,47.0,18.0
4,1,11,1,258.0,7.0,16.1
5,1,13,1,12.0,4.0,30.0
6,1,15,1,42.0,8.0,28.8
7,1,16,1,181.0,47.0,24.7
8,1,18,1,80.0,45.0,26.1
9,1,21,1,64.0,28.0,26.1
10,1,26,1,168.0,21.0,16.5
11,1,27,1,343.0,85.0,24.9
12,1,30,1,326.0,10.0,29.0
13,1,20,1,0.0,0.0,0.0
14,1,13,3,203.0,8.0,23.7
15,1,15,3,307.0,37.0,32.6
16,1,1,3,137.0,21.0,18.9
17,1,24,3,314.0,64.0,19.3
18,1,23,3,63.0,49.0,18.6
19,1,17,3,277.0,18.0,30.8
20,1,7,3,26.0,21.0,29.6
21,1,8,3,84.0,40.0,18.1
22,1,6,5,40.0,20.0,17.7
23,1,14,5,133.0,35.0,14.8
24,1,5,5,113.0,11.0,0.0
25,1,9,5,68.0,27.0,0.0
26,1,11,5,91.0,40.0,0.0
27,1,15,5,67.0,23.0,0.0
28,1,15,5,68.0,21.0,0.0
29,2,7,1,295.0,18.0,34.3
30,2,8,1,291.0,48.0,27.8
31,2,10,1,129.0,47.0,22.8
32,2,11,1,258.0,7.0,20.0
33,2,13,1,12.0,4.0,33.1
34,2,15,1,42.0,8.0,31.0
35,2,16,1,181.0,47.0,22.7
36,2,18,1,80.0,45.0,23.9
37,2,21,1,64.0,28.0,28.5
38,2,27,1,343.0,85.0,25.0
39,2,30,1,326.0,10.0,28.2
40,2,20,1,0.0,0.0,0.0
41,2,26,1,168.0,21.0,0.0
42,2,13,3,203.0,8.0,17.2
43,2,15,3,307.0,37.0,29.5
44,2,1,3,137.0,21.0,20.6
45,2,24,3,314.0,64.0,20.1
46,2,23,3,63.0,49.0,20.6
47,2,17,3,277.0,18.0,30.6
48,2,7,3,26.0,21.0,32.4
49,2,8,3,84.0,40.0,22.7
50,2,6,5,40.0,20.0,22.0
51,2,14,5,133.0,35.0,16.3
52,2,5,5,113.0,11.0,0.0
53,2,9,5,68.0,27.0,0.0
54,2,11,5,91.0,40.0,0.0
55,2,15,5,67.0,23.0,0.0
56,2,15,5,68.0,21.0,0.0
57,3,7,1,295.0,18.0,31.3
58,3,8,1,291.0,48.0,33.2
59,3,10,1,129.0,47.0,27.9
60,3,11,1,258.0,7.0,25.3
61,3,13,1,12.0,4.0,32.6
62,3,15,1,42.0,8.0,37.5
63,3,16,1,181.0,47.0,20.3
64,3,18,1,80.0,45.0,25.5
65,3,21,1,64.0,28.0,33.0
66,3,26,1,168.0,21.0,27.5
67,3,27,1,343.0,85.0,23.6
68,3,30,1,326.0,10.0,32.9
69,3,20,1,0.0,0.0,0.0
70,3,13,3,203.0,8.0,24.3
71,3,15,3,307.0,37.0,31.2
72,3,1,3,137.0,21.0,19.9
73,3,24,3,314.0,64.0,18.8
74,3,23,3,63.0,49.0,27.7
75,3,17,3,277.0,18.0,31.7
