e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,7,21,12,6,12,-1.0,-1.0,-1.0,-1.0
2,2017,7,21,12,6,13,-1.0,-1.0,-1.0,-1.0
3,2017,7,21,12,6,14,-1.0,-1.0,-1.0,-1.0
4,2017,7,21,12,6,15,-1.0,-1.0,-1.0,-1.0
5,2017,7,21,12,6,16,-1.0,-1.0,-1.0,-1.0
6,2017,7,21,12,6,17,-1.0,-1.0,-1.0,-1.0
7,2017,7,21,12,6,18,-1.0,-1.0,-1.0,-1.0
8,2017,7,21,12,6,19,-1.0,-1.0,-1.0,-1.0
9,2017,7,21,12,6,20,-1.0,-1.0,-1.0,-1.0
10,2017,7,21,12,6,21,-1.0,-1.0,-1.0,-1.0
11,2017,7,21,12,6,22,-1.0,-1.0,-1.0,-1.0
12,2017,7,21,12,6,23,-1.0,-1.0,-1.0,-1.0
13,2017,7,21,12,6,24,-1.0,-1.0,-1.0,-1.0
14,2017,7,21,12,6,25,-1.0,-1.0,-1.0,-1.0
15,2017,7,21,12,6,26,-1.0,-1.0,-1.0,-1.0
16,2017,7,21,12,6,27,-1.0,-1.0,-1.0,-1.0
17,2017,7,21,12,6,28,-1.0,-1.0,-1.0,-1.0
18,2017,7,21,12,6,29,-1.0,-1.0,-1.0,-1.0
19,2017,7,21,12,6,30,-1.0,-1.0,-1.0,-1.0
20,2017,7,21,12,6,31,-1.0,-1.0,-1.0,-1.0
21,2017,7,21,12,6,32,-1.0,-1.0,-1.0,-1.0
22,2017,7,21,12,6,33,-1.0,-1.0,-1.0,-1.0
23,2017,7,21,12,6,34,-1.0,-1.0,-1.0,-1.0
24,2017,7,21,12,6,35,-1.0,-1.0,-1.0,-1.0
25,2017,7,21,12,6,36,-1.0,-1.0,-1.0,-1.0
26,2017,7,21,12,6,37,-1.0,-1.0,-1.0,-1.0
27,2017,7,21,12,6,38,51.4812185,-0.00377741,-1.0,-1.0
28,2017,7,21,12,6,39,51.4812185,-0.00377741,-1.0,-1.0
29,2017,7,21,12,6,40,51.4812185,-0.00377741,-1.0,-1.0
30,2017,7,21,12,6,41,51.4812185,-0.00377741,-1.0,-1.0
31,2017,7,21,12,6,42,51.4812185,-0.00377741,-1.0,-1.0
32,2017,7,21,12,6,43,51.4812185,-0.00377741,-1.0,-1.0
33,2017,7,21,12,6,44,51.4812185,-0.00377741,-1.0,-1.0
34,2017,7,21,12,6,45,51.4812185,-0.00377741,-1.0,-1.0
35,2017,7,21,12,6,46,51.4812185,-0.00377741,-1.0,-1.0
36,2017,7,21,12,6,47,51.4812185,-0.00377741,-1.0,-1.0
37,2017,7,21,12,6,48,51.4812185,-0.00377741,-1.0,-1.0
38,2017,7,21,12,6,49,51.4812185,-0.00377741,-1.0,-1.0
39,2017,7,21,12,6,50,51.4812185,-0.00377741,-1.0,-1.0
40,2017,7,21,12,6,51,51.4812185,-0.00377741,-1.0,-1.0
41,2017,7,21,12,6,52,51.4812185,-0.00377741,-1.0,-1.0
42,2017,7,21,12,6,53,51.4812185,-0.00377741,-1.0,-1.0
43,2017,7,21,12,6,54,51.4812185,-0.00377741,-1.0,-1.0
44,2017,7,21,12,6,55,51.4812185,-0.00377741,-1.0,-1.0
45,2017,7,21,12,6,56,51.4812185,-0.00377741,-1.0,-1.0
46,2017,7,21,12,6,57,51.4812185,-0.00377741,-1.0,-1.0
47,2017,7,21,12,6,58,51.4812185,-0.00377741,-1.0,-1.0
48,2017,7,21,12,6,59,51.4812185,-0.00377741,-1.0,-1.0
49,2017,7,21,12,7,0,51.48121814,-0.00377642,-1.0,1.1
50,2017,7,21,12,7,1,51.48121807,-0.00377653,-1.0,1.0
51,2017,7,21,12,7,2,51.48121795,-0.00377699,-1.0,1.0
52,2017,7,21,12,7,3,51.48121788,-0.00377728,-1.0,1.1
53,2017,7,21,12,7,4,51.48121784,-0.00377748,-1.0,1.1
54,2017,7,21,12,7,5,51.48121784,-0.00377748,-1.0,1.1
55,2017,7,21,12,7,6,51.48121784,-0.00377748,-1.0,1.1
56,2017,7,21,12,7,7,51.48121784,-0.00377748,-1.0,1.1
57,2017,7,21,12,7,8,51.48121784,-0.00377748,-1.0,1.1
58,2017,7,21,12,7,9,51.48121784,-0.00377748,-1.0,1.6
59,2017,7,21,12,7,10,51.48121784,-0.00377748,-1.0,1.6
60,2017,7,21,12,13,9,51.48121784,-0.00377748,-1.0,-1.0
61,2017,7,21,12,13,10,51.48121784,-0.00377748,-1.0,-1.0
62,2017,7,21,12,13,11,51.48121784,-0.00377748,-1.0,0.7
63,2017,7,21,12,13,12,51.48121784,-0.00377748,-1.0,0.7
64,2017,7,21,12,13,13,51.48121784,-0.00377748,-1.0,0.7
65,2017,7,21,12,13,14,51.48121784,-0.00377748,-1.0,0.7
66,2017,7,21,12,13,15,51.48121784,-0.00377748,-1.0,0.7
67,2017,7,21,12,13,16,51.48121784,-0.00377748,-1.0,0.7
68,2017,7,21,12,13,17,51.48121784,-0.00377748,-1.0,0.7
69,2017,7,21,12,13,18,51.48121784,-0.00377748,-1.0,0.7
70,2017,7,21,12,13,19,51.48121784,-0.00377748,-1.0,0.7
71,2017,7,21,12,13,20,51.48121784,-0.00377748,-1.0,0.7
72,2017,7,21,12,13,21,51.48121784,-0.00377748,-1.0,0.7
