obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,26,1,292.0,64.0,13.9
2,1,29,1,64.0,45.0,17.3
3,1,31,1,205.0,41.0,17.2
4,1,5,1,50.0,14.0,0.0
5,1,16,1,296.0,34.0,0.0
6,1,20,1,95.0,18.0,0.0
7,1,21,1,161.0,52.0,0.0
8,1,23,1,306.0,8.0,0.0
9,1,25,1,119.0,14.0,0.0
10,1,27,1,251.0,9.0,0.0
11,1,18,3,232.0,42.0,18.3
12,1,17,3,23.0,80.0,12.5
13,1,8,3,14.0,12.0,13.7
14,1,9,3,326.0,2.0,0.0
15,1,16,3,313.0,49.0,0.0
16,1,1,3,59.0,9.0,0.0
17,1,24,3,45.0,26.0,0.0
18,1,7,3,327.0,1.0,0.0
19,1,5,5,113.0,11.0,0.0
20,1,136,2,0.0,0.0,28.4
21,1,136,2,0.0,0.0,29.0
22,2,26,1,292.0,64.0,14.1
23,2,29,1,64.0,45.0,24.2
24,2,31,1,205.0,41.0,17.2
25,2,5,1,50.0,14.0,0.0
26,2,16,1,296.0,34.0,0.0
27,2,20,1,95.0,18.0,0.0
28,2,21,1,161.0,52.0,0.0
29,2,23,1,306.0,8.0,0.0
30,2,25,1,119.0,14.0,0.0
31,2,27,1,251.0,9.0,0.0
32,2,18,3,232.0,42.0,17.3
33,2,17,3,23.0,80.0,12.5
34,2,8,3,14.0,12.0,13.7
35,2,9,3,326.0,2.0,0.0
36,2,16,3,313.0,49.0,0.0
37,2,1,3,59.0,9.0,0.0
38,2,24,3,45.0,26.0,0.0
39,2,7,3,327.0,1.0,0.0
40,2,5,5,113.0,11.0,0.0
41,2,136,2,0.0,0.0,28.4
42,2,136,2,0.0,0.0,29.0
43,3,26,1,292.0,64.0,14.3
44,3,29,1,64.0,45.0,20.6
45,3,31,1,205.0,41.0,17.2
46,3,5,1,50.0,14.0,0.0
47,3,16,1,296.0,34.0,0.0
48,3,20,1,95.0,18.0,0.0
49,3,21,1,161.0,52.0,0.0
50,3,23,1,306.0,8.0,0.0
51,3,25,1,119.0,14.0,0.0
52,3,27,1,251.0,9.0,0.0
53,3,18,3,232.0,42.0,24.8
54,3,17,3,23.0,80.0,12.5
55,3,8,3,14.0,12.0,13.7
56,3,9,3,326.0,2.0,0.0
57,3,16,3,313.0,49.0,0.0
58,3,1,3,59.0,9.0,0.0
59,3,24,3,45.0,26.0,0.0
60,3,7,3,327.0,1.0,0.0
