e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,8,17,4,5,29,51.48056888,-0.00460473,-1.0,0.9
2,2017,8,17,4,5,30,51.48065385,-0.00441334,-1.0,0.9
3,2017,8,17,4,5,31,51.48067346,-0.00442758,-1.0,0.9
4,2017,8,17,4,5,32,51.48067346,-0.00442758,-1.0,0.9
5,2017,8,17,4,5,33,51.48068875,-0.00441614,-1.0,1.0
6,2017,8,17,4,5,34,51.48070981,-0.00441827,-1.0,1.0
7,2017,8,17,4,5,35,51.48071724,-0.00441121,-1.0,1.0
8,2017,8,17,4,5,36,51.48073227,-0.00441233,-1.0,1.0
9,2017,8,17,4,5,37,51.48075131,-0.00443216,-1.0,1.1
10,2017,8,17,4,5,38,51.48077141,-0.00443762,-1.0,1.1
11,2017,8,17,4,5,39,51.4807894,-0.00443893,-1.0,1.1
12,2017,8,17,4,5,40,51.4808049,-0.00443431,-1.0,1.1
13,2017,8,17,4,5,41,51.48081808,-0.00443837,-1.0,1.1
14,2017,8,17,4,5,42,51.48083238,-0.0044309,-1.0,1.0
15,2017,8,17,4,5,43,51.4808471,-0.00442265,-1.0,1.0
16,2017,8,17,4,5,44,51.4808471,-0.00442265,-1.0,1.0
17,2017,8,17,4,5,45,51.48085884,-0.0044118,-1.0,1.0
18,2017,8,17,4,5,46,51.48088126,-0.0043992,-1.0,1.0
19,2017,8,17,4,5,47,51.48088126,-0.0043992,-1.0,1.0
20,2017,8,17,4,5,48,51.48089207,-0.00439182,-1.0,1.0
21,2017,8,17,4,5,49,51.48089207,-0.00439182,-1.0,1.0
22,2017,8,17,4,5,50,51.48090048,-0.00438051,-1.0,1.0
23,2017,8,17,4,5,51,51.4809096,-0.00436758,-1.0,1.0
24,2017,8,17,4,5,52,51.48092673,-0.00433643,-1.0,1.1
25,2017,8,17,4,5,53,51.48092673,-0.00433643,-1.0,1.1
26,2017,8,17,4,5,54,51.4809284,-0.00433897,-1.0,1.1
27,2017,8,17,4,5,55,51.48092866,-0.00434154,-1.0,1.1
28,2017,8,17,4,5,56,51.48092728,-0.00435066,-1.0,1.1
29,2017,8,17,4,5,57,51.48092728,-0.00435066,-1.0,1.1
30,2017,8,17,4,5,58,51.48092742,-0.00435291,-1.0,1.1
31,2017,8,17,4,5,59,51.48092702,-0.00435396,-1.0,1.1
32,2017,8,17,4,6,0,51.48092702,-0.00435396,-1.0,1.4
33,2017,8,17,4,6,1,51.480927,-0.00435424,-1.0,1.4
34,2017,8,17,4,6,2,51.48092705,-0.00435421,-1.0,1.4
35,2017,8,17,4,6,3,51.48092705,-0.00435421,-1.0,1.4
36,2017,8,17,4,6,4,51.480927,-0.00435427,-1.0,1.4
37,2017,8,17,4,6,5,51.4809266,-0.00435454,-1.0,1.0
38,2017,8,17,4,6,6,51.48092786,-0.00435359,-1.0,1.0
39,2017,8,17,4,6,7,51.48092786,-0.00435359,-1.0,1.0
40,2017,8,17,4,6,8,51.48092824,-0.00435338,-1.0,1.0
41,2017,8,17,4,6,9,51.48092836,-0.00435332,-1.0,1.0
42,2017,8,17,4,6,10,51.48092836,-0.00435332,-1.0,1.0
43,2017,8,17,4,6,11,51.48092834,-0.00435337,-1.0,1.0
44,2017,8,17,4,6,12,51.48092836,-0.00435337,-1.0,1.0
45,2017,8,17,4,6,13,51.48092844,-0.00435336,-1.0,1.4
46,2017,8,17,4,6,14,51.48092853,-0.00435339,-1.0,1.4
47,2017,8,17,4,6,15,51.4809335,-0.00434903,-1.0,1.4
48,2017,8,17,4,6,16,51.4809335,-0.00434903,-1.0,1.4
49,2017,8,17,4,6,17,51.48094677,-0.00434012,-1.0,1.4
50,2017,8,17,4,6,18,51.48097187,-0.00433185,-1.0,1.4
51,2017,8,17,4,6,19,51.48096521,-0.00432282,-1.0,1.4
52,2017,8,17,4,6,20,51.48095149,-0.00433111,-1.0,1.4
53,2017,8,17,4,6,21,51.48094984,-0.00433327,-1.0,1.0
54,2017,8,17,4,6,22,51.48095478,-0.00433071,-1.0,1.0
55,2017,8,17,4,6,23,51.48095478,-0.00433071,-1.0,1.0
56,2017,8,17,4,6,24,51.48096428,-0.00431532,-1.0,1.0
57,2017,8,17,4,6,25,51.48095816,-0.00430736,-1.0,1.0
58,2017,8,17,4,6,26,51.48095385,-0.00433236,-1.0,0.9
59,2017,8,17,4,6,27,51.48095385,-0.00433236,-1.0,0.9
60,2017,8,17,4,6,28,51.48095376,-0.0043493,-1.0,0.9
61,2017,8,17,4,6,29,51.48095707,-0.00433734,-1.0,0.9
62,2017,8,17,4,6,30,51.48095707,-0.00433734,-1.0,0.9
63,2017,8,17,4,6,31,51.4809661,-0.00432906,-1.0,0.8
64,2017,8,17,4,6,32,51.48096508,-0.00432774,-1.0,0.8
65,2017,8,17,4,6,33,51.48096508,-0.00432774,-1.0,0.8
66,2017,8,17,4,6,34,51.48095956,-0.00432351,-1.0,0.8
67,2017,8,17,4,6,35,51.4809623,-0.00431672,-1.0,0.8
68,2017,8,17,4,6,36,51.48096382,-0.00430518,-1.0,0.8
69,2017,8,17,4,6,37,51.48095878,-0.004304,-1.0,0.8
70,2017,8,17,4,6,38,51.48095878,-0.004304,-1.0,0.8
71,2017,8,17,4,6,39,51.48095828,-0.00430524,-1.0,0.8
72,2017,8,17,4,6,40,51.48095675,-0.00430533,-1.0,0.8
73,2017,8,17,4,6,41,51.48095903,-0.00429893,-1.0,0.9
74,2017,8,17,4,6,42,51.48095903,-0.00429893,-1.0,0.9
75,2017,8,17,4,6,43,51.48095793,-0.00430014,-1.0,0.9
76,2017,8,17,4,6,44,51.48095774,-0.00429908,-1.0,0.9
77,2017,8,17,4,6,45,51.48095241,-0.00430475,-1.0,0.9
78,2017,8,17,4,6,46,51.48094724,-0.00430961,-1.0,0.9
79,2017,8,17,4,6,47,51.48094724,-0.00430961,-1.0,0.9
80,2017,8,17,4,6,48,51.48094711,-0.00431684,-1.0,0.9
81,2017,8,17,4,6,49,51.4809438,-0.00432292,-1.0,0.9
82,2017,8,17,4,6,50,51.48093834,-0.00433022,-1.0,0.9
83,2017,8,17,4,6,51,51.48092596,-0.00434947,-1.0,0.9
84,2017,8,17,4,6,52,51.48091212,-0.00436053,-1.0,0.9
85,2017,8,17,4,6,53,51.4809127,-0.00435252,-1.0,0.9
86,2017,8,17,4,6,54,51.4809127,-0.00435252,-1.0,0.9
87,2017,8,17,4,6,55,51.48091903,-0.0043332,-1.0,0.9
88,2017,8,17,4,6,56,51.48092035,-0.0043239,-1.0,0.9
89,2017,8,17,4,6,57,51.48091899,-0.00432291,-1.0,0.9
90,2017,8,17,4,6,58,51.4809188,-0.00432291,-1.0,1.0
91,2017,8,17,4,6,59,51.4809188,-0.00432291,-1.0,1.0
92,2017,8,17,4,7,0,51.48092265,-0.00430967,-1.0,1.0
93,2017,8,17,4,7,1,51.48092265,-0.00430967,-1.0,1.0
94,2017,8,17,4,7,2,51.48092356,-0.00430514,-1.0,0.7
95,2017,8,17,4,7,3,51.48092507,-0.00430374,-1.0,0.7
96,2017,8,17,4,7,4,51.48092507,-0.00430374,-1.0,0.7
97,2017,8,17,4,7,5,51.48092796,-0.00430365,-1.0,0.7
98,2017,8,17,4,7,6,51.48092879,-0.00430322,-1.0,0.7
99,2017,8,17,4,7,7,51.48093533,-0.00429487,-1.0,0.7
100,2017,8,17,4,7,8,51.48094963,-0.00427919,-1.0,0.7
101,2017,8,17,4,7,9,51.48094963,-0.00427919,-1.0,0.7
102,2017,8,17,4,7,10,51.48095063,-0.00427242,-1.0,0.8
103,2017,8,17,4,7,11,51.48095177,-0.00426899,-1.0,0.8
104,2017,8,17,4,7,12,51.48095177,-0.00426899,-1.0,0.8
105,2017,8,17,4,7,13,51.48094474,-0.00428602,-1.0,0.8
106,2017,8,17,4,7,14,51.48094254,-0.00429315,-1.0,0.8
107,2017,8,17,4,7,15,51.48094254,-0.00429315,-1.0,0.8
108,2017,8,17,4,7,16,51.48094412,-0.00429429,-1.0,0.8
109,2017,8,17,4,7,17,51.48094462,-0.00429801,-1.0,0.8
110,2017,8,17,4,7,18,51.4809426,-0.00430434,-1.0,0.8
111,2017,8,17,4,7,19,51.48093954,-0.00431023,-1.0,0.8
112,2017,8,17,4,7,20,51.48093265,-0.00431503,-1.0,0.8
113,2017,8,17,4,7,21,51.48092686,-0.00431779,-1.0,0.8
114,2017,8,17,4,7,22,51.48092686,-0.00431779,-1.0,0.8
115,2017,8,17,4,7,23,51.48092659,-0.00431662,-1.0,0.8
116,2017,8,17,4,7,24,51.48092897,-0.00431563,-1.0,0.8
117,2017,8,17,4,7,25,51.48092956,-0.00431476,-1.0,0.8
118,2017,8,17,4,7,26,51.48093057,-0.00431405,-1.0,0.8
119,2017,8,17,4,7,27,51.48093057,-0.00431405,-1.0,0.8
120,2017,8,17,4,7,28,51.48093148,-0.00431664,-1.0,0.8
121,2017,8,17,4,7,29,51.48093106,-0.00431795,-1.0,0.8
122,2017,8,17,4,7,30,51.48093042,-0.00432064,-1.0,0.8
123,2017,8,17,4,7,31,51.48093042,-0.00432064,-1.0,0.9
124,2017,8,17,4,7,32,51.48093505,-0.00431907,-1.0,0.9
125,2017,8,17,4,7,33,51.4809468,-0.00430511,-1.0,0.9
126,2017,8,17,4,7,34,51.48094948,-0.00430475,-1.0,1.0
127,2017,8,17,4,7,35,51.48096111,-0.0042844,-1.0,0.9
128,2017,8,17,4,7,36,51.48096563,-0.00427491,-1.0,0.8
129,2017,8,17,4,7,37,51.48096775,-0.00427254,-1.0,0.8
130,2017,8,17,4,7,38,51.48096869,-0.00427187,-1.0,0.7
131,2017,8,17,4,7,39,51.48096956,-0.00427057,-1.0,0.7
132,2017,8,17,4,7,40,51.48096956,-0.00427057,-1.0,0.7
133,2017,8,17,4,7,41,51.48096811,-0.00427523,-1.0,0.7
134,2017,8,17,4,7,42,51.48096812,-0.00427662,-1.0,0.7
135,2017,8,17,4,7,43,51.48096812,-0.00427662,-1.0,0.7
136,2017,8,17,4,7,44,51.48096764,-0.00427894,-1.0,0.8
137,2017,8,17,4,7,45,51.4809521,-0.00430405,-1.0,0.8
138,2017,8,17,4,7,46,51.48095079,-0.00430674,-1.0,0.7
139,2017,8,17,4,7,47,51.48095086,-0.00431056,-1.0,0.7
140,2017,8,17,4,7,48,51.48095212,-0.00430402,-1.0,0.7
141,2017,8,17,4,7,49,51.48095212,-0.00430402,-1.0,0.7
142,2017,8,17,4,7,50,51.48095497,-0.00430077,-1.0,0.7
143,2017,8,17,4,7,51,51.48095497,-0.00430077,-1.0,0.7
144,2017,8,17,4,7,52,51.48095277,-0.00430234,-1.0,0.7
145,2017,8,17,4,7,53,51.4809474,-0.00430563,-1.0,0.7
146,2017,8,17,4,7,54,51.4809474,-0.00430563,-1.0,0.7
147,2017,8,17,4,7,55,51.48095154,-0.00429838,-1.0,0.7
148,2017,8,17,4,7,56,51.48095348,-0.00429742,-1.0,0.7
149,2017,8,17,4,7,57,51.4809606,-0.00428956,-1.0,0.7
150,2017,8,17,4,7,58,51.48096274,-0.00428675,-1.0,0.7
151,2017,8,17,4,7,59,51.48096891,-0.00426995,-1.0,0.7
152,2017,8,17,4,8,0,51.48097337,-0.00426746,-1.0,0.8
153,2017,8,17,4,8,1,51.4809789,-0.00426107,-1.0,0.8
154,2017,8,17,4,8,2,51.48097744,-0.00426282,-1.0,0.8
155,2017,8,17,4,8,3,51.48097704,-0.00426556,-1.0,0.7
156,2017,8,17,4,8,4,51.48097632,-0.00427031,-1.0,0.7
157,2017,8,17,4,8,5,51.48097632,-0.00427031,-1.0,0.7
158,2017,8,17,4,8,6,51.48097912,-0.00427296,-1.0,0.8
159,2017,8,17,4,8,7,51.48098072,-0.0042763,-1.0,0.8
160,2017,8,17,4,8,8,51.48098072,-0.0042763,-1.0,0.8
161,2017,8,17,4,8,9,51.48098457,-0.00427697,-1.0,0.8
162,2017,8,17,4,8,10,51.48098743,-0.00427032,-1.0,0.8
163,2017,8,17,4,8,11,51.48098913,-0.00426226,-1.0,0.9
164,2017,8,17,4,8,12,51.48099002,-0.004258,-1.0,0.9
165,2017,8,17,4,8,13,51.4809905,-0.00425648,-1.0,0.9
166,2017,8,17,4,8,14,51.4809905,-0.00425648,-1.0,0.9
167,2017,8,17,4,8,15,51.48099209,-0.00425284,-1.0,0.9
168,2017,8,17,4,8,16,51.48099358,-0.00424844,-1.0,0.9
169,2017,8,17,4,8,17,51.48099358,-0.00424844,-1.0,0.9
170,2017,8,17,4,8,18,51.48099397,-0.00424799,-1.0,0.8
171,2017,8,17,4,8,20,51.48099394,-0.00424823,-1.0,0.8
172,2017,8,17,4,8,21,51.4809939,-0.00424836,-1.0,0.8
173,2017,8,17,4,8,22,51.48099385,-0.00424854,-1.0,0.8
174,2017,8,17,4,8,23,51.48099409,-0.00424824,-1.0,0.8
175,2017,8,17,4,8,24,51.48099414,-0.00424817,-1.0,0.8
176,2017,8,17,4,8,25,51.48099416,-0.00424815,-1.0,0.8
177,2017,8,17,4,8,26,51.48099414,-0.00424821,-1.0,0.8
178,2017,8,17,4,8,27,51.48099325,-0.00424963,-1.0,0.8
179,2017,8,17,4,8,28,51.48099325,-0.00424963,-1.0,0.8
180,2017,8,17,4,8,29,51.48099321,-0.0042497,-1.0,0.8
181,2017,8,17,4,8,30,51.48099319,-0.00424977,-1.0,0.8
182,2017,8,17,4,8,31,51.48099319,-0.00424978,-1.0,0.8
183,2017,8,17,4,8,32,51.48099319,-0.00424978,-1.0,0.7
184,2017,8,17,4,8,33,51.48099319,-0.00424978,-1.0,0.7
185,2017,8,17,4,8,34,51.48099323,-0.00424967,-1.0,0.8
186,2017,8,17,4,8,35,51.48099321,-0.00424973,-1.0,0.8
187,2017,8,17,4,8,36,51.48099321,-0.00424973,-1.0,0.8
188,2017,8,17,4,8,37,51.48099319,-0.00424986,-1.0,0.8
189,2017,8,17,4,8,38,51.48099319,-0.00424986,-1.0,0.9
190,2017,8,17,4,8,39,51.48099317,-0.00424994,-1.0,0.9
191,2017,8,17,4,8,40,51.48099314,-0.00425006,-1.0,0.9
192,2017,8,17,4,8,41,51.48099312,-0.00425019,-1.0,0.9
193,2017,8,17,4,8,42,51.48099312,-0.00425019,-1.0,0.9
194,2017,8,17,4,8,43,51.48099312,-0.00425023,-1.0,0.8
195,2017,8,17,4,8,44,51.48099311,-0.00425031,-1.0,0.8
196,2017,8,17,4,8,45,51.48099297,-0.00425059,-1.0,0.8
197,2017,8,17,4,8,46,51.48099294,-0.00425071,-1.0,0.8
198,2017,8,17,4,8,47,51.48099296,-0.0042507,-1.0,0.8
199,2017,8,17,4,8,48,51.48099296,-0.00425074,-1.0,0.8
200,2017,8,17,4,8,49,51.48099298,-0.00425078,-1.0,0.8
201,2017,8,17,4,8,50,51.48099297,-0.00425087,-1.0,0.8
202,2017,8,17,4,8,51,51.48099297,-0.00425095,-1.0,0.8
203,2017,8,17,4,8,52,51.48099297,-0.00425098,-1.0,0.8
204,2017,8,17,4,8,53,51.48099289,-0.00425121,-1.0,0.7
205,2017,8,17,4,8,54,51.48099289,-0.00425121,-1.0,0.7
206,2017,8,17,4,8,55,51.48098566,-0.00427467,-1.0,0.7
207,2017,8,17,4,8,56,51.4809827,-0.00428781,-1.0,0.7
208,2017,8,17,4,8,57,51.48098383,-0.00428729,-1.0,0.7
209,2017,8,17,4,8,58,51.48098581,-0.00428047,-1.0,0.7
210,2017,8,17,4,8,59,51.48098997,-0.0042724,-1.0,0.8
211,2017,8,17,4,9,0,51.48099307,-0.00426778,-1.0,0.8
212,2017,8,17,4,9,1,51.48099148,-0.0042693,-1.0,0.8
213,2017,8,17,4,9,2,51.48099088,-0.00426997,-1.0,0.8
214,2017,8,17,4,9,3,51.4809898,-0.00427043,-1.0,0.8
215,2017,8,17,4,9,4,51.48098918,-0.00427195,-1.0,0.8
216,2017,8,17,4,9,5,51.48098625,-0.00427447,-1.0,0.8
217,2017,8,17,4,9,6,51.48098454,-0.00427611,-1.0,0.8
218,2017,8,17,4,9,7,51.48098303,-0.00427801,-1.0,0.8
219,2017,8,17,4,9,8,51.48098303,-0.00427801,-1.0,0.7
220,2017,8,17,4,9,9,51.48097828,-0.00428473,-1.0,0.7
221,2017,8,17,4,9,10,51.48097712,-0.00428646,-1.0,0.7
222,2017,8,17,4,9,11,51.48097471,-0.00429019,-1.0,0.7
223,2017,8,17,4,9,12,51.48097313,-0.0042925,-1.0,0.7
224,2017,8,17,4,9,13,51.48097313,-0.0042925,-1.0,0.7
225,2017,8,17,4,9,14,51.48097261,-0.0042932,-1.0,0.7
226,2017,8,17,4,9,15,51.48097302,-0.00429157,-1.0,0.7
227,2017,8,17,4,9,16,51.48097114,-0.00429494,-1.0,0.7
228,2017,8,17,4,9,17,51.48097114,-0.00429494,-1.0,0.7
229,2017,8,17,4,9,18,51.48097155,-0.00429498,-1.0,0.7
230,2017,8,17,4,9,19,51.48097074,-0.00429642,-1.0,0.7
231,2017,8,17,4,9,20,51.48096929,-0.00429801,-1.0,0.7
232,2017,8,17,4,9,21,51.48096929,-0.00429801,-1.0,0.8
233,2017,8,17,4,9,22,51.48096694,-0.00430426,-1.0,0.8
234,2017,8,17,4,9,23,51.48096398,-0.00430613,-1.0,0.8
235,2017,8,17,4,9,24,51.48096239,-0.0043069,-1.0,0.8
236,2017,8,17,4,9,25,51.48096434,-0.00429884,-1.0,0.8
237,2017,8,17,4,9,26,51.48096601,-0.00429797,-1.0,0.8
238,2017,8,17,4,9,27,51.48096692,-0.00429797,-1.0,0.8
239,2017,8,17,4,9,28,51.48096701,-0.00429837,-1.0,0.8
240,2017,8,17,4,9,29,51.48096712,-0.00429857,-1.0,0.8
241,2017,8,17,4,9,30,51.48096736,-0.00429864,-1.0,0.8
242,2017,8,17,4,9,31,51.48096736,-0.00429864,-1.0,0.9
243,2017,8,17,4,9,32,51.48096734,-0.00429875,-1.0,0.9
244,2017,8,17,4,9,33,51.48096731,-0.00429885,-1.0,0.9
245,2017,8,17,4,9,34,51.48096731,-0.00429885,-1.0,0.9
246,2017,8,17,4,9,35,51.48096731,-0.0042989,-1.0,0.8
247,2017,8,17,4,9,36,51.48096729,-0.00429893,-1.0,0.8
248,2017,8,17,4,9,37,51.48096729,-0.00429893,-1.0,0.9
249,2017,8,17,4,9,38,51.48096729,-0.00429895,-1.0,0.9
250,2017,8,17,4,9,39,51.48096728,-0.00429897,-1.0,0.8
251,2017,8,17,4,9,40,51.48096728,-0.00429897,-1.0,0.8
252,2017,8,17,4,9,41,51.48096725,-0.00429901,-1.0,0.8
253,2017,8,17,4,9,42,51.48096724,-0.00429907,-1.0,0.8
254,2017,8,17,4,9,43,51.48096689,-0.00429957,-1.0,0.8
255,2017,8,17,4,9,45,51.48096661,-0.0043,-1.0,0.8
256,2017,8,17,4,9,46,51.48096674,-0.00429994,-1.0,0.8
257,2017,8,17,4,9,47,51.48096674,-0.00429994,-1.0,0.8
258,2017,8,17,4,9,48,51.48096679,-0.00429996,-1.0,0.8
259,2017,8,17,4,9,49,51.48096682,-0.00429996,-1.0,0.8
260,2017,8,17,4,9,50,51.48096682,-0.00429996,-1.0,0.8
261,2017,8,17,4,9,51,51.48096683,-0.00429998,-1.0,0.8
262,2017,8,17,4,9,52,51.48096583,-0.00430143,-1.0,0.8
263,2017,8,17,4,9,53,51.48096583,-0.00430143,-1.0,0.7
264,2017,8,17,4,9,54,51.48096563,-0.00430175,-1.0,0.7
265,2017,8,17,4,9,55,51.48096557,-0.0043018,-1.0,0.7
266,2017,8,17,4,9,56,51.48096559,-0.00430173,-1.0,0.7
267,2017,8,17,4,9,57,51.4809656,-0.00430171,-1.0,0.7
268,2017,8,17,4,9,58,51.48096564,-0.00430173,-1.0,0.7
269,2017,8,17,4,9,59,51.48096564,-0.00430173,-1.0,0.9
270,2017,8,17,4,10,0,51.4809657,-0.00430172,-1.0,0.9
271,2017,8,17,4,10,1,51.4809657,-0.00430172,-1.0,0.9
272,2017,8,17,4,10,2,51.48096576,-0.00430171,-1.0,0.9
273,2017,8,17,4,10,3,51.48096576,-0.00430171,-1.0,0.8
274,2017,8,17,4,10,4,51.48096579,-0.00430168,-1.0,0.8
275,2017,8,17,4,10,5,51.48096583,-0.00430164,-1.0,0.8
276,2017,8,17,4,10,6,51.48096591,-0.00430161,-1.0,0.8
277,2017,8,17,4,10,7,51.48096591,-0.00430161,-1.0,0.8
278,2017,8,17,4,10,8,51.48096596,-0.00430162,-1.0,0.8
279,2017,8,17,4,10,9,51.48096595,-0.0043016,-1.0,0.8
