obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,3,1,219.0,24.0,25.1
2,1,8,1,161.0,48.0,26.4
3,1,10,1,52.0,18.0,18.2
4,1,14,1,104.0,33.0,30.0
5,1,17,1,313.0,8.0,26.1
6,1,24,1,14.0,2.0,20.7
7,1,27,1,146.0,15.0,31.2
8,1,28,1,289.0,32.0,22.5
9,1,32,1,81.0,35.0,20.7
10,1,11,1,271.0,78.0,0.0
11,1,22,1,212.0,49.0,0.0
12,1,22,3,119.0,26.0,34.2
13,1,16,3,21.0,1.0,20.3
14,1,15,3,327.0,16.0,26.6
15,1,1,3,192.0,26.0,23.2
16,1,24,3,312.0,38.0,17.7
17,1,7,3,40.0,40.0,14.7
18,1,8,3,140.0,69.0,15.3
19,1,23,3,49.0,80.0,0.0
20,1,5,5,115.0,9.0,0.0
21,1,6,5,32.0,7.0,0.0
22,1,9,5,46.0,29.0,0.0
23,1,15,5,43.0,28.0,0.0
24,1,127,2,0.0,0.0,31.8
25,1,136,2,0.0,0.0,30.5
26,1,0,0,0.0,0.0,0.0
27,2,3,1,219.0,24.0,28.2
28,2,8,1,161.0,48.0,19.4
29,2,10,1,52.0,18.0,17.9
30,2,14,1,104.0,33.0,27.0
31,2,17,1,313.0,8.0,24.0
32,2,24,1,14.0,2.0,18.0
33,2,27,1,146.0,15.0,28.5
34,2,28,1,289.0,32.0,23.8
35,2,32,1,81.0,35.0,23.0
36,2,11,1,271.0,78.0,0.0
37,2,22,1,212.0,49.0,0.0
38,2,22,3,119.0,26.0,31.0
39,2,16,3,21.0,1.0,18.4
40,2,15,3,327.0,16.0,26.1
41,2,1,3,192.0,26.0,28.7
42,2,24,3,312.0,38.0,17.7
43,2,7,3,40.0,40.0,14.8
44,2,8,3,140.0,69.0,15.2
45,2,23,3,49.0,80.0,0.0
46,2,5,5,115.0,9.0,0.0
47,2,6,5,32.0,7.0,0.0
48,2,9,5,46.0,29.0,0.0
49,2,15,5,43.0,28.0,0.0
50,2,127,2,0.0,0.0,31.8
51,2,136,2,0.0,0.0,30.5
52,2,0,0,0.0,0.0,0.0
53,3,3,1,219.0,24.0,30.0
54,3,8,1,161.0,48.0,26.2
55,3,10,1,52.0,18.0,17.2
56,3,14,1,104.0,33.0,29.3
57,3,17,1,313.0,8.0,31.3
58,3,24,1,14.0,2.0,22.2
59,3,27,1,146.0,15.0,37.7
60,3,28,1,289.0,32.0,24.7
61,3,32,1,81.0,35.0,18.2
62,3,11,1,271.0,78.0,0.0
63,3,22,1,212.0,49.0,0.0
64,3,22,3,119.0,26.0,32.3
65,3,16,3,21.0,1.0,18.0
66,3,15,3,327.0,16.0,29.4
67,3,1,3,192.0,26.0,25.4
68,3,24,3,312.0,38.0,14.1
69,3,7,3,40.0,40.0,15.0
70,3,8,3,140.0,69.0,15.1
71,3,23,3,49.0,80.0,0.0
72,3,6,5,32.0,7.0,17.0
73,3,5,5,115.0,9.0,0.0
74,3,9,5,46.0,29.0,0.0
75,3,15,5,43.0,28.0,0.0
76,3,127,2,0.0,0.0,31.8
77,3,136,2,0.0,0.0,30.5
78,3,0,0,0.0,0.0,0.0
79,4,3,1,219.0,24.0,23.5
80,4,8,1,161.0,48.0,31.8
81,4,10,1,52.0,18.0,17.1
82,4,14,1,104.0,33.0,27.6
83,4,17,1,313.0,8.0,31.5
84,4,24,1,14.0,2.0,17.4
85,4,27,1,146.0,15.0,40.4
86,4,28,1,289.0,32.0,28.3
87,4,32,1,81.0,35.0,19.4
88,4,11,1,271.0,78.0,0.0
89,4,22,1,212.0,49.0,0.0
90,4,22,3,119.0,26.0,33.1
91,4,16,3,21.0,1.0,19.0
92,4,15,3,327.0,16.0,24.5
93,4,1,3,192.0,26.0,24.7
94,4,24,3,312.0,38.0,14.1
95,4,7,3,40.0,40.0,15.7
96,4,8,3,140.0,69.0,16.3
97,4,23,3,49.0,80.0,0.0
98,4,6,5,32.0,7.0,16.9
99,4,5,5,115.0,9.0,0.0
100,4,9,5,46.0,29.0,0.0
101,4,15,5,43.0,28.0,0.0
102,4,127,2,0.0,0.0,32.0
103,4,136,2,0.0,0.0,30.5
104,4,0,0,0.0,0.0,0.0
105,5,3,1,219.0,24.0,21.6
106,5,8,1,161.0,48.0,28.3
107,5,10,1,52.0,18.0,17.3
108,5,14,1,104.0,33.0,26.1
109,5,17,1,313.0,8.0,19.7
110,5,24,1,14.0,2.0,24.3
111,5,27,1,146.0,15.0,41.6
112,5,28,1,289.0,32.0,28.0
113,5,32,1,81.0,35.0,20.2
114,5,11,1,271.0,78.0,0.0
115,5,22,1,212.0,49.0,0.0
116,5,22,3,119.0,26.0,28.1
117,5,16,3,21.0,1.0,23.2
118,5,15,3,327.0,16.0,24.0
119,5,1,3,192.0,26.0,22.9
120,5,24,3,312.0,38.0,14.1
121,5,7,3,40.0,40.0,20.4
122,5,8,3,140.0,69.0,16.1
123,5,23,3,49.0,80.0,0.0
124,5,6,5,32.0,7.0,16.2
125,5,5,5,115.0,9.0,0.0
126,5,9,5,46.0,29.0,0.0
127,5,15,5,43.0,28.0,0.0
128,5,127,2,0.0,0.0,32.0
129,5,136,2,0.0,0.0,30.5
130,5,0,0,0.0,0.0,0.0
131,6,3,1,219.0,24.0,21.4
132,6,8,1,161.0,48.0,25.5
133,6,10,1,52.0,18.0,17.5
134,6,14,1,104.0,33.0,30.4
135,6,17,1,313.0,8.0,23.6
136,6,24,1,14.0,2.0,24.3
137,6,27,1,146.0,15.0,37.7
138,6,28,1,289.0,32.0,31.0
139,6,32,1,81.0,35.0,22.0
140,6,11,1,271.0,78.0,0.0
141,6,22,1,212.0,49.0,0.0
142,6,22,3,119.0,26.0,29.6
143,6,16,3,21.0,1.0,22.5
144,6,15,3,327.0,16.0,23.0
145,6,1,3,192.0,26.0,20.4
146,6,24,3,312.0,38.0,16.5
