obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,8,1,293.0,61.0,21.0
2,1,10,1,108.0,55.0,17.4
3,1,15,1,32.0,8.0,38.7
4,1,18,1,64.0,40.0,25.8
5,1,21,1,68.0,17.0,30.0
6,1,30,1,314.0,11.0,20.9
7,1,1,1,244.0,7.0,0.0
8,1,11,1,264.0,19.0,0.0
9,1,13,1,0.0,0.0,0.0
10,1,16,1,178.0,31.0,0.0
11,1,26,1,168.0,7.0,0.0
12,1,27,1,112.0,77.0,0.0
13,1,10,3,347.0,10.0,32.7
14,1,2,3,61.0,42.0,35.4
15,1,18,3,15.0,71.0,19.3
16,1,9,3,292.0,35.0,19.9
17,1,1,3,14.0,5.0,39.1
18,1,19,3,289.0,33.0,17.0
19,1,17,3,82.0,30.0,22.5
20,1,16,3,234.0,22.0,0.0
21,1,3,3,133.0,34.0,0.0
22,1,5,5,113.0,10.0,0.0
23,1,120,2,0.0,0.0,36.6
24,1,120,2,0.0,0.0,36.6
25,2,8,1,293.0,61.0,19.3
26,2,10,1,108.0,55.0,17.6
27,2,11,1,264.0,19.0,17.5
28,2,15,1,32.0,8.0,39.4
29,2,18,1,64.0,40.0,28.3
30,2,21,1,68.0,17.0,30.8
31,2,30,1,314.0,11.0,20.6
32,2,1,1,244.0,7.0,0.0
33,2,13,1,0.0,0.0,0.0
34,2,16,1,178.0,31.0,0.0
35,2,26,1,168.0,7.0,0.0
36,2,27,1,112.0,77.0,0.0
37,2,10,3,347.0,10.0,34.2
38,2,2,3,61.0,42.0,35.3
39,2,18,3,15.0,71.0,19.3
40,2,9,3,292.0,35.0,17.5
41,2,1,3,14.0,5.0,37.1
42,2,19,3,289.0,33.0,17.0
43,2,17,3,82.0,30.0,24.6
44,2,16,3,234.0,22.0,0.0
45,2,3,3,133.0,34.0,0.0
46,2,5,5,113.0,10.0,0.0
47,2,120,2,0.0,0.0,36.6
48,2,120,2,0.0,0.0,36.6
49,3,8,1,293.0,61.0,20.0
50,3,10,1,108.0,55.0,18.6
51,3,15,1,32.0,8.0,41.8
52,3,18,1,64.0,40.0,35.3
53,3,21,1,68.0,17.0,33.4
54,3,30,1,314.0,11.0,28.5
55,3,1,1,244.0,7.0,0.0
56,3,11,1,264.0,19.0,0.0
57,3,13,1,0.0,0.0,0.0
58,3,16,1,178.0,31.0,0.0
59,3,26,1,168.0,7.0,0.0
60,3,27,1,112.0,77.0,0.0
61,3,10,3,347.0,10.0,36.1
62,3,2,3,61.0,42.0,38.5
63,3,18,3,15.0,71.0,16.5
64,3,9,3,292.0,35.0,24.9
65,3,1,3,14.0,5.0,38.0
66,3,19,3,289.0,33.0,17.3
67,3,17,3,82.0,30.0,29.4
68,3,16,3,234.0,22.0,0.0
69,3,3,3,133.0,34.0,0.0
70,3,5,5,113.0,10.0,0.0
71,3,120,2,0.0,0.0,36.6
72,3,120,2,0.0,0.0,36.6
73,4,8,1,293.0,61.0,20.7
74,4,10,1,108.0,55.0,23.8
75,4,15,1,32.0,8.0,41.3
76,4,18,1,64.0,40.0,36.1
77,4,21,1,68.0,17.0,33.7
78,4,30,1,314.0,11.0,27.1
79,4,1,1,244.0,7.0,0.0
80,4,11,1,264.0,19.0,0.0
81,4,13,1,0.0,0.0,0.0
82,4,16,1,178.0,31.0,0.0
83,4,26,1,168.0,7.0,0.0
84,4,27,1,112.0,77.0,0.0
85,4,10,3,347.0,10.0,35.8
86,4,2,3,61.0,42.0,38.7
87,4,18,3,15.0,71.0,17.7
88,4,9,3,292.0,35.0,26.4
89,4,1,3,14.0,5.0,28.4
90,4,19,3,289.0,33.0,17.8
91,4,17,3,82.0,30.0,28.7
92,4,16,3,234.0,22.0,0.0
93,4,3,3,133.0,34.0,0.0
94,4,5,5,113.0,10.0,0.0
95,4,120,2,0.0,0.0,36.6
96,4,120,2,0.0,0.0,36.6
97,5,8,1,293.0,61.0,20.2
98,5,10,1,108.0,55.0,23.2
99,5,15,1,32.0,8.0,41.6
100,5,18,1,64.0,40.0,35.3
101,5,21,1,68.0,17.0,33.1
102,5,30,1,314.0,11.0,28.0
103,5,1,1,244.0,7.0,0.0
104,5,11,1,264.0,19.0,0.0
105,5,13,1,0.0,0.0,0.0
106,5,16,1,178.0,31.0,0.0
107,5,26,1,168.0,7.0,0.0
108,5,27,1,112.0,77.0,0.0
109,5,10,3,347.0,10.0,36.2
110,5,2,3,61.0,42.0,38.5
111,5,18,3,15.0,71.0,17.7
112,5,9,3,292.0,35.0,25.6
113,5,1,3,14.0,5.0,37.6
114,5,19,3,289.0,33.0,21.3
115,5,17,3,82.0,30.0,29.2
116,5,16,3,234.0,22.0,0.0
117,5,3,3,133.0,34.0,0.0
118,5,5,5,113.0,10.0,0.0
119,5,120,2,0.0,0.0,36.6
120,5,120,2,0.0,0.0,36.6
121,6,8,1,293.0,61.0,20.7
122,6,10,1,108.0,55.0,22.5
123,6,11,1,264.0,19.0,21.5
124,6,15,1,32.0,8.0,42.2
125,6,18,1,64.0,40.0,34.6
126,6,21,1,68.0,17.0,32.5
127,6,30,1,314.0,11.0,28.4
128,6,1,1,244.0,7.0,0.0
129,6,13,1,0.0,0.0,0.0
130,6,16,1,178.0,31.0,0.0
131,6,26,1,168.0,7.0,0.0
132,6,27,1,112.0,77.0,0.0
133,6,10,3,347.0,10.0,36.7
134,6,2,3,61.0,42.0,39.0
135,6,18,3,15.0,71.0,17.8
136,6,9,3,292.0,35.0,24.6
137,6,1,3,14.0,5.0,38.0
138,6,19,3,289.0,33.0,21.7
139,6,17,3,82.0,30.0,29.7
140,6,16,3,234.0,22.0,0.0
141,6,3,3,133.0,34.0,0.0
142,6,5,5,113.0,10.0,0.0
143,6,120,2,0.0,0.0,36.6
144,6,120,2,0.0,0.0,36.6
145,7,8,1,293.0,63.0,19.8
146,7,10,1,108.0,55.0,19.2
147,7,11,1,264.0,21.0,20.9
148,7,15,1,30.0,8.0,41.6
149,7,18,1,64.0,40.0,33.9
150,7,21,1,68.0,17.0,32.2
151,7,30,1,313.0,11.0,26.9
152,7,1,1,246.0,7.0,0.0
153,7,13,1,0.0,0.0,0.0
154,7,16,1,178.0,31.0,0.0
155,7,26,1,168.0,6.0,0.0
156,7,27,1,113.0,75.0,0.0
157,7,28,1,0.0,0.0,0.0
158,7,10,3,347.0,10.0,36.5
159,7,2,3,61.0,42.0,38.1
160,7,18,3,15.0,71.0,19.0
161,7,9,3,292.0,35.0,25.0
162,7,1,3,14.0,5.0,35.5
163,7,19,3,289.0,33.0,22.1
164,7,17,3,82.0,30.0,30.9
165,7,16,3,234.0,22.0,0.0
166,7,3,3,133.0,34.0,0.0
167,7,5,5,113.0,10.0,0.0
168,7,120,2,0.0,0.0,36.6
169,7,2,5,0.0,0.0,0.0
170,8,8,1,293.0,63.0,19.8
171,8,10,1,108.0,55.0,19.7
172,8,11,1,264.0,21.0,20.4
173,8,15,1,30.0,8.0,42.3
174,8,18,1,64.0,40.0,33.4
175,8,21,1,68.0,17.0,32.2
176,8,30,1,313.0,11.0,25.8
177,8,1,1,246.0,7.0,0.0
178,8,13,1,0.0,0.0,0.0
179,8,16,1,178.0,31.0,0.0
180,8,26,1,168.0,6.0,0.0
181,8,27,1,113.0,75.0,0.0
182,8,28,1,0.0,0.0,0.0
183,8,10,3,347.0,10.0,36.0
184,8,2,3,61.0,42.0,37.9
185,8,18,3,15.0,71.0,17.0
186,8,9,3,292.0,35.0,26.0
187,8,1,3,14.0,5.0,31.8
188,8,19,3,289.0,33.0,22.1
189,8,17,3,82.0,30.0,31.1
190,8,16,3,234.0,22.0,0.0
191,8,3,3,133.0,34.0,0.0
192,8,5,5,113.0,10.0,0.0
193,8,120,2,0.0,0.0,36.6
194,8,2,5,0.0,0.0,0.0
195,9,8,1,293.0,63.0,19.7
196,9,10,1,108.0,55.0,19.3
197,9,11,1,264.0,21.0,20.5
198,9,15,1,30.0,8.0,41.3
199,9,18,1,64.0,40.0,34.5
200,9,21,1,68.0,17.0,33.1
201,9,30,1,313.0,11.0,25.6
202,9,1,1,246.0,7.0,0.0
203,9,13,1,0.0,0.0,0.0
204,9,16,1,178.0,31.0,0.0
205,9,26,1,168.0,6.0,0.0
206,9,27,1,113.0,75.0,0.0
207,9,28,1,0.0,0.0,0.0
208,9,10,3,347.0,10.0,37.1
209,9,2,3,61.0,42.0,38.9
210,9,18,3,15.0,71.0,17.0
211,9,9,3,292.0,35.0,26.7
212,9,1,3,14.0,5.0,30.3
213,9,19,3,289.0,33.0,21.3
214,9,17,3,82.0,30.0,30.5
215,9,16,3,234.0,22.0,0.0
216,9,3,3,133.0,34.0,0.0
217,9,5,5,113.0,10.0,0.0
218,9,120,2,0.0,0.0,36.6
219,9,2,5,0.0,0.0,0.0
220,10,8,1,293.0,63.0,21.6
221,10,10,1,108.0,55.0,19.6
222,10,15,1,30.0,8.0,41.3
223,10,18,1,64.0,40.0,34.9
224,10,21,1,68.0,17.0,32.8
225,10,30,1,313.0,11.0,25.5
226,10,1,1,246.0,7.0,0.0
227,10,11,1,264.0,21.0,0.0
228,10,13,1,0.0,0.0,0.0
229,10,16,1,178.0,31.0,0.0
230,10,26,1,168.0,6.0,0.0
231,10,27,1,113.0,75.0,0.0
232,10,28,1,0.0,0.0,0.0
233,10,10,3,347.0,10.0,37.2
234,10,2,3,61.0,42.0,38.8
235,10,18,3,15.0,71.0,17.0
236,10,9,3,292.0,35.0,25.5
237,10,1,3,14.0,5.0,18.0
238,10,19,3,289.0,33.0,22.7
239,10,17,3,82.0,30.0,29.4
240,10,3,3,133.0,34.0,14.9
241,10,16,3,234.0,22.0,0.0
242,10,5,5,113.0,10.0,0.0
243,10,120,2,0.0,0.0,36.6
244,10,2,5,0.0,0.0,0.0
245,11,8,1,293.0,63.0,20.7
246,11,10,1,108.0,55.0,19.5
247,11,15,1,30.0,8.0,40.5
248,11,18,1,64.0,40.0,34.6
249,11,21,1,68.0,17.0,32.7
250,11,30,1,313.0,11.0,27.3
251,11,1,1,246.0,7.0,0.0
252,11,11,1,264.0,21.0,0.0
