e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,8,17,2,46,27,-1.0,-1.0,-1.0,-1.0
2,2017,8,17,2,46,28,-1.0,-1.0,-1.0,-1.0
3,2017,8,17,2,46,29,-1.0,-1.0,-1.0,-1.0
4,2017,8,17,2,46,30,-1.0,-1.0,-1.0,-1.0
5,2017,8,17,2,46,31,-1.0,-1.0,-1.0,-1.0
6,2017,8,17,2,46,32,-1.0,-1.0,-1.0,-1.0
7,2017,8,17,2,46,33,-1.0,-1.0,-1.0,-1.0
8,2017,8,17,2,46,34,-1.0,-1.0,-1.0,-1.0
9,2017,8,17,2,46,35,-1.0,-1.0,-1.0,-1.0
10,2017,8,17,2,46,36,-1.0,-1.0,-1.0,-1.0
11,2017,8,17,2,46,37,-1.0,-1.0,-1.0,-1.0
12,2017,8,17,2,46,38,-1.0,-1.0,-1.0,-1.0
13,2017,8,17,2,46,39,-1.0,-1.0,-1.0,-1.0
14,2017,8,17,2,46,40,-1.0,-1.0,-1.0,-1.0
15,2017,8,17,2,46,41,-1.0,-1.0,-1.0,-1.0
16,2017,8,17,2,46,42,-1.0,-1.0,-1.0,-1.0
17,2017,8,17,2,46,43,-1.0,-1.0,-1.0,-1.0
18,2017,8,17,2,46,44,-1.0,-1.0,-1.0,-1.0
19,2017,8,17,2,46,45,-1.0,-1.0,-1.0,-1.0
20,2017,8,17,2,46,46,-1.0,-1.0,-1.0,-1.0
21,2017,8,17,2,46,47,-1.0,-1.0,-1.0,-1.0
22,2017,8,17,2,46,48,-1.0,-1.0,-1.0,-1.0
23,2017,8,17,2,46,49,-1.0,-1.0,-1.0,-1.0
24,2017,8,17,2,46,50,-1.0,-1.0,-1.0,-1.0
25,2017,8,17,2,46,51,-1.0,-1.0,-1.0,-1.0
26,2017,8,17,2,46,52,-1.0,-1.0,-1.0,-1.0
27,2017,8,17,2,46,53,-1.0,-1.0,-1.0,-1.0
28,2017,8,17,2,46,54,-1.0,-1.0,-1.0,-1.0
29,2017,8,17,2,46,55,-1.0,-1.0,-1.0,-1.0
30,2017,8,17,2,46,56,-1.0,-1.0,-1.0,-1.0
31,2017,8,17,2,46,57,-1.0,-1.0,-1.0,-1.0
32,2017,8,17,2,46,58,-1.0,-1.0,-1.0,-1.0
33,2017,8,17,2,46,59,-1.0,-1.0,-1.0,-1.0
34,2017,8,17,2,47,0,-1.0,-1.0,-1.0,-1.0
35,2017,8,17,2,47,1,-1.0,-1.0,-1.0,-1.0
36,2017,8,17,2,47,2,-1.0,-1.0,-1.0,-1.0
37,2017,8,17,2,47,3,-1.0,-1.0,-1.0,-1.0
38,2017,8,17,2,47,4,-1.0,-1.0,-1.0,-1.0
39,2017,8,17,2,47,5,-1.0,-1.0,-1.0,-1.0
40,2017,8,17,2,47,6,-1.0,-1.0,-1.0,-1.0
41,2017,8,17,2,47,7,-1.0,-1.0,-1.0,-1.0
42,2017,8,17,2,47,8,-1.0,-1.0,-1.0,-1.0
43,2017,8,17,2,47,9,-1.0,-1.0,-1.0,-1.0
44,2017,8,17,2,47,10,-1.0,-1.0,-1.0,-1.0
45,2017,8,17,2,47,11,-1.0,-1.0,-1.0,-1.0
46,2017,8,17,2,47,12,-1.0,-1.0,-1.0,-1.0
47,2017,8,17,2,47,13,-1.0,-1.0,-1.0,-1.0
