e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,8,19,12,30,51,51.47143474,0.00496006,-1.0,0.9
2,2017,8,19,12,30,52,51.47143474,0.00496006,-1.0,0.9
3,2017,8,19,12,30,53,51.47144037,0.00495518,-1.0,0.9
4,2017,8,19,12,30,54,51.47144037,0.00495518,-1.0,0.9
5,2017,8,19,12,30,55,51.4714525,0.00492085,-1.0,0.9
6,2017,8,19,12,30,56,51.4714525,0.00492085,-1.0,0.9
7,2017,8,19,12,30,57,51.47145432,0.00492923,-1.0,0.9
8,2017,8,19,12,30,58,51.47145432,0.00492923,-1.0,0.9
9,2017,8,19,12,30,59,51.47144756,0.00495425,-1.0,0.9
10,2017,8,19,12,31,0,51.47144709,0.00495391,-1.0,0.9
11,2017,8,19,12,31,1,51.47144536,0.0049517,-1.0,0.9
12,2017,8,19,12,31,2,51.47144186,0.00495027,-1.0,0.9
13,2017,8,19,12,31,3,51.47144186,0.00495027,-1.0,0.9
14,2017,8,19,12,31,4,51.47144071,0.00495984,-1.0,0.9
15,2017,8,19,12,31,5,51.47144071,0.00495984,-1.0,0.9
16,2017,8,19,12,31,6,51.47144078,0.00495813,-1.0,0.9
17,2017,8,19,12,31,7,51.47144078,0.00495813,-1.0,0.9
18,2017,8,19,12,31,8,51.47143942,0.00495504,-1.0,0.9
19,2017,8,19,12,31,9,51.47143796,0.00495383,-1.0,0.9
20,2017,8,19,12,31,10,51.47143819,0.00495354,-1.0,0.9
21,2017,8,19,12,31,11,51.4714383,0.00495316,-1.0,0.9
22,2017,8,19,12,31,12,51.47143828,0.00495318,-1.0,0.9
23,2017,8,19,12,31,13,51.47143827,0.00495321,-1.0,0.9
24,2017,8,19,12,31,14,51.47143827,0.00495319,-1.0,0.9
25,2017,8,19,12,31,15,51.47143827,0.00495319,-1.0,0.9
26,2017,8,19,12,31,16,51.47143823,0.00495311,-1.0,0.9
27,2017,8,19,12,31,17,51.47143823,0.00495311,-1.0,0.9
28,2017,8,19,12,31,18,51.4714382,0.00495308,-1.0,0.9
29,2017,8,19,12,31,19,51.4714382,0.00495307,-1.0,0.9
30,2017,8,19,12,31,20,51.4714382,0.00495307,-1.0,0.9
31,2017,8,19,12,31,21,51.47143823,0.00495311,-1.0,0.9
32,2017,8,19,12,31,22,51.47143823,0.00495311,-1.0,0.9
33,2017,8,19,12,31,23,51.47143827,0.00495312,-1.0,0.9
34,2017,8,19,12,31,24,51.47143827,0.00495312,-1.0,0.9
35,2017,8,19,12,31,25,51.47143831,0.00495316,-1.0,0.9
36,2017,8,19,12,31,26,51.47143831,0.00495314,-1.0,0.9
37,2017,8,19,12,31,27,51.47143832,0.00495314,-1.0,0.9
38,2017,8,19,12,31,28,51.47143832,0.00495314,-1.0,0.9
39,2017,8,19,12,31,29,51.47143837,0.00495309,-1.0,0.9
40,2017,8,19,12,31,30,51.47143837,0.00495309,-1.0,0.9
41,2017,8,19,12,31,31,51.47143838,0.0049531,-1.0,0.9
42,2017,8,19,12,31,32,51.47143838,0.0049531,-1.0,0.9
43,2017,8,19,12,31,33,51.4714384,0.00495313,-1.0,0.9
44,2017,8,19,12,31,34,51.4714384,0.00495312,-1.0,0.9
45,2017,8,19,12,31,35,51.47143839,0.0049531,-1.0,0.9
46,2017,8,19,12,31,36,51.47143839,0.0049531,-1.0,0.9
47,2017,8,19,12,31,37,51.47143839,0.0049531,-1.0,0.9
48,2017,8,19,12,31,38,51.47143841,0.0049531,-1.0,0.9
49,2017,8,19,12,31,39,51.47143842,0.00495312,-1.0,0.9
50,2017,8,19,12,31,40,51.47143842,0.00495313,-1.0,0.9
51,2017,8,19,12,31,41,51.47143843,0.00495312,-1.0,0.9
52,2017,8,19,12,31,42,51.47143842,0.0049531,-1.0,0.9
53,2017,8,19,12,31,43,51.47143839,0.00495308,-1.0,0.9
54,2017,8,19,12,31,44,51.47143838,0.00495302,-1.0,0.9
55,2017,8,19,12,31,45,51.47143841,0.00495296,-1.0,0.9
56,2017,8,19,12,31,46,51.47143843,0.00495295,-1.0,0.9
57,2017,8,19,12,31,47,51.47143836,0.0049529,-1.0,0.9
58,2017,8,19,12,31,48,51.47143832,0.0049529,-1.0,0.9
59,2017,8,19,12,31,49,51.47143831,0.00495291,-1.0,0.9
60,2017,8,19,12,31,50,51.47143831,0.00495291,-1.0,0.9
61,2017,8,19,12,31,51,51.47143831,0.0049529,-1.0,0.9
62,2017,8,19,12,31,52,51.47143832,0.0049529,-1.0,0.9
63,2017,8,19,12,31,53,51.47143835,0.0049529,-1.0,0.9
64,2017,8,19,12,31,54,51.47143834,0.00495291,-1.0,0.9
65,2017,8,19,12,31,55,51.47143832,0.00495284,-1.0,0.9
66,2017,8,19,12,31,56,51.47143832,0.00495284,-1.0,0.9
67,2017,8,19,12,31,57,51.47143834,0.00495283,-1.0,0.9
68,2017,8,19,12,31,58,51.47143835,0.0049528,-1.0,0.9
69,2017,8,19,12,31,59,51.47143836,0.00495278,-1.0,0.9
70,2017,8,19,12,32,0,51.47143835,0.00495278,-1.0,0.9
71,2017,8,19,12,32,1,51.47143835,0.00495275,-1.0,0.9
72,2017,8,19,12,32,2,51.47143831,0.00495264,-1.0,0.9
73,2017,8,19,12,32,3,51.47143829,0.00495263,-1.0,0.9
74,2017,8,19,12,32,4,51.47143825,0.00495259,-1.0,0.9
75,2017,8,19,12,32,5,51.47143823,0.00495257,-1.0,0.9
76,2017,8,19,12,32,6,51.47143823,0.00495257,-1.0,0.9
77,2017,8,19,12,32,7,51.47143821,0.0049526,-1.0,0.9
78,2017,8,19,12,32,8,51.4714382,0.00495264,-1.0,0.9
79,2017,8,19,12,32,9,51.4714415,0.00495176,-1.0,0.9
80,2017,8,19,12,32,10,51.47144707,0.00494294,-1.0,0.9
81,2017,8,19,12,32,11,51.47144748,0.00494247,-1.0,0.9
82,2017,8,19,12,32,12,51.47144748,0.00494247,-1.0,0.9
83,2017,8,19,12,32,13,51.47144783,0.00494456,-1.0,0.9
84,2017,8,19,12,32,14,51.47144782,0.00494403,-1.0,0.9
85,2017,8,19,12,32,15,51.47144649,0.00494415,-1.0,0.9
86,2017,8,19,12,32,16,51.47144804,0.00494723,-1.0,0.9
