obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,7,1,312.0,18.0,32.6
2,1,8,1,284.0,31.0,19.7
3,1,10,1,144.0,32.0,33.7
4,1,13,1,28.0,2.0,32.0
5,1,15,1,59.0,4.0,32.5
6,1,16,1,194.0,67.0,18.3
7,1,18,1,105.0,43.0,36.3
8,1,20,1,37.0,13.0,35.2
9,1,21,1,63.0,45.0,32.6
10,1,26,1,168.0,40.0,32.4
11,1,27,1,292.0,68.0,27.4
12,1,30,1,340.0,3.0,32.9
13,1,6,3,4.0,4.0,20.9
14,1,22,3,70.0,13.0,38.4
15,1,13,3,210.0,30.0,31.2
16,1,15,3,329.0,26.0,28.9
17,1,1,3,146.0,2.0,26.6
18,1,24,3,281.0,49.0,15.9
19,1,23,3,32.0,65.0,30.9
20,1,17,3,262.0,2.0,20.3
21,1,7,3,47.0,28.0,27.2
22,1,8,3,105.0,26.0,39.2
23,1,14,5,142.0,19.0,16.9
24,1,5,5,113.0,11.0,0.0
25,1,6,5,46.0,19.0,0.0
26,1,9,5,74.0,21.0,0.0
27,1,11,5,78.0,55.0,0.0
28,1,12,5,87.0,2.0,0.0
29,1,15,5,71.0,16.0,0.0
30,1,120,2,0.0,0.0,32.7
31,1,125,2,0.0,0.0,33.2
32,1,136,2,0.0,0.0,33.0
33,1,0,0,0.0,0.0,0.0
34,2,7,1,312.0,18.0,33.5
35,2,8,1,284.0,31.0,18.9
36,2,10,1,144.0,32.0,35.2
37,2,13,1,28.0,2.0,33.3
38,2,15,1,59.0,4.0,32.6
39,2,16,1,194.0,67.0,26.8
40,2,18,1,105.0,43.0,35.4
41,2,20,1,37.0,13.0,36.4
42,2,21,1,63.0,45.0,34.4
43,2,26,1,168.0,40.0,33.2
44,2,27,1,292.0,68.0,31.1
45,2,30,1,340.0,3.0,34.5
46,2,6,3,4.0,4.0,13.2
47,2,22,3,70.0,13.0,37.3
48,2,13,3,210.0,30.0,31.1
49,2,15,3,329.0,26.0,31.0
50,2,1,3,146.0,2.0,24.9
51,2,24,3,281.0,49.0,15.6
52,2,23,3,32.0,65.0,33.3
53,2,17,3,262.0,2.0,24.9
54,2,7,3,47.0,28.0,34.2
55,2,8,3,105.0,26.0,37.4
56,2,14,5,142.0,19.0,31.6
57,2,5,5,113.0,11.0,0.0
58,2,6,5,46.0,19.0,0.0
59,2,9,5,74.0,21.0,0.0
60,2,11,5,78.0,55.0,0.0
61,2,12,5,87.0,2.0,0.0
62,2,15,5,71.0,16.0,0.0
63,2,120,2,0.0,0.0,31.4
64,2,125,2,0.0,0.0,31.3
65,2,136,2,0.0,0.0,30.3
66,2,0,0,0.0,0.0,0.0
67,3,7,1,312.0,18.0,36.5
68,3,8,1,284.0,31.0,36.8
69,3,10,1,144.0,32.0,33.3
70,3,13,1,28.0,2.0,27.7
71,3,15,1,59.0,4.0,37.0
72,3,16,1,194.0,67.0,34.2
73,3,18,1,105.0,43.0,34.2
74,3,20,1,37.0,13.0,30.9
75,3,21,1,63.0,45.0,33.3
76,3,26,1,168.0,40.0,36.3
77,3,27,1,292.0,68.0,36.2
78,3,30,1,340.0,3.0,25.8
79,3,6,3,4.0,4.0,26.1
80,3,22,3,70.0,13.0,31.5
81,3,13,3,210.0,30.0,28.3
82,3,15,3,329.0,26.0,22.3
83,3,1,3,146.0,2.0,31.0
84,3,24,3,281.0,49.0,31.0
85,3,23,3,32.0,65.0,33.8
86,3,17,3,262.0,2.0,27.5
87,3,7,3,47.0,28.0,35.0
88,3,8,3,105.0,26.0,38.4
89,3,14,5,142.0,19.0,28.7
90,3,5,5,113.0,11.0,0.0
91,3,6,5,46.0,19.0,0.0
92,3,9,5,74.0,21.0,0.0
93,3,11,5,78.0,55.0,0.0
94,3,12,5,87.0,2.0,0.0
95,3,15,5,71.0,16.0,0.0
96,3,120,2,0.0,0.0,30.4
97,3,125,2,0.0,0.0,31.3
98,3,136,2,0.0,0.0,34.7
99,3,0,0,0.0,0.0,0.0
100,4,7,1,312.0,18.0,38.3
101,4,8,1,284.0,31.0,34.6
102,4,10,1,144.0,32.0,27.1
103,4,13,1,28.0,2.0,29.6
104,4,15,1,59.0,4.0,32.0
