e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,8,25,11,42,6,51.47220503,-0.00185616,-1.0,0.8
2,2017,8,25,11,42,7,51.47141378,-0.00270601,-1.0,0.8
3,2017,8,25,11,42,8,51.47141378,-0.00270601,-1.0,0.8
4,2017,8,25,11,42,9,51.47141377,-0.002706,-1.0,0.8
5,2017,8,25,11,42,10,51.47141383,-0.00270595,-1.0,0.8
6,2017,8,25,11,42,11,51.47141387,-0.00270597,-1.0,0.8
7,2017,8,25,11,42,12,51.47141389,-0.00270598,-1.0,0.8
8,2017,8,25,11,42,13,51.47141393,-0.00270596,-1.0,0.8
9,2017,8,25,11,42,14,51.47141396,-0.00270593,-1.0,0.8
10,2017,8,25,11,42,15,51.47141397,-0.00270595,-1.0,0.8
11,2017,8,25,11,42,16,51.47141391,-0.00270617,-1.0,0.8
12,2017,8,25,11,42,17,51.47141391,-0.00270617,-1.0,0.8
13,2017,8,25,11,42,18,51.47141385,-0.00270605,-1.0,0.8
14,2017,8,25,11,42,19,51.47141385,-0.00270607,-1.0,0.8
15,2017,8,25,11,42,20,51.47141393,-0.00270612,-1.0,0.8
16,2017,8,25,11,42,21,51.47141394,-0.00270615,-1.0,0.8
17,2017,8,25,11,42,22,51.47141394,-0.00270615,-1.0,0.8
18,2017,8,25,11,42,23,51.47141392,-0.00270602,-1.0,0.8
19,2017,8,25,11,42,24,51.47141392,-0.00270602,-1.0,0.8
20,2017,8,25,11,42,25,51.47141389,-0.00270596,-1.0,0.8
21,2017,8,25,11,42,26,51.47141389,-0.00270587,-1.0,0.8
22,2017,8,25,11,42,27,51.47141388,-0.00270581,-1.0,0.8
23,2017,8,25,11,42,28,51.47141386,-0.00270577,-1.0,0.8
24,2017,8,25,11,42,29,51.47141388,-0.00270571,-1.0,0.8
25,2017,8,25,11,42,30,51.47141274,-0.00270243,-1.0,0.8
26,2017,8,25,11,42,31,51.47141232,-0.00269825,-1.0,0.8
27,2017,8,25,11,42,32,51.47141242,-0.00269514,-1.0,0.8
28,2017,8,25,11,42,33,51.47141242,-0.00269514,-1.0,0.8
29,2017,8,25,11,42,34,51.47141149,-0.00269207,-1.0,0.8
30,2017,8,25,11,42,35,51.47140939,-0.00269149,-1.0,0.8
31,2017,8,25,11,42,36,51.47140967,-0.00269429,-1.0,0.8
32,2017,8,25,11,42,37,51.471409,-0.00269627,-1.0,0.8
33,2017,8,25,11,42,38,51.47140926,-0.00269964,-1.0,0.8
34,2017,8,25,11,42,39,51.47140926,-0.00269964,-1.0,0.8
35,2017,8,25,11,42,40,51.47140749,-0.00269697,-1.0,0.8
36,2017,8,25,11,42,41,51.47140749,-0.00269697,-1.0,0.8
37,2017,8,25,11,42,42,51.47140716,-0.00269921,-1.0,0.8
38,2017,8,25,11,42,43,51.47140802,-0.00270073,-1.0,0.8
39,2017,8,25,11,42,44,51.47140887,-0.00269884,-1.0,0.8
40,2017,8,25,11,42,45,51.47140933,-0.00269802,-1.0,0.8
41,2017,8,25,11,42,46,51.47140972,-0.00269675,-1.0,0.8
42,2017,8,25,11,42,47,51.47140972,-0.00269675,-1.0,0.8
43,2017,8,25,11,42,48,51.47140999,-0.00269624,-1.0,0.8
44,2017,8,25,11,42,49,51.47141008,-0.00269572,-1.0,0.8
45,2017,8,25,11,42,50,51.47141022,-0.00269531,-1.0,0.8
46,2017,8,25,11,42,51,51.47141026,-0.00269525,-1.0,0.8
47,2017,8,25,11,42,52,51.47141026,-0.00269525,-1.0,0.8
48,2017,8,25,11,42,53,51.4714103,-0.00269519,-1.0,0.8
49,2017,8,25,11,42,54,51.47141033,-0.00269519,-1.0,0.8
50,2017,8,25,11,42,55,51.47141037,-0.00269517,-1.0,0.8
51,2017,8,25,11,42,56,51.47141041,-0.00269517,-1.0,0.8
52,2017,8,25,11,42,57,51.47141044,-0.00269517,-1.0,0.8
53,2017,8,25,11,42,58,51.47141047,-0.00269513,-1.0,0.8
54,2017,8,25,11,42,59,51.4714105,-0.00269512,-1.0,0.8
55,2017,8,25,11,43,0,51.47141053,-0.00269511,-1.0,0.8
56,2017,8,25,11,43,1,51.47141053,-0.00269511,-1.0,0.8
57,2017,8,25,11,43,2,51.47141056,-0.00269511,-1.0,0.8
58,2017,8,25,11,43,3,51.47141056,-0.00269511,-1.0,0.8
59,2017,8,25,11,43,4,51.4714106,-0.00269512,-1.0,0.8
60,2017,8,25,11,43,5,51.4714106,-0.00269511,-1.0,0.8
61,2017,8,25,11,43,6,51.47141059,-0.0026951,-1.0,0.8
62,2017,8,25,11,43,7,51.47141059,-0.0026951,-1.0,0.8
63,2017,8,25,11,43,8,51.47141058,-0.00269509,-1.0,0.8
64,2017,8,25,11,43,9,51.47141059,-0.00269507,-1.0,0.8
65,2017,8,25,11,43,10,51.47141061,-0.00269504,-1.0,0.8
66,2017,8,25,11,43,11,51.47141061,-0.00269502,-1.0,0.8
67,2017,8,25,11,43,12,51.47141061,-0.00269502,-1.0,0.8
68,2017,8,25,11,43,13,51.47141062,-0.00269501,-1.0,0.8
69,2017,8,25,11,43,14,51.47141061,-0.00269508,-1.0,0.8
70,2017,8,25,11,43,15,51.4714106,-0.00269519,-1.0,0.8
71,2017,8,25,11,43,16,51.4714106,-0.00269519,-1.0,0.8
72,2017,8,25,11,43,17,51.47141062,-0.00269521,-1.0,0.8
73,2017,8,25,11,43,18,51.47141063,-0.00269526,-1.0,0.8
74,2017,8,25,11,43,19,51.47141063,-0.00269523,-1.0,0.8
