obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,7,1,322.0,15.0,32.9
2,1,8,1,278.0,21.0,35.5
3,1,10,1,150.0,21.0,35.0
4,1,16,1,224.0,75.0,33.6
5,1,18,1,118.0,37.0,31.7
6,1,20,1,45.0,20.0,30.0
7,1,21,1,66.0,54.0,31.4
8,1,26,1,168.0,52.0,35.8
9,1,27,1,284.0,57.0,35.2
10,1,10,3,180.0,1.0,33.7
11,1,6,3,118.0,14.0,31.8
12,1,22,3,267.0,38.0,34.1
13,1,12,3,293.0,49.0,30.9
14,1,11,3,213.0,42.0,34.4
15,1,5,3,60.0,28.0,30.8
16,1,20,3,63.0,21.0,34.1
17,1,21,3,16.0,70.0,31.4
18,1,4,3,9.0,11.0,27.1
19,1,13,3,340.0,7.0,0.0
20,1,136,2,0.0,0.0,34.9
21,1,5,5,113.0,11.0,0.0
22,2,7,1,322.0,15.0,31.5
23,2,8,1,278.0,21.0,35.6
24,2,10,1,150.0,21.0,37.6
25,2,16,1,224.0,75.0,36.0
26,2,18,1,118.0,37.0,28.7
27,2,20,1,45.0,20.0,29.1
28,2,21,1,66.0,54.0,32.7
29,2,26,1,168.0,52.0,38.7
30,2,27,1,284.0,57.0,35.7
31,2,10,3,180.0,1.0,33.5
32,2,6,3,118.0,14.0,32.6
33,2,22,3,267.0,38.0,35.1
34,2,12,3,293.0,49.0,32.6
35,2,11,3,213.0,42.0,37.6
36,2,5,3,60.0,28.0,32.0
37,2,20,3,63.0,21.0,33.9
38,2,21,3,16.0,70.0,30.2
39,2,13,3,340.0,7.0,0.0
40,2,136,2,0.0,0.0,34.8
41,2,136,2,0.0,0.0,34.9
42,3,7,1,322.0,15.0,27.7
43,3,8,1,278.0,21.0,35.0
44,3,10,1,150.0,21.0,36.8
45,3,16,1,224.0,75.0,35.1
46,3,18,1,118.0,37.0,28.6
47,3,20,1,45.0,20.0,31.8
48,3,21,1,66.0,54.0,33.3
49,3,26,1,168.0,52.0,39.1
50,3,27,1,284.0,57.0,35.5
51,3,10,3,180.0,1.0,34.6
52,3,6,3,118.0,14.0,33.0
53,3,22,3,267.0,38.0,35.0
54,3,12,3,293.0,49.0,32.3
55,3,11,3,213.0,42.0,34.7
56,3,5,3,60.0,28.0,33.1
57,3,20,3,63.0,21.0,35.0
58,3,21,3,16.0,70.0,28.4
59,3,4,3,9.0,11.0,25.3
60,3,13,3,340.0,7.0,0.0
61,3,136,2,0.0,0.0,33.8
62,3,5,5,113.0,11.0,0.0
63,4,7,1,322.0,15.0,25.7
64,4,8,1,278.0,21.0,34.8
65,4,10,1,150.0,21.0,36.4
66,4,16,1,224.0,75.0,35.2
67,4,18,1,118.0,37.0,27.0
68,4,20,1,45.0,20.0,30.0
69,4,21,1,66.0,54.0,32.5
70,4,26,1,168.0,52.0,38.8
71,4,27,1,284.0,57.0,35.2
72,4,10,3,180.0,1.0,35.8
73,4,6,3,118.0,14.0,33.5
74,4,22,3,267.0,38.0,35.3
75,4,12,3,293.0,49.0,33.9
76,4,11,3,213.0,42.0,38.0
77,4,5,3,60.0,28.0,32.0
78,4,20,3,63.0,21.0,35.1
79,4,21,3,16.0,70.0,27.5
80,4,13,3,340.0,7.0,0.0
81,4,136,2,0.0,0.0,33.2
82,4,136,2,0.0,0.0,33.8
83,5,7,1,322.0,15.0,27.1
84,5,8,1,278.0,21.0,34.8
85,5,10,1,150.0,21.0,36.7
86,5,16,1,224.0,75.0,35.5
87,5,18,1,118.0,37.0,27.1
88,5,20,1,45.0,20.0,32.2
89,5,21,1,66.0,54.0,32.7
90,5,26,1,168.0,52.0,38.3
91,5,27,1,284.0,57.0,35.6
92,5,10,3,180.0,1.0,35.3
93,5,6,3,118.0,14.0,34.0
94,5,22,3,267.0,38.0,35.7
95,5,12,3,293.0,49.0,34.6
96,5,11,3,213.0,42.0,35.5
97,5,5,3,60.0,28.0,33.0
98,5,20,3,63.0,21.0,34.4
99,5,21,3,16.0,70.0,28.3
100,5,13,3,340.0,7.0,0.0
101,5,4,3,9.0,11.0,0.0
102,5,136,2,0.0,0.0,33.3
103,5,5,5,113.0,11.0,0.0
104,6,7,1,322.0,15.0,32.4
105,6,8,1,278.0,21.0,28.7
106,6,10,1,150.0,21.0,30.0
107,6,16,1,224.0,75.0,33.7
108,6,18,1,118.0,37.0,40.8
109,6,20,1,45.0,20.0,33.5
110,6,21,1,66.0,54.0,37.3
111,6,26,1,168.0,52.0,41.0
112,6,27,1,284.0,57.0,37.4
113,6,10,3,180.0,1.0,30.0
114,6,6,3,118.0,14.0,35.9
115,6,22,3,267.0,38.0,35.9
116,6,12,3,293.0,49.0,29.6
117,6,11,3,213.0,42.0,33.9
118,6,5,3,60.0,28.0,31.5
119,6,21,3,16.0,70.0,26.9
120,6,13,3,340.0,7.0,0.0
121,6,4,3,9.0,11.0,0.0
122,6,136,2,0.0,0.0,36.7
123,6,136,2,0.0,0.0,33.3
124,7,7,1,322.0,15.0,34.4
125,7,8,1,278.0,21.0,34.8
126,7,10,1,150.0,21.0,36.3
127,7,16,1,224.0,75.0,35.0
128,7,18,1,118.0,37.0,33.9
129,7,20,1,45.0,20.0,34.8
130,7,21,1,66.0,54.0,31.9
131,7,26,1,168.0,52.0,37.9
132,7,27,1,284.0,57.0,37.0
133,7,10,3,180.0,1.0,31.6
134,7,6,3,118.0,14.0,31.7
135,7,22,3,267.0,38.0,35.9
136,7,12,3,293.0,49.0,32.7
137,7,11,3,213.0,42.0,33.9
138,7,5,3,60.0,28.0,30.7
139,7,20,3,63.0,21.0,27.7
140,7,21,3,16.0,70.0,33.0
141,7,4,3,9.0,11.0,34.0
142,7,13,3,340.0,7.0,0.0
143,7,136,2,0.0,0.0,30.3
144,7,5,5,113.0,11.0,0.0
145,8,7,1,322.0,15.0,31.7
146,8,8,1,278.0,21.0,34.4
147,8,10,1,150.0,21.0,34.1
148,8,16,1,224.0,75.0,36.4
149,8,18,1,118.0,37.0,37.9
150,8,20,1,45.0,20.0,34.6
151,8,21,1,66.0,54.0,32.1
152,8,26,1,168.0,52.0,38.2
153,8,27,1,284.0,57.0,37.3
154,8,10,3,180.0,1.0,30.3
155,8,6,3,118.0,14.0,33.1
156,8,22,3,267.0,38.0,36.7
157,8,12,3,293.0,49.0,34.7
158,8,11,3,213.0,42.0,37.7
159,8,5,3,60.0,28.0,32.8
160,8,20,3,63.0,21.0,23.6
161,8,21,3,16.0,70.0,30.4
162,8,4,3,9.0,11.0,32.6
163,8,13,3,340.0,7.0,0.0
164,8,136,2,0.0,0.0,29.8
