obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,3,1,227.0,44.0,33.0
2,1,8,1,163.0,27.0,28.1
3,1,11,1,154.0,75.0,31.9
4,1,14,1,80.0,39.0,34.1
5,1,17,1,312.0,25.0,22.2
6,1,19,1,317.0,4.0,14.2
7,1,22,1,213.0,71.0,33.4
8,1,28,1,268.0,26.0,33.3
9,1,32,1,57.0,33.0,36.5
10,1,10,1,56.0,2.0,0.0
11,1,24,1,0.0,0.0,0.0
12,1,22,3,133.0,7.0,33.6
13,1,16,3,2.0,10.0,15.1
14,1,15,3,306.0,8.0,14.8
15,1,1,3,198.0,52.0,33.8
16,1,24,3,319.0,61.0,20.6
17,1,23,3,129.0,63.0,35.9
18,1,17,3,314.0,10.0,24.8
19,1,7,3,36.0,18.0,34.8
20,1,8,3,60.0,69.0,33.1
21,1,5,5,115.0,9.0,26.0
22,1,9,5,43.0,23.0,31.6
23,1,6,5,0.0,0.0,0.0
24,1,15,5,40.0,23.0,0.0
25,1,120,2,0.0,0.0,29.3
26,1,127,2,0.0,0.0,34.3
27,1,136,2,0.0,0.0,30.5
28,1,0,0,0.0,0.0,0.0
29,2,3,1,227.0,44.0,34.2
30,2,8,1,163.0,27.0,38.8
31,2,11,1,154.0,75.0,32.1
32,2,14,1,80.0,39.0,35.6
33,2,17,1,312.0,25.0,34.7
34,2,19,1,317.0,4.0,14.2
35,2,22,1,213.0,71.0,31.2
36,2,28,1,268.0,26.0,37.1
37,2,32,1,57.0,33.0,34.9
38,2,10,1,56.0,2.0,0.0
39,2,24,1,0.0,0.0,0.0
40,2,22,3,133.0,7.0,35.1
41,2,16,3,2.0,10.0,15.1
42,2,15,3,306.0,8.0,11.8
43,2,1,3,198.0,52.0,32.2
44,2,24,3,319.0,61.0,20.7
45,2,23,3,129.0,63.0,36.2
46,2,17,3,314.0,10.0,26.7
47,2,7,3,36.0,18.0,28.9
48,2,8,3,60.0,69.0,28.8
49,2,5,5,115.0,9.0,27.6
50,2,9,5,43.0,23.0,27.9
51,2,6,5,0.0,0.0,0.0
52,2,15,5,40.0,23.0,0.0
53,2,120,2,0.0,0.0,30.8
54,2,127,2,0.0,0.0,34.3
55,2,136,2,0.0,0.0,31.7
56,2,0,0,0.0,0.0,0.0
57,3,3,1,227.0,44.0,38.8
58,3,8,1,163.0,27.0,37.8
59,3,11,1,154.0,75.0,32.5
60,3,14,1,80.0,39.0,32.6
61,3,17,1,312.0,25.0,38.1
62,3,19,1,317.0,4.0,15.2
63,3,22,1,213.0,71.0,34.9
64,3,28,1,268.0,26.0,34.5
65,3,32,1,57.0,33.0,32.5
66,3,10,1,56.0,2.0,0.0
67,3,24,1,0.0,0.0,0.0
68,3,22,3,133.0,7.0,36.1
69,3,16,3,2.0,10.0,14.8
70,3,15,3,306.0,8.0,21.7
71,3,1,3,198.0,52.0,34.5
72,3,24,3,319.0,61.0,28.7
73,3,23,3,129.0,63.0,34.4
74,3,17,3,314.0,10.0,28.5
75,3,7,3,36.0,18.0,34.5
76,3,8,3,60.0,69.0,29.2
77,3,5,5,115.0,9.0,27.6
78,3,9,5,43.0,23.0,27.6
79,3,6,5,0.0,0.0,0.0
80,3,15,5,40.0,23.0,0.0
81,3,120,2,0.0,0.0,30.9
82,3,127,2,0.0,0.0,34.3
83,3,136,2,0.0,0.0,31.8
84,3,0,0,0.0,0.0,0.0
85,4,3,1,227.0,44.0,27.3
86,4,8,1,163.0,27.0,30.6
87,4,11,1,154.0,75.0,21.9
88,4,14,1,80.0,39.0,30.3
89,4,17,1,312.0,25.0,37.1
90,4,19,1,317.0,4.0,24.9
91,4,22,1,213.0,71.0,27.3
92,4,28,1,268.0,26.0,29.4
93,4,32,1,57.0,33.0,25.7
94,4,10,1,56.0,2.0,0.0
95,4,24,1,0.0,0.0,0.0
96,4,22,3,133.0,7.0,40.6
97,4,16,3,2.0,10.0,22.8
98,4,15,3,306.0,8.0,22.7
99,4,1,3,198.0,52.0,31.3
100,4,24,3,319.0,61.0,28.0
101,4,23,3,129.0,63.0,29.0
102,4,17,3,314.0,10.0,32.2
103,4,7,3,36.0,18.0,31.2
104,4,8,3,60.0,69.0,27.1
105,4,5,5,115.0,9.0,28.7
106,4,9,5,43.0,23.0,32.3
107,4,6,5,0.0,0.0,0.0
108,4,15,5,40.0,23.0,0.0
109,4,120,2,0.0,0.0,30.2
110,4,127,2,0.0,0.0,29.1
111,4,136,2,0.0,0.0,31.8
112,4,0,0,0.0,0.0,0.0
113,5,3,1,227.0,44.0,29.5
114,5,8,1,163.0,27.0,32.4
115,5,11,1,154.0,75.0,24.6
116,5,14,1,80.0,39.0,30.4
117,5,17,1,312.0,25.0,37.4
118,5,19,1,317.0,4.0,25.7
119,5,22,1,213.0,71.0,26.9
120,5,28,1,268.0,26.0,28.8
121,5,32,1,57.0,33.0,29.3
122,5,10,1,56.0,2.0,0.0
123,5,24,1,0.0,0.0,0.0
124,5,22,3,133.0,7.0,40.3
125,5,16,3,2.0,10.0,18.8
126,5,15,3,306.0,8.0,17.9
127,5,1,3,198.0,52.0,31.5
128,5,24,3,319.0,61.0,25.1
129,5,23,3,129.0,63.0,29.8
130,5,17,3,314.0,10.0,32.4
131,5,7,3,36.0,18.0,32.6
132,5,8,3,60.0,69.0,29.0
133,5,5,5,115.0,9.0,30.7
134,5,9,5,43.0,23.0,30.6
135,5,6,5,0.0,0.0,0.0
136,5,15,5,40.0,23.0,0.0
137,5,120,2,0.0,0.0,28.7
138,5,127,2,0.0,0.0,30.1
139,5,136,2,0.0,0.0,31.8
140,5,0,0,0.0,0.0,0.0
141,6,3,1,227.0,44.0,37.8
142,6,8,1,163.0,27.0,39.8
143,6,14,1,80.0,39.0,25.6
144,6,17,1,312.0,25.0,41.3
145,6,19,1,317.0,4.0,26.5
146,6,28,1,268.0,26.0,29.9
147,6,32,1,57.0,33.0,32.5
148,6,10,1,56.0,2.0,0.0
149,6,24,1,0.0,0.0,0.0
150,6,22,3,133.0,7.0,41.4
151,6,16,3,2.0,10.0,18.8
152,6,15,3,306.0,8.0,17.9
153,6,1,3,198.0,52.0,33.1
154,6,24,3,319.0,61.0,26.1
155,6,23,3,129.0,63.0,35.5
156,6,17,3,314.0,10.0,33.6
157,6,7,3,36.0,18.0,34.6
158,6,8,3,60.0,69.0,29.0
159,6,136,2,0.0,0.0,31.8
160,6,8,3,60.0,69.0,29.0
161,7,3,1,227.0,44.0,27.4
162,7,8,1,163.0,27.0,42.7
163,7,14,1,80.0,39.0,33.6
164,7,17,1,312.0,25.0,39.4
165,7,19,1,317.0,4.0,26.1
166,7,22,1,213.0,71.0,26.8
167,7,28,1,268.0,26.0,34.1
168,7,32,1,57.0,33.0,34.1
169,7,10,1,56.0,2.0,0.0
170,7,24,1,0.0,0.0,0.0
171,7,22,3,133.0,7.0,33.1
172,7,16,3,2.0,10.0,23.5
173,7,1,3,198.0,52.0,33.7
174,7,23,3,129.0,63.0,28.9
175,7,17,3,314.0,10.0,30.6
176,7,7,3,36.0,18.0,33.4
177,7,8,3,60.0,69.0,29.2
178,7,15,3,306.0,8.0,0.0
179,7,120,2,0.0,0.0,28.7
180,7,136,2,0.0,0.0,37.6
181,7,5,5,115.0,9.0,30.7
182,8,3,1,227.0,44.0,37.3
183,8,8,1,163.0,27.0,38.7
184,8,11,1,154.0,75.0,27.2
185,8,14,1,80.0,39.0,34.9
186,8,17,1,312.0,25.0,32.0
187,8,22,1,213.0,71.0,27.8
188,8,28,1,268.0,26.0,32.1
189,8,32,1,57.0,33.0,35.2
190,8,10,1,56.0,2.0,0.0
191,8,24,1,0.0,0.0,0.0
192,8,22,3,133.0,7.0,35.2
193,8,16,3,2.0,10.0,25.0
194,8,1,3,198.0,52.0,34.1
195,8,23,3,129.0,63.0,23.4
196,8,17,3,314.0,10.0,24.4
197,8,7,3,36.0,18.0,32.8
198,8,8,3,60.0,69.0,30.2
199,8,15,3,306.0,8.0,0.0
200,8,24,3,319.0,61.0,0.0
201,8,120,2,0.0,0.0,31.6
202,8,136,2,0.0,0.0,35.4
203,8,9,5,43.0,23.0,30.6
204,9,3,1,227.0,44.0,38.6
205,9,8,1,163.0,27.0,39.1
206,9,11,1,154.0,75.0,32.0
207,9,14,1,80.0,39.0,36.7
208,9,17,1,312.0,25.0,38.8
209,9,22,1,213.0,71.0,29.2
210,9,28,1,268.0,26.0,28.7
211,9,32,1,57.0,33.0,33.5
212,9,10,1,56.0,2.0,0.0
213,9,19,1,317.0,4.0,0.0
214,9,24,1,0.0,0.0,0.0
215,9,22,3,133.0,7.0,35.3
216,9,16,3,2.0,10.0,24.8
217,9,1,3,198.0,52.0,32.6
218,9,23,3,129.0,63.0,27.6
219,9,17,3,314.0,10.0,27.9
220,9,7,3,36.0,18.0,35.1
221,9,8,3,60.0,69.0,26.7
222,9,15,3,306.0,8.0,0.0
223,9,24,3,319.0,61.0,0.0
224,9,120,2,0.0,0.0,29.4
225,9,136,2,0.0,0.0,34.0
226,9,6,5,0.0,0.0,0.0
227,10,3,1,227.0,44.0,38.6
228,10,8,1,163.0,27.0,37.6
229,10,11,1,154.0,75.0,31.1
230,10,14,1,80.0,39.0,36.8
231,10,17,1,312.0,25.0,36.7
232,10,22,1,213.0,71.0,30.6
233,10,28,1,268.0,26.0,29.3
234,10,32,1,57.0,33.0,34.7
235,10,10,1,56.0,2.0,0.0
236,10,19,1,317.0,4.0,0.0
237,10,24,1,0.0,0.0,0.0
238,10,22,3,133.0,7.0,34.3
239,10,16,3,2.0,10.0,24.6
240,10,1,3,198.0,52.0,33.7
241,10,23,3,129.0,63.0,26.6
242,10,17,3,314.0,10.0,26.2
243,10,7,3,36.0,18.0,34.5
244,10,8,3,60.0,69.0,30.7
245,10,15,3,306.0,8.0,0.0
246,10,24,3,319.0,61.0,0.0
247,10,120,2,0.0,0.0,29.0
248,10,136,2,0.0,0.0,34.3
249,10,6,5,0.0,0.0,0.0
250,11,3,1,227.0,44.0,35.7
251,11,8,1,163.0,27.0,36.7
252,11,11,1,154.0,75.0,30.0
253,11,14,1,80.0,39.0,35.1
