e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,8,19,12,20,43,51.47381837,0.00109544,-1.0,0.9
2,2017,8,19,12,20,44,51.47381837,0.00109544,-1.0,0.9
3,2017,8,19,12,20,45,51.47381364,0.0010849,-1.0,0.9
4,2017,8,19,12,20,46,51.47381364,0.0010849,-1.0,0.9
5,2017,8,19,12,20,47,51.47381915,0.00107509,-1.0,0.9
6,2017,8,19,12,20,48,51.47381915,0.00107509,-1.0,0.9
7,2017,8,19,12,20,49,51.47382118,0.00107241,-1.0,0.9
8,2017,8,19,12,20,50,51.47382074,0.00107533,-1.0,0.9
9,2017,8,19,12,20,51,51.47382091,0.00106804,-1.0,0.9
10,2017,8,19,12,20,52,51.47382046,0.00106736,-1.0,0.9
11,2017,8,19,12,20,53,51.47381776,0.00106888,-1.0,0.9
12,2017,8,19,12,20,54,51.47381776,0.00106888,-1.0,0.9
13,2017,8,19,12,20,55,51.47381439,0.00106613,-1.0,0.9
14,2017,8,19,12,20,56,51.47381251,0.00106465,-1.0,0.9
15,2017,8,19,12,20,57,51.47381198,0.00106368,-1.0,0.9
16,2017,8,19,12,20,58,51.47381008,0.00106311,-1.0,0.9
17,2017,8,19,12,20,59,51.47381008,0.00106311,-1.0,0.9
18,2017,8,19,12,21,0,51.47380937,0.00106275,-1.0,0.9
19,2017,8,19,12,21,1,51.47380911,0.00106225,-1.0,0.9
20,2017,8,19,12,21,2,51.473809,0.00106227,-1.0,0.9
21,2017,8,19,12,21,3,51.47380897,0.0010623,-1.0,0.9
22,2017,8,19,12,21,4,51.47380887,0.00106225,-1.0,0.9
23,2017,8,19,12,21,5,51.47380891,0.00106228,-1.0,0.9
24,2017,8,19,12,21,6,51.47380891,0.00106228,-1.0,0.9
25,2017,8,19,12,21,7,51.4738089,0.0010623,-1.0,0.9
26,2017,8,19,12,21,8,51.47380886,0.00106228,-1.0,0.9
27,2017,8,19,12,21,9,51.47380871,0.00106212,-1.0,0.9
28,2017,8,19,12,21,10,51.47380871,0.00106208,-1.0,0.9
29,2017,8,19,12,21,11,51.47380871,0.00106208,-1.0,0.9
30,2017,8,19,12,21,12,51.47380873,0.00106203,-1.0,0.9
31,2017,8,19,12,21,13,51.47380873,0.00106203,-1.0,0.9
32,2017,8,19,12,21,14,51.47380877,0.00106207,-1.0,0.9
33,2017,8,19,12,21,15,51.47380875,0.00106203,-1.0,0.9
34,2017,8,19,12,21,16,51.47380875,0.00106203,-1.0,0.9
35,2017,8,19,12,21,17,51.4738087,0.00106197,-1.0,0.9
36,2017,8,19,12,21,18,51.4738087,0.00106194,-1.0,0.9
37,2017,8,19,12,21,19,51.47380869,0.00106195,-1.0,0.9
38,2017,8,19,12,21,20,51.47380866,0.00106197,-1.0,0.9
39,2017,8,19,12,21,21,51.47380866,0.00106197,-1.0,0.9
40,2017,8,19,12,21,22,51.47380857,0.00106203,-1.0,0.9
41,2017,8,19,12,21,23,51.47380852,0.00106204,-1.0,0.9
42,2017,8,19,12,21,24,51.47380852,0.00106205,-1.0,0.9
43,2017,8,19,12,21,25,51.47380852,0.00106205,-1.0,0.9
44,2017,8,19,12,21,26,51.4738085,0.00106208,-1.0,0.9
45,2017,8,19,12,21,27,51.47380843,0.0010621,-1.0,0.9
46,2017,8,19,12,21,28,51.47380837,0.00106209,-1.0,0.9
47,2017,8,19,12,21,29,51.47380832,0.00106206,-1.0,0.9
48,2017,8,19,12,21,30,51.47380833,0.00106211,-1.0,0.9
49,2017,8,19,12,21,31,51.47380833,0.00106214,-1.0,0.9
50,2017,8,19,12,21,32,51.47380828,0.00106212,-1.0,0.9
51,2017,8,19,12,21,33,51.47380827,0.00106213,-1.0,0.9
52,2017,8,19,12,21,34,51.47380827,0.00106215,-1.0,0.9
53,2017,8,19,12,21,35,51.47380824,0.00106212,-1.0,0.9
54,2017,8,19,12,21,36,51.47380821,0.00106208,-1.0,0.9
55,2017,8,19,12,21,37,51.47380821,0.00106208,-1.0,0.9
56,2017,8,19,12,21,38,51.47380821,0.0010621,-1.0,0.9
57,2017,8,19,12,21,39,51.47380814,0.0010621,-1.0,0.9
58,2017,8,19,12,21,40,51.47380814,0.0010621,-1.0,0.9
59,2017,8,19,12,21,41,51.47380818,0.0010622,-1.0,0.9
60,2017,8,19,12,21,42,51.47380818,0.0010622,-1.0,0.9
61,2017,8,19,12,21,43,51.47380818,0.00106231,-1.0,0.9
62,2017,8,19,12,21,44,51.47380815,0.00106232,-1.0,0.9
63,2017,8,19,12,21,45,51.47380814,0.00106237,-1.0,0.9
64,2017,8,19,12,21,46,51.47380814,0.00106237,-1.0,0.9
65,2017,8,19,12,21,47,51.47380817,0.00106234,-1.0,0.9
66,2017,8,19,12,21,48,51.47380822,0.0010624,-1.0,0.9
67,2017,8,19,12,21,49,51.4738082,0.00106246,-1.0,0.9
