e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,7,20,4,43,8,51.47988954,-0.00304411,-1.0,0.6
2,2017,7,20,4,43,9,51.47988954,-0.00304411,-1.0,0.6
3,2017,7,20,4,43,10,51.47988912,-0.00304341,-1.0,0.6
4,2017,7,20,4,43,11,51.47988912,-0.00304341,-1.0,0.6
5,2017,7,20,4,43,12,51.47989203,-0.00304511,-1.0,0.6
6,2017,7,20,4,43,13,51.47989352,-0.00304873,-1.0,0.6
7,2017,7,20,4,43,14,51.47989497,-0.00305381,-1.0,0.6
8,2017,7,20,4,43,15,51.47989534,-0.00305541,-1.0,0.6
9,2017,7,20,4,43,16,51.47989659,-0.00305744,-1.0,0.6
10,2017,7,20,4,43,17,51.47989628,-0.00307344,-1.0,0.7
11,2017,7,20,4,43,18,51.47989628,-0.00307344,-1.0,0.7
12,2017,7,20,4,43,19,51.47989576,-0.00307233,-1.0,0.6
13,2017,7,20,4,43,20,51.47989518,-0.00307174,-1.0,0.6
14,2017,7,20,4,43,21,51.4798953,-0.0030717,-1.0,0.6
15,2017,7,20,4,43,22,51.47989524,-0.0030718,-1.0,0.6
16,2017,7,20,4,43,23,51.47989521,-0.00307163,-1.0,0.6
17,2017,7,20,4,43,24,51.47989521,-0.00307163,-1.0,0.6
18,2017,7,20,4,43,25,51.4798952,-0.00307162,-1.0,0.6
19,2017,7,20,4,43,26,51.4798952,-0.00307162,-1.0,0.6
20,2017,7,20,4,43,27,51.47989518,-0.00307156,-1.0,0.6
21,2017,7,20,4,43,28,51.47989515,-0.00307153,-1.0,0.6
22,2017,7,20,4,43,29,51.47989516,-0.00307155,-1.0,0.6
23,2017,7,20,4,43,30,51.47989518,-0.00307158,-1.0,0.6
24,2017,7,20,4,43,31,51.47989519,-0.00307149,-1.0,0.6
25,2017,7,20,4,43,32,51.47989574,-0.00307147,-1.0,0.6
26,2017,7,20,4,43,33,51.47989592,-0.00307144,-1.0,0.6
27,2017,7,20,4,43,34,51.47989597,-0.00307143,-1.0,0.6
28,2017,7,20,4,43,35,51.4798961,-0.00307139,-1.0,0.6
29,2017,7,20,4,43,36,51.47989626,-0.00307137,-1.0,0.6
30,2017,7,20,4,43,37,51.47989626,-0.00307137,-1.0,0.6
31,2017,7,20,4,43,38,51.47989632,-0.00307133,-1.0,0.6
32,2017,7,20,4,43,39,51.47989632,-0.00307134,-1.0,0.6
33,2017,7,20,4,43,40,51.47989634,-0.00307132,-1.0,0.6
34,2017,7,20,4,43,41,51.47989636,-0.00307122,-1.0,0.6
35,2017,7,20,4,43,42,51.47989637,-0.00307103,-1.0,0.6
36,2017,7,20,4,43,43,51.47989637,-0.00307103,-1.0,0.6
37,2017,7,20,4,43,44,51.47989638,-0.00307099,-1.0,0.6
38,2017,7,20,4,43,45,51.47989642,-0.00307094,-1.0,0.6
39,2017,7,20,4,43,46,51.47989642,-0.00307094,-1.0,0.6
40,2017,7,20,4,43,47,51.47989645,-0.00307095,-1.0,0.6
41,2017,7,20,4,43,48,51.47989645,-0.00307095,-1.0,0.6
42,2017,7,20,4,43,49,51.47989646,-0.00307099,-1.0,0.6
43,2017,7,20,4,43,50,51.47989647,-0.00307102,-1.0,0.6
44,2017,7,20,4,43,51,51.47989649,-0.00307101,-1.0,0.6
45,2017,7,20,4,43,52,51.47989652,-0.00307098,-1.0,0.6
46,2017,7,20,4,43,53,51.47989657,-0.00307094,-1.0,0.6
47,2017,7,20,4,43,54,51.47989661,-0.00307092,-1.0,0.6
48,2017,7,20,4,43,55,51.47989664,-0.00307088,-1.0,0.6
49,2017,7,20,4,43,56,51.47989668,-0.00307084,-1.0,0.6
50,2017,7,20,4,43,57,51.47989672,-0.00307081,-1.0,0.6
51,2017,7,20,4,43,58,51.47989675,-0.00307074,-1.0,0.6
52,2017,7,20,4,43,59,51.47989677,-0.00307055,-1.0,0.6
53,2017,7,20,4,44,0,51.47989677,-0.00307038,-1.0,0.6
54,2017,7,20,4,44,1,51.47989677,-0.00307038,-1.0,0.6
55,2017,7,20,4,44,2,51.47989676,-0.00307025,-1.0,0.6
56,2017,7,20,4,44,3,51.47989676,-0.00307025,-1.0,0.6
57,2017,7,20,4,44,4,51.47989676,-0.00307025,-1.0,0.6
58,2017,7,20,4,44,5,51.47989676,-0.00307025,-1.0,0.7
59,2017,7,20,4,44,6,51.47989676,-0.00307025,-1.0,0.7
60,2017,7,20,4,44,7,51.47989676,-0.00307025,-1.0,0.7
61,2017,7,20,4,44,8,51.47989676,-0.00307025,-1.0,0.7
62,2017,7,20,4,44,9,51.47989676,-0.00307025,-1.0,0.7
63,2017,7,20,4,44,10,51.47989676,-0.00307025,-1.0,0.6
64,2017,7,20,4,44,11,51.47989676,-0.00307025,-1.0,0.6
65,2017,7,20,4,44,12,51.47989676,-0.00307025,-1.0,0.6
66,2017,7,20,4,44,13,51.47989676,-0.00307025,-1.0,0.6
67,2017,7,20,4,44,14,51.47989676,-0.00307025,-1.0,0.6
68,2017,7,20,4,44,15,51.47989676,-0.00307025,-1.0,0.6
69,2017,7,20,4,44,16,51.47989676,-0.00307025,-1.0,0.6
70,2017,7,20,4,55,29,51.47989676,-0.00307025,-1.0,0.6
71,2017,7,20,4,55,30,51.47989676,-0.00307025,-1.0,-1.0
72,2017,7,20,4,55,31,51.47989676,-0.00307025,-1.0,-1.0
73,2017,7,20,4,55,32,51.47989676,-0.00307025,-1.0,0.6
74,2017,7,20,4,55,33,51.47989676,-0.00307025,-1.0,0.6
75,2017,7,20,4,55,34,51.47989676,-0.00307025,-1.0,0.7
76,2017,7,20,4,55,35,51.47989676,-0.00307025,-1.0,0.6
77,2017,7,20,4,55,36,51.47989676,-0.00307025,-1.0,0.6
78,2017,7,20,4,55,37,51.47989676,-0.00307025,-1.0,0.6
79,2017,7,20,4,55,38,51.47989676,-0.00307025,-1.0,0.6
80,2017,7,20,4,55,39,51.47989676,-0.00307025,-1.0,0.6
