obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,3,1,222.0,31.0,29.6
2,1,8,1,161.0,40.0,34.7
3,1,10,1,53.0,12.0,36.5
4,1,11,1,230.0,83.0,28.7
5,1,14,1,95.0,36.0,29.5
6,1,17,1,313.0,14.0,33.0
7,1,22,1,213.0,57.0,23.1
8,1,24,1,8.0,2.0,17.5
9,1,27,1,149.0,8.0,21.1
10,1,28,1,281.0,31.0,32.1
11,1,32,1,71.0,35.0,32.0
12,1,22,3,125.0,18.0,20.7
13,1,16,3,15.0,6.0,23.7
14,1,15,3,319.0,14.0,26.9
15,1,1,3,194.0,35.0,22.1
16,1,24,3,316.0,47.0,28.9
17,1,23,3,99.0,76.0,32.0
18,1,7,3,37.0,32.0,31.9
19,1,8,3,112.0,74.0,31.8
20,1,5,5,115.0,9.0,0.0
21,1,6,5,32.0,4.0,0.0
22,1,9,5,45.0,27.0,0.0
23,1,15,5,42.0,26.0,0.0
24,1,136,2,0.0,0.0,30.2
25,1,136,2,0.0,0.0,29.5
26,2,3,1,222.0,31.0,24.8
27,2,8,1,161.0,40.0,31.8
28,2,10,1,53.0,12.0,41.4
29,2,11,1,230.0,83.0,30.2
30,2,14,1,95.0,36.0,33.3
31,2,17,1,313.0,14.0,37.2
32,2,22,1,213.0,57.0,18.5
33,2,27,1,149.0,8.0,27.9
34,2,28,1,281.0,31.0,33.6
35,2,32,1,71.0,35.0,35.4
36,2,24,1,8.0,2.0,0.0
37,2,22,3,125.0,18.0,31.6
38,2,16,3,15.0,6.0,30.9
39,2,15,3,319.0,14.0,33.6
40,2,1,3,194.0,35.0,30.6
41,2,24,3,316.0,47.0,31.7
42,2,23,3,99.0,76.0,31.0
43,2,7,3,37.0,32.0,36.7
44,2,8,3,112.0,74.0,28.7
45,2,5,5,115.0,9.0,0.0
46,2,6,5,32.0,4.0,0.0
47,2,9,5,45.0,27.0,0.0
48,2,15,5,42.0,26.0,0.0
49,2,136,2,0.0,0.0,30.2
50,2,136,2,0.0,0.0,29.5
51,3,3,1,222.0,31.0,34.7
52,3,8,1,161.0,40.0,40.3
53,3,10,1,53.0,12.0,35.7
54,3,11,1,230.0,83.0,31.7
55,3,14,1,95.0,36.0,35.8
56,3,17,1,313.0,14.0,41.2
57,3,22,1,213.0,57.0,34.1
58,3,27,1,149.0,8.0,30.3
59,3,28,1,281.0,31.0,30.7
60,3,32,1,71.0,35.0,37.2
61,3,24,1,8.0,2.0,0.0
62,3,22,3,125.0,18.0,38.6
63,3,16,3,15.0,6.0,29.7
64,3,15,3,319.0,14.0,35.3
65,3,1,3,194.0,35.0,32.8
66,3,24,3,316.0,47.0,24.4
67,3,23,3,99.0,76.0,35.2
68,3,7,3,37.0,32.0,32.3
69,3,8,3,112.0,74.0,33.3
70,3,5,5,115.0,9.0,0.0
71,3,6,5,32.0,4.0,0.0
72,3,9,5,45.0,27.0,0.0
73,3,15,5,42.0,26.0,0.0
74,3,136,2,0.0,0.0,30.1
75,3,136,2,0.0,0.0,29.5
76,4,3,1,222.0,31.0,29.9
77,4,8,1,161.0,40.0,39.0
78,4,10,1,53.0,12.0,38.7
79,4,11,1,230.0,83.0,29.2
80,4,14,1,95.0,36.0,25.5
81,4,17,1,313.0,14.0,43.6
82,4,22,1,213.0,57.0,35.7
83,4,27,1,149.0,8.0,31.1
84,4,28,1,281.0,31.0,26.7
85,4,32,1,71.0,35.0,30.6
86,4,24,1,8.0,2.0,0.0
87,4,22,3,125.0,18.0,40.0
88,4,16,3,15.0,6.0,29.7
89,4,15,3,319.0,14.0,36.7
90,4,1,3,194.0,35.0,31.7
91,4,24,3,316.0,47.0,24.0
92,4,23,3,99.0,76.0,22.5
93,4,7,3,37.0,32.0,24.1
94,4,8,3,112.0,74.0,33.1
95,4,136,2,0.0,0.0,31.6
96,4,6,5,32.0,4.0,0.0
97,5,3,1,222.0,31.0,30.9
98,5,8,1,161.0,40.0,40.9
99,5,10,1,53.0,12.0,38.2
100,5,11,1,230.0,83.0,26.6
101,5,14,1,95.0,36.0,25.7
102,5,17,1,313.0,14.0,38.5
103,5,22,1,213.0,57.0,36.4
104,5,27,1,149.0,8.0,32.0
