e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,8,26,5,23,37,51.47235111,-0.00309028,-1.0,0.8
2,2017,8,26,5,23,38,51.47961288,0.00364517,-1.0,0.8
3,2017,8,26,5,23,40,51.47961294,0.00364512,-1.0,0.8
4,2017,8,26,5,23,41,51.47961294,0.00364511,-1.0,0.8
5,2017,8,26,5,23,42,51.47961294,0.00364511,-1.0,0.8
6,2017,8,26,5,23,43,51.4796129,0.00364511,-1.0,0.8
7,2017,8,26,5,23,44,51.47961289,0.00364506,-1.0,0.8
8,2017,8,26,5,23,46,51.47961295,0.00364503,-1.0,0.8
9,2017,8,26,5,23,48,51.47961297,0.00364501,-1.0,0.8
10,2017,8,26,5,23,49,51.47961304,0.00364479,-1.0,0.8
11,2017,8,26,5,23,50,51.47961304,0.00364478,-1.0,0.8
12,2017,8,26,5,23,52,51.47961301,0.00364477,-1.0,0.8
13,2017,8,26,5,23,53,51.479613,0.0036447,-1.0,0.8
14,2017,8,26,5,23,54,51.47961301,0.00364475,-1.0,0.8
15,2017,8,26,5,23,55,51.47961303,0.00364474,-1.0,0.8
16,2017,8,26,5,23,56,51.479613,0.00364473,-1.0,0.8
17,2017,8,26,5,23,57,51.47961297,0.00364474,-1.0,0.8
18,2017,8,26,5,23,58,51.47961296,0.00364479,-1.0,0.8
19,2017,8,26,5,23,59,51.47961297,0.00364477,-1.0,0.8
20,2017,8,26,5,24,1,51.47961298,0.00364475,-1.0,0.8
21,2017,8,26,5,24,2,51.479613,0.0036447,-1.0,0.8
22,2017,8,26,5,24,3,51.47961299,0.00364466,-1.0,0.8
23,2017,8,26,5,24,4,51.47961299,0.00364467,-1.0,0.8
24,2017,8,26,5,24,5,51.47961299,0.00364467,-1.0,0.8
25,2017,8,26,5,24,6,51.47961297,0.00364473,-1.0,0.9
26,2017,8,26,5,24,7,51.4796129,0.00364485,-1.0,0.9
27,2017,8,26,5,24,8,51.4796129,0.00364485,-1.0,0.9
28,2017,8,26,5,24,9,51.47961283,0.00364486,-1.0,0.9
29,2017,8,26,5,24,10,51.47961283,0.00364486,-1.0,0.9
30,2017,8,26,5,24,11,51.4796128,0.00364485,-1.0,0.9
31,2017,8,26,5,24,12,51.47961282,0.00364477,-1.0,0.8
32,2017,8,26,5,24,13,51.4796128,0.00364473,-1.0,0.8
33,2017,8,26,5,24,14,51.47961279,0.00364477,-1.0,0.8
34,2017,8,26,5,24,15,51.47961275,0.00364482,-1.0,0.8
35,2017,8,26,5,24,16,51.47961269,0.00364485,-1.0,0.8
36,2017,8,26,5,24,17,51.47961265,0.00364485,-1.0,0.8
37,2017,8,26,5,24,19,51.47961261,0.00364477,-1.0,0.8
38,2017,8,26,5,24,20,51.47961262,0.00364468,-1.0,0.8
39,2017,8,26,5,24,21,51.47961261,0.00364463,-1.0,0.8
40,2017,8,26,5,24,22,51.47961261,0.00364467,-1.0,0.8
41,2017,8,26,5,24,23,51.47961262,0.00364468,-1.0,0.8
42,2017,8,26,5,24,24,51.47961263,0.00364461,-1.0,0.8
43,2017,8,26,5,24,25,51.47961262,0.00364455,-1.0,0.9
44,2017,8,26,5,24,26,51.47961257,0.00364457,-1.0,0.9
45,2017,8,26,5,24,28,51.47961253,0.00364459,-1.0,0.8
46,2017,8,26,5,24,29,51.47961256,0.00364457,-1.0,0.8
47,2017,8,26,5,24,30,51.47961256,0.00364457,-1.0,0.8
48,2017,8,26,5,24,32,51.47961257,0.00364456,-1.0,0.8
49,2017,8,26,5,24,33,51.47961257,0.00364458,-1.0,0.8
50,2017,8,26,5,24,35,51.47961255,0.00364463,-1.0,0.8
51,2017,8,26,5,24,36,51.47961252,0.00364465,-1.0,0.9
52,2017,8,26,5,24,37,51.47961251,0.00364462,-1.0,0.9
53,2017,8,26,5,24,38,51.47961253,0.00364456,-1.0,0.9
54,2017,8,26,5,24,39,51.47961254,0.00364452,-1.0,0.9
55,2017,8,26,5,24,40,51.47961251,0.00364452,-1.0,0.9
56,2017,8,26,5,24,41,51.4796125,0.00364451,-1.0,0.9
57,2017,8,26,5,24,43,51.47961243,0.00364441,-1.0,0.9
58,2017,8,26,5,24,45,51.47961236,0.00364453,-1.0,0.9
59,2017,8,26,5,24,46,51.47961236,0.00364457,-1.0,0.9
60,2017,8,26,5,24,48,51.47961238,0.00364458,-1.0,0.9
61,2017,8,26,5,24,49,51.47961234,0.0036446,-1.0,0.9
