obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,3,1,250.0,76.0,35.8
2,1,6,1,295.0,4.0,28.8
3,1,11,1,147.0,42.0,38.8
4,1,12,1,0.0,0.0,28.2
5,1,14,1,47.0,28.0,40.1
6,1,17,1,288.0,47.0,29.7
7,1,19,1,309.0,30.0,31.5
8,1,22,1,74.0,75.0,35.9
9,1,23,1,182.0,27.0,38.7
10,1,28,1,244.0,5.0,28.1
11,1,31,1,80.0,13.0,36.9
12,1,32,1,37.0,12.0,34.5
13,1,9,1,196.0,2.0,0.0
14,1,10,3,22.0,13.0,39.8
15,1,2,3,248.0,86.0,34.4
16,1,1,3,45.0,30.0,37.9
17,1,24,3,151.0,21.0,30.4
18,1,17,3,181.0,73.0,35.5
19,1,3,3,224.0,30.0,33.9
20,1,18,3,317.0,46.0,0.0
21,1,9,3,330.0,4.0,0.0
22,1,11,3,68.0,2.0,0.0
23,1,136,2,0.0,0.0,28.5
24,2,3,1,250.0,76.0,36.1
25,2,6,1,295.0,4.0,29.4
26,2,11,1,147.0,42.0,35.6
27,2,14,1,47.0,28.0,38.3
28,2,17,1,288.0,47.0,31.8
29,2,19,1,309.0,30.0,33.8
30,2,22,1,74.0,75.0,38.7
31,2,23,1,182.0,27.0,38.5
32,2,28,1,244.0,5.0,28.5
33,2,31,1,80.0,13.0,38.2
34,2,32,1,37.0,12.0,35.4
35,2,9,1,196.0,2.0,0.0
36,2,12,1,0.0,0.0,0.0
37,2,10,3,22.0,13.0,39.9
38,2,2,3,248.0,86.0,31.9
39,2,1,3,45.0,30.0,36.6
40,2,24,3,151.0,21.0,28.6
41,2,17,3,181.0,73.0,33.5
42,2,3,3,224.0,30.0,36.4
43,2,18,3,317.0,46.0,0.0
44,2,11,3,68.0,2.0,0.0
45,2,11,3,68.0,2.0,0.0
46,3,3,1,250.0,76.0,33.3
47,3,6,1,295.0,4.0,30.8
48,3,11,1,147.0,42.0,39.5
49,3,12,1,0.0,0.0,31.0
50,3,14,1,47.0,28.0,39.7
51,3,17,1,288.0,47.0,34.3
52,3,19,1,309.0,30.0,32.9
53,3,22,1,74.0,75.0,38.0
54,3,23,1,182.0,27.0,37.8
55,3,28,1,244.0,5.0,28.5
56,3,31,1,80.0,13.0,37.6
57,3,32,1,37.0,12.0,35.6
