e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,8,25,11,33,48,51.47963563,0.00352115,-1.0,0.7
2,2017,8,25,11,33,49,51.47219799,-0.00183294,-1.0,0.7
3,2017,8,25,11,33,50,51.47220035,-0.00183183,-1.0,0.7
4,2017,8,25,11,33,51,51.47220105,-0.00183059,-1.0,0.7
5,2017,8,25,11,33,52,51.47219809,-0.0018276,-1.0,0.7
6,2017,8,25,11,33,53,51.47219722,-0.00182207,-1.0,0.7
7,2017,8,25,11,33,54,51.47219722,-0.00182207,-1.0,0.7
8,2017,8,25,11,33,55,51.47219844,-0.00182261,-1.0,0.7
9,2017,8,25,11,33,56,51.47219832,-0.00182173,-1.0,0.7
10,2017,8,25,11,33,57,51.47219808,-0.00182205,-1.0,0.7
11,2017,8,25,11,33,58,51.47219797,-0.00182209,-1.0,0.7
12,2017,8,25,11,33,59,51.47219797,-0.00182209,-1.0,0.7
13,2017,8,25,11,34,0,51.47219796,-0.00182216,-1.0,0.7
14,2017,8,25,11,34,1,51.47219794,-0.0018221,-1.0,0.7
15,2017,8,25,11,34,2,51.47219793,-0.00182208,-1.0,0.7
16,2017,8,25,11,34,3,51.47219793,-0.0018221,-1.0,0.7
17,2017,8,25,11,34,4,51.47219795,-0.00182212,-1.0,0.7
18,2017,8,25,11,34,5,51.47219807,-0.00182198,-1.0,0.7
19,2017,8,25,11,34,6,51.47219807,-0.00182198,-1.0,0.7
20,2017,8,25,11,34,7,51.47219808,-0.00182195,-1.0,0.7
21,2017,8,25,11,34,8,51.47219809,-0.00182194,-1.0,0.7
22,2017,8,25,11,34,9,51.47219806,-0.00182187,-1.0,0.7
23,2017,8,25,11,34,10,51.47219806,-0.00182187,-1.0,0.7
24,2017,8,25,11,34,11,51.47219806,-0.00182185,-1.0,0.7
25,2017,8,25,11,34,12,51.47219804,-0.00182188,-1.0,0.7
26,2017,8,25,11,34,13,51.47219802,-0.00182183,-1.0,0.7
27,2017,8,25,11,34,14,51.472198,-0.00182183,-1.0,0.7
28,2017,8,25,11,34,15,51.47219798,-0.00182183,-1.0,0.7
29,2017,8,25,11,34,16,51.47219797,-0.0018218,-1.0,0.7
30,2017,8,25,11,34,17,51.47219801,-0.00182176,-1.0,0.7
31,2017,8,25,11,34,18,51.47219801,-0.00182176,-1.0,0.7
32,2017,8,25,11,34,19,51.47219802,-0.00182171,-1.0,0.7
33,2017,8,25,11,34,20,51.47219801,-0.00182166,-1.0,0.7
34,2017,8,25,11,34,21,51.47219804,-0.00182167,-1.0,0.7
35,2017,8,25,11,34,22,51.47219804,-0.00182167,-1.0,0.7
36,2017,8,25,11,34,23,51.47219804,-0.00182162,-1.0,0.7
37,2017,8,25,11,34,24,51.47219807,-0.00182161,-1.0,0.7
38,2017,8,25,11,34,25,51.47219806,-0.00182156,-1.0,0.7
39,2017,8,25,11,34,26,51.47219805,-0.00182154,-1.0,0.7
40,2017,8,25,11,34,27,51.47219809,-0.00182153,-1.0,0.7
41,2017,8,25,11,34,28,51.47219816,-0.00182154,-1.0,0.7
42,2017,8,25,11,34,29,51.47219821,-0.0018215,-1.0,0.7
43,2017,8,25,11,34,30,51.4721983,-0.00182144,-1.0,0.7
44,2017,8,25,11,34,31,51.4721983,-0.00182144,-1.0,0.7
45,2017,8,25,11,34,32,51.47219839,-0.0018214,-1.0,0.7
46,2017,8,25,11,34,33,51.47219838,-0.00182141,-1.0,0.7
47,2017,8,25,11,34,34,51.47219833,-0.00182138,-1.0,0.7
48,2017,8,25,11,34,35,51.4721983,-0.00182143,-1.0,0.7
49,2017,8,25,11,34,36,51.4721983,-0.00182143,-1.0,0.7
50,2017,8,25,11,34,37,51.47219832,-0.00182139,-1.0,0.7
51,2017,8,25,11,34,38,51.47219834,-0.00182137,-1.0,0.7
52,2017,8,25,11,34,39,51.47219834,-0.00182137,-1.0,0.7
53,2017,8,25,11,34,40,51.47219825,-0.00182143,-1.0,0.7
54,2017,8,25,11,34,41,51.47219827,-0.00182142,-1.0,0.7
55,2017,8,25,11,34,42,51.47219824,-0.00182144,-1.0,0.7
56,2017,8,25,11,34,43,51.47219822,-0.00182141,-1.0,0.7
57,2017,8,25,11,34,44,51.47219822,-0.00182141,-1.0,0.7
58,2017,8,25,11,34,45,51.47219825,-0.00182137,-1.0,0.7
59,2017,8,25,11,34,46,51.47219825,-0.00182137,-1.0,0.7
60,2017,8,25,11,34,47,51.47219829,-0.00182139,-1.0,0.7
61,2017,8,25,11,34,48,51.47219836,-0.00182138,-1.0,0.7
62,2017,8,25,11,34,49,51.47219839,-0.00182142,-1.0,0.7
63,2017,8,25,11,34,50,51.47219831,-0.00182155,-1.0,0.7
64,2017,8,25,11,34,51,51.47219831,-0.00182155,-1.0,0.7
65,2017,8,25,11,34,52,51.47219835,-0.00182155,-1.0,0.7
66,2017,8,25,11,34,53,51.47219835,-0.00182155,-1.0,0.7
67,2017,8,25,11,34,54,51.47219834,-0.00182157,-1.0,0.7
68,2017,8,25,11,34,55,51.47219834,-0.00182156,-1.0,0.7
69,2017,8,25,11,34,56,51.47219838,-0.00182153,-1.0,0.7
70,2017,8,25,11,34,57,51.47219842,-0.0018215,-1.0,0.7
71,2017,8,25,11,34,58,51.47219844,-0.00182149,-1.0,0.7
72,2017,8,25,11,34,59,51.47219841,-0.00182149,-1.0,0.7
73,2017,8,25,11,35,0,51.47219836,-0.00182155,-1.0,0.7
74,2017,8,25,11,35,1,51.47219835,-0.00182162,-1.0,0.7
75,2017,8,25,11,35,2,51.47219833,-0.00182156,-1.0,0.7
76,2017,8,25,11,35,3,51.47219833,-0.00182156,-1.0,0.7
77,2017,8,25,11,35,4,51.47219833,-0.00182157,-1.0,0.7
78,2017,8,25,11,35,5,51.47219831,-0.00182152,-1.0,0.7
79,2017,8,25,11,35,6,51.47219831,-0.00182147,-1.0,0.8
80,2017,8,25,11,35,7,51.47219826,-0.00182144,-1.0,0.8
81,2017,8,25,11,35,8,51.47219824,-0.00182141,-1.0,0.8
82,2017,8,25,11,35,9,51.47219819,-0.00182137,-1.0,0.8
83,2017,8,25,11,35,10,51.47219821,-0.00182135,-1.0,0.8
84,2017,8,25,11,35,11,51.47219823,-0.00182129,-1.0,0.8
85,2017,8,25,11,35,12,51.47219824,-0.00182127,-1.0,0.8
86,2017,8,25,11,35,13,51.47219824,-0.00182127,-1.0,0.8
87,2017,8,25,11,35,14,51.47219825,-0.00182129,-1.0,0.8
88,2017,8,25,11,35,15,51.47219825,-0.00182129,-1.0,0.8
89,2017,8,25,11,35,16,51.47219823,-0.00182131,-1.0,0.8
90,2017,8,25,11,35,17,51.47220109,-0.00182548,-1.0,0.8
91,2017,8,25,11,35,18,51.47220208,-0.00182399,-1.0,0.8
92,2017,8,25,11,35,19,51.47220476,-0.00182618,-1.0,0.8
93,2017,8,25,11,35,20,51.47220771,-0.00183148,-1.0,0.8
94,2017,8,25,11,35,21,51.4722101,-0.00183125,-1.0,0.8
95,2017,8,25,11,35,22,51.47221199,-0.00183213,-1.0,0.8
96,2017,8,25,11,35,23,51.47221123,-0.00183304,-1.0,0.8
97,2017,8,25,11,35,24,51.47221034,-0.00183983,-1.0,0.8
98,2017,8,25,11,35,25,51.47220878,-0.00184354,-1.0,0.8
99,2017,8,25,11,35,26,51.47220661,-0.00185002,-1.0,0.8
100,2017,8,25,11,35,27,51.47220588,-0.00185074,-1.0,0.8
101,2017,8,25,11,35,28,51.47220588,-0.00185074,-1.0,0.8
102,2017,8,25,11,35,29,51.47220528,-0.00185222,-1.0,0.8
103,2017,8,25,11,35,30,51.47220516,-0.00185264,-1.0,0.8
104,2017,8,25,11,35,31,51.47220496,-0.00185469,-1.0,0.8
105,2017,8,25,11,35,32,51.47220496,-0.00185469,-1.0,0.8
106,2017,8,25,11,35,33,51.47220482,-0.00185499,-1.0,0.8
107,2017,8,25,11,35,34,51.47220482,-0.00185499,-1.0,0.8
108,2017,8,25,11,35,35,51.47220483,-0.00185519,-1.0,0.8
109,2017,8,25,11,35,36,51.47220482,-0.00185529,-1.0,0.8
110,2017,8,25,11,35,37,51.47220486,-0.00185534,-1.0,0.8
111,2017,8,25,11,35,39,51.47220487,-0.00185533,-1.0,0.8
112,2017,8,25,11,35,40,51.47220487,-0.00185535,-1.0,0.8
113,2017,8,25,11,35,41,51.47220487,-0.00185535,-1.0,0.8
114,2017,8,25,11,35,42,51.47220486,-0.00185531,-1.0,0.8
115,2017,8,25,11,35,43,51.47220486,-0.00185531,-1.0,0.8
116,2017,8,25,11,35,44,51.47220484,-0.00185534,-1.0,0.8
117,2017,8,25,11,35,45,51.47220484,-0.00185531,-1.0,0.8
118,2017,8,25,11,35,46,51.47220484,-0.00185531,-1.0,0.8
119,2017,8,25,11,35,47,51.47220483,-0.00185535,-1.0,0.8
120,2017,8,25,11,35,48,51.47220481,-0.0018554,-1.0,0.8
121,2017,8,25,11,35,49,51.4722048,-0.00185544,-1.0,0.8
122,2017,8,25,11,35,50,51.4722048,-0.00185544,-1.0,0.8
123,2017,8,25,11,35,51,51.47220485,-0.00185543,-1.0,0.8
124,2017,8,25,11,35,52,51.47220486,-0.00185547,-1.0,0.8
125,2017,8,25,11,35,53,51.47220489,-0.00185548,-1.0,0.8
126,2017,8,25,11,35,54,51.47220489,-0.00185548,-1.0,0.8
127,2017,8,25,11,35,55,51.4722049,-0.00185547,-1.0,0.8
128,2017,8,25,11,35,56,51.47220488,-0.00185559,-1.0,0.8
129,2017,8,25,11,35,57,51.47220488,-0.00185559,-1.0,0.8
130,2017,8,25,11,35,58,51.47220489,-0.0018556,-1.0,0.8
131,2017,8,25,11,35,59,51.47220492,-0.00185558,-1.0,0.8
132,2017,8,25,11,36,0,51.47220492,-0.00185558,-1.0,0.8
133,2017,8,25,11,36,1,51.47220493,-0.00185557,-1.0,0.8
134,2017,8,25,11,36,2,51.47220496,-0.00185554,-1.0,0.8
135,2017,8,25,11,36,3,51.47220497,-0.00185555,-1.0,0.8
136,2017,8,25,11,36,4,51.47220497,-0.00185553,-1.0,0.8
137,2017,8,25,11,36,5,51.47220498,-0.0018555,-1.0,0.8
138,2017,8,25,11,36,6,51.47220498,-0.00185552,-1.0,0.8
139,2017,8,25,11,36,7,51.47220499,-0.00185552,-1.0,0.8
140,2017,8,25,11,36,8,51.47220501,-0.00185549,-1.0,0.8
141,2017,8,25,11,36,9,51.47220501,-0.00185549,-1.0,0.8
142,2017,8,25,11,36,10,51.47220502,-0.0018555,-1.0,0.8
143,2017,8,25,11,36,11,51.47220504,-0.00185551,-1.0,0.8
144,2017,8,25,11,36,12,51.47220506,-0.0018555,-1.0,0.8
145,2017,8,25,11,36,13,51.47220507,-0.00185549,-1.0,0.8
146,2017,8,25,11,36,14,51.47220507,-0.00185543,-1.0,0.8
147,2017,8,25,11,36,15,51.47220508,-0.00185535,-1.0,0.8
148,2017,8,25,11,36,16,51.47220508,-0.00185531,-1.0,0.8
149,2017,8,25,11,36,17,51.47220509,-0.00185529,-1.0,0.8
150,2017,8,25,11,36,18,51.4722051,-0.00185526,-1.0,0.8
151,2017,8,25,11,36,19,51.47220516,-0.00185519,-1.0,0.8
152,2017,8,25,11,36,20,51.47220516,-0.00185519,-1.0,0.8
