obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,7,1,324.0,14.0,38.9
2,1,8,1,275.0,18.0,33.5
3,1,10,1,151.0,18.0,34.3
4,1,16,1,241.0,76.0,33.5
5,1,18,1,120.0,35.0,34.8
6,1,20,1,47.0,22.0,31.6
7,1,21,1,68.0,57.0,36.4
8,1,26,1,170.0,56.0,36.0
9,1,27,1,281.0,54.0,36.4
10,1,29,1,88.0,1.0,0.0
11,1,10,3,180.0,5.0,33.7
12,1,6,3,120.0,11.0,29.1
13,1,22,3,264.0,35.0,26.7
14,1,13,3,341.0,4.0,29.3
15,1,12,3,300.0,47.0,32.8
16,1,11,3,216.0,46.0,28.8
17,1,5,3,64.0,27.0,28.6
18,1,20,3,60.0,25.0,26.6
19,1,21,3,4.0,72.0,33.4
20,1,4,3,14.0,13.0,32.2
21,1,125,2,0.0,0.0,29.9
22,1,136,2,0.0,0.0,31.7
23,1,136,2,0.0,0.0,32.9
24,2,7,1,324.0,14.0,32.2
25,2,8,1,275.0,18.0,32.8
26,2,10,1,151.0,18.0,29.8
27,2,16,1,241.0,76.0,33.7
28,2,18,1,120.0,35.0,34.9
29,2,20,1,47.0,22.0,33.4
30,2,21,1,68.0,57.0,35.0
31,2,26,1,170.0,56.0,36.8
32,2,27,1,281.0,54.0,34.9
33,2,29,1,88.0,1.0,0.0
34,2,10,3,180.0,5.0,27.3
35,2,22,3,264.0,35.0,34.7
36,2,12,3,300.0,47.0,32.4
37,2,11,3,216.0,46.0,35.3
38,2,5,3,64.0,27.0,28.0
39,2,20,3,60.0,25.0,26.6
40,2,21,3,4.0,72.0,33.1
41,2,4,3,14.0,13.0,31.9
42,2,125,2,0.0,0.0,34.4
43,2,136,2,0.0,0.0,29.1
44,2,125,2,0.0,0.0,29.9
45,3,7,1,324.0,14.0,34.6
46,3,8,1,275.0,18.0,27.0
47,3,10,1,151.0,18.0,26.3
48,3,16,1,241.0,76.0,31.6
49,3,18,1,120.0,35.0,34.9
50,3,20,1,47.0,22.0,31.8
51,3,21,1,68.0,57.0,36.0
52,3,26,1,170.0,56.0,36.5
53,3,27,1,281.0,54.0,31.5
54,3,29,1,88.0,1.0,0.0
55,3,10,3,180.0,5.0,26.9
56,3,6,3,120.0,11.0,24.1
57,3,22,3,264.0,35.0,28.2
58,3,12,3,300.0,47.0,28.9
59,3,5,3,64.0,27.0,29.7
60,3,20,3,60.0,25.0,27.7
61,3,21,3,4.0,72.0,34.8
62,3,4,3,14.0,13.0,34.4
63,3,13,3,341.0,4.0,0.0
64,3,136,2,0.0,0.0,29.1
65,4,7,1,324.0,14.0,36.7
66,4,10,1,151.0,18.0,25.4
67,4,16,1,241.0,76.0,30.5
68,4,18,1,120.0,35.0,36.1
69,4,20,1,47.0,22.0,30.1
70,4,21,1,68.0,57.0,34.9
71,4,26,1,170.0,56.0,35.7
72,4,27,1,281.0,54.0,23.5
73,4,29,1,88.0,1.0,0.0
74,4,10,3,180.0,5.0,30.9
75,4,6,3,120.0,11.0,28.1
76,4,22,3,264.0,35.0,28.0
77,4,13,3,341.0,4.0,23.2
78,4,5,3,64.0,27.0,30.6
79,4,20,3,60.0,25.0,28.0
80,4,21,3,4.0,72.0,34.0
81,4,4,3,14.0,13.0,34.3
82,4,136,2,0.0,0.0,30.6
83,4,13,3,341.0,4.0,0.0
84,5,7,1,324.0,14.0,39.0
85,5,8,1,275.0,18.0,29.5
86,5,10,1,151.0,18.0,25.4
87,5,16,1,241.0,76.0,30.0
88,5,18,1,120.0,35.0,36.4
89,5,20,1,47.0,22.0,30.0
90,5,21,1,68.0,57.0,36.3
91,5,26,1,170.0,56.0,34.7
92,5,27,1,281.0,54.0,25.1
93,5,29,1,88.0,1.0,0.0
94,5,10,3,180.0,5.0,32.2
95,5,6,3,120.0,11.0,27.3
96,5,22,3,264.0,35.0,34.4
97,5,13,3,341.0,4.0,27.4
98,5,11,3,216.0,46.0,27.4
99,5,5,3,64.0,27.0,32.0
100,5,20,3,60.0,25.0,28.9
101,5,21,3,4.0,72.0,34.4
102,5,4,3,14.0,13.0,32.7
103,5,12,3,300.0,47.0,0.0
104,5,125,2,0.0,0.0,26.5
105,5,136,2,0.0,0.0,33.7
106,5,136,2,0.0,0.0,32.9
107,6,7,1,324.0,14.0,38.6
108,6,8,1,275.0,18.0,34.0
109,6,10,1,151.0,18.0,26.6
110,6,16,1,241.0,76.0,30.1
111,6,18,1,120.0,35.0,34.7
112,6,20,1,47.0,22.0,31.9
113,6,21,1,68.0,57.0,36.4
114,6,26,1,170.0,56.0,34.7
115,6,27,1,281.0,54.0,25.4
116,6,29,1,88.0,1.0,0.0
117,6,10,3,180.0,5.0,30.6
118,6,6,3,120.0,11.0,27.8
119,6,22,3,264.0,35.0,35.8
120,6,13,3,341.0,4.0,28.8
121,6,11,3,216.0,46.0,31.0
122,6,5,3,64.0,27.0,31.6
123,6,20,3,60.0,25.0,28.5
124,6,21,3,4.0,72.0,32.7
125,6,4,3,14.0,13.0,34.1
126,6,12,3,300.0,47.0,0.0
127,6,125,2,0.0,0.0,29.0
128,6,136,2,0.0,0.0,32.2
129,6,136,2,0.0,0.0,32.9
130,7,7,1,324.0,14.0,38.0
131,7,8,1,275.0,18.0,33.1
132,7,16,1,241.0,76.0,28.2
133,7,18,1,120.0,35.0,35.6
134,7,20,1,47.0,22.0,33.1
135,7,21,1,68.0,57.0,36.6
136,7,26,1,170.0,56.0,35.3
137,7,27,1,281.0,54.0,30.0
138,7,29,1,88.0,1.0,0.0
139,7,10,3,180.0,5.0,32.4
140,7,6,3,120.0,11.0,29.0
141,7,22,3,264.0,35.0,31.7
142,7,13,3,341.0,4.0,28.1
143,7,12,3,300.0,47.0,24.5
144,7,11,3,216.0,46.0,26.6
145,7,5,3,64.0,27.0,31.6
146,7,20,3,60.0,25.0,28.7
147,7,21,3,4.0,72.0,32.1
148,7,4,3,14.0,13.0,33.6
149,7,125,2,0.0,0.0,30.7
150,7,136,2,0.0,0.0,30.6
151,7,136,2,0.0,0.0,32.2
152,8,7,1,324.0,14.0,37.1
153,8,8,1,275.0,18.0,28.4
154,8,10,1,151.0,18.0,23.7
155,8,16,1,241.0,76.0,29.0
156,8,18,1,120.0,35.0,36.2
157,8,20,1,47.0,22.0,32.5
158,8,21,1,68.0,57.0,35.4
159,8,26,1,170.0,56.0,34.7
160,8,27,1,281.0,54.0,30.6
161,8,29,1,88.0,1.0,0.0
162,8,10,3,180.0,5.0,33.3
163,8,6,3,120.0,11.0,27.1
164,8,22,3,264.0,35.0,27.8
165,8,13,3,341.0,4.0,26.7
166,8,12,3,300.0,47.0,27.1
167,8,11,3,216.0,46.0,26.9
168,8,5,3,64.0,27.0,30.9
169,8,20,3,60.0,25.0,28.5
170,8,21,3,4.0,72.0,33.0
171,8,4,3,14.0,13.0,32.9
172,8,125,2,0.0,0.0,29.5
173,8,136,2,0.0,0.0,31.3
174,8,136,2,0.0,0.0,32.9
175,9,7,1,324.0,14.0,37.5
176,9,8,1,275.0,18.0,37.0
177,9,10,1,151.0,18.0,30.2
178,9,16,1,241.0,76.0,30.3
179,9,18,1,120.0,35.0,35.9
180,9,20,1,47.0,22.0,31.8
181,9,21,1,68.0,57.0,36.1
182,9,26,1,170.0,56.0,35.6
183,9,29,1,88.0,1.0,0.0
184,9,10,3,180.0,5.0,29.3
185,9,6,3,120.0,11.0,26.1
186,9,22,3,264.0,35.0,33.6
187,9,13,3,341.0,4.0,28.4
188,9,12,3,300.0,47.0,23.9
189,9,11,3,216.0,46.0,29.4
190,9,5,3,64.0,27.0,32.9
191,9,20,3,60.0,25.0,28.7
192,9,21,3,4.0,72.0,32.6
193,9,4,3,14.0,13.0,30.4
194,9,125,2,0.0,0.0,28.4
195,9,136,2,0.0,0.0,34.0
196,9,136,2,0.0,0.0,31.3
197,10,7,1,324.0,14.0,27.1
198,10,8,1,275.0,18.0,35.0
199,10,10,1,151.0,18.0,32.9
200,10,16,1,241.0,76.0,28.7
201,10,18,1,120.0,35.0,37.3
202,10,20,1,47.0,22.0,31.3
203,10,21,1,68.0,57.0,35.8
204,10,26,1,170.0,56.0,37.0
205,10,27,1,281.0,54.0,31.8
206,10,29,1,88.0,1.0,0.0
207,10,10,3,180.0,5.0,34.8
208,10,6,3,120.0,11.0,24.6
209,10,22,3,264.0,35.0,30.9
210,10,11,3,216.0,46.0,33.0
211,10,5,3,64.0,27.0,31.2
212,10,20,3,60.0,25.0,25.4
213,10,21,3,4.0,72.0,30.6
214,10,4,3,14.0,13.0,32.0
215,10,136,2,0.0,0.0,33.3
216,10,125,2,0.0,0.0,28.4
217,11,7,1,324.0,14.0,31.1
218,11,8,1,275.0,18.0,35.2
219,11,10,1,151.0,18.0,32.7
220,11,16,1,241.0,76.0,30.4
221,11,18,1,120.0,35.0,37.2
222,11,20,1,47.0,22.0,29.4
223,11,21,1,68.0,57.0,35.8
224,11,26,1,170.0,56.0,36.4
225,11,27,1,281.0,54.0,25.7
226,11,29,1,88.0,1.0,0.0
227,11,10,3,180.0,5.0,33.3
228,11,6,3,120.0,11.0,27.0
229,11,22,3,264.0,35.0,31.3
230,11,11,3,216.0,46.0,29.7
231,11,5,3,64.0,27.0,30.9
232,11,20,3,60.0,25.0,26.9
233,11,21,3,4.0,72.0,29.9
234,11,4,3,14.0,13.0,32.7
235,11,13,3,341.0,4.0,0.0
236,11,12,3,300.0,47.0,0.0
237,11,125,2,0.0,0.0,25.4
238,11,136,2,0.0,0.0,32.2
239,11,136,2,0.0,0.0,32.9
240,12,7,1,324.0,14.0,29.2
241,12,8,1,275.0,18.0,36.7
242,12,10,1,151.0,18.0,32.6
243,12,16,1,241.0,76.0,28.4
244,12,18,1,120.0,35.0,36.6
245,12,20,1,47.0,22.0,28.5
246,12,21,1,68.0,57.0,35.8
247,12,26,1,170.0,56.0,37.0
248,12,27,1,281.0,54.0,26.7
249,12,29,1,88.0,1.0,0.0
250,12,10,3,180.0,5.0,33.8
251,12,6,3,120.0,11.0,27.0
252,12,22,3,264.0,35.0,30.0
253,12,11,3,216.0,46.0,33.1
254,12,5,3,64.0,27.0,32.4
255,12,20,3,60.0,25.0,28.5
256,12,21,3,4.0,72.0,31.0
257,12,4,3,14.0,13.0,32.7
258,12,13,3,341.0,4.0,0.0
259,12,12,3,300.0,47.0,0.0
260,12,136,2,0.0,0.0,32.9
261,12,136,2,0.0,0.0,32.2
262,13,8,1,275.0,18.0,36.6
263,13,10,1,151.0,18.0,28.2
264,13,16,1,241.0,76.0,26.9
265,13,18,1,120.0,35.0,35.8
266,13,20,1,47.0,22.0,30.9
267,13,21,1,68.0,57.0,37.1
268,13,26,1,170.0,56.0,35.9
269,13,27,1,281.0,54.0,27.2
270,13,29,1,88.0,1.0,0.0
271,13,10,3,180.0,5.0,30.2
272,13,6,3,120.0,11.0,26.2
273,13,22,3,264.0,35.0,34.3
274,13,13,3,341.0,4.0,26.9
275,13,12,3,300.0,47.0,27.8
276,13,11,3,216.0,46.0,27.8
277,13,5,3,64.0,27.0,33.2
278,13,20,3,60.0,25.0,29.2
279,13,21,3,4.0,72.0,32.1
280,13,4,3,14.0,13.0,29.4
281,13,125,2,0.0,0.0,25.7
282,13,136,2,0.0,0.0,34.1
283,13,136,2,0.0,0.0,32.2
284,14,7,1,324.0,14.0,38.8
285,14,8,1,275.0,18.0,34.0
286,14,10,1,151.0,18.0,28.6
287,14,16,1,241.0,76.0,25.6
288,14,18,1,120.0,35.0,35.5
289,14,20,1,47.0,22.0,32.2
290,14,21,1,68.0,57.0,37.0
291,14,26,1,170.0,56.0,35.7
292,14,27,1,281.0,54.0,32.5
293,14,29,1,88.0,1.0,0.0
294,14,10,3,180.0,5.0,29.8
295,14,6,3,120.0,11.0,27.4
296,14,22,3,264.0,35.0,32.7
297,14,13,3,341.0,4.0,26.8
298,14,12,3,300.0,47.0,29.8
299,14,11,3,216.0,46.0,31.3
300,14,5,3,64.0,27.0,31.9
301,14,20,3,60.0,25.0,28.2
302,14,21,3,4.0,72.0,31.8
303,14,4,3,14.0,13.0,30.0
304,14,136,2,0.0,0.0,33.2
305,14,136,2,0.0,0.0,32.2
306,15,7,1,324.0,14.0,38.5
307,15,8,1,275.0,18.0,33.2
308,15,10,1,151.0,18.0,27.1
309,15,16,1,241.0,76.0,26.7
310,15,18,1,120.0,35.0,36.2
