e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,8,17,6,28,16,51.4788072,-0.02608612,-1.0,1.0
2,2017,8,17,6,28,17,51.48096982,-0.02216667,-1.0,1.0
3,2017,8,17,6,28,18,51.48095989,-0.0221521,-1.0,1.0
4,2017,8,17,6,28,19,51.48095989,-0.0221521,-1.0,0.9
5,2017,8,17,6,28,20,51.4809659,-0.02214152,-1.0,0.9
6,2017,8,17,6,28,21,51.4809659,-0.02214152,-1.0,0.9
7,2017,8,17,6,28,22,51.48096536,-0.02215117,-1.0,0.9
8,2017,8,17,6,28,23,51.48096796,-0.02215518,-1.0,0.9
9,2017,8,17,6,28,24,51.48096499,-0.02217053,-1.0,0.9
10,2017,8,17,6,28,25,51.48096499,-0.02217053,-1.0,0.9
11,2017,8,17,6,28,26,51.48096364,-0.02218305,-1.0,1.0
12,2017,8,17,6,28,27,51.48096364,-0.02218305,-1.0,1.0
13,2017,8,17,6,28,28,51.4809625,-0.02218848,-1.0,1.0
14,2017,8,17,6,28,29,51.48096146,-0.02219123,-1.0,1.0
15,2017,8,17,6,28,30,51.48096146,-0.02219123,-1.0,1.0
16,2017,8,17,6,28,31,51.48096162,-0.02219145,-1.0,1.0
17,2017,8,17,6,28,32,51.48096162,-0.02219145,-1.0,1.0
18,2017,8,17,6,28,33,51.48096164,-0.02219195,-1.0,1.0
19,2017,8,17,6,28,34,51.48096165,-0.02219198,-1.0,1.0
20,2017,8,17,6,28,35,51.48096163,-0.02219197,-1.0,1.0
21,2017,8,17,6,28,36,51.48096167,-0.022192,-1.0,0.8
22,2017,8,17,6,28,37,51.48096166,-0.02219208,-1.0,0.8
23,2017,8,17,6,28,38,51.48096166,-0.02219208,-1.0,0.8
24,2017,8,17,6,28,39,51.48096186,-0.02219218,-1.0,0.9
25,2017,8,17,6,28,40,51.48096199,-0.02219227,-1.0,0.9
26,2017,8,17,6,28,41,51.48096205,-0.02219227,-1.0,0.9
27,2017,8,17,6,28,42,51.48096212,-0.02219224,-1.0,1.0
28,2017,8,17,6,28,43,51.48096218,-0.02219207,-1.0,1.0
29,2017,8,17,6,28,44,51.48096218,-0.02219207,-1.0,1.0
30,2017,8,17,6,28,45,51.48096219,-0.022192,-1.0,1.0
31,2017,8,17,6,28,46,51.48096224,-0.02219188,-1.0,1.0
32,2017,8,17,6,28,47,51.48096225,-0.02219171,-1.0,1.0
33,2017,8,17,6,28,48,51.48096223,-0.02219158,-1.0,1.0
34,2017,8,17,6,28,49,51.48096226,-0.02219149,-1.0,1.0
35,2017,8,17,6,28,50,51.48096232,-0.02219148,-1.0,1.0
36,2017,8,17,6,28,51,51.48096237,-0.02219139,-1.0,0.8
37,2017,8,17,6,28,52,51.48096243,-0.02219142,-1.0,0.8
38,2017,8,17,6,28,53,51.4809625,-0.02219115,-1.0,0.8
39,2017,8,17,6,28,54,51.4809625,-0.02219115,-1.0,0.8
40,2017,8,17,6,28,55,51.4809625,-0.02219102,-1.0,0.8
41,2017,8,17,6,28,56,51.48096258,-0.02219093,-1.0,0.8
42,2017,8,17,6,28,57,51.48096263,-0.02219086,-1.0,0.8
43,2017,8,17,6,28,58,51.48096265,-0.02219078,-1.0,0.7
44,2017,8,17,6,28,59,51.48096264,-0.02219073,-1.0,0.7
45,2017,8,17,6,29,0,51.48096266,-0.0221906,-1.0,0.7
46,2017,8,17,6,29,1,51.48096269,-0.02219048,-1.0,0.7
47,2017,8,17,6,29,2,51.48096157,-0.02219143,-1.0,0.8
48,2017,8,17,6,29,3,51.48096089,-0.02219196,-1.0,0.8
49,2017,8,17,6,29,4,51.4809612,-0.02219169,-1.0,0.9
50,2017,8,17,6,29,5,51.48096258,-0.02219053,-1.0,1.0
51,2017,8,17,6,29,6,51.48096209,-0.02219091,-1.0,0.8
52,2017,8,17,6,29,7,51.48096155,-0.02219136,-1.0,0.8
53,2017,8,17,6,29,8,51.4809614,-0.02219137,-1.0,0.8
54,2017,8,17,6,29,9,51.48096152,-0.0221913,-1.0,0.8
55,2017,8,17,6,29,10,51.48096118,-0.02219159,-1.0,0.7
56,2017,8,17,6,29,11,51.48096119,-0.02219148,-1.0,0.7
57,2017,8,17,6,29,12,51.48096138,-0.02219131,-1.0,0.7
58,2017,8,17,6,29,13,51.4809616,-0.02219107,-1.0,0.7
59,2017,8,17,6,29,14,51.48096206,-0.02219053,-1.0,0.8
60,2017,8,17,6,29,15,51.48096218,-0.02219046,-1.0,0.8
61,2017,8,17,6,29,16,51.48096231,-0.02219038,-1.0,0.8
62,2017,8,17,6,29,17,51.48096231,-0.02219038,-1.0,0.9
63,2017,8,17,6,29,18,51.48096259,-0.02219015,-1.0,0.9
64,2017,8,17,6,29,19,51.4809628,-0.02219,-1.0,0.9
65,2017,8,17,6,29,20,51.4809628,-0.02219,-1.0,0.9
66,2017,8,17,6,29,21,51.48096318,-0.02218986,-1.0,0.9
67,2017,8,17,6,29,22,51.48096332,-0.02218964,-1.0,0.8
68,2017,8,17,6,29,23,51.48096332,-0.02218964,-1.0,0.7
69,2017,8,17,6,29,24,51.48096342,-0.0221896,-1.0,0.7
70,2017,8,17,6,29,25,51.48096353,-0.02218955,-1.0,0.7
71,2017,8,17,6,29,26,51.48096364,-0.02218941,-1.0,0.7
72,2017,8,17,6,29,27,51.48096367,-0.02218935,-1.0,0.7
73,2017,8,17,6,29,28,51.48096367,-0.02218935,-1.0,0.7
74,2017,8,17,6,29,29,51.48096387,-0.02218915,-1.0,0.7
75,2017,8,17,6,29,30,51.48096395,-0.02218907,-1.0,0.7
76,2017,8,17,6,29,31,51.48096396,-0.02218911,-1.0,0.7
77,2017,8,17,6,29,32,51.48096396,-0.02218911,-1.0,0.8
78,2017,8,17,6,29,33,51.48096409,-0.0221891,-1.0,0.8
79,2017,8,17,6,29,34,51.48096413,-0.0221891,-1.0,0.7
80,2017,8,17,6,29,35,51.48096413,-0.0221891,-1.0,0.8
81,2017,8,17,6,29,36,51.48096419,-0.02218908,-1.0,0.7
82,2017,8,17,6,29,37,51.48096429,-0.02218895,-1.0,0.7
83,2017,8,17,6,29,38,51.48096438,-0.02218876,-1.0,0.7
84,2017,8,17,6,29,39,51.48096449,-0.02218864,-1.0,0.7
85,2017,8,17,6,29,40,51.48096453,-0.02218848,-1.0,0.7
86,2017,8,17,6,29,41,51.48096458,-0.02218824,-1.0,0.7
87,2017,8,17,6,29,42,51.48096458,-0.02218824,-1.0,0.7
88,2017,8,17,6,29,43,51.48096468,-0.02218788,-1.0,0.7
89,2017,8,17,6,29,44,51.48096468,-0.02218788,-1.0,0.7
90,2017,8,17,6,29,45,51.48096472,-0.02218779,-1.0,0.7
91,2017,8,17,6,29,46,51.48096475,-0.02218764,-1.0,0.7
92,2017,8,17,6,29,47,51.48096471,-0.02218757,-1.0,0.8
93,2017,8,17,6,29,48,51.48096471,-0.02218757,-1.0,0.8
94,2017,8,17,6,29,49,51.48096468,-0.02218754,-1.0,0.8
95,2017,8,17,6,29,50,51.4809647,-0.02218756,-1.0,0.8
96,2017,8,17,6,29,51,51.48096471,-0.0221876,-1.0,0.7
97,2017,8,17,6,29,52,51.48096479,-0.02218757,-1.0,0.7
98,2017,8,17,6,29,53,51.48096487,-0.02218745,-1.0,0.7
99,2017,8,17,6,29,54,51.48096487,-0.02218745,-1.0,0.7
100,2017,8,17,6,29,55,51.48096494,-0.02218746,-1.0,0.8
101,2017,8,17,6,29,56,51.48096494,-0.02218746,-1.0,0.8
102,2017,8,17,6,29,57,51.48096495,-0.02218748,-1.0,0.8
103,2017,8,17,6,29,58,51.48096504,-0.0221874,-1.0,0.8
104,2017,8,17,6,29,59,51.48096505,-0.02218745,-1.0,0.8
105,2017,8,17,6,30,0,51.48096514,-0.02218734,-1.0,0.8
106,2017,8,17,6,30,1,51.48096814,-0.02217694,-1.0,0.8
107,2017,8,17,6,30,2,51.48096814,-0.02217694,-1.0,0.7
108,2017,8,17,6,30,3,51.4809695,-0.02217178,-1.0,0.8
109,2017,8,17,6,30,4,51.48096958,-0.02217118,-1.0,0.9
110,2017,8,17,6,30,5,51.48096958,-0.02217118,-1.0,0.8
111,2017,8,17,6,30,6,51.48096973,-0.0221705,-1.0,0.8
112,2017,8,17,6,30,7,51.48096988,-0.0221698,-1.0,0.7
113,2017,8,17,6,30,8,51.48097037,-0.02216641,-1.0,0.7
114,2017,8,17,6,30,9,51.48097037,-0.02216641,-1.0,0.7
115,2017,8,17,6,30,10,51.48097069,-0.02216397,-1.0,0.7
116,2017,8,17,6,30,11,51.48097076,-0.0221632,-1.0,0.7
117,2017,8,17,6,30,12,51.48097092,-0.02216268,-1.0,0.7
118,2017,8,17,6,30,13,51.48097092,-0.02216268,-1.0,0.7
119,2017,8,17,6,30,14,51.48097113,-0.02216149,-1.0,0.7
120,2017,8,17,6,30,15,51.48097129,-0.02216092,-1.0,0.7
121,2017,8,17,6,30,16,51.48097129,-0.02216092,-1.0,0.7
122,2017,8,17,6,30,17,51.48097147,-0.02216034,-1.0,0.7
123,2017,8,17,6,30,18,51.48097149,-0.02215992,-1.0,0.7
124,2017,8,17,6,30,19,51.48097422,-0.02215303,-1.0,0.7
125,2017,8,17,6,30,20,51.48099654,-0.02214435,-1.0,0.7
126,2017,8,17,6,30,21,51.48099654,-0.02214435,-1.0,0.7
127,2017,8,17,6,30,22,51.48101033,-0.02213066,-1.0,0.7
128,2017,8,17,6,30,23,51.48101883,-0.02212367,-1.0,0.7
129,2017,8,17,6,30,24,51.48101883,-0.02212367,-1.0,0.7
130,2017,8,17,6,30,25,51.48102638,-0.02211645,-1.0,0.7
131,2017,8,17,6,30,26,51.48102614,-0.022114,-1.0,0.7
132,2017,8,17,6,30,27,51.4810256,-0.02210888,-1.0,0.7
133,2017,8,17,6,30,28,51.48102256,-0.02210768,-1.0,0.7
134,2017,8,17,6,30,29,51.48102256,-0.02210768,-1.0,0.7
135,2017,8,17,6,30,30,51.48102315,-0.02210516,-1.0,0.7
136,2017,8,17,6,30,31,51.48102424,-0.02210317,-1.0,0.7
137,2017,8,17,6,30,32,51.4810247,-0.02210284,-1.0,0.7
138,2017,8,17,6,30,33,51.48102416,-0.02210272,-1.0,0.7
139,2017,8,17,6,30,34,51.48102716,-0.02210213,-1.0,0.7
140,2017,8,17,6,30,35,51.48102732,-0.02210191,-1.0,0.7
141,2017,8,17,6,30,36,51.48102732,-0.02210191,-1.0,0.7
142,2017,8,17,6,30,37,51.48103635,-0.02209057,-1.0,0.7
143,2017,8,17,6,30,38,51.4810334,-0.02208658,-1.0,0.7
144,2017,8,17,6,30,39,51.4810334,-0.02208658,-1.0,0.7
145,2017,8,17,6,30,40,51.48102917,-0.02208767,-1.0,0.7
146,2017,8,17,6,30,41,51.48103117,-0.02209251,-1.0,0.7
147,2017,8,17,6,30,42,51.48103141,-0.0220915,-1.0,0.7
148,2017,8,17,6,30,43,51.48103141,-0.0220915,-1.0,0.7
149,2017,8,17,6,30,44,51.48101792,-0.0220755,-1.0,0.7
150,2017,8,17,6,30,45,51.48100765,-0.02206477,-1.0,0.7
151,2017,8,17,6,30,46,51.48100765,-0.02206477,-1.0,0.7
152,2017,8,17,6,30,47,51.48099542,-0.02205683,-1.0,0.7
