obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,7,1,268.0,3.0,18.8
2,1,8,1,278.0,79.0,25.4
3,1,10,1,77.0,54.0,38.0
4,1,11,1,271.0,34.0,27.3
5,1,18,1,52.0,29.0,33.6
6,1,21,1,74.0,3.0,30.8
7,1,22,1,203.0,6.0,18.2
8,1,27,1,127.0,59.0,26.6
9,1,28,1,324.0,13.0,17.6
10,1,14,1,0.0,0.0,0.0
11,1,15,1,16.0,2.0,0.0
12,1,16,1,178.0,15.0,0.0
13,1,30,1,299.0,8.0,0.0
14,1,32,1,120.0,10.0,0.0
15,1,2,3,167.0,16.0,17.4
16,1,16,3,331.0,20.0,20.6
17,1,15,3,265.0,27.0,20.6
18,1,1,3,108.0,52.0,24.7
19,1,24,3,59.0,66.0,23.0
20,1,23,3,94.0,21.0,16.0
21,1,17,3,303.0,46.0,34.7
22,1,8,3,39.0,33.0,41.7
23,1,18,3,0.0,0.0,0.0
24,1,5,5,113.0,10.0,0.0
25,1,6,5,33.0,17.0,0.0
26,1,9,5,59.0,33.0,0.0
27,1,11,5,109.0,16.0,0.0
28,1,14,5,99.0,52.0,0.0
29,1,15,5,57.0,29.0,0.0
30,1,120,2,0.0,0.0,31.2
31,1,125,2,0.0,0.0,31.3
32,2,7,1,268.0,3.0,23.2
33,2,8,1,278.0,79.0,26.1
34,2,10,1,77.0,54.0,35.9
35,2,11,1,271.0,34.0,26.4
36,2,18,1,52.0,29.0,32.0
37,2,21,1,74.0,3.0,29.5
38,2,22,1,203.0,6.0,15.1
39,2,27,1,127.0,59.0,25.3
40,2,28,1,324.0,13.0,17.6
41,2,14,1,0.0,0.0,0.0
42,2,15,1,16.0,2.0,0.0
43,2,16,1,178.0,15.0,0.0
44,2,30,1,299.0,8.0,0.0
45,2,32,1,120.0,10.0,0.0
46,2,2,3,167.0,16.0,17.6
47,2,16,3,331.0,20.0,20.1
48,2,15,3,265.0,27.0,21.4
49,2,1,3,108.0,52.0,24.6
50,2,24,3,59.0,66.0,24.4
51,2,23,3,94.0,21.0,16.0
52,2,17,3,303.0,46.0,35.8
53,2,8,3,39.0,33.0,41.4
54,2,18,3,0.0,0.0,0.0
55,2,5,5,113.0,10.0,0.0
56,2,6,5,33.0,17.0,0.0
57,2,9,5,59.0,33.0,0.0
58,2,11,5,109.0,16.0,0.0
59,2,14,5,99.0,52.0,0.0
60,2,15,5,57.0,29.0,0.0
61,2,120,2,0.0,0.0,31.2
62,2,125,2,0.0,0.0,31.3
63,3,7,1,268.0,3.0,23.2
64,3,8,1,278.0,79.0,24.8
65,3,10,1,77.0,54.0,30.8
66,3,11,1,271.0,34.0,21.1
67,3,18,1,52.0,29.0,33.2
68,3,21,1,74.0,3.0,27.4
69,3,22,1,203.0,6.0,15.1
70,3,27,1,127.0,59.0,23.8
71,3,28,1,324.0,13.0,17.6
72,3,14,1,0.0,0.0,0.0
73,3,15,1,16.0,2.0,0.0
74,3,16,1,178.0,15.0,0.0
