e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,7,21,11,23,44,51.4827957,-0.01394901,-1.0,0.7
2,2017,7,21,11,23,45,51.48335119,-0.00954142,-1.0,0.7
3,2017,7,21,11,23,46,51.4833386,-0.00955235,-1.0,0.7
4,2017,7,21,11,23,47,51.48333696,-0.00955715,-1.0,0.8
5,2017,7,21,11,23,48,51.48333647,-0.00958819,-1.0,0.7
6,2017,7,21,11,23,49,51.48333537,-0.00959849,-1.0,0.7
7,2017,7,21,11,23,50,51.48333625,-0.00959714,-1.0,0.7
8,2017,7,21,11,23,51,51.48333625,-0.00959714,-1.0,0.7
9,2017,7,21,11,23,52,51.48333974,-0.00960943,-1.0,0.7
10,2017,7,21,11,23,53,51.48333974,-0.00960943,-1.0,0.6
11,2017,7,21,11,23,54,51.48334021,-0.0096265,-1.0,0.6
12,2017,7,21,11,23,55,51.4833387,-0.00963035,-1.0,0.6
13,2017,7,21,11,23,57,51.48333718,-0.0096342,-1.0,0.7
14,2017,7,21,11,23,59,51.48334772,-0.00964006,-1.0,0.7
15,2017,7,21,11,24,0,51.48334861,-0.00964133,-1.0,0.7
16,2017,7,21,11,24,2,51.48334814,-0.00964145,-1.0,0.7
17,2017,7,21,11,24,4,51.4833483,-0.00964146,-1.0,0.7
18,2017,7,21,11,24,5,51.48334842,-0.00964158,-1.0,0.7
19,2017,7,21,11,24,6,51.48334866,-0.00964172,-1.0,0.7
20,2017,7,21,11,24,7,51.48334874,-0.00964175,-1.0,0.7
21,2017,7,21,11,24,8,51.4833488,-0.00964182,-1.0,0.7
22,2017,7,21,11,24,9,51.4833489,-0.0096419,-1.0,0.7
23,2017,7,21,11,24,10,51.4833489,-0.0096419,-1.0,0.7
24,2017,7,21,11,24,11,51.48334906,-0.00964205,-1.0,0.7
25,2017,7,21,11,24,13,51.48334902,-0.00964214,-1.0,0.7
26,2017,7,21,11,24,14,51.48334894,-0.00964219,-1.0,0.7
27,2017,7,21,11,24,15,51.48334893,-0.00964223,-1.0,0.7
28,2017,7,21,11,24,16,51.48334894,-0.00964228,-1.0,0.7
29,2017,7,21,11,24,17,51.483349,-0.00964227,-1.0,0.7
30,2017,7,21,11,24,18,51.48334899,-0.00964233,-1.0,0.7
31,2017,7,21,11,24,19,51.48334914,-0.00964235,-1.0,0.7
32,2017,7,21,11,24,20,51.48334922,-0.00964238,-1.0,0.7
33,2017,7,21,11,24,21,51.48334934,-0.0096424,-1.0,0.7
34,2017,7,21,11,24,22,51.48334942,-0.0096424,-1.0,0.7
35,2017,7,21,11,24,23,51.48334946,-0.00964244,-1.0,0.8
36,2017,7,21,11,24,24,51.48334952,-0.00964248,-1.0,0.8
