obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,8,1,188.0,80.0,30.8
2,1,10,1,61.0,46.0,36.1
3,1,11,1,277.0,46.0,31.3
4,1,14,1,126.0,10.0,14.2
5,1,18,1,49.0,19.0,23.5
6,1,22,1,206.0,18.0,22.3
7,1,27,1,135.0,46.0,23.2
8,1,28,1,319.0,21.0,26.8
9,1,30,1,289.0,3.0,20.4
10,1,32,1,112.0,20.0,19.8
11,1,16,1,177.0,3.0,0.0
12,1,6,3,32.0,26.0,27.2
13,1,22,3,84.0,56.0,32.0
14,1,13,3,264.0,19.0,25.7
15,1,15,3,358.0,7.0,19.7
16,1,24,3,295.0,7.0,18.1
17,1,23,3,312.0,52.0,29.1
18,1,21,3,105.0,5.0,19.4
19,1,7,3,94.0,58.0,34.0
20,1,8,3,165.0,31.0,18.7
21,1,6,5,32.0,15.0,30.0
22,1,5,5,115.0,9.0,0.0
23,1,9,5,53.0,33.0,0.0
24,1,15,5,52.0,30.0,0.0
25,1,0,0,0.0,0.0,0.0
26,2,8,1,188.0,80.0,29.1
27,2,10,1,61.0,46.0,39.7
28,2,11,1,277.0,46.0,23.6
29,2,14,1,126.0,10.0,14.2
30,2,18,1,49.0,19.0,24.0
31,2,22,1,206.0,18.0,23.0
32,2,27,1,135.0,46.0,25.5
33,2,28,1,319.0,21.0,30.1
34,2,30,1,289.0,3.0,17.7
35,2,32,1,112.0,20.0,22.9
36,2,16,1,177.0,3.0,0.0
37,2,6,3,32.0,26.0,25.6
38,2,22,3,84.0,56.0,32.9
39,2,13,3,264.0,19.0,23.8
40,2,15,3,358.0,7.0,17.5
41,2,24,3,295.0,7.0,21.2
42,2,23,3,312.0,52.0,29.0
43,2,21,3,105.0,5.0,19.4
44,2,7,3,94.0,58.0,30.7
45,2,8,3,165.0,31.0,20.6
46,2,6,5,32.0,15.0,33.4
47,2,5,5,115.0,9.0,0.0
48,2,9,5,53.0,33.0,0.0
49,2,15,5,52.0,30.0,0.0
50,2,0,0,0.0,0.0,0.0
51,3,8,1,188.0,80.0,29.6
52,3,10,1,61.0,46.0,36.1
53,3,11,1,277.0,46.0,33.0
54,3,14,1,126.0,10.0,14.2
55,3,18,1,49.0,19.0,22.9
56,3,22,1,206.0,18.0,25.4
57,3,27,1,135.0,46.0,27.0
58,3,28,1,319.0,21.0,34.7
59,3,30,1,289.0,3.0,18.5
60,3,32,1,112.0,20.0,24.1
61,3,16,1,177.0,3.0,0.0
62,3,6,3,32.0,26.0,28.7
63,3,22,3,84.0,56.0,29.8
64,3,13,3,264.0,19.0,30.3
65,3,15,3,358.0,7.0,19.9
66,3,24,3,295.0,7.0,21.6
67,3,23,3,312.0,52.0,33.5
68,3,21,3,105.0,5.0,19.4
69,3,7,3,94.0,58.0,28.4
70,3,8,3,165.0,31.0,20.8
71,3,6,5,32.0,15.0,34.9
72,3,5,5,115.0,9.0,0.0
73,3,9,5,53.0,33.0,0.0
74,3,15,5,52.0,30.0,0.0
75,3,0,0,0.0,0.0,0.0
76,4,8,1,188.0,80.0,29.4
77,4,10,1,61.0,46.0,33.0
78,4,11,1,277.0,46.0,36.6
79,4,14,1,126.0,10.0,14.2
80,4,18,1,49.0,19.0,28.3
81,4,22,1,206.0,18.0,25.1
82,4,27,1,135.0,46.0,22.2
83,4,28,1,319.0,21.0,33.6
84,4,32,1,112.0,20.0,18.1
85,4,16,1,177.0,3.0,0.0
86,4,30,1,289.0,3.0,0.0
87,4,6,3,32.0,26.0,22.8
88,4,22,3,84.0,56.0,33.7
89,4,13,3,264.0,19.0,24.7
90,4,15,3,358.0,7.0,23.9
91,4,24,3,295.0,7.0,23.0
92,4,23,3,312.0,52.0,36.8
93,4,21,3,105.0,5.0,17.5
94,4,7,3,94.0,58.0,28.7
95,4,8,3,165.0,31.0,18.5
96,4,6,5,32.0,15.0,30.7
97,4,5,5,115.0,9.0,0.0
98,4,9,5,53.0,33.0,0.0
99,4,15,5,52.0,30.0,0.0
100,4,0,0,0.0,0.0,0.0
101,5,8,1,188.0,80.0,33.3
102,5,10,1,61.0,46.0,34.5
103,5,11,1,277.0,46.0,21.8
104,5,14,1,126.0,10.0,14.2
105,5,18,1,49.0,19.0,26.5
106,5,22,1,206.0,18.0,21.5
107,5,27,1,135.0,46.0,22.7
108,5,28,1,319.0,21.0,38.2
109,5,32,1,112.0,20.0,20.7
110,5,16,1,177.0,3.0,0.0
111,5,30,1,289.0,3.0,0.0
112,5,6,3,32.0,26.0,19.4
113,5,22,3,84.0,56.0,29.5
114,5,13,3,264.0,19.0,22.8
115,5,15,3,358.0,7.0,24.3
116,5,24,3,295.0,7.0,25.3
117,5,23,3,312.0,52.0,38.8
