e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,7,21,2,48,43,-1.0,-1.0,-1.0,0.6
2,2017,7,21,2,48,44,51.47880129,-0.02630987,-1.0,0.6
3,2017,7,21,2,48,45,51.47880129,-0.02630987,-1.0,0.6
4,2017,7,21,2,48,46,51.47881608,-0.02630291,-1.0,0.6
5,2017,7,21,2,48,47,51.47882325,-0.02629788,-1.0,0.6
6,2017,7,21,2,48,48,51.47882325,-0.02629788,-1.0,0.6
7,2017,7,21,2,48,49,51.47883285,-0.02628878,-1.0,0.6
8,2017,7,21,2,48,50,51.47883285,-0.02628878,-1.0,0.6
9,2017,7,21,2,48,51,51.47884179,-0.02623506,-1.0,0.7
10,2017,7,21,2,48,52,51.47884179,-0.02623506,-1.0,0.7
11,2017,7,21,2,48,53,51.47883475,-0.02614015,-1.0,0.7
12,2017,7,21,2,48,54,51.47883256,-0.02611553,-1.0,0.7
13,2017,7,21,2,48,55,51.47883256,-0.02611553,-1.0,0.7
14,2017,7,21,2,48,56,51.47883105,-0.02609926,-1.0,0.7
15,2017,7,21,2,48,57,51.47883105,-0.02609926,-1.0,0.7
16,2017,7,21,2,48,58,51.47882958,-0.0260957,-1.0,0.7
17,2017,7,21,2,48,59,51.47882958,-0.0260957,-1.0,0.7
18,2017,7,21,2,49,0,51.47882904,-0.02609457,-1.0,0.7
19,2017,7,21,2,49,1,51.47882888,-0.0260942,-1.0,0.7
20,2017,7,21,2,49,2,51.47882888,-0.0260942,-1.0,0.7
21,2017,7,21,2,49,3,51.47882865,-0.02609383,-1.0,0.7
22,2017,7,21,2,49,4,51.47882844,-0.0260934,-1.0,0.7
23,2017,7,21,2,49,5,51.4788282,-0.02609299,-1.0,0.7
24,2017,7,21,2,49,6,51.47882762,-0.02609222,-1.0,0.7
25,2017,7,21,2,49,7,51.47882762,-0.02609222,-1.0,0.7
26,2017,7,21,2,49,8,51.47882708,-0.02609134,-1.0,0.7
27,2017,7,21,2,49,9,51.47882696,-0.02609112,-1.0,0.7
28,2017,7,21,2,49,10,51.47882696,-0.02609112,-1.0,0.7
29,2017,7,21,2,49,11,51.47882685,-0.02609094,-1.0,0.7
30,2017,7,21,2,49,12,51.47882665,-0.02609058,-1.0,0.7
31,2017,7,21,2,49,13,51.4788266,-0.02609047,-1.0,0.7
32,2017,7,21,2,49,14,51.47882646,-0.02609021,-1.0,0.7
33,2017,7,21,2,49,15,51.47882646,-0.02609021,-1.0,0.7
34,2017,7,21,2,49,16,51.47882633,-0.02608993,-1.0,0.7
35,2017,7,21,2,49,17,51.47882633,-0.02608993,-1.0,0.7
36,2017,7,21,2,49,18,51.47882625,-0.02608982,-1.0,0.7
37,2017,7,21,2,49,19,51.47882597,-0.02608953,-1.0,0.7
38,2017,7,21,2,49,20,51.47882597,-0.02608953,-1.0,0.7
39,2017,7,21,2,49,21,51.4788258,-0.02608926,-1.0,0.7
40,2017,7,21,2,49,22,51.4788258,-0.02608926,-1.0,0.7
41,2017,7,21,2,49,23,51.47882572,-0.02608906,-1.0,0.7
42,2017,7,21,2,49,24,51.47882566,-0.02608888,-1.0,0.7
43,2017,7,21,2,49,25,51.47882558,-0.02608871,-1.0,0.7
44,2017,7,21,2,49,26,51.47882549,-0.02608856,-1.0,0.7
45,2017,7,21,2,49,27,51.47882541,-0.02608822,-1.0,0.7
46,2017,7,21,2,49,28,51.47882541,-0.02608822,-1.0,0.7
47,2017,7,21,2,49,29,51.47882537,-0.02608808,-1.0,0.7
48,2017,7,21,2,49,30,51.47882518,-0.02608746,-1.0,0.7
49,2017,7,21,2,49,31,51.47882518,-0.02608746,-1.0,0.7
50,2017,7,21,2,49,32,51.47882515,-0.02608735,-1.0,0.7
51,2017,7,21,2,49,33,51.47882505,-0.02608709,-1.0,0.7
52,2017,7,21,2,49,34,51.47882505,-0.02608706,-1.0,0.7
53,2017,7,21,2,49,35,51.47882505,-0.02608706,-1.0,0.7
54,2017,7,21,2,49,36,51.478825,-0.02608703,-1.0,0.7
55,2017,7,21,2,49,37,51.47882496,-0.026087,-1.0,0.7
56,2017,7,21,2,49,38,51.47882496,-0.026087,-1.0,0.7
57,2017,7,21,2,49,39,51.47882496,-0.026087,-1.0,0.7
58,2017,7,21,2,49,40,51.47882496,-0.026087,-1.0,0.7
59,2017,7,21,2,49,41,51.47882496,-0.026087,-1.0,0.7
60,2017,7,21,2,49,42,51.47882496,-0.026087,-1.0,0.7
61,2017,7,21,2,49,43,51.47882496,-0.026087,-1.0,0.7
62,2017,7,21,2,49,44,51.47882496,-0.026087,-1.0,0.7
63,2017,7,21,2,49,45,51.47882496,-0.026087,-1.0,0.7
64,2017,7,21,2,49,46,51.47882496,-0.026087,-1.0,0.7
65,2017,7,21,2,49,47,51.47882496,-0.026087,-1.0,0.7
66,2017,7,21,2,49,48,51.47882496,-0.026087,-1.0,0.7
67,2017,7,21,2,49,49,51.47882496,-0.026087,-1.0,0.7
68,2017,7,21,2,49,50,51.47882496,-0.026087,-1.0,0.7
69,2017,7,21,2,49,51,51.47882496,-0.026087,-1.0,0.7
70,2017,7,21,2,49,52,51.47882496,-0.026087,-1.0,0.7
71,2017,7,21,2,49,53,51.47882496,-0.026087,-1.0,0.7
72,2017,7,21,2,49,54,51.47882496,-0.026087,-1.0,0.7
73,2017,7,21,2,49,56,51.47882496,-0.026087,-1.0,0.7
74,2017,7,21,2,49,57,51.47882496,-0.026087,-1.0,0.7
75,2017,7,21,2,49,58,51.47882496,-0.026087,-1.0,0.7
76,2017,7,21,2,49,59,51.47882496,-0.026087,-1.0,0.7
