obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,8,1,286.0,39.0,29.2
2,1,10,1,139.0,40.0,35.1
3,1,11,1,0.0,0.0,15.9
4,1,13,1,21.0,4.0,26.7
5,1,15,1,52.0,7.0,29.9
6,1,16,1,184.0,57.0,26.9
7,1,18,1,95.0,45.0,34.3
8,1,20,1,33.0,7.0,22.0
9,1,21,1,63.0,37.0,30.1
10,1,26,1,167.0,30.0,35.1
11,1,27,1,302.0,77.0,35.1
12,1,30,1,334.0,7.0,26.1
13,1,10,3,327.0,26.0,22.1
14,1,2,3,35.0,26.0,18.9
15,1,18,3,57.0,50.0,34.9
16,1,9,3,255.0,45.0,23.3
17,1,16,3,205.0,17.0,24.7
18,1,19,3,298.0,60.0,24.6
19,1,17,3,77.0,4.0,25.7
20,1,3,3,97.0,33.0,35.2
21,1,4,3,146.0,7.0,34.2
22,1,20,3,268.0,9.0,0.0
23,1,5,5,113.0,11.0,22.8
24,1,14,5,67.0,33.0,35.1
25,1,136,2,0.0,0.0,31.1
26,1,120,2,0.0,0.0,29.4
27,2,8,1,286.0,39.0,24.7
28,2,10,1,139.0,40.0,35.4
29,2,11,1,0.0,0.0,15.4
30,2,13,1,21.0,4.0,26.9
31,2,15,1,52.0,7.0,28.1
32,2,16,1,184.0,57.0,28.1
33,2,18,1,95.0,45.0,34.6
34,2,20,1,33.0,7.0,23.0
35,2,21,1,63.0,37.0,32.2
36,2,26,1,167.0,30.0,34.8
37,2,27,1,302.0,77.0,32.4
38,2,30,1,334.0,7.0,22.6
39,2,10,3,327.0,26.0,25.7
40,2,2,3,35.0,26.0,19.1
41,2,18,3,57.0,50.0,37.5
42,2,9,3,255.0,45.0,21.0
43,2,16,3,205.0,17.0,22.2
44,2,19,3,298.0,60.0,18.7
45,2,17,3,77.0,4.0,28.3
46,2,3,3,97.0,33.0,36.4
47,2,4,3,146.0,7.0,33.5
48,2,20,3,268.0,9.0,0.0
49,2,5,5,113.0,11.0,22.8
50,2,14,5,67.0,33.0,36.7
51,2,136,2,0.0,0.0,31.6
52,2,120,2,0.0,0.0,29.4
53,3,7,1,303.0,19.0,31.7
