obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,8,1,161.0,65.0,18.9
2,1,11,1,281.0,61.0,29.6
3,1,18,1,47.0,7.0,23.2
4,1,22,1,209.0,33.0,24.3
5,1,27,1,140.0,30.0,16.1
6,1,28,1,306.0,29.0,20.0
7,1,32,1,98.0,30.0,23.1
8,1,3,1,213.0,9.0,0.0
9,1,10,1,53.0,33.0,0.0
10,1,14,1,116.0,22.0,0.0
11,1,6,3,26.0,10.0,23.4
12,1,22,3,105.0,42.0,21.4
13,1,13,3,253.0,5.0,15.9
14,1,15,3,344.0,15.0,17.2
15,1,1,3,189.0,9.0,16.6
16,1,23,3,333.0,69.0,22.8
17,1,7,3,59.0,54.0,21.5
18,1,8,3,160.0,50.0,20.8
19,1,24,3,305.0,21.0,0.0
20,1,6,5,30.0,11.0,30.9
21,1,5,5,115.0,9.0,0.0
22,1,9,5,49.0,31.0,0.0
23,1,15,5,47.0,30.0,0.0
24,1,15,5,49.0,30.0,0.0
25,2,8,1,161.0,65.0,18.9
26,2,10,1,53.0,33.0,32.7
27,2,11,1,281.0,61.0,31.0
28,2,18,1,47.0,7.0,23.1
29,2,22,1,209.0,33.0,15.7
30,2,27,1,140.0,30.0,16.1
31,2,28,1,306.0,29.0,20.0
32,2,32,1,98.0,30.0,22.2
33,2,3,1,213.0,9.0,0.0
34,2,14,1,116.0,22.0,0.0
35,2,6,3,26.0,10.0,24.6
36,2,22,3,105.0,42.0,19.8
37,2,13,3,253.0,5.0,15.8
38,2,15,3,344.0,15.0,17.2
39,2,1,3,189.0,9.0,16.6
40,2,24,3,305.0,21.0,11.9
41,2,23,3,333.0,69.0,30.6
42,2,7,3,59.0,54.0,30.3
43,2,8,3,160.0,50.0,16.3
44,2,6,5,30.0,11.0,31.9
45,2,5,5,115.0,9.0,0.0
46,2,9,5,49.0,31.0,0.0
47,2,15,5,47.0,30.0,0.0
48,2,15,5,49.0,30.0,0.0
49,3,8,1,161.0,65.0,16.8
50,3,10,1,53.0,33.0,34.7
51,3,11,1,281.0,61.0,34.3
52,3,18,1,47.0,7.0,23.1
53,3,22,1,209.0,33.0,20.6
54,3,27,1,140.0,30.0,16.1
55,3,28,1,306.0,29.0,16.0
56,3,32,1,98.0,30.0,19.0
57,3,3,1,213.0,9.0,0.0
