e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,8,19,11,10,46,51.48313018,-0.00634891,-1.0,1.2
2,2017,8,19,11,10,47,51.48313018,-0.00634891,-1.0,1.2
3,2017,8,19,11,10,48,51.48312879,-0.00635153,-1.0,1.2
4,2017,8,19,11,10,49,51.48312907,-0.00635825,-1.0,1.2
5,2017,8,19,11,10,50,51.48313341,-0.00636869,-1.0,1.2
6,2017,8,19,11,10,51,51.48313085,-0.00636919,-1.0,1.2
7,2017,8,19,11,10,52,51.48312915,-0.00636777,-1.0,1.2
8,2017,8,19,11,10,53,51.48312915,-0.00636777,-1.0,1.2
9,2017,8,19,11,10,54,51.48312746,-0.00636898,-1.0,1.2
10,2017,8,19,11,10,55,51.48312714,-0.0063691,-1.0,1.2
11,2017,8,19,11,10,56,51.48312704,-0.00636875,-1.0,1.2
12,2017,8,19,11,10,57,51.48312706,-0.00636886,-1.0,1.2
13,2017,8,19,11,10,58,51.483127,-0.00636886,-1.0,1.2
14,2017,8,19,11,10,59,51.48312696,-0.00636888,-1.0,1.2
15,2017,8,19,11,11,0,51.48312693,-0.00636884,-1.0,1.2
16,2017,8,19,11,11,1,51.48312686,-0.00636876,-1.0,1.2
17,2017,8,19,11,11,2,51.48312685,-0.00636867,-1.0,1.1
18,2017,8,19,11,11,3,51.48312684,-0.00636867,-1.0,1.1
19,2017,8,19,11,11,4,51.48312547,-0.0063693,-1.0,1.1
20,2017,8,19,11,11,5,51.48312092,-0.00637356,-1.0,1.1
21,2017,8,19,11,11,6,51.48311847,-0.00637754,-1.0,1.1
22,2017,8,19,11,11,7,51.48311732,-0.0063824,-1.0,1.1
23,2017,8,19,11,11,8,51.48311732,-0.0063824,-1.0,1.1
24,2017,8,19,11,11,9,51.48311817,-0.00639121,-1.0,1.1
25,2017,8,19,11,11,10,51.48311817,-0.00639121,-1.0,1.1
26,2017,8,19,11,11,11,51.48311708,-0.00639295,-1.0,1.1
27,2017,8,19,11,11,12,51.48311823,-0.00639514,-1.0,1.1
28,2017,8,19,11,11,13,51.48311917,-0.00639631,-1.0,1.1
29,2017,8,19,11,11,14,51.4831174,-0.0063965,-1.0,1.0
30,2017,8,19,11,11,15,51.48311622,-0.00639569,-1.0,1.0
31,2017,8,19,11,11,16,51.48311613,-0.0063963,-1.0,1.1
