e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,7,21,12,55,49,51.47818603,-0.01470847,-1.0,0.7
2,2017,7,21,12,55,50,51.47818603,-0.01470847,-1.0,0.7
3,2017,7,21,12,55,51,51.47818427,-0.01470437,-1.0,0.7
4,2017,7,21,12,55,52,51.47818285,-0.01470026,-1.0,0.7
5,2017,7,21,12,55,53,51.47817918,-0.01469653,-1.0,0.7
6,2017,7,21,12,55,54,51.47817817,-0.01469571,-1.0,0.8
7,2017,7,21,12,55,55,51.47817817,-0.01469571,-1.0,0.8
8,2017,7,21,12,55,56,51.47817618,-0.01469819,-1.0,0.8
9,2017,7,21,12,55,57,51.4781731,-0.01469616,-1.0,0.8
10,2017,7,21,12,55,58,51.4781731,-0.01469616,-1.0,0.8
11,2017,7,21,12,55,59,51.47817222,-0.0146944,-1.0,0.7
12,2017,7,21,12,56,0,51.47817186,-0.01469455,-1.0,0.7
13,2017,7,21,12,56,1,51.47817192,-0.01469389,-1.0,0.7
14,2017,7,21,12,56,2,51.47817192,-0.01469389,-1.0,0.7
15,2017,7,21,12,56,3,51.47817198,-0.01469379,-1.0,0.7
16,2017,7,21,12,56,4,51.47817191,-0.01469358,-1.0,0.7
17,2017,7,21,12,56,5,51.47817198,-0.01469358,-1.0,0.7
18,2017,7,21,12,56,6,51.47817207,-0.01469356,-1.0,0.7
19,2017,7,21,12,56,7,51.47817207,-0.01469356,-1.0,0.8
20,2017,7,21,12,56,8,51.47817237,-0.01469351,-1.0,0.8
21,2017,7,21,12,56,9,51.47817237,-0.01469351,-1.0,0.8
22,2017,7,21,12,56,10,51.47817247,-0.01469346,-1.0,0.8
23,2017,7,21,12,56,11,51.4781725,-0.01469339,-1.0,0.8
24,2017,7,21,12,56,12,51.47817233,-0.01469327,-1.0,0.8
25,2017,7,21,12,56,13,51.47817233,-0.01469327,-1.0,0.8
26,2017,7,21,12,56,14,51.47817221,-0.01469325,-1.0,0.8
27,2017,7,21,12,56,15,51.47817207,-0.01469311,-1.0,0.8
28,2017,7,21,12,56,16,51.47817206,-0.01469303,-1.0,0.8
29,2017,7,21,12,56,17,51.47817206,-0.01469303,-1.0,0.8
30,2017,7,21,12,56,18,51.47817207,-0.01469299,-1.0,0.8
31,2017,7,21,12,56,19,51.47817207,-0.01469299,-1.0,0.8
32,2017,7,21,12,56,20,51.47817208,-0.01469298,-1.0,0.8
33,2017,7,21,12,56,21,51.47817207,-0.01469293,-1.0,0.8
34,2017,7,21,12,56,22,51.47817206,-0.01469293,-1.0,0.8
35,2017,7,21,12,56,23,51.47817206,-0.01469291,-1.0,0.8
36,2017,7,21,12,56,24,51.47817202,-0.01469285,-1.0,0.7
37,2017,7,21,12,56,25,51.47817199,-0.01469283,-1.0,0.7
38,2017,7,21,12,56,26,51.47817198,-0.01469284,-1.0,0.7
39,2017,7,21,12,56,27,51.47817198,-0.01469284,-1.0,0.7
40,2017,7,21,12,56,28,51.47817198,-0.01469281,-1.0,0.7
41,2017,7,21,12,56,29,51.47817198,-0.01469282,-1.0,0.7
42,2017,7,21,12,56,30,51.47817207,-0.01469282,-1.0,0.7
43,2017,7,21,12,56,31,51.47817222,-0.01469279,-1.0,0.7
44,2017,7,21,12,56,32,51.47817222,-0.01469279,-1.0,0.7
45,2017,7,21,12,56,33,51.47817243,-0.01469263,-1.0,0.7
46,2017,7,21,12,56,34,51.47817242,-0.0146926,-1.0,0.7
47,2017,7,21,12,56,35,51.47817242,-0.0146926,-1.0,0.7
48,2017,7,21,12,56,36,51.47817232,-0.01469253,-1.0,0.7
49,2017,7,21,12,56,37,51.47817216,-0.01469252,-1.0,0.7
50,2017,7,21,12,56,38,51.47817216,-0.01469252,-1.0,0.7
51,2017,7,21,12,56,39,51.47817213,-0.01469249,-1.0,0.7
52,2017,7,21,12,56,40,51.47817218,-0.0146924,-1.0,0.7
53,2017,7,21,12,56,41,51.47817218,-0.0146924,-1.0,0.7
54,2017,7,21,12,56,42,51.47817219,-0.01469236,-1.0,0.7
55,2017,7,21,12,56,43,51.47817212,-0.01469232,-1.0,0.7
56,2017,7,21,12,56,44,51.47817208,-0.01469232,-1.0,0.7
57,2017,7,21,12,56,45,51.47817214,-0.01469238,-1.0,0.8
58,2017,7,21,12,56,46,51.47817226,-0.01469241,-1.0,0.8
59,2017,7,21,12,56,47,51.47817248,-0.01469237,-1.0,0.8
60,2017,7,21,12,56,48,51.47817271,-0.01469231,-1.0,0.8
61,2017,7,21,12,56,49,51.47817292,-0.01469226,-1.0,0.8
62,2017,7,21,12,56,50,51.47817312,-0.01469222,-1.0,0.7
63,2017,7,21,12,56,51,51.47817337,-0.01469219,-1.0,0.7
64,2017,7,21,12,56,52,51.47817355,-0.01469214,-1.0,0.7
65,2017,7,21,12,56,53,51.47817376,-0.01469211,-1.0,0.7
66,2017,7,21,12,56,54,51.47817376,-0.01469211,-1.0,0.7
67,2017,7,21,12,56,55,51.47817376,-0.01469211,-1.0,0.7
68,2017,7,21,12,56,56,51.47817376,-0.01469211,-1.0,0.7
69,2017,7,21,12,56,57,51.47817376,-0.01469211,-1.0,0.8
