obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,16,1,298.0,56.0,25.8
2,1,18,1,140.0,12.0,25.0
3,1,20,1,74.0,26.0,32.0
4,1,21,1,127.0,68.0,26.1
5,1,26,1,224.0,80.0,24.8
6,1,27,1,264.0,28.0,38.3
7,1,29,1,74.0,24.0,38.2
8,1,31,1,196.0,20.0,30.6
9,1,9,1,314.0,2.0,0.0
10,1,2,3,91.0,9.0,35.8
11,1,9,3,324.0,25.0,35.0
12,1,1,3,36.0,17.0,30.4
13,1,24,3,54.0,4.0,22.9
14,1,17,3,42.0,53.0,26.7
15,1,16,3,270.0,66.0,0.0
16,1,19,3,240.0,14.0,0.0
17,1,8,3,351.0,6.0,0.0
18,1,17,3,42.0,53.0,33.3
19,2,16,1,298.0,56.0,33.8
20,2,18,1,140.0,12.0,24.6
21,2,20,1,74.0,26.0,33.6
22,2,26,1,224.0,80.0,28.9
23,2,27,1,264.0,28.0,33.2
24,2,29,1,74.0,24.0,37.6
25,2,31,1,196.0,20.0,26.0
26,2,5,1,30.0,10.0,0.0
27,2,9,1,314.0,2.0,0.0
28,2,2,3,91.0,9.0,36.8
29,2,9,3,324.0,25.0,35.1
30,2,16,3,270.0,66.0,23.2
31,2,1,3,36.0,17.0,36.0
32,2,24,3,54.0,4.0,23.3
33,2,17,3,42.0,53.0,31.8
34,2,18,3,262.0,66.0,0.0
35,2,19,3,240.0,14.0,0.0
36,2,8,3,351.0,6.0,0.0
37,2,8,3,351.0,6.0,0.0
38,3,16,1,298.0,56.0,33.8
39,3,18,1,140.0,12.0,25.2
40,3,20,1,74.0,26.0,35.7
41,3,21,1,127.0,68.0,23.0
42,3,26,1,224.0,80.0,29.7
43,3,27,1,264.0,28.0,37.8
44,3,29,1,74.0,24.0,38.6
45,3,31,1,196.0,20.0,30.5
46,3,5,1,30.0,10.0,0.0
47,3,9,1,314.0,2.0,0.0
48,3,2,3,91.0,9.0,33.6
49,3,18,3,262.0,66.0,29.6
50,3,9,3,324.0,25.0,34.2
51,3,16,3,270.0,66.0,27.0
52,3,1,3,36.0,17.0,41.2
53,3,24,3,54.0,4.0,24.3
54,3,17,3,42.0,53.0,34.1
55,3,19,3,240.0,14.0,0.0
56,3,8,3,351.0,6.0,0.0
57,3,120,2,0.0,0.0,26.2
58,4,5,1,30.0,10.0,23.3
59,4,16,1,298.0,56.0,37.5
60,4,20,1,74.0,26.0,35.1
61,4,21,1,127.0,68.0,26.2
62,4,27,1,264.0,28.0,30.3
63,4,29,1,74.0,24.0,28.4
64,4,31,1,196.0,20.0,24.9
65,4,9,1,314.0,2.0,0.0
66,4,2,3,91.0,9.0,33.2
67,4,18,3,262.0,66.0,30.1
68,4,9,3,324.0,25.0,25.6
69,4,16,3,270.0,66.0,24.9
70,4,1,3,36.0,17.0,41.8
71,4,24,3,54.0,4.0,28.9
72,4,17,3,42.0,53.0,36.4
73,4,19,3,240.0,14.0,0.0
