e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,8,17,6,35,44,51.48102432,-0.02201898,-1.0,0.7
2,2017,8,17,6,35,45,51.48070384,-0.02010955,-1.0,0.7
3,2017,8,17,6,35,46,51.48070167,-0.02011071,-1.0,0.7
4,2017,8,17,6,35,47,51.48070466,-0.02011203,-1.0,0.7
5,2017,8,17,6,35,49,51.4807057,-0.02011247,-1.0,0.7
6,2017,8,17,6,35,50,51.48070585,-0.0201131,-1.0,0.7
7,2017,8,17,6,35,51,51.48070591,-0.02011327,-1.0,0.7
8,2017,8,17,6,35,52,51.48070598,-0.02011337,-1.0,0.7
9,2017,8,17,6,35,53,51.48070606,-0.02011347,-1.0,0.8
10,2017,8,17,6,35,54,51.48070615,-0.02011351,-1.0,0.8
11,2017,8,17,6,35,55,51.4807062,-0.0201137,-1.0,0.8
12,2017,8,17,6,35,56,51.48070618,-0.02011389,-1.0,0.8
13,2017,8,17,6,35,57,51.48070611,-0.02011434,-1.0,0.7
14,2017,8,17,6,35,58,51.48070611,-0.02011462,-1.0,0.7
15,2017,8,17,6,35,59,51.48070611,-0.02011462,-1.0,0.7
16,2017,8,17,6,36,0,51.48070612,-0.0201149,-1.0,0.7
17,2017,8,17,6,36,1,51.48070615,-0.02011517,-1.0,0.7
18,2017,8,17,6,36,2,51.48070617,-0.02011542,-1.0,0.7
19,2017,8,17,6,36,3,51.48070625,-0.02011599,-1.0,0.7
20,2017,8,17,6,36,4,51.48070625,-0.02011599,-1.0,0.7
21,2017,8,17,6,36,5,51.48070631,-0.0201162,-1.0,0.7
22,2017,8,17,6,36,6,51.48070641,-0.02011649,-1.0,0.7
23,2017,8,17,6,36,7,51.48070649,-0.0201167,-1.0,0.7
24,2017,8,17,6,36,8,51.48070655,-0.02011683,-1.0,0.7
25,2017,8,17,6,36,9,51.48070671,-0.0201171,-1.0,0.7
26,2017,8,17,6,36,10,51.48070673,-0.02011737,-1.0,0.7
27,2017,8,17,6,36,11,51.48070682,-0.0201176,-1.0,0.7
28,2017,8,17,6,36,12,51.48070686,-0.02011783,-1.0,0.7
29,2017,8,17,6,36,13,51.48070687,-0.02011806,-1.0,0.7
30,2017,8,17,6,36,14,51.48070694,-0.02011825,-1.0,0.7
31,2017,8,17,6,36,15,51.48070699,-0.02011842,-1.0,0.7
32,2017,8,17,6,36,16,51.48070703,-0.02011853,-1.0,0.7
33,2017,8,17,6,36,17,51.48070708,-0.02011872,-1.0,0.7
34,2017,8,17,6,36,18,51.48070709,-0.02011888,-1.0,0.7
35,2017,8,17,6,36,19,51.4807071,-0.02011899,-1.0,0.7
36,2017,8,17,6,36,20,51.48070725,-0.02011902,-1.0,0.7
37,2017,8,17,6,36,21,51.48070725,-0.02011902,-1.0,0.7
38,2017,8,17,6,36,22,51.48070735,-0.02011904,-1.0,0.7
39,2017,8,17,6,36,23,51.48070741,-0.02011913,-1.0,0.7
40,2017,8,17,6,36,24,51.48070753,-0.02011923,-1.0,0.7
41,2017,8,17,6,36,25,51.4807077,-0.02011927,-1.0,0.7
42,2017,8,17,6,36,26,51.48070775,-0.02011927,-1.0,0.7
43,2017,8,17,6,36,27,51.48070777,-0.02011929,-1.0,0.7
44,2017,8,17,6,36,29,51.48070779,-0.02011929,-1.0,0.7
45,2017,8,17,6,36,30,51.48070789,-0.0201193,-1.0,0.7
46,2017,8,17,6,36,31,51.48070797,-0.02011929,-1.0,0.7
47,2017,8,17,6,36,32,51.48070797,-0.02011929,-1.0,0.7
48,2017,8,17,6,36,33,51.48070803,-0.02011928,-1.0,0.7
49,2017,8,17,6,36,34,51.48070806,-0.02011925,-1.0,0.7
50,2017,8,17,6,36,35,51.48070813,-0.0201192,-1.0,0.7
51,2017,8,17,6,36,36,51.4807082,-0.02011915,-1.0,0.7
52,2017,8,17,6,36,37,51.48070828,-0.02011909,-1.0,0.8
53,2017,8,17,6,36,38,51.48070833,-0.02011907,-1.0,0.9
54,2017,8,17,6,36,39,51.48070843,-0.02011903,-1.0,0.9
55,2017,8,17,6,36,40,51.48070843,-0.02011903,-1.0,0.9
56,2017,8,17,6,36,41,51.48070842,-0.02011895,-1.0,0.9
57,2017,8,17,6,36,42,51.48070842,-0.02011895,-1.0,0.8
58,2017,8,17,6,36,43,51.48070846,-0.02011888,-1.0,0.8
59,2017,8,17,6,36,44,51.48070853,-0.02011883,-1.0,0.9
60,2017,8,17,6,36,45,51.48070858,-0.02011876,-1.0,0.8
61,2017,8,17,6,36,46,51.48070859,-0.02011872,-1.0,0.8
62,2017,8,17,6,36,47,51.48070859,-0.02011872,-1.0,0.8
63,2017,8,17,6,36,48,51.48070862,-0.02011871,-1.0,0.8
64,2017,8,17,6,36,49,51.48070864,-0.0201187,-1.0,0.8
65,2017,8,17,6,36,50,51.48070869,-0.02011864,-1.0,0.8
66,2017,8,17,6,36,51,51.48070869,-0.02011864,-1.0,0.9
67,2017,8,17,6,36,52,51.4807087,-0.02011862,-1.0,0.9
68,2017,8,17,6,36,53,51.48070868,-0.02011873,-1.0,0.9
69,2017,8,17,6,36,54,51.48070868,-0.02011873,-1.0,0.9
70,2017,8,17,6,36,55,51.48070874,-0.02011878,-1.0,0.8
71,2017,8,17,6,36,56,51.48070873,-0.02011887,-1.0,0.8
72,2017,8,17,6,36,57,51.48070872,-0.02011896,-1.0,0.8
73,2017,8,17,6,36,59,51.48070881,-0.02011891,-1.0,0.8
74,2017,8,17,6,37,1,51.48070881,-0.02011891,-1.0,0.8
75,2017,8,17,6,37,2,51.48070884,-0.02011882,-1.0,0.8
76,2017,8,17,6,37,3,51.48070887,-0.02011878,-1.0,0.8
77,2017,8,17,6,37,4,51.4807089,-0.02011875,-1.0,0.8
78,2017,8,17,6,37,5,51.48070891,-0.02011878,-1.0,0.8
79,2017,8,17,6,37,7,51.48070892,-0.0201188,-1.0,0.8
80,2017,8,17,6,37,8,51.48070897,-0.02011875,-1.0,0.7
81,2017,8,17,6,37,9,51.48070897,-0.02011871,-1.0,0.7
82,2017,8,17,6,37,10,51.48070895,-0.02011867,-1.0,0.7
83,2017,8,17,6,37,11,51.48070897,-0.02011869,-1.0,0.7
84,2017,8,17,6,37,12,51.48070901,-0.02011868,-1.0,0.7
85,2017,8,17,6,37,14,51.48070905,-0.02011868,-1.0,0.7
86,2017,8,17,6,37,15,51.4807091,-0.02011855,-1.0,0.7
87,2017,8,17,6,37,16,51.4807092,-0.02011844,-1.0,0.7
88,2017,8,17,6,37,17,51.48070922,-0.02011846,-1.0,0.8
89,2017,8,17,6,37,18,51.48070922,-0.02011846,-1.0,0.8
90,2017,8,17,6,37,20,51.48070923,-0.02011851,-1.0,0.8
91,2017,8,17,6,37,21,51.48070923,-0.02011854,-1.0,0.8
92,2017,8,17,6,37,22,51.48070923,-0.02011853,-1.0,0.8
93,2017,8,17,6,37,23,51.48070924,-0.02011852,-1.0,0.7
94,2017,8,17,6,37,24,51.48070925,-0.02011853,-1.0,0.8
95,2017,8,17,6,37,25,51.48070927,-0.0201185,-1.0,0.8
96,2017,8,17,6,37,26,51.48070931,-0.02011863,-1.0,0.7
97,2017,8,17,6,37,27,51.48070936,-0.02011866,-1.0,0.8
98,2017,8,17,6,37,28,51.48070942,-0.02011865,-1.0,0.8
99,2017,8,17,6,37,29,51.48070944,-0.02011857,-1.0,0.8
100,2017,8,17,6,37,31,51.48070945,-0.02011854,-1.0,0.8
101,2017,8,17,6,37,33,51.48070958,-0.02011865,-1.0,0.8
102,2017,8,17,6,37,34,51.48070958,-0.02011865,-1.0,0.8
103,2017,8,17,6,37,35,51.48070962,-0.02011866,-1.0,0.9
104,2017,8,17,6,37,36,51.48070964,-0.02011869,-1.0,0.8
105,2017,8,17,6,37,38,51.48070964,-0.02011868,-1.0,0.8
106,2017,8,17,6,37,39,51.4807097,-0.02011855,-1.0,0.8
107,2017,8,17,6,37,40,51.4807097,-0.02011855,-1.0,0.8
108,2017,8,17,6,37,41,51.48070976,-0.02011845,-1.0,0.8
109,2017,8,17,6,37,43,51.48070977,-0.02011844,-1.0,0.9
110,2017,8,17,6,37,44,51.48070985,-0.0201184,-1.0,0.8
111,2017,8,17,6,37,45,51.48070992,-0.02011839,-1.0,0.8
112,2017,8,17,6,37,46,51.4807099,-0.02011843,-1.0,0.8
113,2017,8,17,6,37,48,51.48070995,-0.02011849,-1.0,0.8
114,2017,8,17,6,37,49,51.48070996,-0.0201185,-1.0,0.7
115,2017,8,17,6,37,50,51.48070996,-0.0201185,-1.0,0.7
116,2017,8,17,6,37,51,51.48071004,-0.02011851,-1.0,0.7
117,2017,8,17,6,37,52,51.48071008,-0.02011852,-1.0,0.7
118,2017,8,17,6,37,53,51.48071236,-0.02011816,-1.0,0.7
119,2017,8,17,6,37,54,51.48072985,-0.02009862,-1.0,0.9
120,2017,8,17,6,37,55,51.48072985,-0.02009862,-1.0,0.9
