obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,8,1,260.0,82.0,37.7
2,1,10,1,71.0,52.0,31.7
3,1,14,1,132.0,3.0,17.5
4,1,15,1,0.0,0.0,17.1
5,1,16,1,178.0,11.0,27.2
6,1,18,1,50.0,26.0,31.9
7,1,22,1,205.0,9.0,27.8
8,1,27,1,130.0,55.0,27.2
9,1,28,1,323.0,16.0,25.5
10,1,30,1,296.0,7.0,16.7
11,1,32,1,118.0,14.0,23.1
12,1,1,1,255.0,24.0,0.0
13,1,7,1,0.0,0.0,0.0
14,1,11,1,274.0,37.0,0.0
15,1,21,1,0.0,0.0,0.0
16,1,2,3,167.0,20.0,33.2
17,1,18,3,289.0,3.0,15.5
18,1,16,3,327.0,21.0,20.7
19,1,1,3,101.0,54.0,22.6
20,1,24,3,68.0,63.0,21.4
21,1,23,3,98.0,18.0,28.3
22,1,17,3,306.0,49.0,31.4
23,1,8,3,35.0,30.0,19.2
24,1,15,3,261.0,24.0,0.0
25,1,9,5,57.0,33.0,19.4
26,1,14,5,92.0,53.0,24.4
27,1,5,5,113.0,10.0,0.0
28,1,6,5,32.0,16.0,0.0
29,1,11,5,111.0,13.0,0.0
30,1,15,5,56.0,30.0,0.0
31,1,120,2,0.0,0.0,31.7
32,1,136,2,0.0,0.0,32.7
33,1,0,0,0.0,0.0,0.0
34,2,8,1,260.0,82.0,35.8
35,2,10,1,71.0,52.0,28.1
36,2,11,1,274.0,37.0,20.2
37,2,14,1,132.0,3.0,17.0
38,2,15,1,0.0,0.0,17.0
39,2,16,1,178.0,11.0,32.3
40,2,18,1,50.0,26.0,27.8
41,2,22,1,205.0,9.0,24.5
42,2,27,1,130.0,55.0,25.6
43,2,28,1,323.0,16.0,23.8
44,2,30,1,296.0,7.0,16.5
45,2,32,1,118.0,14.0,27.6
46,2,1,1,255.0,24.0,0.0
47,2,7,1,0.0,0.0,0.0
48,2,21,1,0.0,0.0,0.0
49,2,2,3,167.0,20.0,37.3
50,2,18,3,289.0,3.0,15.6
51,2,16,3,327.0,21.0,22.4
52,2,1,3,101.0,54.0,25.8
53,2,24,3,68.0,63.0,25.8
54,2,23,3,98.0,18.0,26.7
55,2,17,3,306.0,49.0,28.4
56,2,8,3,35.0,30.0,24.1
57,2,15,3,261.0,24.0,0.0
